Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,294582,273767,255759,240317,227197,216159,206959,199354,193104,187965,183926,180971,177715,173455,168637,164381,160427,156609,152943,149372,145855,142442,138810,134806,130588,126463,122364,118457,114854,111472,108114,104813,101603,98479,95438,92491,89653,86830,83983,81161,78419,75712,73254,71144,69266,67416,65655,63759,61607,59308,57074,54836,52755,50922,49239,47526,45832,44015,41993,39835,37708,35586,33459,31339,29228,27129,25054,22998,20960,18959,17018,15139,13345,11647,10051,8540,7117,5847,4761,3832,2992,2240,1629,1176,849,594,414,278,164,76,46,38,28,18,9,2,2,2,1,0,0
1951,287575,281789,263495,247637,233996,222351,212505,204259,197282,191307,186184,182016,178772,175284,170973,166212,161922,157884,154005,150318,146754,143241,139832,136214,132239,128060,123977,119924,116056,112478,109113,105774,102493,99303,96200,93180,90253,87432,84632,81818,79032,76326,73655,71220,69117,67234,65378,63607,61708,59563,57277,55053,52827,50745,48896,47187,45453,43738,41904,39873,37714,35588,33471,31360,29269,27202,25151,23132,21139,19175,17255,15400,13612,11920,10344,8878,7498,6205,5061,4093,3276,2543,1896,1372,983,702,488,341,230,137,64,39,31,23,15,7,2,2,1,0,0
1952,285026,270251,270107,254248,240467,228562,218337,209637,202307,195926,190204,185076,180765,177221,173490,169112,164388,160049,155913,151958,148237,144666,141141,137722,134106,130145.99999999999,125991,121934,117914,114073,110506,107146,103814,100542,97361,94267,91257,88340,85526,82739,79947,77189,74509,71864,69445,67340,65444,63575,61788,59880,57734,55453,53232,51009,48921,47049,45308,43545,41803,39947,37899,35731,33599,31480,29377,27310,25278,23269,21297,19362,17464,15619,13843,12139,10544,9081,7741,6487,5318,4296,3443,2733,2107,1561,1122,795,558,384,270,183,109,50,30,24,18,12,5,2,2,0,0
1953,286400,272670,260209,258834,245389,233663,223480,214660,207094,200670,194874,189395,184256,179794,175947,171966,167514,162822,158427,154185,150150,146388,142804,139265,135829,132210,128258.00000000001,124120,120084,116091,112269,108709,105348,102017,98749,95572,92483,89479,86566,83755,80977,78203,75467,72809,70186,67779,65670,63758,61873,60068,58145,55997,53718,51495,49272,47174,45277,43501,41705,39935,38054,35986,33805,31663,29538,27441,25394,23393,21423,19497,17615,15780,14006,12308,10685,9185,7834,6616,5486,4441,3537,2798,2196,1672,1227,874,608,414,280,199,137,83,38,21,18,13,9,4,2,0,0
1954,291377,277304,264560,253047,247701,236668,226999,218536,211123,204690,199172,193961,188723,183568,178953,174797,170564,166035,161371,156917,152568,148447,144643,141045,137487,134036,130410,126464,122340,118321,114351,110545,106991,103624,100294,97027,93851,90765,87764,84854,82044,79273,76514,73799,71160,68558,66160,64045,62116,60216,58390,56453,54299,52020,49795,47569,45459,43535,41723,39896,38094,36186,34097,31900,29747,27616,25523,23494,21524,19589,17707,15878,14105,12401,10779,9235,7829,6589,5495,4486,3564,2781,2154,1658,1238,896,626,420,272,176,129,91,56,26,13,11,7,5,2,0,0
1955,299636,283939,269929,257473,246433,236673,228057,220446,213706,207700,202404,197794,193169,188169,182996,178223,173754,169265,164657,160018,155503,151042,146835,142985,139370,135793,132322,128687.99999999999,124745,120632,116629,112679,108888,105335,101963,98631,95363,92186,89100,86101,83191,80379,77613,74869,72174,69552,66968,64578.99999999999,62456,60509,58590,56744,54791,52630,50349,48120,45891,43768,41815,39966,38104,36270,34334,32223.999999999996,30010,27844,25704,23614,21602,19660,17761,15922,14145,12432,10798,9250,7786,6473,5344,4372,3486,2686,2023.0000000000002,1510,1120,804,561,377,233,128,73,59,44,29,13,4,4,2,2,0,0
1956,309047,289774,275119,262286,251079,241304,232864,225665,219016,212524,206292,200796,195918,191075,186019,180885,176071,171510,166957,162330,157704,153196,148745,144551,140715,137116,133559,130112,126502,122579,118483,114500,110570,106798,103263,99910,96595,93344,90187,87128,84158,81276,78491,75747,73019,70334,67722,65147.00000000001,62761,60636,58681,56754,54897,52933,50765,48477,46241,44008,41875,39902,38029,36147,34297,32359,30268,28091,25967,23875,21838,19883,18005,16177,14411,12723,11119,9605,8178.000000000001,6836,5642,4627,3764,2985,2288,1714,1270,933,664,466,315,195,106,59,48,36,23,10,4,2,2,0,0
1957,320398,299020,280180,266544,254865,244888,236363,229231,223439,217743,211496,205039,199344,194200,189140,184025,178925,174064,169410,164789,160142,155524,151020,146576,142392,138567,134982,131444,128020.00000000001,124429,120522,116441,112474,108561,104806,101287,97948,94649,91410,88272,85236,82293,79437,76676,73951,71237,68560,65956,63386,61002,58872,56909,54972,53104,51129,48950,46653,44408,42169,40025,38030,36131,34229,32362.000000000004,30420,28347,26205,24118,22072,20087,18189,16372,14612,12918,11317,9819,8424,7118,5895,4819,3918,3162,2487,1894,1409,1033,748,525,370,251,156,84,46,37,28,18,8,3,2,0,0
1958,332891,308294,287410,270938,258302.00000000003,247761,239001,231711,225876,221479,216728,210720,204031,198131,192717,187437,182256,177185,172271,167518,162824,158150,153535,149031,144587,140409,136592,133016,129491.99999999999,126087,122513,118617,114545,110589,106689,102945,99437,96110,92821,89592,86468,83451,80532,77697,74957,72249,69545,66873,64271,61705,59319,57183,55209,53260,51378,49389,47198,44888,42632,40385,38227,36208,34281,32356,30468,28522,26464,24354,22303,20300,18364,16519,14763,13068,11445,9927,8534,7257,6067,4963,4003,3214,2565,1994,1503,1105,797,565,387,275,189,119,63,33,27,20,13,6,2,0,0
1959,345626,318309,295263,276077,262091,250439,241022,233468,227406,222860,219854,216041,210262,203329,197216,191523,186011,180758,175706,170734,165874,161100,156392,151775,147263,142812,138633,134818,131246,127731,124339,120776,116887,112817,108866,104973,101235,97733,94412,91129,87905,84790,81789,78888,76071,73348,70653,67953,65283,62681,60114,57724,55576,53589,51626,49726,47720,45514,43189,40918,38659,36483,34437,32479,30529,28618,26663,24618,22536,20519,18556,16666,14872,13172,11541,9985,8552,7260,6098,5025,4037,3192,2513,1970,1503,1114,803,562,381,250,181,128,81,41,20,16,12,8,4,0,0
1960,357713,328680,304179,283781,267054,253567,242888,234588,228234,223397,220140,218527,215651,210093,202905,196567,190585,184834,179499,174462,169423,164449,159589,154839,150212,145686,141224,137039,133219,129645.99999999999,126134,122751,119194,115305,111233,107282,103390,99654,96154,92833,89552,86329,83218,80229,77344,74540,71830,69144,66448,63774,61169,58598,56199,54039,52036,50054,48136,46110,43884,41540,39251,36979,34781,32706.000000000004,30714,28736,26799,24833,22798,20741,18755,16830,14985,13239,11594,10024,8534,7181,5990,4944,3985,3112,2383,1815,1376,1012.9999999999999,724,501,327,198,112,86,66,43,20,7,6,4,2,0,0
1961,365898,344562,318585,296546,278076,262804,250343,240306,232405,226302,221576,218214,216302,213192,207588,200468,194110,188059,182263,176922,171905,166884,161929,157094,152375,147782,143295,138875,134723,130920.99999999999,127358,123858,120485,116945,113080,109037,105114,101248,97542,94074,90787,87539,84350,81267,78296,75422,72628,69926,67250,64566,61907,59316,56755,54358,52187,50164,48163,46226,44186,41951,39606,37317,35047,32857,30793,28820,26865,24958,23031,21049,19055,17138,15285,13524,11881,10349,8893,7519,6282,5207,4272,3424,2660,2025,1531,1151,839,602,418,273,164,92,71,54,35,16,6,4,3,1,0
1962,373382,345083,332343,309339,289694,273096,259233.99999999997,247764,238342,230818,224948,220323,216850,214637,211287,205623,198550,192154,186017,180161,174800,169791,164774,159825,155003,150303,145732,141271,136882,132753,128961.00000000001,125396,121898,118529,114995,111144,107121,103215,99366,95679,92235,88975,85753,82589,79525,76565,73696,70907,68205,65531.00000000001,62854,60203,57617,55063,52663,50474,48425,46400,44440,42380,40131,37778,35483,33211,31024,28967,27006,25070,23186,21294,19359,17424,15569,13784,12105,10559,9135,7790,6527,5403,4440,3615,2874,2217,1673,1252,930,669,481,336,219,129,72,55,42,28,12,5,3,2,0
1963,380734,354022,330595,320720,300649,283361,268605,256127,245626,236802,229643,223998,219465,215877,213360,209764,204028,196988,190542,184307,178377,172988,167978,162957,158006,153188,148498,143941,139499,135133,131020.00000000001,127228,123657,120155,116781,113249,109405,105393,101498,97660,93986,90561,87321,84117,80975,77925,74971,72100,69310,66605,63929,61254,58606,56021,53467,51060,48851,46772,44720,42733,40649,38384,36018,33713,31434,29245,27192,25240,23318,21456,19596,17704,15824,14029,12308,10707,9256,7938,6701,5548,4534,3681,2964,2330,1776,1324,975,710,501,361,255,167,96,52,39,30,20,9,4,2,2
1964,388877,363636,341087,321049,309363,292211,277271,264348,253247,243709,235474,228676,223250,218805,215098,212274,208429,202616,195603,189100,182762,176755,171330,166316,161286,156327,151509,146825,142278,137850,133504,129401.99999999999,125610,122027,118517,115138,111602,107762,103758,99872,96040,92377,88965,85743,82557,79430,76393,73441,70568,67774,65062,62381,59706,57059,54473,51918,49501,47268,45159,43078,41061,38951,36667,34286,31969,29682,27489,25438,23492,21585,19742,17911,16062.000000000002,14235,12498,10841,9315,7958,6746,5616,4571,3667,2924,2315,1786,1338,976,698,490,331,241,173,114,62,31,25,18,12,6,2,2
1965,398539,374092,351960,332007,314099,298100,283873,271283,260194.00000000003,250471,241895,234249,227806,222598,218240,214410,211277,207179,201286,194298,187737,181294,175207,169745,164722,159682,154714,149894,145212,140675,136258,131930,127838,124042,120447,116929,113541,110001,106164,102167,98286,94459,90804,87405,84199,81028,77918,74891,71941,69062,66263,63544,60858,58180,55533,52944,50388,47958,45702,43560,41448,39401,37266,34960,32564,30233,27938,25739,23688,21749,19854,18031,16228.000000000002,14421,12645,10967,9372,7923,6658,5552,4529,3592,2798,2164,1664,1241,898,628,421,269,162,120,92,62,28,11,9,7,4,2,2
1966,407769,386970,364326,343882,325484,308976,294266,281258,269493,258692,248883,240164,232260,225603,220331,216001,212113,208870,204698,198795,191838,185301,178884,172826,167394,162402,157398,152470,147683,143026,138503,134104,129794.99999999999,125718,121935,118351,114844,111464,107940,104131,100170,96323,92531,88905,85523,82326,79165,76062,73043,70102,67232,64438.99999999999,61726,59040,56361,53709,51115,48556,46119,43844,41680,39550,37486,35345,33055,30689,28391,26136,23980,21968,20072,18225,16455,14724,13011,11348,9781,8300,6966,5817,4822,3911,3084,2388,1834,1399,1034,748,525,352,224,133,99,76,51,24,9,7,5,2,2
1967,418416,393474,375821,354951,336170,319301,304174,290733,278926,267971,257445,247543,238671,230505,223626,218286,213979,210030,206673,202423,196505,189573,183055,176657,170623,165216,160249,155276,150383,145625,140986,136474,132089,127793,123730,119954,116379,112878,109503,105991,102208,98280,94464,90702,87100,83732,80541,77386,74289,71274,68338,65474.99999999999,62686,59974,57288,54604,51944,49344,46780,44331,42037,39849,37698,35614,33467,31189,28850,26584,24367,22250,20277,18420,16621,14901,13239,11619,10066,8610,7241,6021,4984,4102,3300,2582,1982,1507,1136,829,599,424,284,177,104,77,59,39,18,7,5,2,2
1968,430495,404539,381090,365148,346024,328878,313517,299746,287556,276937,266775,256512.99999999997,246504,237470,229031,221923,216509,212219,208203,204729,200397,194456,187541,181033,174647,168630,163241,158295,153345,148482,143748,139121,134615,130238,125952,121894,118123,114551,111052,107679,104175,100413,96512,92722,88987,85404,82045,78857,75704,72608,69595,66661,63801,61011,58298,55608,52916,50245,47635,45062,42600,40283,38068,35894,33788,31633,29365,27051,24813,22630,20551,18613,16794,15039,13369,11773,10244,8798,7451,6191,5084,4159,3386,2694,2083,1578,1182,875,625,451,322,217,131,75,56,43,28,13,5,2,2
1969,444024,416941,392614,370833,355071,337662,322126,308248,295814,284856,275405,266023,256005.99999999997,245875,236664,227937,220589,215091,210811,206721,203124,198703,192728,185818,179310,172926,166916,161537,156601,151669,146826,142108,137486,132977,128601,124316,120260,116487,112912,109410,106032,102532,98783,94903,91132,87417,83848,80494,77303,74147,71046,68029,65093.99999999999,62230,59436,56717,54019,51315,48629,46004,43419,40939,38595,36350,34149,32018,29849,27589,25294,23081,20929,18884,16978,15194,13482,11857,10325,8885,7544,6303,5152,4154,3340,2676,2091,1588,1178,858,615,422,305,222,149,85,46,35,26,18,8,2,2
1970,458810,430743,405615,383192,363239,345523,329809,315863,303452,292342,282603,274311,265695,255910,245639,236235,227207,219603,214013,209736,205567,201840,197321,191304,184389,177870,171477,165463,160085,155153,150229,145400,140689,136064,131548,127164,122875,118811,115031,111447,107937,104548,101044,97305,93439,89682,85981,82421,79066,75865,72702,69593,66566,63624,60753,57950,55222,52511,49789,47083,44439,41839,39336,36961,34682,32451,30291,28107,25848,23571,21378,19256,17240,15364,13611,11939,10358,8888,7534,6297,5161,4116,3228,2523,1967,1489,1092,778,534,355,219,158,122,82,40,17,13,10,7,3,2
1971,472521,447429,421457,398197,377415,358874,342385,327758,314534,302389,291222,281332,272754,263911,254075,243861,234426,225317,217650,212026,207739,203555,199812,195293,189293,182409,175924,169567,163584,158220,153292,148376,143556,138854,134240,129734.00000000001,125360,121080,117025,113256,109685,106187,102808,99315,95581,91721,87968,84270,80712,77358,74159,70996,67886,64854,61900,59015,56198,53454,50728,47994,45275,42621,40014,37508,35134,32860,30638,28494,26334,24115,21886,19748,17685,15740,13947,12289,10713,9231,7867,6627,5506,4486,3555,2769,2149,1663,1248,914,653,449,294,180,130,100,68,32,15,10,7,3,2
1972,487046,457811,436621,412711,391290,372124,354972,339691,326131,313611,301718,290480,280427,271550,262467,252569,242399,232919,223719,215978,210314,206008,201806,198042,193515,187526,180664,174203,167877,161915,156558,151630,146715,141897,137198,132587,128086.99999999999,123718,119440,115390,111627,108064,104572,101201,97712,93980,90120,86367,82666,79106,75750,72547,69381,66266,63226,60257,57352,54516,51755,49011,46258,43525,40858,38240,35728,33350,31078,28864,26732,24595,22411,20228,18142,16135.000000000002,14259,12548,10981,9501,8116,6854,5726,4723,3816,2999,2315,1778,1361,1008,737,531,365,235,141,103,79,53,25,12,7,3,2
1973,501487,471851,445261,425826,403981,384402,366851,351092,337018,324528,312714,301070,289761,279543,270366,261041,251080,240954,231430,222136,214320,208615,204293,200068,196284,191750,185772,178931,172494,166197,160256,154906,149976,145063,140247,135550,130943.00000000001,126448,122081,117807,113761,110005,106449,102964,99599,96114,92384,88524,84769,81066,77503,74145,70939,67767,64647.99999999999,61599,58614,55689,52834,50056,47294,44524,41775,39093,36466,33947,31566,29295,27088,24969,22854,20704,18567,16532,14583,12775,11146,9673,8287,6998,5841,4825,3937,3145,2441,1858,1406,1058,768,561,407,279,174,102,75,58,38,18,8,3,3
1974,514791.00000000006,484820,457873,433704,414522,394771,377059,361147,346798,333952,322546,311452,300072,288705,278332,268867,259310.99999999997,249299,239227,229670,220292,212412,206673,202337,198097,194296,189759,183798,176987,170582,164321,158410,153074,148147,143240,138432,133743,129145.99999999999,124659,120302,116035,111998,108252,104707,101233,97879,94403,90679,86823,83072,79371,75809,72452,69246,66074,62954,59899,56901,53961,51090,48296,45520,42736,39973,37281,34646,32122.999999999996,29743,27476,25278,23174,21085,18972,16883,14903,13012,11275,9730,8350,7061,5872,4820,3918,3146,2469,1881,1401,1032,754,527,383,283,194,114,63,47,36,23,11,3,3
1975,526068,495803,468545,444053,422092,402418,384794,368980,354736,341825,330227,319927,309572,298480,287077,276572,266837,257067.99999999997,247025,237028,227457,218016,210086,204322,199983,195734,191923,187393,181461,174694,168335,162123,156252,150941,146027,141137,136346,131674,127095,122627,118287,114036,110016,106288,102763,99306,95968,92508,88798,84953,81213,77521,73968,70618,67419,64251.99999999999,61137,58082,55079,52127,49248,46445,43659,40866,38096,35400,32762.999999999996,30241,27863,25606,23423,21336,19276,17206,15170,13247,11419,9756,8297,7014,5825,4735,3791,3004,2350,1790,1317,940,656,449,285,205,159,108,53,24,19,15,10,3,3
1976,541269,510772,482623,457254,434425,413900,395482,378972,363938,350067,337236,325629,315189,304764,293787,282612,272247,262600,252943,243052,233228,223817,214531,206726,201039,196742,192533,188758,184240,178290,171485,165085,158826,152922,147603,142701,137820,133040,128388,123833,119399,115096,110885,106916,103251,99796,96412,93144,89758,86126,82361,78697,75084,71586,68255,65054,61885,58766,55710,52712,49771,46900,44106,41340,38585,35864,33221,30643,28181,25862,23662,21543,19526,17546,15571,13641,11825,10105,8560,7235,6093,5040,4088,3265,2575,2001.9999999999998,1514,1113,799,557,376,236,170,131,89,44,20,15,10,5,3
1977,554914,523431.00000000006,494546,468582,445161,424048,405008,387886,372527,358305,344830,332102,320500,309935,299453,288610,277681,267475,257930,248400,238677,229043,219809,210693,203025,197424,193175,189012,185278,180778,174819,167988,161555,155258,149329,144010,139127,134263,129502.99999999999,124875,120353,115957,111698,107535,103622,100026,96648,93341,90150,86843,83297,79617,76036,72508,69071,65766,62565,59400,56282,53228,50238,47312,44455,41672,38932,36219,33553,30967,28454,26056,23797,21659,19609,17665,15769,13893,12074,10369,8760,7337,6149,5150,4240,3427,2729,2139,1647,1232,906,654,456,302,186,135,104,71,35,16,10,5,3
1978,564443,532607,503861,476503,452829,431450,412137,394659,378903,364756,351401,338371,325789,314234,303578,293074,282403,271762,261748,252339,242970,233450,224041,215015,206104,198599,193104,188917,184815,181135,176669,170721,163885,157444,151130,145197,139897,135049,130219,125494,120907,116434,112093,107892,103792,99949,96435,93147,89928,86825,83610,80162,76581,73096,69665,66300,63032,59844,56692,53586,50545,47575,44673,41839,39079,36373,33711,31110,28592,26151,23825,21637,19569,17593,15730,13926,12155,10452,8867,7375,6081,5034,4184,3419,2750,2179,1692,1283,944,693,506,353,225,135,99,76,51,25,11,5,5
