Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.16008527,0.01489394,0.01489394,0.01489394,0.01489394,0.00313472,0.00313472,0.00313472,0.00313472,0.00313472,0.00128387,0.00128387,0.00128387,0.00128387,0.00128387,0.0021954,0.0021954,0.0021954,0.0021954,0.0021954,0.00313733,0.00313733,0.00313733,0.00313733,0.00313733,0.00368081,0.00368081,0.00368081,0.00368081,0.00368081,0.00409456,0.00409456,0.00409456,0.00409456,0.00409456,0.00463996,0.00463996,0.00463996,0.00463996,0.00463996,0.0054674,0.0054674,0.0054674,0.0054674,0.0054674,0.00681407,0.00681407,0.00681407,0.00681407,0.00681407,0.00900674,0.00900674,0.00900674,0.00900674,0.00900674,0.01261339,0.01261339,0.01261339,0.01261339,0.01261339,0.01932179,0.01932179,0.01932179,0.01932179,0.01932179,0.0314773,0.0314773,0.0314773,0.0314773,0.0314773,0.05046712,0.05046712,0.05046712,0.05046712,0.05046712,0.07956382,0.07956382,0.07956382,0.07956382,0.07956382,0.12300417,0.12300417,0.12300417,0.12300417,0.12300417,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.26763278,0.26763278,0.26763278,0.26763278,0.26763278,0.36976226,0.36976226,0.36976226,0.36976226,0.36976226,0.47474702
1951,0.16008527,0.01489394,0.01489394,0.01489394,0.01489394,0.00313472,0.00313472,0.00313472,0.00313472,0.00313472,0.00128387,0.00128387,0.00128387,0.00128387,0.00128387,0.0021954,0.0021954,0.0021954,0.0021954,0.0021954,0.00313733,0.00313733,0.00313733,0.00313733,0.00313733,0.00368081,0.00368081,0.00368081,0.00368081,0.00368081,0.00409456,0.00409456,0.00409456,0.00409456,0.00409456,0.00463996,0.00463996,0.00463996,0.00463996,0.00463996,0.0054674,0.0054674,0.0054674,0.0054674,0.0054674,0.00681407,0.00681407,0.00681407,0.00681407,0.00681407,0.00900674,0.00900674,0.00900674,0.00900674,0.00900674,0.01261339,0.01261339,0.01261339,0.01261339,0.01261339,0.01932179,0.01932179,0.01932179,0.01932179,0.01932179,0.0314773,0.0314773,0.0314773,0.0314773,0.0314773,0.05046712,0.05046712,0.05046712,0.05046712,0.05046712,0.07956382,0.07956382,0.07956382,0.07956382,0.07956382,0.12300417,0.12300417,0.12300417,0.12300417,0.12300417,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.26763278,0.26763278,0.26763278,0.26763278,0.26763278,0.36976226,0.36976226,0.36976226,0.36976226,0.36976226,0.47474702
1952,0.16008527,0.01489394,0.01489394,0.01489394,0.01489394,0.00313472,0.00313472,0.00313472,0.00313472,0.00313472,0.00128387,0.00128387,0.00128387,0.00128387,0.00128387,0.0021954,0.0021954,0.0021954,0.0021954,0.0021954,0.00313733,0.00313733,0.00313733,0.00313733,0.00313733,0.00368081,0.00368081,0.00368081,0.00368081,0.00368081,0.00409456,0.00409456,0.00409456,0.00409456,0.00409456,0.00463996,0.00463996,0.00463996,0.00463996,0.00463996,0.0054674,0.0054674,0.0054674,0.0054674,0.0054674,0.00681407,0.00681407,0.00681407,0.00681407,0.00681407,0.00900674,0.00900674,0.00900674,0.00900674,0.00900674,0.01261339,0.01261339,0.01261339,0.01261339,0.01261339,0.01932179,0.01932179,0.01932179,0.01932179,0.01932179,0.0314773,0.0314773,0.0314773,0.0314773,0.0314773,0.05046712,0.05046712,0.05046712,0.05046712,0.05046712,0.07956382,0.07956382,0.07956382,0.07956382,0.07956382,0.12300417,0.12300417,0.12300417,0.12300417,0.12300417,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.26763278,0.26763278,0.26763278,0.26763278,0.26763278,0.36976226,0.36976226,0.36976226,0.36976226,0.36976226,0.47474702
1953,0.16008527,0.01489394,0.01489394,0.01489394,0.01489394,0.00313472,0.00313472,0.00313472,0.00313472,0.00313472,0.00128387,0.00128387,0.00128387,0.00128387,0.00128387,0.0021954,0.0021954,0.0021954,0.0021954,0.0021954,0.00313733,0.00313733,0.00313733,0.00313733,0.00313733,0.00368081,0.00368081,0.00368081,0.00368081,0.00368081,0.00409456,0.00409456,0.00409456,0.00409456,0.00409456,0.00463996,0.00463996,0.00463996,0.00463996,0.00463996,0.0054674,0.0054674,0.0054674,0.0054674,0.0054674,0.00681407,0.00681407,0.00681407,0.00681407,0.00681407,0.00900674,0.00900674,0.00900674,0.00900674,0.00900674,0.01261339,0.01261339,0.01261339,0.01261339,0.01261339,0.01932179,0.01932179,0.01932179,0.01932179,0.01932179,0.0314773,0.0314773,0.0314773,0.0314773,0.0314773,0.05046712,0.05046712,0.05046712,0.05046712,0.05046712,0.07956382,0.07956382,0.07956382,0.07956382,0.07956382,0.12300417,0.12300417,0.12300417,0.12300417,0.12300417,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.26763278,0.26763278,0.26763278,0.26763278,0.26763278,0.36976226,0.36976226,0.36976226,0.36976226,0.36976226,0.47474702
1954,0.16008527,0.01489394,0.01489394,0.01489394,0.01489394,0.00313472,0.00313472,0.00313472,0.00313472,0.00313472,0.00128387,0.00128387,0.00128387,0.00128387,0.00128387,0.0021954,0.0021954,0.0021954,0.0021954,0.0021954,0.00313733,0.00313733,0.00313733,0.00313733,0.00313733,0.00368081,0.00368081,0.00368081,0.00368081,0.00368081,0.00409456,0.00409456,0.00409456,0.00409456,0.00409456,0.00463996,0.00463996,0.00463996,0.00463996,0.00463996,0.0054674,0.0054674,0.0054674,0.0054674,0.0054674,0.00681407,0.00681407,0.00681407,0.00681407,0.00681407,0.00900674,0.00900674,0.00900674,0.00900674,0.00900674,0.01261339,0.01261339,0.01261339,0.01261339,0.01261339,0.01932179,0.01932179,0.01932179,0.01932179,0.01932179,0.0314773,0.0314773,0.0314773,0.0314773,0.0314773,0.05046712,0.05046712,0.05046712,0.05046712,0.05046712,0.07956382,0.07956382,0.07956382,0.07956382,0.07956382,0.12300417,0.12300417,0.12300417,0.12300417,0.12300417,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.18484560000000003,0.26763278,0.26763278,0.26763278,0.26763278,0.26763278,0.36976226,0.36976226,0.36976226,0.36976226,0.36976226,0.47474702
1955,0.13604112,0.01210133,0.01210133,0.01210133,0.01210133,0.00229885,0.00229885,0.00229885,0.00229885,0.00229885,0.00089443,0.00089443,0.00089443,0.00089443,0.00089443,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0024009,0.0024009,0.0024009,0.0024009,0.0024009,0.00282641,0.00282641,0.00282641,0.00282641,0.00282641,0.00313379,0.00313379,0.00313379,0.00313379,0.00313379,0.00356562,0.00356562,0.00356562,0.00356562,0.00356562,0.00426511,0.00426511,0.00426511,0.00426511,0.00426511,0.00545445,0.00545445,0.00545445,0.00545445,0.00545445,0.00738221,0.00738221,0.00738221,0.00738221,0.00738221,0.01058928,0.01058928,0.01058928,0.01058928,0.01058928,0.01652312,0.01652312,0.01652312,0.01652312,0.01652312,0.02744826,0.02744826,0.02744826,0.02744826,0.02744826,0.04495612,0.04495612,0.04495612,0.04495612,0.04495612,0.07222146,0.07222146,0.07222146,0.07222146,0.07222146,0.11376935,0.11376935,0.11376935,0.11376935,0.11376935,0.17418943,0.17418943,0.17418943,0.17418943,0.17418943,0.25647685,0.25647685,0.25647685,0.25647685,0.25647685,0.3603792,0.3603792,0.3603792,0.3603792,0.3603792,0.46829844
1956,0.13604112,0.01210133,0.01210133,0.01210133,0.01210133,0.00229885,0.00229885,0.00229885,0.00229885,0.00229885,0.00089443,0.00089443,0.00089443,0.00089443,0.00089443,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0024009,0.0024009,0.0024009,0.0024009,0.0024009,0.00282641,0.00282641,0.00282641,0.00282641,0.00282641,0.00313379,0.00313379,0.00313379,0.00313379,0.00313379,0.00356562,0.00356562,0.00356562,0.00356562,0.00356562,0.00426511,0.00426511,0.00426511,0.00426511,0.00426511,0.00545445,0.00545445,0.00545445,0.00545445,0.00545445,0.00738221,0.00738221,0.00738221,0.00738221,0.00738221,0.01058928,0.01058928,0.01058928,0.01058928,0.01058928,0.01652312,0.01652312,0.01652312,0.01652312,0.01652312,0.02744826,0.02744826,0.02744826,0.02744826,0.02744826,0.04495612,0.04495612,0.04495612,0.04495612,0.04495612,0.07222146,0.07222146,0.07222146,0.07222146,0.07222146,0.11376935,0.11376935,0.11376935,0.11376935,0.11376935,0.17418943,0.17418943,0.17418943,0.17418943,0.17418943,0.25647685,0.25647685,0.25647685,0.25647685,0.25647685,0.3603792,0.3603792,0.3603792,0.3603792,0.3603792,0.46829844
1957,0.13604112,0.01210133,0.01210133,0.01210133,0.01210133,0.00229885,0.00229885,0.00229885,0.00229885,0.00229885,0.00089443,0.00089443,0.00089443,0.00089443,0.00089443,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0024009,0.0024009,0.0024009,0.0024009,0.0024009,0.00282641,0.00282641,0.00282641,0.00282641,0.00282641,0.00313379,0.00313379,0.00313379,0.00313379,0.00313379,0.00356562,0.00356562,0.00356562,0.00356562,0.00356562,0.00426511,0.00426511,0.00426511,0.00426511,0.00426511,0.00545445,0.00545445,0.00545445,0.00545445,0.00545445,0.00738221,0.00738221,0.00738221,0.00738221,0.00738221,0.01058928,0.01058928,0.01058928,0.01058928,0.01058928,0.01652312,0.01652312,0.01652312,0.01652312,0.01652312,0.02744826,0.02744826,0.02744826,0.02744826,0.02744826,0.04495612,0.04495612,0.04495612,0.04495612,0.04495612,0.07222146,0.07222146,0.07222146,0.07222146,0.07222146,0.11376935,0.11376935,0.11376935,0.11376935,0.11376935,0.17418943,0.17418943,0.17418943,0.17418943,0.17418943,0.25647685,0.25647685,0.25647685,0.25647685,0.25647685,0.3603792,0.3603792,0.3603792,0.3603792,0.3603792,0.46829844
1958,0.13604112,0.01210133,0.01210133,0.01210133,0.01210133,0.00229885,0.00229885,0.00229885,0.00229885,0.00229885,0.00089443,0.00089443,0.00089443,0.00089443,0.00089443,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0024009,0.0024009,0.0024009,0.0024009,0.0024009,0.00282641,0.00282641,0.00282641,0.00282641,0.00282641,0.00313379,0.00313379,0.00313379,0.00313379,0.00313379,0.00356562,0.00356562,0.00356562,0.00356562,0.00356562,0.00426511,0.00426511,0.00426511,0.00426511,0.00426511,0.00545445,0.00545445,0.00545445,0.00545445,0.00545445,0.00738221,0.00738221,0.00738221,0.00738221,0.00738221,0.01058928,0.01058928,0.01058928,0.01058928,0.01058928,0.01652312,0.01652312,0.01652312,0.01652312,0.01652312,0.02744826,0.02744826,0.02744826,0.02744826,0.02744826,0.04495612,0.04495612,0.04495612,0.04495612,0.04495612,0.07222146,0.07222146,0.07222146,0.07222146,0.07222146,0.11376935,0.11376935,0.11376935,0.11376935,0.11376935,0.17418943,0.17418943,0.17418943,0.17418943,0.17418943,0.25647685,0.25647685,0.25647685,0.25647685,0.25647685,0.3603792,0.3603792,0.3603792,0.3603792,0.3603792,0.46829844
1959,0.13604112,0.01210133,0.01210133,0.01210133,0.01210133,0.00229885,0.00229885,0.00229885,0.00229885,0.00229885,0.00089443,0.00089443,0.00089443,0.00089443,0.00089443,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0016699000000000002,0.0024009,0.0024009,0.0024009,0.0024009,0.0024009,0.00282641,0.00282641,0.00282641,0.00282641,0.00282641,0.00313379,0.00313379,0.00313379,0.00313379,0.00313379,0.00356562,0.00356562,0.00356562,0.00356562,0.00356562,0.00426511,0.00426511,0.00426511,0.00426511,0.00426511,0.00545445,0.00545445,0.00545445,0.00545445,0.00545445,0.00738221,0.00738221,0.00738221,0.00738221,0.00738221,0.01058928,0.01058928,0.01058928,0.01058928,0.01058928,0.01652312,0.01652312,0.01652312,0.01652312,0.01652312,0.02744826,0.02744826,0.02744826,0.02744826,0.02744826,0.04495612,0.04495612,0.04495612,0.04495612,0.04495612,0.07222146,0.07222146,0.07222146,0.07222146,0.07222146,0.11376935,0.11376935,0.11376935,0.11376935,0.11376935,0.17418943,0.17418943,0.17418943,0.17418943,0.17418943,0.25647685,0.25647685,0.25647685,0.25647685,0.25647685,0.3603792,0.3603792,0.3603792,0.3603792,0.3603792,0.46829844
