Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,152469,143878,136506,130233,124941,120512,116827,113766,111212,109047,107280,105923,104210,101761,98848,96102,93374,90690,88119,85587,83068,80713,77839,74150,70046,66089,62010,59049,57830,57720,57551,57666,57080,55220,52620,50252,47760,46134,45913,46515,46990,47732,47316,45005,41572,38322,34741,32594,32809,34416,35728,37332,37301,34588,30238,26235,22048,19075,18170,18576,18720,18962,18757,17690,16101,14715,13354,12233,11520,11058,10557,10124,9454,8383,7088,5878,4656,3752,3354,3283,3193,3168,3025,2642,2122,1679,1261,947,794,748,749,699,619,512,375,284,250,208,156,96,188
1951,175148,148533,140038,132952,127109,122342,118549,115632,113089,110617,108252,106341,104833,102988,100479,97547,94747,91948,89204,86591,84031,81488,79112,76236,72572,68511,64602.00000000001,60577,57675,56515,56465,56360,56541,56021,54228,51693,49389,46961,45389,45204,45832,46330,47087,46695,44421,41032,37821,34281,32150,32345,33909,35178,36731,36677,33983,29679,25715,21570,18613,17682,18034,18130,18321,18079,17000,15415,14031,12678,11553,10818,10322,9794,9332,8664,7641,6424,5291,4151,3307,2923,2841,2745,2712,2581,2244,1789,1402,1045,786,657,614,612,570,504,416,304,192,160,120,74,147
1952,193217,171037,144248,135869,129086.99999999999,123686,119451,116302,114157,112133,109750,107192,105143,103487,101517,98953,96010,93164,90301,87505,84856,82275,79713,77322,74453,70822,66813,62962,59002,56164,55066,55076,55035,55281,54829,53107,50643,48408,46050,44535,44387,45038,45558,46329,45961,43730,40394,37229,33739,31630,31803,33320,34543,36043,35964,33296,29049,25134,21041,18108,17152,17451,17498,17638,17360,16271.999999999998,14695,13317,11974,10848,10092,9565,9012,8521,7856,6884,5748,4693,3640,2855,2487,2394,2294,2252,2133,1842,1455,1123,827,624,519,479,475,441,389,320,233,121,91,57,113
1953,206702,181138,160189,140340,132056,125558,120583,116869,114351,112968,111456,109155,106399,104208,102402,100301,97677,94715,91817,88884,86028,83338,80729,78144,75732,72860,69254,65289,61485,57579,54799,53760,53830,53852,54164,53778,52121,49721,47550,45257,43794,43683,44359,44901,45689,45344,43150,39857,36732,33282,31189,31341,32815,33997,35446,35343,32695,28493,24617,20566,17649,16667,16913,16912,17002,16687,15587,14014,12639,11303,10174,9395,8836,8256,7736,7072,6149,5090,4110,3140,2413,2060,1955,1850,1800,1693,1447,1125,848,612,465,383,346,339,313,275,225,163,68,42,86
1954,215691,189362,167656,150138,136961,128740.00000000001,122503,117936,114728,112833,112206,111202,108973,106009,103668,101704,99465,96771,93779,90817,87803,84877,82134,79489,76869,74427,71544,67948,64010.99999999999,60240,56373,53641,52657,52787,52873,53251,52929,51332,48988,46872,44635,43219,43144,43847,44414,45221,44898,42733,39471,36373,32951,30866,30999,32435.000000000004,33579,34983,34855,32217,28045,24194,20169,17257,16245.000000000002,16439,16390,16430,16077.000000000002,14962,13386,12008,10675,9538,8733,8140.000000000001,7530,6979,6314,5436,4450,3543,2652,1980,1640,1523,1413,1355,1259,1057,800,576,400,307,248,214,204,186,162,131,93,31,64
1955,220301,195757,175210,158298,144660,133933,125754,119762,115593,112886,111613,111747,111250,109089,105907,103407,101280,98896,96123,93093,90059,86955,83950,81147,78457,75796,73317,70413,66818,62899,59151,55313,52622,51690,51881,52031,52477,52220,50678,48384,46318,44131,42759,42719,43452,44045,44873,44571,42430,39190,36111,32707,30626,30738,32141,33249,34613,34460,31824,27671,23833,19825,16910,15865,16006,15910,15898,15507,14372,12791,11406,10072,8924,8090,7461,6820,6236,5568,4732,3818,2981,2167,1550,1222,1093,976,910,825,668,474,304,187,149,114,82,69,60,49,36,23,48
1956,218505,211435,190038,171731,156284,143465,132935,124359,118031,113930,111509,110217,110136,109463,107233,104050,101509,99319,96915,94183,91236,88287,85274,82364,79655,77055,74489,72109,69292,65767,61903,58211,54427,51774,50863,51063,51219,51663,51414,49900,47644,45612,43459,42105,42056,42763,43330,44126,43811,41690,38489,35445,32082,30009,30076,31401,32439,33723,33531,30924,26839,23062,19122,16242,15173,15257,15112,15052,14631,13503,11951,10594,9292,8172.000000000001,7354,6736,6112,5543,4913,4150,3328,2580,1860,1315,1024,909,815,757,683,550,387,247,152,121,92,66,44,35,26,17,35
1957,215381,200350,203829,185439,169256,155177,143098,132705,123684,116986,112930,110779,109460,109165,108314,106001,102799,100203,97938,95499,92792,89913,87031,84091,81259,78627,76102,73617,71320,68575,65098,61268,57609,53856,51228,50333,50543,50705,51149,50907,49412,47182,45171,43040,41696,41637,42322,42867,43635,43306,41193,38013,34985,31645,29568,29590,30846,31819,33031,32800,30205,26165,22428,18532,15670,14573,14599,14405,14296,13844,12716,11184,9847,8569,7470,6663,6053,5442,4885,4289,3594,2860,2197,1566,1089,833,731,660,609,545,436,303,191,119,94,72,51,26,19,12,27
1958,212149,202623,192915,196681,181264,167172,154431,143067,132787,123299,116214,112193,110308,108959,108448,107416,105015,101786,99130,96784,94305,91617,88797,85976,83103,80343,77781,75326,72915,70698,68016,64581,60775,57141,53411,50801,49920,50140,50308,50754,50518,49039,46829,44836,42722,41384,41315,41980,42504,43246,42901,40791,37624,34607,31280,29194,29172,30362,31272,32415,32144,29556,25551,21844,17985,15133,14004,13974,13730,13571,13088,11957,10442,9121,7865,6784,5987,5383,4783,4237,3674,3045,2397,1818,1274,865,644,554,505,463,409,323,219,136,86,68,51,36,14,9,20
1959,210492,205389,198940,191379,189416,176992,165007,153617,142975,132812,122859,115389,111404,109787,108409,107682,106468,103980,100726,98009,95583,93064,90397,87638,84879,82075,79388,76898,74514,72179,70042,67426,64033,60254,56647,52941,50350,49483,49714,49889,50336,50106,48644,46454,44479,42384,41053,40974,41618,42121,42836,42476,40370,37218,34212,30901,28807,28739,29863,30709,31783,31471,28891,24923,21248,17427,14588,13428,13339,13046,12837,12322,11189,9692,8388,7154,6093,5305,4707,4119,3584,3055,2492,1931,1436,980,639,453,376,350,315,272,209,135,80,52,41,31,21,7,16
1960,212202,209301,204532,198179,190525,181854,172449,162595,152575,142674,132643,122238,114393,110450,109105,107699,106756,105362,102791,99515,96742,94239,91685,89041,86348,83655,80924,78314,75900,73591,71335,69282,66736,63391,59644,56068,52393,49825,48973,49214,49395,49842,49620,48176,46011,44057,41983,40661,40572,41195,41675,42363,41988,39889,36756,33766,30476,28377,28264,29318,30100,31102,30750,28182,24257,20620,16843,14020,12830,12684,12342,12083,11536,10402,8925,7640,6431,5390,4613,4022.9999999999995,3448,2924,2429,1934,1461,1051,684,412,261,197,194,167,134,95,50,24,19,14,10,6,13
1961,218735,209788,205983,200908,194725,187598,179833,171736,162756,152768,142367,132033,121391,113296,109130,107583,105950,104753,103217,100679,97555,94926,92578,90189,87709,85174,82652,80106,77632,75276,72973,70726,68672,66134,62817,59109,55562,51909,49358,48516,48762,48946,49394,49172,47730,45567,43613,41539,40209,40102,40699,41151,41806,41411,39314,36194,33215,29944,27830,27650,28606,29296,30200,29795,27247,23390,19814,16107,13323,12116,11920,11540,11244,10686,9583,8164.999999999999,6936,5785,4801,4075,3531,3005,2531,2088,1651,1238,880,569,346,220,164,159,137,110,78,41,17,13,9,5,10
1962,229228,222461,206948,202246,196875,190876,184291,177448,170674,162584,152650,141770,131153,120297,111969,107587,105842,103986,102537,100863,98363,95396,92917,90729,88511,86198,83826,81481,79126,76792,74499,72206,69972,67923,65397.00000000001,62114,58454,54943,51319,48791,47961,48212,48399,48845,48623,47186,45031,43081,41011,39676,39549,40119,40544,41164,40749,38658,35558,32597,29351,27227,26979,27836,28433,29236,28779,26257,22474,18967,15339,12600,11379,11133,10715,10383,9814,8744,7388,6217,5128,4203,3528,3032,2556,2133,1744,1365,1012.9999999999999,706,453,280,179,131,124,107,85,60,32,13,9,5,8
1963,241912,230573,220036,203990,198397,192734,186921,180881,174961,169511,162315,152440,141088,130196,119133,110578,105983,104042,101964,100265,98454,95995,93186,90858,88830,86784,84640,82432,80263,78100,75908,73679,71398,69179,67134,64622,61377,57765,54292,50700,48195,47378,47633,47823,48268,48047,46616,44468,42524,40459,39120,38975,39518,39914,40498,40064,37981,34902,31960,28742,26610,26295,27051,27555,28257,27748,25254,21548,18111,14564,11872,10636,10341,9886,9517,8939,7903,6609,5497,4469,3604,2981,2532,2108,1734,1399,1080,788,533,337,213,138,98,89,76,61,43,22,9,4,6
1964,254252,238800,225372,213736,201361,194871,188907,183271,177764,172756,168619,162304,152471,140632,129448.00000000001,118161,109365,104551,102411,100107,98156,96207,93782,91128,88947,87075,85197,83218,81171,79176,77199,75146,72977,70705,68496,66454,63951,60737,57169,53728,50163,47678,46872,47132,47324,47769,47548,46121,43978,42035,39973,38627,38463,38980,39348,39898,39444,37365,34303,31376,28180,26035,25653,26311,26723,27325,26764,24293,20658,17286,13814,11163,9912,9567,9075,8669,8080,7075,5841,4787,3819,3012,2440,2037.9999999999998,1663,1339,1057,796,564,361,222,147,97,64,55,46,37,26,13,4,5
1965,264343,246496,231378,218669,208048,199194,191789,185510,180038,175053,170948,168117,162669,152856,140501,128997.99999999999,117460,108404,103358,101013,98480,96271,94177,91783,89277,87238,85519,83806,81987,80096,78269,76477,74557,72443,70174,67971,65926,63428,60238,56705,53288,49740,47270,46473,46738,46934,47379,47158,45731,43588,41644,39578,38223,38040,38531,38872,39390,38915,36834,33783,30863,27682,25520,25070,25630,25951,26455,25839,23386,19813,16499,13094,10479,9209,8813,8283,7839,7237,6263,5086,4086.9999999999995,3176,2425,1903,1547,1221,946,717,514,341,190,107,82,56,31,20,16,13,8,4,4
1966,269391,257403.00000000003,241490,227836,216182,206268,197793,190454,184203,178864,174052,169952,167006,161457,151605,139246,127704,116108,107002,101922,99559,97007,94777,92697,90368,87959,86016,84400,82771,81000,79134,77338,75577,73685,71595,69346,67160,65126.00000000001,62648,59495,56008,52631,49125,46680,45885,46136,46316,46740,46506,45081,42947,41007,38947,37581,37359,37796,38082,38538,38023,35939,32904,29999,26845,24670,24141,24588,24806,25200,24538,22137,18680,15475,12191,9664,8420,8012,7482,7040,6465,5561,4481,3572,2751,2079,1616,1304,1020.9999999999999,792,600,429,281,155,88,67,46,26,16,12,8,4,4
1967,272565,256180.99999999997,251278,237243,225006,214368,205128,197003,189708,183465,178243,173588,169482,166411,160744,150823,138423,126807,115116,105933,100805,98415,95837,93579,91507,89235,86916,85062,83545,81993,80266,78418,76648,74913,73043,70969,68734,66557,64528.00000000001,62063,58937,55484,52139,48664,46236,45440,45676,45842,46247,45999,44571,42439,40499,38438,37056,36795,37179,37412,37808,37252,35157,32128.999999999996,29230,26093,23898,23290,23624,23741,24028,23317,20961,17608,14502,11329,8882,7659,7238,6708,6265,5716,4878,3892,3069,2336,1741,1334,1066,825,640,486,346,222,120,69,53,36,20,11,7,3,3
1968,274930,260973,248565,245598,233418,222578,212937,204356,196567,189303,183057,177941,173436,169316,166116,160320,150311,137848,126136,114331,105054,99868,97448,94838,92548,90480,88262,86027,84261,82838,81363,79675,77843,76094,74383,72531,70470,68244,66074,64046.00000000001,61589,58485,55060,51740,48289,45875,45076,45299,45450,45836,45574,44140,42008,40062,37998,36597,36297,36628,36808,37145,36546,34437,31412,28514,25388,23169,22480,22703,22718,22897,22137,19821,16566,13554,10487,8115,6911,6476,5945,5501,4976,4204,3309,2572,1925,1405,1055,830,631,490,373,264,164,86,50,38,26,14,7,3,3
1969,278079,266248,255291,245137,239903,229583,220143,211504,203583,196131,188898,182649,177640,173284,169150,165820,159896,149799,137272,125465,113545,104173,98928,96478,93837,91515,89451,87286,85137,83457,82130,80731,79082,77266,75540,73852,72017,69970,67754,65589,63563,61115,58032,54636,51340,47913,45513,44711,44921,45057,45424,45148,43709,41575,39625,37557,36138,35798,36076,36202,36480,35839,33716,30692,27795,24680,22437,21668,21778,21691,21764,20953,18678,15522,12603,9642,7346,6161,5712,5179,4734,4233,3527,2724,2073,1512,1068,775,593,436,339,260,181,105,51,32,24,16,9,3,3
1970,283243,272386,262053,252224,242876,233989,225543,217515,209886,202634,195526,188331,182084,177187,172984,168839,165382,159334,149158,136578,124684,112659,103201,97902,95423,92753,90401,88343,86233,84172,82581,81351,80028,78421,76622,74919,73256,71442,69409,67204,65048,63024,60587,57528,54163,50895,47495,45111,44308,44503,44624,44973,44682,43239,41106,39153,37082,35646,35267,35491,35565,35783,35099,32964,29944,27050,23950,21685,20835,20833,20644,20609,19749,17516,14461,11640,8787,6568,5404,4941,4408,3962,3486,2847,2136,1572,1098,730,493,355,240,187,146,99,46,16,13,10,6,3,3
1971,290853,279082,268535,258625,249298,240495,232215,224452,216886,209351,201952,194727,187394,181021,176054,171815,167601,164054,157934,147719,135122,123214,111179,101722,96434,93975,91333,89012,87003,84967,82995,81493,80355,79114,77566,75812,74155,72536,70755,68742,66547,64397.99999999999,62377,59944,56895,53543,50284,46892,44513,43713,43911,44031,44374,44080,42641,40514,38563,36498,35041,34600,34738,34727,34853,34107,31960,28958,26081,23012,20739,19815,19703,19420,19284,18396,16248.000000000002,13350,10677,7985,5894,4796,4359,3865,3456,3028,2457,1825,1324,919,616,416,294,197,154,120,81,37,14,10,7,3,3
1972,300357,287602,274801,264567,255085,246263,238010,230338,223264,216161,208724,201181,193842,186374,179878,174844,170571,166289,162653,156465,146215,133607,121689,109651,100198,94923,92487,89873,87584,85625,83664,81782,80371,79325,78165,76678,74969,73357,71784,70037,68045,65861,63720,61702,59274,56237,52900,49652,46267,43895,43100,43299,43419,43755,43459,42025,39903,37956,35898,34420,33918,33970,33875,33908,33101,30942,27960,25101,22065,19785,18787,18566,18187,17951,17036,14973,12232,9710,7180,5218,4185,3776,3320,2949,2569,2066,1514,1077,741,501,339,234,154,121,94,63,29,12,7,3,3
1973,311080,296301,282940,270509,260589,251535,243220,235515,228452,222065,215425,208087,200402,192948,185347,178728,173626,169320,164970,161246,154990,144705,132087,120160,108118,98671,93410,90995,88410,86153,84244,82358,80566,79245,78293,77213,75786,74123,72557,71029,69317,67345,65173,63040,61025,58603,55577,52255,49017,45642,43276,42485,42687,42805,43135,42836,41407,39292,37348,35297,33799,33235,33201,33022,32963,32093.000000000004,29923,26961,24121,21118,18831,17759,17428,16955,16619,15676,13699,11116,8744,6375,4542,3576,3194,2776,2443,2111,1676,1203,829,562,387,262,174,112,88,68,46,21,9,4,3
1974,322056,305426,290655,277570,266398,256785.00000000003,248153,240337,233176,226717,221012,214832,207587,199754,192181,184441,177696,172524,168181,163760,159945,153617,143291,130655,118711,106658,97210,91958,89564,87006,84779,82920,81107,79404,78172,77312,76312,74945,73325,71805,70321,68642,66690,64528.00000000001,62401,60388,57970,54954,51644,48416,45046,42686,41898,42102,42219,42544,42242,40816,38706,36765,34719,33200,32573.999999999996,32454,32189.999999999996,32040,31108,28925,25981,23157,20185,17890,16743,16303,15735,15299,14328,12435,10007,7784,5575,3869,2969,2613,2234,1938,1654,1287,893,582,384,273,185,114,69,55,42,28,13,4,3
1975,332501,314722,299034,285238,273135,262526,253211,244993,237671,231047,225188,220161,214434,207277,199288,191589,183703,176825,171577,167193,162698,158789,152383,142007,129341.00000000001,117369,105293,95836,90589,88213,85679,83481,81669,79929,78313,77169,76400,75480,74171,72594,71118,69677,68030,66095,63940,61819,59806,57390,54380,51080,47857,44491,42134,41349,41555,41672,41990,41686,40262,38156,36215,34172,32630.000000000004,31942,31736,31388,31145,30149,27952,25023,22213,19269,16964,15742,15191,14527,13991,12991,11180,8906,6830,4780,3199,2364,2035.0000000000002,1693,1434,1198,899,583,336,206,159,108,54,27,22,16,10,4,3
1976,340713,326486,310127,295554,282602,271107,260887.99999999997,251764,243651,236419,229853,223943,218777,212929,205717,197713,189969,182021,175096,169826,165440,160946,157039,150666,140368,127809,115945,103985,94627,89450,87122,84641,82493,80729,79034,77461,76355,75620,74724,73425,71850,70373,68930,67279,65340.99999999999,63184,61056,59034,56621,53638,50378,47190,43860,41520,40724,40900,40985,41268,40928,39476,37344,35374,33306,31718,30955,30658,30224,29890,28841,26647,23760,20993,18109,15833,14585,13981,13278,12698,11721,10035,7949,6052,4189,2759,2007.0000000000002,1718,1431,1212,1008,754,483,275,170,131,89,44,23,17,11,5,3
1977,348474,330869,320937,305971,292490,280361,269456,259612.00000000003,250665,242647,235494,228977,223008,217696,211720,204443,196414,188613,180593,173612,168313,163919,159419,155508,149160,138926,126457,114685,102823,93551,88436,86154,83721,81621,79902,78251,76718,75648,74946,74073,72783,71206,69727,68279,66623,64679,62516,60380,58344,55932,52972,49747,46590,43291,40966,40157,40303,40357,40604,40230,38747,36585,34584,32488,30853,30014,29626,29104,28680,27576,25384,22533,19805,16977,14727,13452,12794,12051,11428,10471,8907,7006,5286,3607,2324,1655,1405,1172,992,821,609,384,215,134,103,70,35,18,11,5,4
