Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,170257.0,157226.0,146106.0,136727.0,128919.99999999999,122517.99999999999,117353.0,113257.0,110061.0,107596.0,105852.0,104817.0,103539.0,101539.0,99116.0,97047.00000000001,95167.99999999999,93287.0,91386.00000000001,89466.00000000001,87562.99999999999,85685.0,83713.0,81592.0,79382.0,77188.0,74981.00000000001,72859.0,70880.0,68995.0,67100.0,65217.0,63318.00000000001,61375.0,59412.0,57480.0,55575.0,53669.0,51756.0,49851.00000000001,47980.0,46141.00000000001,44354.0,42635.0,40979.0,39357.0,37766.0,36269.0,34891.99999999999,33601.0,32328.000000000004,31064.0,29851.999999999996,28701.0,27578.000000000004,26482.0,25461.0,24226.999999999996,22653.000000000004,20890.0,19189.0,17465.999999999996,16034.000000000002,15064.0,14397.0,13707.0,13061.0,12356.0,11508.0,10577.0,9715.0,8902.999999999998,8074.0,7212.999999999999,6346.0,5515.0,4709.0,3989.0,3388.0,2881.9999999999995,2406.0,1964.0,1595.0,1308.0,1085.0,899.0,754.0,619.0,473.0,331.0,184.0,95.0,73.0,49.0,23.0,10.0,9.000000000000002,6.0,4.0,1.0,1.0
1951,173805.0,163580.0,151728.99999999997,141615.0,133084.0,125975.0,120140.0,115428.0,111650.0,108637.99999999999,106251.0,104515.0,103417.0,102084.0,100080.0,97682.0,95598.99999999999,93679.0,91771.0,89865.0,87957.00000000001,86059.0,84187.00000000001,82227.0,80128.99999999999,77949.0,75786.99999999999,73613.0,71521.99999999999,69568.0,67702.0,65829.0,63968.0,62091.0,60172.0,58231.0,56321.00000000001,54437.0,52553.99999999999,50667.0,48790.0,46946.00000000001,45132.0,43370.0,41673.0,40036.0,38433.0,36860.0,35378.0,34013.00000000001,32732.0,31467.0,30212.0,29005.0,27851.999999999996,26723.000000000004,25621.0,24590.999999999996,23358.0,21802.0,20066.0,18389.0,16694.000000000004,15280.0,14309.000000000002,13630.0,12932.0,12279.000000000002,11574.000000000002,10735.999999999998,9820.0,8975.0,8181.000000000001,7380.0,6561.0,5745.0,4966.0,4213.0,3545.0,2993.0000000000005,2533.0,2102.0,1706.9999999999998,1378.0,1123.0,924.0,760.9999999999999,638.0,523.0,398.99999999999994,273.0,150.0,79.0,61.0,40.0,19.0,10.0,6.999999999999999,4.0,1.0,1.0
1952,181014.0,165845.0,157995.0,147238.0,138061.0,130315.0,123854.0,118544.0,114251.0,110766.0,107916.0,105592.00000000001,103854.0,102685.0,101288.0,99267.00000000001,96877.99999999999,94768.99999999999,92797.00000000001,90848.99999999999,88925.0,87015.0,85110.0,83229.0,81268.0,79179.0,77016.0,74870.0,72717.0,70643.0,68700.0,66843.0,64979.0,63130.0,61263.99999999999,59355.0,57424.0,55523.99999999999,53648.99999999999,51778.0,49907.0,48045.0,46216.0,44416.00000000001,42667.0,40981.0,39354.0,37760.0,36194.0,34718.0,33356.0,32076.0,30810.0,29557.0,28346.0,27183.000000000004,26041.0,24926.0,23881.0,22641.0,21092.0,19371.0,17710.0,16033.000000000002,14626.0,13648.0,12952.0,12242.0,11579.0,10869.000000000002,10033.0,9129.0,8295.0,7513.999999999999,6736.000000000001,5952.999999999999,5183.0,4449.0,3745.0,3125.0,2617.0,2200.0,1813.0000000000002,1462.0,1171.0,945.0,770.0,628.0,527.0,431.0,326.0,218.99999999999997,118.00000000000001,64.0,48.0,33.0,16.0,8.0,5.0,3.0,1.0
1953,189155.0,172796.0,158867.00000000003,152876.0,143183.0,134914.0,127931.0,122098.99999999999,117300.0,113415.0,110212.0,107517.00000000001,105249.0,103502.99999999999,102262.0,100795.0,98751.0,96365.0,94220.0,92191.0,90196.0,88247.99999999999,86327.00000000001,84408.99999999999,82511.00000000001,80542.0,78455.0,76301.99999999999,74168.0,72028.0,69967.0,68029.0,66173.99999999999,64313.99999999999,62471.0,60608.99999999999,58706.0,56781.00000000001,54886.0,53016.99999999999,51152.0,49288.00000000001,47438.0,45619.0,43830.0,42090.0,40409.0,38786.0,37196.0,35633.0,34158.0,32793.0,31510.0,30241.999999999996,28984.0,27766.0,26590.0,25430.999999999996,24300.0,23236.0,21986.0,20440.0,18730.0,17078.0,15413.0,14011.0,13022.0,12307.0,11583.0,10908.0,10190.0,9357.000000000002,8460.0,7636.0,6865.0,6108.0,5358.0,4633.0,3944.0,3285.0,2711.9999999999995,2249.0,1873.0000000000002,1528.0,1220.0,966.0,769.0,617.0,496.0,417.00000000000006,340.0,254.0,163.99999999999997,87.0,48.0,37.00000000000001,25.0,11.000000000000002,6.0,3.0,2.0
1954,196261.0,179867.00000000003,165762.0,153757.0,147809.0,139179.0,131820.0,125602.0,120400.0,116111.0,112633.0,109712.0,107172.00000000001,104959.0,103206.0,101889.0,100353.0,98285.0,95899.0,93717.99999999999,91628.99999999999,89585.0,87609.0,85675.0,83738.99999999999,81823.00000000001,79844.0,77759.0,75613.99999999999,73491.0,71365.0,69313.0,67381.0,65527.0,63671.00000000001,61832.0,59975.0,58076.0,56156.00000000001,54265.0,52400.0,50541.00000000001,48688.0,46849.0,45038.99999999999,43260.0,41527.0,39853.0,38232.0,36645.0,35084.0,33607.0,32241.999999999996,30954.0,29680.999999999996,28419.0,27191.999999999996,26002.0,24827.0,23678.0,22595.0,21334.0,19791.0,18090.0,16447.0,14794.0,13395.0,12395.999999999998,11663.0,10924.000000000002,10237.0,9512.0,8677.999999999998,7789.0,6974.0,6212.999999999999,5477.0,4762.0,4078.9999999999995,3435.0,2824.0,2296.0,1876.9999999999998,1543.0000000000002,1242.0,977.0,760.9999999999999,593.0,463.99999999999994,364.0,307.0,248.0,182.0,109.0,54.00000000000001,33.0,25.0,16.0,6.999999999999999,3.0,3.0
1955,200985.0,186122.0,172956.0,161372.0,151250.0,142476.0,134930.0,128497.00000000001,123058.0,118497.00000000001,114727.0,111663.0,109031.0,106650.0,104497.00000000001,102738.0,101350.0,99747.00000000001,97656.0,95274.0,93059.0,90914.0,88823.0,86821.0,84876.0,82923.99999999999,80988.99999999999,79001.0,76920.0,74789.0,72680.0,70571.0,68535.0,66610.0,64761.00000000001,62911.0,61080.0,59231.0,57340.0,55428.00000000001,53545.0,51688.0,49839.0,47998.00000000001,46173.0,44378.0,42611.99999999999,40891.0,39225.0,37609.0,36027.0,34470.0,32995.0,31629.0,30340.0,29064.0,27799.0,26566.999999999996,25364.0,24173.0,23010.0,21909.000000000004,20640.0,19101.0,17413.0,15783.0,14144.0,12751.0,11743.0,10993.0,10240.0,9541.0,8810.0,7979.0,7099.0,6295.0,5546.0,4831.0,4153.000000000001,3516.0,2918.0,2355.0,1875.0,1500.0,1210.0,952.0000000000001,731.0,552.9999999999999,414.0,309.0,230.0,195.0,157.0,109.0,54.00000000000001,22.000000000000004,17.0,13.000000000000002,9.000000000000002,3.0,3.0
1956,203542.0,197255.0,183271.0,170455.0,158791.0,148263.0,138766.0,130199.99999999999,122981.00000000001,117268.99999999999,112786.0,108981.00000000001,105827.00000000001,103369.0,101527.0,100162.0,99185.0,98573.0,97803.0,96585.0,95061.0,93697.0,92446.0,90845.0,88721.0,86256.0,83803.0,81294.0,78886.00000000001,76695.0,74648.0,72550.0,70431.0,68382.0,66428.0,64538.0,62659.0,60798.0,58935.0,57053.00000000001,55160.0,53295.0,51474.0,49574.0,47544.0,45450.0,43403.0,41371.0,39482.0,37806.99999999999,36287.0,34784.0,33316.0,31912.0,30570.999999999996,29280.0,28018.0,26778.000000000004,25560.0,24355.0,23154.0,21983.0,20875.999999999996,19612.000000000004,18096.0,16445.0,14849.0,13240.0,11897.0,10967.0,10311.0,9651.0,9057.0,8381.0,7529.0,6582.000000000001,5717.000000000001,4901.0,4165.0,3548.0,3017.0,2518.0000000000005,2054.0000000000005,1655.0,1325.0,1054.0,816.0,620.0,469.0,352.00000000000006,259.0,191.0,162.0,130.0,91.0,45.0,21.0,15.0,10.0,4.0,3.0
1957,204062.0,196138.0,193380.99999999997,180291.0,167835.0,156100.0,145170.0,134957.0,125371.00000000001,117371.00000000001,111387.99999999999,106985.0,103148.0,99905.0,97622.00000000001,96323.0,95749.0,95554.0,95725.0,95788.0,95447.0,94785.0,94273.0,93922.99999999999,92812.99999999999,90568.0,87582.00000000001,84626.0,81541.0,78713.00000000001,76413.0,74453.0,72368.0,70241.0,68183.0,66200.0,64271.0,62363.0,60472.0,58595.0,56727.0,54855.0,53008.99999999999,51225.0,49273.99999999999,47056.00000000001,44695.0,42395.0,40098.0,38040.0,36358.00000000001,34934.0,33512.0,32134.999999999996,30803.0,29488.000000000004,28195.999999999996,26948.0,25734.0,24529.0,23324.0,22113.000000000004,20936.0,19823.0,18565.0,17073.0,15460.999999999998,13901.0,12322.000000000002,11030.0,10180.0,9618.0,9052.0,8562.999999999998,7944.0,7070.0,6056.0,5132.999999999999,4248.0,3494.0,2938.0,2515.0,2114.0,1751.0,1433.0,1147.0,895.0,679.0,508.0,386.0,288.00000000000006,209.0,153.0,129.0,103.00000000000001,72.00000000000001,36.00000000000001,18.000000000000004,12.0,5.0,4.0
1958,203296.0,199449.0,193807.00000000003,189175.0,177000.99999999997,164928.0,153142.0,141830.0,130918.0,120330.0,111560.0,105316.0,101002.00000000001,97137.0,93810.0,91705.0,90950.0,91170.0,91759.0,92710.0,93609.0,94145.0,94346.0,94690.0,95241.0,94626.0,92262.0,88760.0,85306.0,81650.0,78407.0,76001.0,74131.0,72065.0,69934.0,67870.0,65861.0,63896.0,61963.0,60045.0,58160.0,56305.0,54457.0,52633.99999999999,50891.99999999999,48893.0,46490.0,43861.99999999999,41313.0,38754.0,36531.0,34843.0,33518.0,32181.999999999996,30897.0,29640.0,28353.0,27061.0,25831.999999999996,24644.000000000004,23456.999999999996,22253.0,21034.000000000004,19852.0,18735.0,17485.0,16020.0,14449.000000000002,12927.0,11383.0,10142.999999999998,9373.0,8908.999999999998,8439.0,8056.000000000001,7494.0,6601.0,5521.0,4540.0,3588.0,2813.9999999999995,2322.0,2006.9999999999998,1705.0,1445.0,1209.0,967.0000000000001,736.0,539.0,395.0,302.0,225.0,158.0,114.0,96.0,77.0,54.00000000000001,26.000000000000004,13.000000000000002,6.0,5.0
1959,202640.0,201875.99999999997,198435.99999999997,192692.99999999997,184680.0,173440.0,161768.0,149948.99999999997,138272.00000000003,126677.0,115106.00000000001,105581.0,99086.0,94866.0,90981.00000000001,87575.0,85654.0,85444.0,86454.0,87825.0,89555.0,91287.0,92698.0,93762.0,94960.0,96407.99999999999,96289.0,93810.0,89800.0,85854.0,81634.0,77983.0,75475.0,73699.0,71652.0,69520.0,67454.0,65421.00000000001,63424.0,61468.0,59527.0,57633.99999999999,55799.0,53977.0,52178.99999999999,50480.0,48437.0,45853.0,42964.0,40171.0,37353.0,34970.0,33279.0,32055.0,30804.000000000004,29616.0,28434.0,27178.0,25888.0,24678.0,23520.0,22351.999999999996,21150.0,19926.0,18741.0,17621.0,16382.000000000002,14945.0,13418.0,11937.000000000002,10427.999999999998,9242.0,8556.000000000002,8187.000000000001,7814.0,7537.000000000001,7032.999999999999,6122.999999999999,4978.0,3941.0000000000005,2924.0,2131.9999999999995,1704.0,1498.0000000000002,1296.0,1137.0,983.0,785.9999999999999,576.0000000000001,401.0,282.0,218.0,160.0,107.0,75.0,63.0,50.0,35.0,17.0,6.0,5.0
