Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.22427973130968434,0.03439685976058209,0.008256879285018793,0.0029345291078353886,0.0014548114828890975,9.328144275673257e-4,7.144008085157245e-4,6.035102932348544e-4,5.204482644216263e-4,4.450885715735165e-4,3.8493637655548965e-4,3.440478893495856e-4,3.247506851345679e-4,3.30511610272322e-4,3.62337240851198e-4,4.1830483865436724e-4,4.966848927246858e-4,5.924226366042534e-4,6.937116635383958e-4,7.910182175825411e-4,8.841929453042995e-4,9.75962544563384e-4,0.0010715619302191606,0.0011786211744618462,0.0013011661438198418,0.001437061756493706,0.0015822941593621282,0.001730824710751897,0.0018746220016032035,0.002009517420910388,0.0021374302702680432,0.0022619065604621577,0.002387812930867639,0.0025211921379439937,0.002666194566737428,0.002824368801374785,0.00299733113118088,0.0031869252463426973,0.0033951625807782434,0.00362196365762165,0.0038643925298988066,0.004118304597879769,0.004378266903324848,0.004637728632957475,0.004895605663720333,0.005158103489266499,0.005433342419283024,0.005731237116770122,0.0060637256622681135,0.006443541728693298,0.006884401981129957,0.007403234892310576,0.008021356670054812,0.008765230112319174,0.009649126591749518,0.01066703335283232,0.011803559532847615,0.013031030333567978,0.014307803387435166,0.015615704491915223,0.01697635740518282,0.018423449505805562,0.020002768014944355,0.02177310473717253,0.023772331550223454,0.02600435140607192,0.028465183174558862,0.031142001937200365,0.03401199888313556,0.03707358405619852,0.04035921307513379,0.0439119815584295,0.04778616069442246,0.052048539815440976,0.0567580245421452,0.06195833810035968,0.06769545216549487,0.07401844345171503,0.08097809189565502,0.08859439820672725,0.09684064951430223,0.10566139657243795,0.11496793626195781,0.12463893139554338,0.1346573368868456,0.14516310651669567,0.15635197141313628,0.16847764856182343,0.1818487925978742,0.196504713768985,0.21209137873597875,0.2280972493358372,0.24385045452386103,0.2585704761322697,0.27258767767175635,0.2876737376881773,0.30608466719753935,0.33068229761765755,0.36531726709973183,0.4151922468713296,0.48791703503085104
1951,0.2250978984949256,0.03352011017273006,0.007888812109101364,0.002771720853381356,0.0013677317508866422,8.772778017441233e-4,6.741424420360647e-4,5.720553663520121e-4,4.95139694953191e-4,4.2434909487116775e-4,3.6736551307250514e-4,3.284465055193457e-4,3.100513700966089e-4,3.156473431488305e-4,3.4627805771772355e-4,4.0014296593463813e-4,4.756318677717578e-4,5.679242488059626e-4,6.656605315218206e-4,7.596290980957145e-4,8.496586271691858e-4,9.383615488843941e-4,0.001030783710729843,0.0011342981785967667,0.0012528105772106114,0.001384279006751441,0.0015248440474948906,0.0016686848762382512,0.0018080469042183337,0.0019388976596238783,0.0020630858106771895,0.002184037634093584,0.0023064634174883012,0.0024362197524320996,0.0025773382168454923,0.00273133442384769,0.002899792366779094,0.0030845195953790707,0.003287490022121116,0.003508654773764028,0.003745195244276681,0.003993115597456412,0.004247162366569937,0.004500986458740299,0.004753531369623801,0.005010815914066712,0.00528072924476328,0.005572918161788176,0.00589901369035969,0.006271440567164246,0.0067036003199487685,0.0072120421479186,0.007817613333305745,0.008546204888065883,0.009411847753962603,0.010408787804565455,0.011522089049963673,0.012724779126534653,0.013976186412331356,0.015258510530242885,0.01659282787262907,0.01801202656126843,0.01956085119021121,0.02129679362526458,0.023256913542441172,0.02544504211139322,0.02785727129690805,0.030481009215989854,0.03329386215209014,0.036294208846460146,0.0395137844848819,0.04299475737956359,0.04679025457816849,0.05096567510737346,0.055578631969306375,0.060671767198508225,0.06628987068278917,0.07248071138251005,0.07929367298238789,0.08674843766581564,0.09481962067724953,0.10345408114322575,0.11256654633275599,0.1220402325695324,0.1318602016432601,0.14216474261998804,0.1531468956629683,0.165056749667711,0.17819846689626176,0.19260952435488482,0.20793756803455496,0.22367321121874167,0.23914714540461268,0.2535821269000247,0.2673134725574886,0.2821193962226735,0.30026426270526435,0.32462477332223344,0.3590843997491253,0.40891886489795515,0.48189416243005173
1952,0.22585484572985315,0.032664767952720344,0.007537357110045827,0.0026177199999999966,0.0012854324417665376,8.244859528828214e-4,6.354674714332692e-4,5.414365483583936e-4,4.701897875153719e-4,4.036976500112724e-4,3.4973694168039025e-4,3.1270367349178454e-4,2.951444207679433e-4,3.00490144307508e-4,3.297950132032045e-4,3.8136468275804506e-4,4.536947352139001e-4,5.421984031875568e-4,6.359907624083522e-4,7.262162497595364e-4,8.126917497380582e-4,8.97914804600277e-4,9.867303015117647e-4,0.0010862308140010542,0.0012001882876595332,0.0013266628774530242,0.0014619671728451674,0.0016005249224294957,0.0017348937112427138,0.0018611985609846542,0.001981215402087,0.0020982416081788747,0.0022168166037619115,0.002342592290691613,0.002479470810110714,0.0026289345837305707,0.0027925357052651805,0.002972046163765905,0.0031694034487878106,0.003384597582166212,0.00361494382293475,0.0038566136798284414,0.0041045529923350544,0.004352633877509552,0.004599830053088721,0.004851958622902542,0.005116661001364133,0.0054032996525462266,0.005723183062357426,0.006088416395781085,0.006512080439640472,0.007010341344687172,0.0076035756419496,0.008317103981032345,0.009164742263391019,0.010141042621638438,0.011231571047704898,0.01241009995401626,0.013636960064090436,0.014894726898160127,0.016203912724280362,0.017596594893949238,0.019116473591915078,0.02081975264606317,0.022742712616633853,0.024889157209540474,0.02725529469912559,0.02982880617894104,0.032587747427915335,0.03553050114694364,0.038688131106707595,0.04210194363485648,0.04582400748867623,0.04991844255338576,0.0544416929300694,0.05943544718684049,0.064943458014008,0.07101235084344158,0.07769029470115714,0.08499673973283897,0.09290755621774516,0.10137173423415088,0.11030713016205064,0.1196010827350822,0.12924054058581375,0.13936227577313343,0.15015691226393088,0.16187131343861294,0.17480568655750972,0.1889960518825113,0.20409181378646285,0.21958572358512873,0.23481090528946583,0.24899308060208494,0.26247169973301554,0.2770303457203939,0.29494059200231537,0.31909263685886197,0.3534005494924162,0.4032089169092696,0.47643194070646466
1953,0.2265634834605781,0.031828514481991796,0.007200896532966953,0.0024717304839356412,0.0012075448417408472,7.742959495286253e-4,0.00059836874888932105,5.117356157939009e-4,4.4573192835169434e-4,3.8329008477236865e-4,3.322151179100919e-4,2.969896385391423e-4,2.8021116482584405e-4,2.852455944038598e-4,3.1313683410921924e-4,3.622835249287942e-4,4.3127546762689435e-4,5.157570714441173e-4,6.053357593652852e-4,6.915356423689988e-4,7.741698749190446e-4,8.556215166016126e-4,9.405267001355715e-4,0.001035681172640878,0.0011447134088229329,0.0012657913026186125,0.0013954113562779974,0.0015282604266492474,0.0016572331171783416,0.001778627290080076,0.0018941450805890433,0.0020069487913010244,0.0021213968794624965,0.002242923435183869,0.002375293565662507,0.002519956333780136,0.002678432217721531,0.002852458073854059,0.0030439357830260336,0.0032529002392096265,0.0034768125251859764,0.0037120250772656686,0.00395369766871818,0.004195938181294733,0.004437753140961702,0.004684747858458653,0.004944304699720895,0.005225490453900986,0.005539280363251197,0.005897452794362669,0.006312764248955181,0.006800995710781074,0.007382052423320543,0.008080686754086448,0.008910519406434409,0.009866445024163537,0.010934567464714632,0.012089436031554908,0.013292407406940264,0.01452643485863742,0.015811455179772376,0.017178727876074752,0.01867090945454614,0.020342927427089708,0.022230310748226623,0.02433687092457879,0.02665896688201038,0.029184584360781456,0.03189225577519706,0.03478039614435017,0.037879437869901555,0.041229878516642476,0.04488279834842246,0.048901128373645554,0.053340244558009516,0.05824098652252403,0.06364618822494712,0.06960146626209934,0.07615392399715262,0.08332284824899218,0.09108529934384173,0.09939224694302935,0.10816442294240262,0.11729292811423407,0.12676641564948726,0.1367202659515734,0.14734291791928528,0.15887834688936836,0.17162325463931805,0.1856125126268574,0.20049733312903775,0.21577257203057126,0.23077364910658899,0.24472896328585347,0.2579814450591109,0.272319181403965,0.2900201344696555,0.3139870342431015,0.3481629583159799,0.3979583262436751,0.47142973486234424
1954,0.2272369291031578,0.03100922894792934,0.0068780011649072735,0.002333054284779304,0.0011337427551887473,7.265770761200289e-4,5.628341085735936e-4,4.8301958461363593e-4,4.218802932973979e-4,3.632617648997603e-4,3.149438272463048e-4,2.814537093267916e-4,2.654109381753167e-4,2.7009479870964396e-4,2.9652344544930535e-4,3.431779441427025e-4,4.087327250709722e-4,4.890591220969133e-4,5.742654750893616e-4,6.562697476823313e-4,7.348874075741547e-4,8.123882993047908e-4,8.931957269293363e-4,9.837988569094893e-4,0.0010876763000508337,0.001203106480771357,0.0013267765165344164,0.0014536473322712873,0.001576965666554151,0.001693211961775036,0.0018040144053891875,0.001912396791319376,0.0020225305586471978,0.0021396238610164628,0.0022672999845923685,0.0024069745109290713,0.002560136478736718,0.0027284878954979223,0.002913895580812752,0.003116443127076163,0.003333745152761976,0.00356234394407396,0.0037976229886975154,0.004033935863920058,0.00427032442428591,0.00451217666006609,0.004766609447357112,0.005042387318558299,0.005350146009343222,0.005701333037680114,0.00610837900324631,0.006586679161717063,0.007155668152972591,0.007839532777115627,0.008651713218005766,0.009587472259599572,0.010633477013977728,0.011765076218043548,0.012944668638469943,0.014155586923963768,0.015417186113975695,0.01675990497311222,0.018225359456634747,0.019867212372076407,0.021720263417698896,0.023788358744923677,0.026068034032225313,0.028547603671739825,0.031206097148362873,0.034041983819063995,0.03708509652449224,0.04037516615183005,0.04396233946909747,0.0479084295859363,0.05226782394800009,0.05708059643632156,0.06238875679893481,0.0682370204872135,0.0746715444628454,0.0817115047758314,0.08933509419446335,0.09749513418338339,0.10611502163300046,0.11508932278429686,0.12440824636393584,0.13420588449006082,0.14466868044514894,0.1560379973790417,0.16860739836839106,0.1824108513332918,0.19710140282543853,0.2121759675969403,0.22697212705155775,0.24072069945230104,0.25376758882725575,0.2679047627284364,0.2854160035351259,0.30921592517268387,0.3432755597666584,0.3930691560556729,0.4667919411818746
1955,0.22788848248975221,0.03020497811389456,0.006567412745816005,0.002201080712843674,0.0010637378039293345,6.812095762755355e-4,5.288467521017095e-4,4.553415752861501e-4,3.9873055282638593e-4,3.437279524950231e-4,2.980462766428679e-4,2.662241241946834e-4,2.5088073475539263e-4,2.5519373113829484e-4,2.8014480753833353e-4,3.2428933374561763e-4,3.8637865655256117e-4,4.6250542695941817e-4,5.432794429462192e-4,6.210182787787458e-4,6.955439042662532e-4,7.690149445775576e-4,8.456411079094615e-4,9.316011281931023e-4,0.0010302204531146806,0.0011398883007150999,0.001257484501822439,0.0013782482579500549,0.0014957848497819074,0.0016067619855009597,0.0017127345252358733,0.001816586738316271,0.001922300620998367,0.0020348547611274332,0.002157728373255222,0.0022923034776900874,0.002440037753217624,0.0026025985119605614,0.002781817817351811,0.0029778298356100594,0.0031884065685932883,0.0034102848108715847,0.0036390770845218284,0.003869388306308699,0.0041002980117813975,0.004336975384166303,0.004586269722275824,0.004856641000863686,0.005158383207089906,0.00550261184935754,0.005901431771439813,0.006369853375941001,0.0069268425197323005,0.007596023755917396,0.00839066668160854,0.009306418029752656,0.010330523808998243,0.011439145797529499,0.012595733938072931,0.013784001606402385,0.015022720468961973,0.016341509520259832,0.01778094952622973,0.019393450132237987,0.02121309936081059,0.02324379703203941,0.02548227401937076,0.027917190248681573,0.030528086485701364,0.033313502581936334,0.036302696014148685,0.03953466277179446,0.04305865741046425,0.046935428227370964,0.051218434151309646,0.055947046807874476,0.06116252413715527,0.06690876322764047,0.07323106652461463,0.08014853696398903,0.08764044875961412,0.09566136873353662,0.10413718727545321,0.11296569735837592,0.12213854366794773,0.13178861176240195,0.14210049872861488,0.15331317265068903,0.16571734612707653,0.17934627091133806,0.19385483625474415,0.20874196426914365,0.22334727421270956,0.23690378387295633,0.24975999301826518,0.2637113187507542,0.281046984761222,0.30469308272017903,0.3386479857332062,0.38844868578916997,0.4624272107631591
1956,0.22853160899529903,0.029414007364914903,0.006268028560038647,0.0020752770026442116,9.972752430255666e-4,6.380835048784115e-4,4.963856346547042e-4,4.2874176350853906e-4,3.763608224203664e-4,3.2478457139142007e-4,2.8162568249718385e-4,2.514085110330929e-4,2.3673556797394732e-4,2.4067347622225247e-4,2.641609536852243e-4,3.058217123189984e-4,3.6447800657169875e-4,4.364371179825049e-4,5.128039450576307e-4,5.86294117655189e-4,6.567386575073991e-4,7.261875817867858e-4,7.986391147368572e-4,8.799628721091957e-4,9.733305917649706e-4,0.0010772404186188238,0.001188763055764254,0.0013034143677877889,0.0014151570296703762,0.0015208462925855007,0.0016219649624883337,0.0017212588638840624,0.0018225212855574563,0.0019305015592622295,0.002048534811745896,0.0021779694676338163,0.002320231846755786,0.0024769546090506462,0.0026499351552650642,0.0028393583738723885,0.0030431540570144415,0.0032582543371376007,0.00348050204822201,0.0037047551610174907,0.003930132947192746,0.004161587755896559,0.004405702994507564,0.004670635524928069,0.004966338894210191,0.005303598007863086,0.00569419367766846,0.006152753627215373,0.006697777792872089,0.007352332372019106,0.008129521997789867,0.009025384171019208,0.010027750445446949,0.011113600937063272,0.012247439241433917,0.01341336039668065,0.014629555270827321,0.01592482757203415,0.017338730288579934,0.018922431394910757,0.020709320419864147,0.0227033626269922,0.024901495410338148,0.027292734479378293,0.029857140286404397,0.03259333387890907,0.035530014501827814,0.0387054654516368,0.042168077597718116,0.04597757084948214,0.05018651734917064,0.05483363158878533,0.05995947152815747,0.06560717553815625,0.07182125803161811,0.07862077255277918,0.08598602956204744,0.09387325404686424,0.10221069382586385,0.11089918248554972,0.11993170724515209,0.12944000748527798,0.1396069448778993,0.15066925322408176,0.1629150077478631,0.17637687745118916,0.1907115891240168,0.20542002037860588,0.2198437215576565,0.2332177349995672,0.24589289236732653,0.2596677789352265,0.2768368170818687,0.30033734591407274,0.3341948231048423,0.3840087168047144,0.4582478595830353
1957,0.2291799305392062,0.028634732850012317,0.005978887848901624,0.00195518,9.341302184801525e-4,5.970976785582481e-4,4.6542584902865944e-4,4.032483899969521e-4,3.548328007080853e-4,3.0650927748438297e-4,2.657662544524179e-4,2.3709482272619433e-4,2.230694037830284e-4,2.2664119505115118e-4,2.487030013222602e-4,2.879427605158133e-4,3.4324911664621217e-4,4.111364515249541e-4,4.831926243118409e-4,5.525235823382611e-4,6.18970549248205e-4,6.8447806485996e-4,7.5283743356688e-4,8.296148788448936e-4,9.178302763458773e-4,0.001016087105099597,0.001121641843959532,0.0012302805486142795,0.0013363157903919297,0.001436786916711,0.0015331064963443374,0.0016278847578711203,0.0017247297012132387,0.001828165076134606,0.0019413838284915504,0.002065700805593144,0.0022025109137509408,0.0023534121186726212,0.0025201670766458475,0.0027030100565895695,0.0029000260509180237,0.003108339985879308,0.0033240226793353096,0.0035421833130952216,0.0037619825183348096,0.0039881606383344904,0.004227040042901133,0.004486479112368469,0.00477609531996109,0.005106346604646384,0.005488692851408373,0.005937382431659739,0.006470453163460084,0.0071104173102464596,0.007870216295010344,0.008746277054045718,0.00972701509268607,0.01079022645932459,0.011901464659166616,0.013045206760736184,0.014239069104924515,0.015511047731099492,0.01689967710348713,0.01845489496674113,0.020209401491128907,0.022167232455690394,0.024325536494241223,0.02667368917094442,0.02919227360275164,0.0318799976377121,0.03476501284267962,0.037884903108120704,0.041287212251244355,0.04503065266878376,0.049166934371212105,0.053734142671563505,0.05877216815316952,0.06432342851149098,0.07043169290842846,0.07711597606165078,0.08435758445462109,0.09211433136917944,0.1003167181550235,0.10886848087093964,0.11776387909485009,0.1271335453435462,0.13715867921334154,0.14807388670067825,0.160164746527793,0.17346342773904871,0.18762847970519506,0.2021626881415751,0.21640945064974995,0.2296057100955208,0.24210446685595938,0.2557073046551506,0.272713690796508,0.29607209853052147,0.3298350953637155,0.37966508636905466,0.45416945066378445
1958,0.22984948211913717,0.02786550548556065,0.0056990552434163415,0.0018403488591667244,8.740873494588131e-4,5.581512381416289e-4,4.3593682501620536e-4,3.7888032695399394e-4,3.3419706498186467e-4,2.889680890406579e-4,2.5054040668172453e-4,2.2335891046184426e-4,2.0996329225081702e-4,2.1318940916465528e-4,2.3388446984389509e-4,2.707981987153003e-4,3.228824964876891e-4,3.868506202422968e-4,4.5475610044972293e-4,5.200819071987868e-4,5.826793467669626e-4,6.443910818272335e-4,7.088082861794032e-4,7.812035261310225e-4,8.644488845414565e-4,9.572481149650927e-4,0.0010570355392926906,0.001159856648488209,0.0012603607638568314,0.001355764553453777,0.001447412651052262,0.0015377841257307138,0.0016303075278058716,0.0017292877533104966,0.0018377792349802426,0.0019570633228343515,0.002088503414347941,0.002233662666534407,0.002394268749014985,0.002570602589497489,0.0027608989928053188,0.002962469942316423,0.003171608451068301,0.0033836695963761765,0.0035978563781502155,0.0038187044099871254,0.0040522826517954144,0.0043061584609426894,0.004589620342949191,0.004912804894629099,0.005286855378550371,0.005725645117042816,0.006246754366445698,0.006872146206721475,0.00761459667443854,0.008470912712623067,0.009430083951249457,0.01047071225789413,0.011559391104495739,0.012680979253650498,0.013852528155367102,0.015101236586175968,0.016464631198387362,0.017991430440076235,0.019713649831274698,0.02163539379717623,0.02375402009680548,0.026059261844613258,0.028532222231300742,0.03117169618249139,0.03400529113234139,0.037069895376265476,0.04041220969929811,0.044089943377510946,0.04815395072963459,0.05264169736386302,0.05759241833329599,0.06304782530631226,0.06905095924585683,0.07562079264410741,0.08273959390583263,0.09036671431737872,0.09843484059356121,0.10685052598375125,0.11560925702760111,0.12484057379041769,0.13472404384151992,0.14549218957140936,0.15742815164122492,0.1705636271887823,0.18455896887419043,0.19891883679784197,0.21298842846809954,0.2260065319104178,0.23832825199165045,0.25175808088140056,0.2686004212173087,0.2918148315098009,0.32548124739318324,0.375326192925755,0.4500991934922219
1959,0.23056554716606142,0.02710396762630871,0.005427336260701356,0.0017302577682277145,8.168954459215354e-4,5.211243036333868e-4,4.0787728404445165e-4,3.5565195499984484e-4,3.1450460112442173e-4,2.7223036496547677e-4,2.3602528447619876e-4,2.102819610945206e-4,1.9750411749100497e-4,2.0041747835755023e-4,2.1982764491880027e-4,2.545455902794199e-4,3.0358493982989395e-4,3.638488965362829e-4,4.2783367449706033e-4,4.893797632810884e-4,5.483469965502225e-4,6.064802821205299e-4,6.671799551567439e-4,7.354391785033706e-4,8.139888612793278e-4,9.01626419696482e-4,9.959530118229193e-4,0.0010932581129303829,0.0011885084073945998,0.0012790874147668829,0.0013662746743823093,0.0014524242994966615,0.0015407939358801433,0.0016354797851601544,0.0017394034229358138,0.0018538128540031011,0.001980039820442193,0.002119612459547042,0.002274223003995454,0.0024441947066882823,0.002627903534191023,0.0028228390257759753,0.0030255064741735883,0.003231497340389851,0.003440057029996504,0.0036555262291363354,0.0038837310290392815,0.004131958205716293,0.004409177280135238,0.004725211128184562,0.005090891743154013,0.0055197224126668,0.0060288307244209,0.006639635003302971,0.007364738339437949,0.008201308033573938,0.009138887712174741,0.010156865506642214,0.011222857672725782,0.012322103528198538,0.0134711027552168,0.014696269809170742,0.016034134830415013,0.017532205664164965,0.01922181104726181,0.02110711281900043,0.023185666640860286,0.025447552504231325,0.027874383951096003,0.030465036089307035,0.03324656579820086,0.03625515619385677,0.03953665131879529,0.04314773863246744,0.04713839738141465,0.05154545622834443,0.0564074763084339,0.06176544358238289,0.06766164988075268,0.0741150029832595,0.08110871180154192,0.0886036486497202,0.09653467532021567,0.10481116065540544,0.11342981078732123,0.12251904703169696,0.13225676563837724,0.14287335080581867,0.15464943374901335,0.16761618843422382,0.18143575924529526,0.1956146849439405,0.20949999059177782,0.22233237727798233,0.23446911600489415,0.24771756675017065,0.2643869450294309,0.28744785126509353,0.32100808136911635,0.37086039289246336,0.4459026456903786
