Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.0728427,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.00194733,0.00194733,0.00194733,0.00194733,0.00194733,0.00150565,0.00150565,0.00150565,0.00150565,0.00150565,0.00230959,0.00230959,0.00230959,0.00230959,0.00230959,0.00317406,0.00317406,0.00317406,0.00317406,0.00317406,0.00350394,0.00350394,0.00350394,0.00350394,0.00350394,0.00400804,0.00400804,0.00400804,0.00400804,0.00400804,0.00483727,0.00483727,0.00483727,0.00483727,0.00483727,0.00614719,0.00614719,0.00614719,0.00614719,0.00614719,0.00819568,0.00819568,0.00819568,0.00819568,0.00819568,0.01159351,0.01159351,0.01159351,0.01159351,0.01159351,0.01658919,0.01658919,0.01658919,0.01658919,0.01658919,0.02496555,0.02496555,0.02496555,0.02496555,0.02496555,0.03786167,0.03786167,0.03786167,0.03786167,0.03786167,0.05985607,0.05985607,0.05985607,0.05985607,0.05985607,0.09486676,0.09486676,0.09486676,0.09486676,0.09486676,0.14930027,0.14930027,0.14930027,0.14930027,0.14930027,0.22630044,0.22630044,0.22630044,0.22630044,0.22630044,0.32159565,0.32159565,0.32159565,0.32159565,0.32159565,0.43651806,0.43651806,0.43651806,0.43651806,0.43651806,0.56631831
1951,0.0728427,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.00194733,0.00194733,0.00194733,0.00194733,0.00194733,0.00150565,0.00150565,0.00150565,0.00150565,0.00150565,0.00230959,0.00230959,0.00230959,0.00230959,0.00230959,0.00317406,0.00317406,0.00317406,0.00317406,0.00317406,0.00350394,0.00350394,0.00350394,0.00350394,0.00350394,0.00400804,0.00400804,0.00400804,0.00400804,0.00400804,0.00483727,0.00483727,0.00483727,0.00483727,0.00483727,0.00614719,0.00614719,0.00614719,0.00614719,0.00614719,0.00819568,0.00819568,0.00819568,0.00819568,0.00819568,0.01159351,0.01159351,0.01159351,0.01159351,0.01159351,0.01658919,0.01658919,0.01658919,0.01658919,0.01658919,0.02496555,0.02496555,0.02496555,0.02496555,0.02496555,0.03786167,0.03786167,0.03786167,0.03786167,0.03786167,0.05985607,0.05985607,0.05985607,0.05985607,0.05985607,0.09486676,0.09486676,0.09486676,0.09486676,0.09486676,0.14930027,0.14930027,0.14930027,0.14930027,0.14930027,0.22630044,0.22630044,0.22630044,0.22630044,0.22630044,0.32159565,0.32159565,0.32159565,0.32159565,0.32159565,0.43651806,0.43651806,0.43651806,0.43651806,0.43651806,0.56631831
1952,0.0728427,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.00194733,0.00194733,0.00194733,0.00194733,0.00194733,0.00150565,0.00150565,0.00150565,0.00150565,0.00150565,0.00230959,0.00230959,0.00230959,0.00230959,0.00230959,0.00317406,0.00317406,0.00317406,0.00317406,0.00317406,0.00350394,0.00350394,0.00350394,0.00350394,0.00350394,0.00400804,0.00400804,0.00400804,0.00400804,0.00400804,0.00483727,0.00483727,0.00483727,0.00483727,0.00483727,0.00614719,0.00614719,0.00614719,0.00614719,0.00614719,0.00819568,0.00819568,0.00819568,0.00819568,0.00819568,0.01159351,0.01159351,0.01159351,0.01159351,0.01159351,0.01658919,0.01658919,0.01658919,0.01658919,0.01658919,0.02496555,0.02496555,0.02496555,0.02496555,0.02496555,0.03786167,0.03786167,0.03786167,0.03786167,0.03786167,0.05985607,0.05985607,0.05985607,0.05985607,0.05985607,0.09486676,0.09486676,0.09486676,0.09486676,0.09486676,0.14930027,0.14930027,0.14930027,0.14930027,0.14930027,0.22630044,0.22630044,0.22630044,0.22630044,0.22630044,0.32159565,0.32159565,0.32159565,0.32159565,0.32159565,0.43651806,0.43651806,0.43651806,0.43651806,0.43651806,0.56631831
1953,0.0728427,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.00194733,0.00194733,0.00194733,0.00194733,0.00194733,0.00150565,0.00150565,0.00150565,0.00150565,0.00150565,0.00230959,0.00230959,0.00230959,0.00230959,0.00230959,0.00317406,0.00317406,0.00317406,0.00317406,0.00317406,0.00350394,0.00350394,0.00350394,0.00350394,0.00350394,0.00400804,0.00400804,0.00400804,0.00400804,0.00400804,0.00483727,0.00483727,0.00483727,0.00483727,0.00483727,0.00614719,0.00614719,0.00614719,0.00614719,0.00614719,0.00819568,0.00819568,0.00819568,0.00819568,0.00819568,0.01159351,0.01159351,0.01159351,0.01159351,0.01159351,0.01658919,0.01658919,0.01658919,0.01658919,0.01658919,0.02496555,0.02496555,0.02496555,0.02496555,0.02496555,0.03786167,0.03786167,0.03786167,0.03786167,0.03786167,0.05985607,0.05985607,0.05985607,0.05985607,0.05985607,0.09486676,0.09486676,0.09486676,0.09486676,0.09486676,0.14930027,0.14930027,0.14930027,0.14930027,0.14930027,0.22630044,0.22630044,0.22630044,0.22630044,0.22630044,0.32159565,0.32159565,0.32159565,0.32159565,0.32159565,0.43651806,0.43651806,0.43651806,0.43651806,0.43651806,0.56631831
1954,0.0728427,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.007137899999999999,0.00194733,0.00194733,0.00194733,0.00194733,0.00194733,0.00150565,0.00150565,0.00150565,0.00150565,0.00150565,0.00230959,0.00230959,0.00230959,0.00230959,0.00230959,0.00317406,0.00317406,0.00317406,0.00317406,0.00317406,0.00350394,0.00350394,0.00350394,0.00350394,0.00350394,0.00400804,0.00400804,0.00400804,0.00400804,0.00400804,0.00483727,0.00483727,0.00483727,0.00483727,0.00483727,0.00614719,0.00614719,0.00614719,0.00614719,0.00614719,0.00819568,0.00819568,0.00819568,0.00819568,0.00819568,0.01159351,0.01159351,0.01159351,0.01159351,0.01159351,0.01658919,0.01658919,0.01658919,0.01658919,0.01658919,0.02496555,0.02496555,0.02496555,0.02496555,0.02496555,0.03786167,0.03786167,0.03786167,0.03786167,0.03786167,0.05985607,0.05985607,0.05985607,0.05985607,0.05985607,0.09486676,0.09486676,0.09486676,0.09486676,0.09486676,0.14930027,0.14930027,0.14930027,0.14930027,0.14930027,0.22630044,0.22630044,0.22630044,0.22630044,0.22630044,0.32159565,0.32159565,0.32159565,0.32159565,0.32159565,0.43651806,0.43651806,0.43651806,0.43651806,0.43651806,0.56631831
1955,0.05399542,0.00432337,0.00432337,0.00432337,0.00432337,0.00132989,0.00132989,0.00132989,0.00132989,0.00132989,0.0010456,0.0010456,0.0010456,0.0010456,0.0010456,0.00168549,0.00168549,0.00168549,0.00168549,0.00168549,0.0023389,0.0023389,0.0023389,0.0023389,0.0023389,0.00255844,0.00255844,0.00255844,0.00255844,0.00255844,0.00293821,0.00293821,0.00293821,0.00293821,0.00293821,0.00363648,0.00363648,0.00363648,0.00363648,0.00363648,0.00479794,0.00479794,0.00479794,0.00479794,0.00479794,0.0067499,0.0067499,0.0067499,0.0067499,0.0067499,0.00989975,0.00989975,0.00989975,0.00989975,0.00989975,0.01468309,0.01468309,0.01468309,0.01468309,0.01468309,0.02244142,0.02244142,0.02244142,0.02244142,0.02244142,0.03469335,0.03469335,0.03469335,0.03469335,0.03469335,0.05545425,0.05545425,0.05545425,0.05545425,0.05545425,0.08949512,0.08949512,0.08949512,0.08949512,0.08949512,0.14326269,0.14326269,0.14326269,0.14326269,0.14326269,0.22051331,0.22051331,0.22051331,0.22051331,0.22051331,0.31513196,0.31513196,0.31513196,0.31513196,0.31513196,0.43072464,0.43072464,0.43072464,0.43072464,0.43072464,0.56465398
1956,0.05399542,0.00432337,0.00432337,0.00432337,0.00432337,0.00132989,0.00132989,0.00132989,0.00132989,0.00132989,0.0010456,0.0010456,0.0010456,0.0010456,0.0010456,0.00168549,0.00168549,0.00168549,0.00168549,0.00168549,0.0023389,0.0023389,0.0023389,0.0023389,0.0023389,0.00255844,0.00255844,0.00255844,0.00255844,0.00255844,0.00293821,0.00293821,0.00293821,0.00293821,0.00293821,0.00363648,0.00363648,0.00363648,0.00363648,0.00363648,0.00479794,0.00479794,0.00479794,0.00479794,0.00479794,0.0067499,0.0067499,0.0067499,0.0067499,0.0067499,0.00989975,0.00989975,0.00989975,0.00989975,0.00989975,0.01468309,0.01468309,0.01468309,0.01468309,0.01468309,0.02244142,0.02244142,0.02244142,0.02244142,0.02244142,0.03469335,0.03469335,0.03469335,0.03469335,0.03469335,0.05545425,0.05545425,0.05545425,0.05545425,0.05545425,0.08949512,0.08949512,0.08949512,0.08949512,0.08949512,0.14326269,0.14326269,0.14326269,0.14326269,0.14326269,0.22051331,0.22051331,0.22051331,0.22051331,0.22051331,0.31513196,0.31513196,0.31513196,0.31513196,0.31513196,0.43072464,0.43072464,0.43072464,0.43072464,0.43072464,0.56465398
1957,0.05399542,0.00432337,0.00432337,0.00432337,0.00432337,0.00132989,0.00132989,0.00132989,0.00132989,0.00132989,0.0010456,0.0010456,0.0010456,0.0010456,0.0010456,0.00168549,0.00168549,0.00168549,0.00168549,0.00168549,0.0023389,0.0023389,0.0023389,0.0023389,0.0023389,0.00255844,0.00255844,0.00255844,0.00255844,0.00255844,0.00293821,0.00293821,0.00293821,0.00293821,0.00293821,0.00363648,0.00363648,0.00363648,0.00363648,0.00363648,0.00479794,0.00479794,0.00479794,0.00479794,0.00479794,0.0067499,0.0067499,0.0067499,0.0067499,0.0067499,0.00989975,0.00989975,0.00989975,0.00989975,0.00989975,0.01468309,0.01468309,0.01468309,0.01468309,0.01468309,0.02244142,0.02244142,0.02244142,0.02244142,0.02244142,0.03469335,0.03469335,0.03469335,0.03469335,0.03469335,0.05545425,0.05545425,0.05545425,0.05545425,0.05545425,0.08949512,0.08949512,0.08949512,0.08949512,0.08949512,0.14326269,0.14326269,0.14326269,0.14326269,0.14326269,0.22051331,0.22051331,0.22051331,0.22051331,0.22051331,0.31513196,0.31513196,0.31513196,0.31513196,0.31513196,0.43072464,0.43072464,0.43072464,0.43072464,0.43072464,0.56465398
1958,0.05399542,0.00432337,0.00432337,0.00432337,0.00432337,0.00132989,0.00132989,0.00132989,0.00132989,0.00132989,0.0010456,0.0010456,0.0010456,0.0010456,0.0010456,0.00168549,0.00168549,0.00168549,0.00168549,0.00168549,0.0023389,0.0023389,0.0023389,0.0023389,0.0023389,0.00255844,0.00255844,0.00255844,0.00255844,0.00255844,0.00293821,0.00293821,0.00293821,0.00293821,0.00293821,0.00363648,0.00363648,0.00363648,0.00363648,0.00363648,0.00479794,0.00479794,0.00479794,0.00479794,0.00479794,0.0067499,0.0067499,0.0067499,0.0067499,0.0067499,0.00989975,0.00989975,0.00989975,0.00989975,0.00989975,0.01468309,0.01468309,0.01468309,0.01468309,0.01468309,0.02244142,0.02244142,0.02244142,0.02244142,0.02244142,0.03469335,0.03469335,0.03469335,0.03469335,0.03469335,0.05545425,0.05545425,0.05545425,0.05545425,0.05545425,0.08949512,0.08949512,0.08949512,0.08949512,0.08949512,0.14326269,0.14326269,0.14326269,0.14326269,0.14326269,0.22051331,0.22051331,0.22051331,0.22051331,0.22051331,0.31513196,0.31513196,0.31513196,0.31513196,0.31513196,0.43072464,0.43072464,0.43072464,0.43072464,0.43072464,0.56465398
1959,0.05399542,0.00432337,0.00432337,0.00432337,0.00432337,0.00132989,0.00132989,0.00132989,0.00132989,0.00132989,0.0010456,0.0010456,0.0010456,0.0010456,0.0010456,0.00168549,0.00168549,0.00168549,0.00168549,0.00168549,0.0023389,0.0023389,0.0023389,0.0023389,0.0023389,0.00255844,0.00255844,0.00255844,0.00255844,0.00255844,0.00293821,0.00293821,0.00293821,0.00293821,0.00293821,0.00363648,0.00363648,0.00363648,0.00363648,0.00363648,0.00479794,0.00479794,0.00479794,0.00479794,0.00479794,0.0067499,0.0067499,0.0067499,0.0067499,0.0067499,0.00989975,0.00989975,0.00989975,0.00989975,0.00989975,0.01468309,0.01468309,0.01468309,0.01468309,0.01468309,0.02244142,0.02244142,0.02244142,0.02244142,0.02244142,0.03469335,0.03469335,0.03469335,0.03469335,0.03469335,0.05545425,0.05545425,0.05545425,0.05545425,0.05545425,0.08949512,0.08949512,0.08949512,0.08949512,0.08949512,0.14326269,0.14326269,0.14326269,0.14326269,0.14326269,0.22051331,0.22051331,0.22051331,0.22051331,0.22051331,0.31513196,0.31513196,0.31513196,0.31513196,0.31513196,0.43072464,0.43072464,0.43072464,0.43072464,0.43072464,0.56465398
