Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,753.0,703.0,660.0,622.0,589.0,561.0,536.0,514.0,495.0,478.0,463.99999999999994,452.0,437.99999999999994,419.0,397.99999999999994,379.0,361.0,345.0,332.0,322.0,313.0,304.0,297.0,292.0,289.0,286.00000000000006,284.0,282.0,278.0,273.99999999999994,270.0,266.0,263.0,261.0,260.0,258.0,255.0,253.0,254.0,256.0,257.0,259.0,253.0,234.0,209.0,184.0,158.0,136.99999999999997,123.00000000000001,115.0,106.0,96.0,88.00000000000001,80.0,73.0,66.0,60.0,55.0,50.0,46.0,42.0,39.0,35.0,32.0,28.999999999999996,27.000000000000004,24.0,22.000000000000004,19.0,17.0,15.0,13.000000000000002,11.000000000000002,10.0,10.0,10.0,10.0,10.0,9.000000000000002,8.0,6.999999999999999,6.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,785.9999999999999,719.0000000000001,672.9999999999999,633.0,598.0,567.0000000000001,540.0,516.0,496.0,478.0,462.0,447.99999999999994,437.00000000000006,424.0,406.0,386.0,367.00000000000006,350.0,333.99999999999994,322.0,313.0,303.0,295.0,288.00000000000006,283.00000000000006,278.99999999999994,276.99999999999994,275.0,272.0,268.99999999999994,264.0,260.0,257.0,254.0,252.0,251.0,249.0,246.00000000000003,244.0,245.0,247.0,248.0,249.0,243.0,226.0,201.0,177.0,152.0,132.0,118.00000000000001,110.0,100.99999999999999,93.00000000000001,85.0,77.0,70.0,63.0,57.99999999999999,53.0,48.0,44.00000000000001,40.0,36.00000000000001,33.0,30.0,27.000000000000004,25.0,23.0,20.0,18.000000000000004,16.0,13.999999999999998,12.0,10.0,9.000000000000002,9.000000000000002,9.000000000000002,9.000000000000002,9.000000000000002,8.0,6.999999999999999,6.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,826.0,760.0,696.0,653.0,615.0,581.0,552.0,526.0,504.0,484.0,467.0,452.0,437.99999999999994,428.0,415.0,397.0,377.99999999999994,360.0,343.0,327.99999999999994,316.0,307.0,298.0,289.0,282.0,276.99999999999994,273.99999999999994,271.0,268.99999999999994,266.0,263.0,258.0,254.0,251.0,248.0,246.00000000000003,245.0,243.0,239.0,238.00000000000003,239.0,241.00000000000003,242.0,243.0,237.0,220.0,196.0,173.00000000000003,148.00000000000003,128.0,115.0,107.0,99.0,90.0,81.99999999999999,75.0,68.0,61.0,55.99999999999999,51.0,46.0,42.0,38.0,35.0,32.0,28.999999999999996,26.000000000000004,23.0,21.0,19.0,17.0,15.0,13.000000000000002,11.000000000000002,9.000000000000002,9.000000000000002,8.0,8.0,8.0,8.0,6.999999999999999,6.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,868.0,797.0,733.0,682.0,640.9999999999999,604.0,572.0000000000001,544.0,519.0,498.0,479.0,462.0,447.0,435.0,424.0,411.00000000000006,393.99999999999994,375.0,358.0,341.0,326.0,315.0,305.0,296.00000000000006,287.0,281.0,276.0,272.0,268.99999999999994,267.0,264.0,260.0,256.0,252.0,248.0,245.0,243.0,242.0,240.0,237.0,235.0,236.00000000000003,238.00000000000003,239.0,240.0,235.0,218.0,193.99999999999997,171.0,146.0,126.0,114.0,106.0,96.99999999999999,89.00000000000001,81.0,74.00000000000001,66.0,60.0,55.0,50.0,45.0,40.99999999999999,37.00000000000001,34.0,31.0,27.999999999999996,25.0,22.000000000000004,20.0,18.000000000000004,16.0,13.999999999999998,12.0,10.0,9.000000000000002,8.0,8.0,6.999999999999999,6.999999999999999,6.999999999999999,6.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,907.9999999999999,836.0,773.0,716.0,675.9999999999999,636.0,601.0,570.0,542.9999999999999,519.0,497.00000000000006,479.0,462.0,447.99999999999994,436.0,425.0,413.0,396.0,377.0,359.0,343.0,327.99999999999994,316.0,307.0,298.0,289.0,282.0,276.99999999999994,273.0,270.0,267.0,265.0,261.0,256.0,252.0,248.0,245.0,243.0,242.0,239.0,236.00000000000003,235.0,236.00000000000003,238.00000000000003,239.0,240.0,235.0,218.0,193.99999999999997,170.0,146.0,126.0,113.0,106.0,96.99999999999999,89.00000000000001,81.0,73.0,66.0,60.0,54.00000000000001,49.0,45.0,40.0,37.00000000000001,33.0,30.0,27.000000000000004,24.0,22.000000000000004,19.0,17.0,15.0,13.000000000000002,11.000000000000002,9.000000000000002,8.0,6.999999999999999,6.999999999999999,6.999999999999999,6.0,6.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,940.0,875.9999999999999,817.0000000000001,764.0,717.0000000000001,674.0,636.0,602.0,572.0000000000001,545.0,522.0,501.0,482.00000000000006,466.0,452.0,440.0,430.0,417.00000000000006,401.0,382.0,364.0,347.00000000000006,332.99999999999994,321.0,311.0,302.0,293.0,286.00000000000006,281.0,276.0,273.0,270.0,267.0,263.0,258.0,254.0,250.0,247.0,245.0,243.0,241.00000000000003,238.00000000000003,236.00000000000003,237.0,239.0,240.0,242.0,236.00000000000003,218.99999999999997,195.0,171.0,147.0,127.0,114.0,106.0,96.99999999999999,89.00000000000001,81.0,73.0,66.0,60.0,54.00000000000001,49.0,44.00000000000001,40.0,36.00000000000001,33.0,28.999999999999996,26.000000000000004,23.0,21.0,19.0,17.0,13.999999999999998,12.0,10.0,9.000000000000002,6.999999999999999,6.999999999999999,6.0,6.0,6.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,939.0,927.0,871.0,819.0000000000001,770.9999999999999,727.0,686.0,648.0,614.0,584.0,557.0,532.9999999999999,511.0,491.0,474.0,457.99999999999994,445.0,433.0,419.0,402.0,382.99999999999994,366.0,349.0,333.99999999999994,322.0,312.0,303.0,294.0,287.0,281.0,278.0,275.0,272.0,268.99999999999994,266.0,261.0,257.0,253.0,250.0,248.0,246.00000000000003,243.0,239.0,237.0,238.00000000000003,240.0,241.00000000000003,243.0,237.0,221.0,196.99999999999997,174.0,149.0,129.0,115.99999999999999,108.00000000000001,99.0,91.0,81.99999999999999,75.0,67.0,61.0,55.0,50.0,45.0,40.0,36.00000000000001,33.0,28.999999999999996,26.000000000000004,23.0,21.0,18.000000000000004,16.0,13.999999999999998,12.0,11.000000000000002,9.000000000000002,8.0,6.999999999999999,6.0,6.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,930.9999999999999,900.0,917.9999999999999,870.0,825.0,780.9999999999999,740.0,700.0,662.0,628.0,598.0,571.0000000000001,546.0,523.0,502.0,483.0,467.0,451.0,437.99999999999994,423.0,405.0,386.0,369.0,352.00000000000006,337.99999999999994,325.0,315.0,305.0,296.00000000000006,289.0,284.0,280.0,276.99999999999994,275.0,273.0,268.99999999999994,265.0,261.0,258.0,255.0,252.0,249.0,246.00000000000003,241.00000000000003,239.0,240.0,242.0,243.0,245.0,239.0,223.0,198.99999999999997,176.00000000000003,153.0,133.0,120.0,111.0,102.0,93.00000000000001,84.0,76.0,68.0,62.0,55.99999999999999,50.0,45.0,40.99999999999999,36.00000000000001,33.0,28.999999999999996,26.000000000000004,23.0,21.0,18.000000000000004,16.0,13.999999999999998,12.0,11.000000000000002,9.000000000000002,8.0,6.999999999999999,6.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,915.9999999999999,905.0,889.0,907.9999999999999,869.0000000000001,830.0,790.9999999999999,752.0,714.0000000000001,675.9999999999999,642.0,612.0,585.0,560.0,535.0,513.0,493.0,474.0,457.99999999999994,442.0,426.0,408.0,389.0,372.00000000000006,355.0,341.0,327.99999999999994,317.0,307.0,298.0,291.00000000000006,286.00000000000006,283.00000000000006,280.0,278.0,276.0,273.0,268.99999999999994,265.0,262.0,259.0,256.0,252.0,249.0,244.0,241.00000000000003,241.00000000000003,244.0,245.0,247.0,241.00000000000003,225.0,201.99999999999997,179.0,156.0,136.0,123.00000000000001,114.0,104.00000000000001,95.0,86.0,77.0,70.0,63.0,57.0,51.0,46.0,40.99999999999999,37.00000000000001,33.0,28.999999999999996,26.000000000000004,23.0,20.0,18.000000000000004,16.0,13.999999999999998,12.0,11.000000000000002,9.000000000000002,8.0,6.999999999999999,6.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,897.0,902.0,900.0,890.9999999999999,893.0,863.0,831.0,795.9999999999999,760.9999999999999,725.0,687.0,653.0,623.0,596.0,570.0,544.0,521.0,499.0,480.0,462.0,445.0,427.00000000000006,409.0,390.0,373.0,357.00000000000006,342.0,328.99999999999994,318.0,308.0,298.0,291.00000000000006,286.00000000000006,283.00000000000006,281.0,280.0,278.0,275.0,271.0,268.0,265.0,262.0,258.0,254.0,250.0,245.0,241.00000000000003,242.0,244.0,245.0,247.0,242.0,226.0,203.0,181.00000000000003,158.0,139.0,125.0,115.99999999999999,106.0,96.0,87.0,78.0,71.0,64.0,57.0,51.0,46.0,40.99999999999999,36.00000000000001,32.0,28.999999999999996,26.000000000000004,23.0,20.0,18.000000000000004,16.0,13.999999999999998,12.0,11.000000000000002,10.0,9.000000000000002,6.999999999999999,6.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
