Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,195138,186091,177379,169037,161097,153592,146556,140022,134023,128591.00000000001,123776,119627,116098,113195,110994,109302,107829,108213,111140,115698,120222,124966,128947,131479,132911,134527,136371,136587,134476,130925.00000000001,127290,123028,120463,120806,122872,124403,126008,126146,123875,120042,116466,112813,109392,106548,104092,101479,98805,96381,94307,92497,90717,88945,87432,86254,85267,84220,83131,81848,80260,78396,76466,74516,71990,68662,64804,60921,56928,53103,49644,46435,43177,39941,36803,33774,30863,28053,25335,22819,20556,18493,16542,14736,12969,11184,9440,7839,6346,5070,4067,3281,2493,1930,1581,1182,732,472,396,310,217,115,171
1951,187535,196746,188523,180265,172067,164029,156186,148573,141604,135502,130178,125360,121159,117621,114761,112645,111041,109657,110168,113274,118038,122757,127699,131805,134355,135726,137280,139058,139164,136889,133140,129298,124805,122072,122350,124416,125929,127523,127609,125218,121221,117493,113690,110117,107128,104530,101774,98951,96402,94234,92354,90500,88660,87066,85791,84693,83540,82349,80958,79249,77260,75210,73139,70509,67102,63181,59243,55203,51334,47823,44566,41270,37998,34859,31878,29047,26323,23706,21265,19025,16959,15018,13220,11506,9846,8269,6808,5487,4388,3500,2774,2088,1620,1325,988,607,380,297,207,110,161
1952,182768,187650,197890,190517,182733,174701,166584,158419,150245,142856,136666,131461,126653,122411,118870,116061,114035,112524,111232,111869,115148,120106,125011,130139.00000000001,134364,136925,138230,139719,141426,141420,138986,135049,131007,126293,123397,123610,125669,127163,128740.00000000001,128774,126268,122117,118243,114297,110581,107452,104719,101825,98859,96189,93934,91987,90065,88160,86491,85118,83912,82656,81366,79868,78044,75933,73765,71580,68852,65372,61399,57414,53338,49432,45879,42580,39253,35953,32821,29896,27152,24521,22012,19651,17440,15377,13451,11666,10010,8477,7073,5756,4609,3693,2920,2257,1674,1305,1064,789,481,288,200,105,154
1953,181127,189398,193974,198528,192024,184735,176889,168713,160248,151533,143741,137479,132408,127622,123348,119816,117065,115133,113720,112523,113285,116728,121869,126947,132249,136579,139144,140381,141801,143434,143317,140728,136613,132383,127459,124407,124554,126602,128072,129627.99999999999,129610.00000000001,126995,122699,118689,114610,110761,107499,104638,101613,98513,95728,93393,91384,89399,87435,85694,84229,82917,81561,80176,78576,76640,74413,72132,69837,67018,63475,59459,55438,51336,47404,43817,40486,37137,33818,30700,27838,25187,22655,20261,17986,15812,13755,11849,10081,8488,7086,5858,4688,3719,2987,2333,1735,1256,987,800,588,352,195,102,146
1954,182756,192048,197549,199685,198853,193226,186442,178794,170573,161822,152581,144401,138077,133147,128389.00000000001,124091,120572,117883,116049,114735,113633,114519,118121,123435,128678,134143,138573,141139,142307,143656,145211,144982,142246,137959,133548,128423,125221,125302,127336,128780,130312.99999999999,130241.99999999999,127522,123088,118949,114744,110765,107378,104394,101243,98013,95120,92707,90641,88597,86576,84768,83214,81799,80345,78867,77168,75122,72783,70395,67993,65087,61487,57434,53383,49262,45310,41696,38337,34970,31637,28539,25744,23193,20762,18486,16300,14164,12118,10234,8487,6957,5690,4638,3617,2826,2280,1745,1212,839,668,536,388,225,99,140
1955,187530,195757,200675,202640,202009,199139,194385,188104,180654,172390,163356,153594,145028,138644,133855,129127.00000000001,124807,121301,118674,116937,115720,114716,115723,119482,124968,130372.99999999999,136001,140529,143095,144193,145471,146950,146611,143728,139271,134680,129357,126007,126021,128041,129458,130969,130844,128020.00000000001,123450,119183,114852,110748,107235,104129,100854,97496,94496,92006,89885,87783,85706,83832,82189,80670,79121,77551,75753,73599,71148,68654,66146,63155,59499,55411,51330,47191,43219,39579,36194,32809,29463,26384,23656,21203,18875,16718,14621,12523,10487,8626,6898,5433,4299,3424,2551,1938,1575,1160,690,423,352,273,189,97,135
1956,195564,191823,198153,201900,203299,202578,200112,196274,190589,183009,174189,164855,154892,146272,140064,135596,131161,127137,123859,121334,119610,118417,117435,118409,122059,127385,132618,138052,142415,144870,145893,147081,148470,148023,144998,140383,135639,130161,126679,126602,128554,129901.00000000001,131346,131143,128215,123525,119145,114702,110497,106902,103726,100378,96945,93872,91309,89114,86938,84792,82826,81061,79401,77712,76004,74082,71827,69291,66716,64141.00000000001,61080,57345,53181,49035,44832,40854,37288,34031,30779,27586,24620,21932,19475,17161,15016,12984,11032,9194,7494,5964,4707,3702,2895,2135,1628,1322,969,573,353,274,189,96,131
1957,204894,206800,195891,200313,202884,203712,202904,200846,197928,192847,185147,175779,166156,156004,147341,141318,137177,133039,129318.99999999999,126273,123852,122142,120974,120017,120956,124492,129651.99999999999,134706,139939,144129,146473,147418,148516,149813,149257,146095,141327,136435,130808,127199,127030,128912,130187.99999999999,131566,131283,128255,123451,118963,114412,110111,106438,103196,99779,96276,93132,90501,88235,85988,83775,81721,79834,78033,76209,74365,72320,69965,67347,64696,62057,58931,55121,50884,46677,42417,38436,34951,31825,28710,25674,22824,20178,17722,15426,13295,11329,9526,7888,6352,5022,3975,3103,2362,1716,1317,1065,777,455,277,189,97,128
1958,214414,212439,210538,199869,202381,203775,204033,203137,201489,199493,195018,187200,177288,167382,157046,148342,142507,138695,134857,131442,128627.99999999999,126313,124618,123475,122545,123446,126867,131858,136732,141761,145777,148007,148875,149882,151087,150423,147127,142206,137170,131396,127661,127400,129211.99999999999,130414.99999999999,131725,131364,128235.99999999999,123321,118727,114069,109674,105925,102619,99134,95562,92350,89651,87315,84999,82720,80578,78572,76631,74672,72693,70526,68073,65373.99999999999,62648,59945,56754,52871,48565,44301,39983,36003,32598,29605,26628,23751,21018,18415,15961,13683,11568,9670,8016.999999999999,6578,5207,4077,3240,2500,1828,1296,1004.9999999999999,808,585,336,193,96,126
1959,222789,217575,213466,210261,203800,204402,204620,204308,203324,202086,201011,197143,189210,178758,168570,158052,149310,143664,140181,136643,133533,130953,128744,127065,125947,125042,125908,129211.99999999999,134034,138726,143549,147391,149507,150298,151214,152326,151554,148123,143053,137873,131954,128095,127742,129483,130613,131855,131416,128189,123163,118463,113700,109211,105389,102018,98468,94827,91548,88782,86377,83992,81648,79419,77294,75214,73120,71006,68719,66167,63389,60588,57822,54567,50613,46236,41915,37544,33564,30240,27382,24543,21823,19210,16651,14199,11939,9841,8010,6506,5269,4062.0000000000005,3133,2506,1898,1295,877,693,552,393,218,98,126
1960,228758,221684,216302,212343,209538,207618,206313,205355,204475,203403,202573,202421,199160,191117,180131,169666,158972,150197,144742,141589,138355,135551,133205,131103,129440,128348.99999999999,127470,128298,131485,136134,140643,145259,148925,150925,151639,152463,153482,152604,149040,143823,138501,132441,128460.00000000001,128014.99999999999,129683,130741.99999999999,131915,131398,128073.00000000001,122939,118137,113272,108693,104796,101365,97750,94044,90698,87867,85394,82942,80535,78220,75977,73760,71532,69285,66878,64230.99999999999,61373,58498,55672,52354,48331,43888,39513,35088,31111,27870,25147,22447,19889,17394,14880,12430,10191,8109.999999999999,6348,4994,3958,2916,2187,1772,1295,760,458,380,295,201,100,127
1961,231780,228797,222786,218053,214397,211621,209459,207648,206314,205383,204466,203661,203456,200214,192295,181499,171212,160695,152063,146689,143573,140373,137605,135235,133030,131212,129957,128899,129570,132639,137199,141605,146116,149677,151573,152182,152904,153821,152845,149188,143881,138472,132329,128255,127699,129247.00000000001,130187.99999999999,131244,130634.99999999999,127258,122097,117265,112373,107752,103789,100274,96578,92787,89359,86448,83899,81365,78876,76467,74106,71758,69410,67055,64533,61757,58772,55782,52837,49485,45548,41272,37066,32837,29005,25818,23095,20418,17880,15467,13128,10914,8864,7019,5509,4309,3348,2441,1840,1486,1083,632,392,303,208,102,129
