Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.05547911,0.00216304,0.00216304,0.00216304,0.00216304,0.00072775,0.00072775,0.00072775,0.00072775,0.00072775,0.00057362,0.00057362,0.00057362,0.00057362,0.00057362,0.00108955,0.00108955,0.00108955,0.00108955,0.00108955,0.00158681,0.00158681,0.00158681,0.00158681,0.00158681,0.00160458,0.00160458,0.00160458,0.00160458,0.00160458,0.00184756,0.00184756,0.00184756,0.00184756,0.00184756,0.0024456,0.0024456,0.0024456,0.0024456,0.0024456,0.00346366,0.00346366,0.00346366,0.00346366,0.00346366,0.00547523,0.00547523,0.00547523,0.00547523,0.00547523,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.01335767,0.01335767,0.01335767,0.01335767,0.01335767,0.02073819,0.02073819,0.02073819,0.02073819,0.02073819,0.03368289,0.03368289,0.03368289,0.03368289,0.03368289,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.09208697,0.09208697,0.09208697,0.09208697,0.09208697,0.15079633,0.15079633,0.15079633,0.15079633,0.15079633,0.23532119,0.23532119,0.23532119,0.23532119,0.23532119,0.3501245,0.3501245,0.3501245,0.3501245,0.3501245,0.47805467,0.47805467,0.47805467,0.47805467,0.47805467,0.6207336999999999
1951,0.05547911,0.00216304,0.00216304,0.00216304,0.00216304,0.00072775,0.00072775,0.00072775,0.00072775,0.00072775,0.00057362,0.00057362,0.00057362,0.00057362,0.00057362,0.00108955,0.00108955,0.00108955,0.00108955,0.00108955,0.00158681,0.00158681,0.00158681,0.00158681,0.00158681,0.00160458,0.00160458,0.00160458,0.00160458,0.00160458,0.00184756,0.00184756,0.00184756,0.00184756,0.00184756,0.0024456,0.0024456,0.0024456,0.0024456,0.0024456,0.00346366,0.00346366,0.00346366,0.00346366,0.00346366,0.00547523,0.00547523,0.00547523,0.00547523,0.00547523,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.01335767,0.01335767,0.01335767,0.01335767,0.01335767,0.02073819,0.02073819,0.02073819,0.02073819,0.02073819,0.03368289,0.03368289,0.03368289,0.03368289,0.03368289,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.09208697,0.09208697,0.09208697,0.09208697,0.09208697,0.15079633,0.15079633,0.15079633,0.15079633,0.15079633,0.23532119,0.23532119,0.23532119,0.23532119,0.23532119,0.3501245,0.3501245,0.3501245,0.3501245,0.3501245,0.47805467,0.47805467,0.47805467,0.47805467,0.47805467,0.6207336999999999
1952,0.05547911,0.00216304,0.00216304,0.00216304,0.00216304,0.00072775,0.00072775,0.00072775,0.00072775,0.00072775,0.00057362,0.00057362,0.00057362,0.00057362,0.00057362,0.00108955,0.00108955,0.00108955,0.00108955,0.00108955,0.00158681,0.00158681,0.00158681,0.00158681,0.00158681,0.00160458,0.00160458,0.00160458,0.00160458,0.00160458,0.00184756,0.00184756,0.00184756,0.00184756,0.00184756,0.0024456,0.0024456,0.0024456,0.0024456,0.0024456,0.00346366,0.00346366,0.00346366,0.00346366,0.00346366,0.00547523,0.00547523,0.00547523,0.00547523,0.00547523,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.01335767,0.01335767,0.01335767,0.01335767,0.01335767,0.02073819,0.02073819,0.02073819,0.02073819,0.02073819,0.03368289,0.03368289,0.03368289,0.03368289,0.03368289,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.09208697,0.09208697,0.09208697,0.09208697,0.09208697,0.15079633,0.15079633,0.15079633,0.15079633,0.15079633,0.23532119,0.23532119,0.23532119,0.23532119,0.23532119,0.3501245,0.3501245,0.3501245,0.3501245,0.3501245,0.47805467,0.47805467,0.47805467,0.47805467,0.47805467,0.6207336999999999
1953,0.05547911,0.00216304,0.00216304,0.00216304,0.00216304,0.00072775,0.00072775,0.00072775,0.00072775,0.00072775,0.00057362,0.00057362,0.00057362,0.00057362,0.00057362,0.00108955,0.00108955,0.00108955,0.00108955,0.00108955,0.00158681,0.00158681,0.00158681,0.00158681,0.00158681,0.00160458,0.00160458,0.00160458,0.00160458,0.00160458,0.00184756,0.00184756,0.00184756,0.00184756,0.00184756,0.0024456,0.0024456,0.0024456,0.0024456,0.0024456,0.00346366,0.00346366,0.00346366,0.00346366,0.00346366,0.00547523,0.00547523,0.00547523,0.00547523,0.00547523,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.01335767,0.01335767,0.01335767,0.01335767,0.01335767,0.02073819,0.02073819,0.02073819,0.02073819,0.02073819,0.03368289,0.03368289,0.03368289,0.03368289,0.03368289,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.09208697,0.09208697,0.09208697,0.09208697,0.09208697,0.15079633,0.15079633,0.15079633,0.15079633,0.15079633,0.23532119,0.23532119,0.23532119,0.23532119,0.23532119,0.3501245,0.3501245,0.3501245,0.3501245,0.3501245,0.47805467,0.47805467,0.47805467,0.47805467,0.47805467,0.6207336999999999
1954,0.05547911,0.00216304,0.00216304,0.00216304,0.00216304,0.00072775,0.00072775,0.00072775,0.00072775,0.00072775,0.00057362,0.00057362,0.00057362,0.00057362,0.00057362,0.00108955,0.00108955,0.00108955,0.00108955,0.00108955,0.00158681,0.00158681,0.00158681,0.00158681,0.00158681,0.00160458,0.00160458,0.00160458,0.00160458,0.00160458,0.00184756,0.00184756,0.00184756,0.00184756,0.00184756,0.0024456,0.0024456,0.0024456,0.0024456,0.0024456,0.00346366,0.00346366,0.00346366,0.00346366,0.00346366,0.00547523,0.00547523,0.00547523,0.00547523,0.00547523,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.008922200000000002,0.01335767,0.01335767,0.01335767,0.01335767,0.01335767,0.02073819,0.02073819,0.02073819,0.02073819,0.02073819,0.03368289,0.03368289,0.03368289,0.03368289,0.03368289,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.055178599999999994,0.09208697,0.09208697,0.09208697,0.09208697,0.09208697,0.15079633,0.15079633,0.15079633,0.15079633,0.15079633,0.23532119,0.23532119,0.23532119,0.23532119,0.23532119,0.3501245,0.3501245,0.3501245,0.3501245,0.3501245,0.47805467,0.47805467,0.47805467,0.47805467,0.47805467,0.6207336999999999
1955,0.04393936,0.00164863,0.00164863,0.00164863,0.00164863,0.00062072,0.00062072,0.00062072,0.00062072,0.00062072,0.00048426,0.00048426,0.00048426,0.00048426,0.00048426,0.00107554,0.00107554,0.00107554,0.00107554,0.00107554,0.00166259,0.00166259,0.00166259,0.00166259,0.00166259,0.00165429,0.00165429,0.00165429,0.00165429,0.00165429,0.00175905,0.00175905,0.00175905,0.00175905,0.00175905,0.00219033,0.00219033,0.00219033,0.00219033,0.00219033,0.00308143,0.00308143,0.00308143,0.00308143,0.00308143,0.00491766,0.00491766,0.00491766,0.00491766,0.00491766,0.00798086,0.00798086,0.00798086,0.00798086,0.00798086,0.01298872,0.01298872,0.01298872,0.01298872,0.01298872,0.02028673,0.02028673,0.02028673,0.02028673,0.02028673,0.03193669,0.03193669,0.03193669,0.03193669,0.03193669,0.052585,0.052585,0.052585,0.052585,0.052585,0.08727476,0.08727476,0.08727476,0.08727476,0.08727476,0.1426304,0.1426304,0.1426304,0.1426304,0.1426304,0.22496977,0.22496977,0.22496977,0.22496977,0.22496977,0.33175671,0.33175671,0.33175671,0.33175671,0.33175671,0.4620366,0.4620366,0.4620366,0.4620366,0.4620366,0.60161735
1956,0.04393936,0.00164863,0.00164863,0.00164863,0.00164863,0.00062072,0.00062072,0.00062072,0.00062072,0.00062072,0.00048426,0.00048426,0.00048426,0.00048426,0.00048426,0.00107554,0.00107554,0.00107554,0.00107554,0.00107554,0.00166259,0.00166259,0.00166259,0.00166259,0.00166259,0.00165429,0.00165429,0.00165429,0.00165429,0.00165429,0.00175905,0.00175905,0.00175905,0.00175905,0.00175905,0.00219033,0.00219033,0.00219033,0.00219033,0.00219033,0.00308143,0.00308143,0.00308143,0.00308143,0.00308143,0.00491766,0.00491766,0.00491766,0.00491766,0.00491766,0.00798086,0.00798086,0.00798086,0.00798086,0.00798086,0.01298872,0.01298872,0.01298872,0.01298872,0.01298872,0.02028673,0.02028673,0.02028673,0.02028673,0.02028673,0.03193669,0.03193669,0.03193669,0.03193669,0.03193669,0.052585,0.052585,0.052585,0.052585,0.052585,0.08727476,0.08727476,0.08727476,0.08727476,0.08727476,0.1426304,0.1426304,0.1426304,0.1426304,0.1426304,0.22496977,0.22496977,0.22496977,0.22496977,0.22496977,0.33175671,0.33175671,0.33175671,0.33175671,0.33175671,0.4620366,0.4620366,0.4620366,0.4620366,0.4620366,0.60161735
1957,0.04393936,0.00164863,0.00164863,0.00164863,0.00164863,0.00062072,0.00062072,0.00062072,0.00062072,0.00062072,0.00048426,0.00048426,0.00048426,0.00048426,0.00048426,0.00107554,0.00107554,0.00107554,0.00107554,0.00107554,0.00166259,0.00166259,0.00166259,0.00166259,0.00166259,0.00165429,0.00165429,0.00165429,0.00165429,0.00165429,0.00175905,0.00175905,0.00175905,0.00175905,0.00175905,0.00219033,0.00219033,0.00219033,0.00219033,0.00219033,0.00308143,0.00308143,0.00308143,0.00308143,0.00308143,0.00491766,0.00491766,0.00491766,0.00491766,0.00491766,0.00798086,0.00798086,0.00798086,0.00798086,0.00798086,0.01298872,0.01298872,0.01298872,0.01298872,0.01298872,0.02028673,0.02028673,0.02028673,0.02028673,0.02028673,0.03193669,0.03193669,0.03193669,0.03193669,0.03193669,0.052585,0.052585,0.052585,0.052585,0.052585,0.08727476,0.08727476,0.08727476,0.08727476,0.08727476,0.1426304,0.1426304,0.1426304,0.1426304,0.1426304,0.22496977,0.22496977,0.22496977,0.22496977,0.22496977,0.33175671,0.33175671,0.33175671,0.33175671,0.33175671,0.4620366,0.4620366,0.4620366,0.4620366,0.4620366,0.60161735
1958,0.04393936,0.00164863,0.00164863,0.00164863,0.00164863,0.00062072,0.00062072,0.00062072,0.00062072,0.00062072,0.00048426,0.00048426,0.00048426,0.00048426,0.00048426,0.00107554,0.00107554,0.00107554,0.00107554,0.00107554,0.00166259,0.00166259,0.00166259,0.00166259,0.00166259,0.00165429,0.00165429,0.00165429,0.00165429,0.00165429,0.00175905,0.00175905,0.00175905,0.00175905,0.00175905,0.00219033,0.00219033,0.00219033,0.00219033,0.00219033,0.00308143,0.00308143,0.00308143,0.00308143,0.00308143,0.00491766,0.00491766,0.00491766,0.00491766,0.00491766,0.00798086,0.00798086,0.00798086,0.00798086,0.00798086,0.01298872,0.01298872,0.01298872,0.01298872,0.01298872,0.02028673,0.02028673,0.02028673,0.02028673,0.02028673,0.03193669,0.03193669,0.03193669,0.03193669,0.03193669,0.052585,0.052585,0.052585,0.052585,0.052585,0.08727476,0.08727476,0.08727476,0.08727476,0.08727476,0.1426304,0.1426304,0.1426304,0.1426304,0.1426304,0.22496977,0.22496977,0.22496977,0.22496977,0.22496977,0.33175671,0.33175671,0.33175671,0.33175671,0.33175671,0.4620366,0.4620366,0.4620366,0.4620366,0.4620366,0.60161735
1959,0.04393936,0.00164863,0.00164863,0.00164863,0.00164863,0.00062072,0.00062072,0.00062072,0.00062072,0.00062072,0.00048426,0.00048426,0.00048426,0.00048426,0.00048426,0.00107554,0.00107554,0.00107554,0.00107554,0.00107554,0.00166259,0.00166259,0.00166259,0.00166259,0.00166259,0.00165429,0.00165429,0.00165429,0.00165429,0.00165429,0.00175905,0.00175905,0.00175905,0.00175905,0.00175905,0.00219033,0.00219033,0.00219033,0.00219033,0.00219033,0.00308143,0.00308143,0.00308143,0.00308143,0.00308143,0.00491766,0.00491766,0.00491766,0.00491766,0.00491766,0.00798086,0.00798086,0.00798086,0.00798086,0.00798086,0.01298872,0.01298872,0.01298872,0.01298872,0.01298872,0.02028673,0.02028673,0.02028673,0.02028673,0.02028673,0.03193669,0.03193669,0.03193669,0.03193669,0.03193669,0.052585,0.052585,0.052585,0.052585,0.052585,0.08727476,0.08727476,0.08727476,0.08727476,0.08727476,0.1426304,0.1426304,0.1426304,0.1426304,0.1426304,0.22496977,0.22496977,0.22496977,0.22496977,0.22496977,0.33175671,0.33175671,0.33175671,0.33175671,0.33175671,0.4620366,0.4620366,0.4620366,0.4620366,0.4620366,0.60161735
