Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.03479482,0.00234449,0.00234449,0.00234449,0.00234449,0.00170147,0.00170147,0.00170147,0.00170147,0.00170147,0.00154186,0.00154186,0.00154186,0.00154186,0.00154186,0.00287083,0.00287083,0.00287083,0.00287083,0.00287083,0.00374138,0.00374138,0.00374138,0.00374138,0.00374138,0.00419695,0.00419695,0.00419695,0.00419695,0.00419695,0.00461383,0.00461383,0.00461383,0.00461383,0.00461383,0.00534684,0.00534684,0.00534684,0.00534684,0.00534684,0.00629213,0.00629213,0.00629213,0.00629213,0.00629213,0.00789804,0.00789804,0.00789804,0.00789804,0.00789804,0.01045063,0.01045063,0.01045063,0.01045063,0.01045063,0.01442572,0.01442572,0.01442572,0.01442572,0.01442572,0.02098362,0.02098362,0.02098362,0.02098362,0.02098362,0.03052271,0.03052271,0.03052271,0.03052271,0.03052271,0.04718992,0.04718992,0.04718992,0.04718992,0.04718992,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.12377092,0.12377092,0.12377092,0.12377092,0.12377092,0.1952276,0.1952276,0.1952276,0.1952276,0.1952276,0.28393392,0.28393392,0.28393392,0.28393392,0.28393392,0.40229558,0.40229558,0.40229558,0.40229558,0.40229558,0.53636504
1951,0.03479482,0.00234449,0.00234449,0.00234449,0.00234449,0.00170147,0.00170147,0.00170147,0.00170147,0.00170147,0.00154186,0.00154186,0.00154186,0.00154186,0.00154186,0.00287083,0.00287083,0.00287083,0.00287083,0.00287083,0.00374138,0.00374138,0.00374138,0.00374138,0.00374138,0.00419695,0.00419695,0.00419695,0.00419695,0.00419695,0.00461383,0.00461383,0.00461383,0.00461383,0.00461383,0.00534684,0.00534684,0.00534684,0.00534684,0.00534684,0.00629213,0.00629213,0.00629213,0.00629213,0.00629213,0.00789804,0.00789804,0.00789804,0.00789804,0.00789804,0.01045063,0.01045063,0.01045063,0.01045063,0.01045063,0.01442572,0.01442572,0.01442572,0.01442572,0.01442572,0.02098362,0.02098362,0.02098362,0.02098362,0.02098362,0.03052271,0.03052271,0.03052271,0.03052271,0.03052271,0.04718992,0.04718992,0.04718992,0.04718992,0.04718992,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.12377092,0.12377092,0.12377092,0.12377092,0.12377092,0.1952276,0.1952276,0.1952276,0.1952276,0.1952276,0.28393392,0.28393392,0.28393392,0.28393392,0.28393392,0.40229558,0.40229558,0.40229558,0.40229558,0.40229558,0.53636504
1952,0.03479482,0.00234449,0.00234449,0.00234449,0.00234449,0.00170147,0.00170147,0.00170147,0.00170147,0.00170147,0.00154186,0.00154186,0.00154186,0.00154186,0.00154186,0.00287083,0.00287083,0.00287083,0.00287083,0.00287083,0.00374138,0.00374138,0.00374138,0.00374138,0.00374138,0.00419695,0.00419695,0.00419695,0.00419695,0.00419695,0.00461383,0.00461383,0.00461383,0.00461383,0.00461383,0.00534684,0.00534684,0.00534684,0.00534684,0.00534684,0.00629213,0.00629213,0.00629213,0.00629213,0.00629213,0.00789804,0.00789804,0.00789804,0.00789804,0.00789804,0.01045063,0.01045063,0.01045063,0.01045063,0.01045063,0.01442572,0.01442572,0.01442572,0.01442572,0.01442572,0.02098362,0.02098362,0.02098362,0.02098362,0.02098362,0.03052271,0.03052271,0.03052271,0.03052271,0.03052271,0.04718992,0.04718992,0.04718992,0.04718992,0.04718992,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.12377092,0.12377092,0.12377092,0.12377092,0.12377092,0.1952276,0.1952276,0.1952276,0.1952276,0.1952276,0.28393392,0.28393392,0.28393392,0.28393392,0.28393392,0.40229558,0.40229558,0.40229558,0.40229558,0.40229558,0.53636504
1953,0.03479482,0.00234449,0.00234449,0.00234449,0.00234449,0.00170147,0.00170147,0.00170147,0.00170147,0.00170147,0.00154186,0.00154186,0.00154186,0.00154186,0.00154186,0.00287083,0.00287083,0.00287083,0.00287083,0.00287083,0.00374138,0.00374138,0.00374138,0.00374138,0.00374138,0.00419695,0.00419695,0.00419695,0.00419695,0.00419695,0.00461383,0.00461383,0.00461383,0.00461383,0.00461383,0.00534684,0.00534684,0.00534684,0.00534684,0.00534684,0.00629213,0.00629213,0.00629213,0.00629213,0.00629213,0.00789804,0.00789804,0.00789804,0.00789804,0.00789804,0.01045063,0.01045063,0.01045063,0.01045063,0.01045063,0.01442572,0.01442572,0.01442572,0.01442572,0.01442572,0.02098362,0.02098362,0.02098362,0.02098362,0.02098362,0.03052271,0.03052271,0.03052271,0.03052271,0.03052271,0.04718992,0.04718992,0.04718992,0.04718992,0.04718992,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.12377092,0.12377092,0.12377092,0.12377092,0.12377092,0.1952276,0.1952276,0.1952276,0.1952276,0.1952276,0.28393392,0.28393392,0.28393392,0.28393392,0.28393392,0.40229558,0.40229558,0.40229558,0.40229558,0.40229558,0.53636504
1954,0.03479482,0.00234449,0.00234449,0.00234449,0.00234449,0.00170147,0.00170147,0.00170147,0.00170147,0.00170147,0.00154186,0.00154186,0.00154186,0.00154186,0.00154186,0.00287083,0.00287083,0.00287083,0.00287083,0.00287083,0.00374138,0.00374138,0.00374138,0.00374138,0.00374138,0.00419695,0.00419695,0.00419695,0.00419695,0.00419695,0.00461383,0.00461383,0.00461383,0.00461383,0.00461383,0.00534684,0.00534684,0.00534684,0.00534684,0.00534684,0.00629213,0.00629213,0.00629213,0.00629213,0.00629213,0.00789804,0.00789804,0.00789804,0.00789804,0.00789804,0.01045063,0.01045063,0.01045063,0.01045063,0.01045063,0.01442572,0.01442572,0.01442572,0.01442572,0.01442572,0.02098362,0.02098362,0.02098362,0.02098362,0.02098362,0.03052271,0.03052271,0.03052271,0.03052271,0.03052271,0.04718992,0.04718992,0.04718992,0.04718992,0.04718992,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.07715889999999999,0.12377092,0.12377092,0.12377092,0.12377092,0.12377092,0.1952276,0.1952276,0.1952276,0.1952276,0.1952276,0.28393392,0.28393392,0.28393392,0.28393392,0.28393392,0.40229558,0.40229558,0.40229558,0.40229558,0.40229558,0.53636504
1955,0.03030318,0.00193089,0.00193089,0.00193089,0.00193089,0.00148188,0.00148188,0.00148188,0.00148188,0.00148188,0.00137586,0.00137586,0.00137586,0.00137586,0.00137586,0.00262031,0.00262031,0.00262031,0.00262031,0.00262031,0.00341164,0.00341164,0.00341164,0.00341164,0.00341164,0.00382297,0.00382297,0.00382297,0.00382297,0.00382297,0.00422408,0.00422408,0.00422408,0.00422408,0.00422408,0.00493807,0.00493807,0.00493807,0.00493807,0.00493807,0.005875,0.005875,0.005875,0.005875,0.005875,0.00746879,0.00746879,0.00746879,0.00746879,0.00746879,0.00993747,0.00993747,0.00993747,0.00993747,0.00993747,0.01377296,0.01377296,0.01377296,0.01377296,0.01377296,0.02018357,0.02018357,0.02018357,0.02018357,0.02018357,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.04589704,0.04589704,0.04589704,0.04589704,0.04589704,0.07538848,0.07538848,0.07538848,0.07538848,0.07538848,0.12183372,0.12183372,0.12183372,0.12183372,0.12183372,0.19379409,0.19379409,0.19379409,0.19379409,0.19379409,0.28386917,0.28386917,0.28386917,0.28386917,0.28386917,0.40435048,0.40435048,0.40435048,0.40435048,0.40435048,0.54157234
1956,0.03030318,0.00193089,0.00193089,0.00193089,0.00193089,0.00148188,0.00148188,0.00148188,0.00148188,0.00148188,0.00137586,0.00137586,0.00137586,0.00137586,0.00137586,0.00262031,0.00262031,0.00262031,0.00262031,0.00262031,0.00341164,0.00341164,0.00341164,0.00341164,0.00341164,0.00382297,0.00382297,0.00382297,0.00382297,0.00382297,0.00422408,0.00422408,0.00422408,0.00422408,0.00422408,0.00493807,0.00493807,0.00493807,0.00493807,0.00493807,0.005875,0.005875,0.005875,0.005875,0.005875,0.00746879,0.00746879,0.00746879,0.00746879,0.00746879,0.00993747,0.00993747,0.00993747,0.00993747,0.00993747,0.01377296,0.01377296,0.01377296,0.01377296,0.01377296,0.02018357,0.02018357,0.02018357,0.02018357,0.02018357,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.04589704,0.04589704,0.04589704,0.04589704,0.04589704,0.07538848,0.07538848,0.07538848,0.07538848,0.07538848,0.12183372,0.12183372,0.12183372,0.12183372,0.12183372,0.19379409,0.19379409,0.19379409,0.19379409,0.19379409,0.28386917,0.28386917,0.28386917,0.28386917,0.28386917,0.40435048,0.40435048,0.40435048,0.40435048,0.40435048,0.54157234
1957,0.03030318,0.00193089,0.00193089,0.00193089,0.00193089,0.00148188,0.00148188,0.00148188,0.00148188,0.00148188,0.00137586,0.00137586,0.00137586,0.00137586,0.00137586,0.00262031,0.00262031,0.00262031,0.00262031,0.00262031,0.00341164,0.00341164,0.00341164,0.00341164,0.00341164,0.00382297,0.00382297,0.00382297,0.00382297,0.00382297,0.00422408,0.00422408,0.00422408,0.00422408,0.00422408,0.00493807,0.00493807,0.00493807,0.00493807,0.00493807,0.005875,0.005875,0.005875,0.005875,0.005875,0.00746879,0.00746879,0.00746879,0.00746879,0.00746879,0.00993747,0.00993747,0.00993747,0.00993747,0.00993747,0.01377296,0.01377296,0.01377296,0.01377296,0.01377296,0.02018357,0.02018357,0.02018357,0.02018357,0.02018357,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.04589704,0.04589704,0.04589704,0.04589704,0.04589704,0.07538848,0.07538848,0.07538848,0.07538848,0.07538848,0.12183372,0.12183372,0.12183372,0.12183372,0.12183372,0.19379409,0.19379409,0.19379409,0.19379409,0.19379409,0.28386917,0.28386917,0.28386917,0.28386917,0.28386917,0.40435048,0.40435048,0.40435048,0.40435048,0.40435048,0.54157234
1958,0.03030318,0.00193089,0.00193089,0.00193089,0.00193089,0.00148188,0.00148188,0.00148188,0.00148188,0.00148188,0.00137586,0.00137586,0.00137586,0.00137586,0.00137586,0.00262031,0.00262031,0.00262031,0.00262031,0.00262031,0.00341164,0.00341164,0.00341164,0.00341164,0.00341164,0.00382297,0.00382297,0.00382297,0.00382297,0.00382297,0.00422408,0.00422408,0.00422408,0.00422408,0.00422408,0.00493807,0.00493807,0.00493807,0.00493807,0.00493807,0.005875,0.005875,0.005875,0.005875,0.005875,0.00746879,0.00746879,0.00746879,0.00746879,0.00746879,0.00993747,0.00993747,0.00993747,0.00993747,0.00993747,0.01377296,0.01377296,0.01377296,0.01377296,0.01377296,0.02018357,0.02018357,0.02018357,0.02018357,0.02018357,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.04589704,0.04589704,0.04589704,0.04589704,0.04589704,0.07538848,0.07538848,0.07538848,0.07538848,0.07538848,0.12183372,0.12183372,0.12183372,0.12183372,0.12183372,0.19379409,0.19379409,0.19379409,0.19379409,0.19379409,0.28386917,0.28386917,0.28386917,0.28386917,0.28386917,0.40435048,0.40435048,0.40435048,0.40435048,0.40435048,0.54157234
1959,0.03030318,0.00193089,0.00193089,0.00193089,0.00193089,0.00148188,0.00148188,0.00148188,0.00148188,0.00148188,0.00137586,0.00137586,0.00137586,0.00137586,0.00137586,0.00262031,0.00262031,0.00262031,0.00262031,0.00262031,0.00341164,0.00341164,0.00341164,0.00341164,0.00341164,0.00382297,0.00382297,0.00382297,0.00382297,0.00382297,0.00422408,0.00422408,0.00422408,0.00422408,0.00422408,0.00493807,0.00493807,0.00493807,0.00493807,0.00493807,0.005875,0.005875,0.005875,0.005875,0.005875,0.00746879,0.00746879,0.00746879,0.00746879,0.00746879,0.00993747,0.00993747,0.00993747,0.00993747,0.00993747,0.01377296,0.01377296,0.01377296,0.01377296,0.01377296,0.02018357,0.02018357,0.02018357,0.02018357,0.02018357,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.029577999999999997,0.04589704,0.04589704,0.04589704,0.04589704,0.04589704,0.07538848,0.07538848,0.07538848,0.07538848,0.07538848,0.12183372,0.12183372,0.12183372,0.12183372,0.12183372,0.19379409,0.19379409,0.19379409,0.19379409,0.19379409,0.28386917,0.28386917,0.28386917,0.28386917,0.28386917,0.40435048,0.40435048,0.40435048,0.40435048,0.40435048,0.54157234
