Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,5914.0,5472.0,5120.0,4848.0,4646.0,4506.0,4416.0,4368.0,4352.0,4358.000000000001,4388.999999999999,4445.0,4461.0,4405.0,4301.0,4208.0,4119.0,4014.9999999999995,3895.0,3764.0,3637.0,3512.0,3392.0,3280.0,3179.0,3081.0000000000005,2978.9999999999995,2931.0,2963.0,3045.0,3122.0,3206.0000000000005,3253.9999999999995,3238.0,3179.0,3128.0,3078.0000000000005,3014.0,2933.9999999999995,2845.0,2748.9999999999995,2640.0,2560.0,2528.0,2523.0,2508.0,2496.0,2448.0,2344.0,2203.0000000000005,2070.0,1943.0,1807.0,1663.0,1518.0,1375.0,1220.9999999999998,1125.0,1117.0,1164.0000000000002,1206.0,1261.0,1269.0000000000002,1194.0,1069.0,957.0000000000001,844.0000000000001,759.0,722.0,717.0000000000001,704.0000000000001,689.0,674.0,654.0,629.0,608.0,592.0000000000001,558.9999999999999,505.0,435.0,369.0,301.0,243.0,204.0,176.00000000000003,148.00000000000003,121.0,98.0,77.0,59.00000000000001,42.0,31.0,25.0,18.000000000000004,11.000000000000002,6.0,5.0,4.0,2.0,1.0,1.0
1951,5826.000000000001,5942.0,5545.0,5217.000000000001,4951.000000000001,4742.0,4581.0,4459.0,4380.0,4346.999999999999,4341.0,4355.0,4391.0,4391.999999999999,4331.0,4228.0,4137.0,4048.0,3948.0,3833.9999999999995,3711.9999999999995,3592.0,3477.0,3362.0,3251.0000000000005,3147.0,3046.0000000000005,2941.0000000000005,2892.0,2924.0,3008.0,3086.9999999999995,3174.0,3223.0000000000005,3203.9999999999995,3139.0,3082.0,3026.0000000000005,2964.0,2901.9999999999995,2838.0,2765.0,2682.0,2616.0,2578.0000000000005,2555.0,2524.0,2495.0,2434.0,2325.0,2185.0,2050.0,1918.0000000000002,1784.0,1648.0000000000002,1516.0,1384.0000000000002,1245.0,1155.0,1137.0,1166.0,1192.0,1230.9999999999998,1230.9999999999998,1162.0,1052.0,953.0,854.0000000000001,777.0,740.0,726.0,707.0000000000001,687.0,665.9999999999999,645.0,620.0,597.0,579.0,545.0,486.0,413.0,343.0,271.0,212.0,175.0,152.0,128.0,106.0,85.0,67.0,51.0,36.00000000000001,26.000000000000004,21.0,16.0,8.0,6.0,5.0,3.0,1.0,1.0
1952,5877.000000000001,5822.0,5947.999999999999,5596.0,5294.0,5036.000000000001,4820.0,4638.999999999999,4483.000000000001,4376.0,4323.0,4306.0,4303.0,4318.000000000001,4305.0,4239.0,4138.0,4046.9999999999995,3960.0,3864.0,3756.9999999999995,3643.9999999999995,3533.0,3427.0,3320.0,3210.0,3102.0,2998.9999999999995,2892.0,2840.0,2873.0,2958.0,3038.0000000000005,3128.0,3177.0,3154.0,3085.0,3023.9999999999995,2961.0000000000005,2901.9999999999995,2856.9999999999995,2819.0,2772.0,2715.0,2663.0000000000005,2619.0,2578.0000000000005,2531.0,2485.0,2411.0,2296.9999999999995,2158.0,2021.9999999999998,1886.9999999999998,1755.0,1626.9999999999998,1509.0000000000002,1389.0,1265.0,1180.0,1155.0,1166.0,1176.0,1196.0,1187.0,1125.0,1031.0,945.0,861.0,794.0,754.0,734.0000000000001,709.0000000000001,682.0,657.9999999999999,633.0,608.0,584.0,565.0,528.0,466.0,389.0,315.0,239.0,179.0,146.0,126.0,108.00000000000001,88.00000000000001,71.0,55.99999999999999,40.99999999999999,28.999999999999996,22.000000000000004,17.0,12.0,6.999999999999999,5.0,3.0,1.0,1.0
1953,6002.000000000001,6015.0,5971.0,5917.999999999999,5616.000000000001,5341.0,5092.0,4871.0,4671.0,4483.000000000001,4346.0,4274.0,4245.0,4225.0,4220.0,4193.000000000001,4122.0,4022.0000000000005,3933.9999999999995,3850.0,3759.0,3659.0,3554.0,3452.0,3358.0,3258.0,3148.9999999999995,3038.9999999999995,2936.0000000000005,2825.0,2772.0,2805.0,2891.0,2972.0,3065.0,3114.0,3086.9999999999995,3013.0,2948.0,2878.9999999999995,2823.0,2796.0000000000005,2785.0,2762.0,2731.9999999999995,2695.0,2645.0,2586.0000000000005,2523.0,2461.0,2375.0,2256.9999999999995,2118.0000000000005,1982.0,1844.0,1715.0,1597.0,1492.0,1386.9999999999998,1280.0,1200.9999999999998,1167.0,1160.0,1153.0,1155.0,1137.0,1081.0,1004.0,934.0,864.0000000000001,805.9999999999999,765.9999999999999,739.0000000000001,708.0,675.0,645.0,618.0,593.0,567.0000000000001,547.0,509.0,444.0,362.00000000000006,286.00000000000006,207.0,145.0,115.0,99.0,86.0,72.00000000000001,57.99999999999999,45.0,32.0,22.000000000000004,17.0,13.000000000000002,10.0,5.0,3.0,1.0,2.0
1954,6156.000000000001,6176.0,6133.999999999999,6037.999999999999,5860.0,5608.0,5361.000000000001,5124.0,4898.0,4678.999999999999,4460.0,4295.0,4205.0,4166.0,4128.0,4103.0,4061.0,3986.0,3889.0,3803.0,3721.0,3636.0,3543.0,3447.0,3356.0000000000005,3273.0,3181.0,3074.0,2963.0,2856.9999999999995,2746.0000000000005,2691.9999999999995,2725.0,2811.0000000000005,2892.0,2986.0,3035.0,3005.0,2927.0,2859.0,2783.0,2731.9999999999995,2723.0000000000005,2738.0,2739.0,2736.0,2713.0,2658.0,2582.0,2505.0,2425.0,2328.0000000000005,2206.0,2069.0,1933.0,1794.0,1666.9999999999998,1560.0,1470.0,1379.0,1287.0,1217.0,1174.0000000000002,1148.0,1125.0,1109.0,1082.0,1034.0,974.0000000000001,917.9999999999999,864.0000000000001,815.0,775.0,740.0,703.0,665.0,630.0,602.0,575.0,550.0,528.0,488.0,420.0,335.0,255.0,174.0,111.99999999999999,85.0,73.0,65.0,55.0,44.00000000000001,33.0,23.0,15.0,12.0,9.000000000000002,6.0,3.0,1.0,2.0
1955,6309.0,6291.0,6224.0,6112.0,5962.999999999999,5784.0,5582.999999999999,5365.0,5138.999999999999,4910.0,4673.999999999999,4425.0,4232.0,4124.0,4075.0,4019.9999999999995,3973.9999999999995,3918.9999999999995,3839.0,3746.0000000000005,3662.0,3583.0,3503.0,3418.9999999999995,3333.0,3251.0000000000005,3180.0,3095.0,2991.0,2878.9999999999995,2772.0,2660.0,2605.0,2637.0,2723.0000000000005,2805.0,2898.9999999999995,2947.0,2915.0,2833.9999999999995,2761.0,2681.0,2633.0,2642.0,2683.0000000000005,2708.9999999999995,2731.9999999999995,2723.9999999999995,2665.0,2570.0,2477.0,2383.0,2274.0,2149.0,2015.0000000000002,1880.0,1739.0,1617.0,1521.0,1443.0,1367.0,1293.0000000000002,1229.0,1177.0,1134.0000000000002,1095.0,1060.0,1024.0,984.0000000000001,940.0,900.0,862.0,822.0000000000001,782.0,739.0000000000001,697.0000000000001,653.0,614.0,583.0,557.0,529.0,507.0,465.0,395.0,308.0,225.0,140.0,78.0,55.0,47.0,43.0,37.00000000000001,30.0,22.000000000000004,13.000000000000002,8.0,6.999999999999999,5.0,3.0,2.0,2.0
1956,6519.0,6251.0,6218.0,6148.0,6044.0,5912.000000000001,5757.000000000001,5587.999999999999,5390.0,5159.0,4909.0,4657.0,4394.0,4181.999999999999,4056.0,3986.0,3911.0,3844.0,3773.0,3685.0,3586.9999999999995,3500.0,3418.9999999999995,3342.0,3271.0000000000005,3203.0000000000005,3141.0,3089.0,3020.0,2924.0,2813.9999999999995,2711.0000000000005,2603.0,2549.0,2580.0,2662.0,2740.0,2828.9999999999995,2873.0,2842.0,2765.0,2696.0,2620.0,2572.0,2574.0,2605.0,2621.0000000000005,2634.0,2623.0,2573.0,2496.0,2420.0,2344.0,2247.0,2126.0,1989.0,1850.0,1706.9999999999998,1585.0,1499.0,1436.0,1372.0,1310.0,1251.0,1190.0,1130.0,1074.0,1022.0,974.0000000000001,930.9999999999999,890.9999999999999,853.0,818.0,779.0,733.0,684.0,636.0,586.0,544.0,514.0,492.00000000000006,467.0,447.99999999999994,413.0,349.0,270.0,193.0,119.00000000000001,68.0,48.0,40.0,36.00000000000001,32.0,26.000000000000004,19.0,11.000000000000002,6.999999999999999,5.0,3.0,2.0,2.0
1957,6687.0,6530.0,6176.0,6127.999999999999,6056.0,5962.000000000001,5843.999999999999,5713.999999999999,5579.0,5400.0,5164.0,4896.0,4627.0,4350.0,4122.0,3976.0000000000005,3886.0,3790.0,3703.9999999999995,3616.0,3520.0,3418.0,3328.9999999999995,3245.0,3171.9999999999995,3114.0,3065.0,3022.0,2990.0,2938.0,2848.9999999999995,2742.0,2643.0000000000005,2539.0,2487.0,2516.0,2594.0,2667.0,2750.0,2792.0,2763.0,2688.0,2623.0,2553.0,2505.0,2500.0,2519.0,2526.0,2528.0,2514.0000000000005,2474.0,2415.0,2356.0,2298.0,2214.0,2095.0,1955.0,1815.9999999999998,1670.0,1550.0,1474.0,1425.0,1374.0,1325.0,1271.0,1200.9999999999998,1123.0,1052.0,982.0,922.0,875.9999999999999,840.0,805.0,770.9999999999999,733.0,684.0,627.0,574.0,519.0,474.0,444.0,425.0,405.0,387.99999999999994,358.0,302.0,231.99999999999997,162.0,98.0,57.0,40.0,33.0,28.999999999999996,26.000000000000004,20.0,16.0,9.000000000000002,5.0,3.0,2.0,3.0
1958,6816.0,6587.000000000001,6383.999999999999,6098.0,6034.0,5961.0,5875.0,5774.0,5667.999999999999,5565.0,5407.0,5167.999999999999,4878.0,4596.0,4303.999999999999,4059.0,3893.9999999999995,3784.0,3668.0,3560.0,3458.0,3352.0,3248.0,3156.0,3069.0,3001.0000000000005,2956.0000000000005,2925.0,2901.0000000000005,2890.0,2853.0,2773.0,2668.9999999999995,2575.0,2474.0,2421.9999999999995,2450.0,2525.0,2593.0,2670.0,2708.9999999999995,2681.0,2611.0,2550.0,2483.0,2436.0,2424.0,2433.0000000000005,2430.0,2421.9999999999995,2404.0,2374.0,2333.0,2290.0,2250.0,2179.0000000000005,2065.0,1922.0,1781.0,1632.0,1514.0,1446.9999999999998,1413.0,1373.0000000000002,1338.0,1289.0000000000002,1210.9999999999998,1115.9999999999998,1028.0,941.0,869.0000000000001,821.0,787.9999999999999,755.0,725.0,686.0,632.0,570.0,511.0,451.0,402.0,375.0,358.0,341.0,328.99999999999994,303.0,255.0,193.99999999999997,130.0,77.0,47.0,34.0,26.000000000000004,22.000000000000004,20.0,16.0,11.000000000000002,6.999999999999999,4.0,2.0,3.0
1959,6912.999999999999,6630.0,6396.0,6201.000000000001,6025.0,5945.0,5870.0,5792.000000000001,5707.999999999999,5626.0,5557.0,5417.999999999999,5173.999999999999,4865.0,4567.0,4260.0,3998.9999999999995,3815.0,3683.9999999999995,3548.0,3420.0,3302.0,3187.0,3080.0,2985.0,2895.0,2831.0000000000005,2799.0,2787.0,2782.0,2791.0000000000005,2770.0,2698.0,2598.0000000000005,2506.0,2409.0000000000005,2360.0,2385.0,2457.0,2522.0,2592.0,2628.0,2601.0000000000005,2535.0,2477.0,2416.0,2369.0,2350.0,2347.0,2335.0,2316.0,2296.0,2276.0,2252.0,2226.0,2204.0,2145.0,2034.0000000000002,1890.0,1746.0,1595.0,1478.0000000000002,1421.0,1402.0,1374.0,1351.9999999999998,1307.0,1220.0,1109.0,1004.9999999999999,900.9999999999999,817.0000000000001,765.9999999999999,736.0,705.0,677.9999999999999,640.0,582.0000000000001,511.0,447.99999999999994,382.99999999999994,332.0,304.0,292.0,278.0,268.0,248.0,208.00000000000003,157.0,98.0,55.0,37.00000000000001,27.000000000000004,19.0,16.0,13.000000000000002,11.000000000000002,8.0,4.0,2.0,3.0
