Time,Births
1950,144895.0
1951,145597.0
1952,146636.0
1953,147415.0
1954,147795.0
1955,156152.0
1956,156270.0
1957,155861.0
1958,155174.0
1959,154383.0
1960,162315.0
1961,161100.0
1962,159925.0
1963,158947.0
1964,158367.0
1965,142514.0
1966,143160.0
1967,144483.0
1968,146311.0
1969,148368.0
1970,127298.0
1971,129307.0
1972,131325.0
1973,133366.0
1974,135459.0
1975,117110.0
1976,118857.0
1977,120519.0
1978,122103.0
1979,123632.0
1980,116989.0
1981,118188.0
1982,119283.0
1983,120228.0
1984,120965.0
1985,118370.0
1986,118664.0
1987,118838.0
1988,118863.0
1989,118684.0
1990,122476.0
1991,122151.0
1992,121601.0
1993,120829.0
1994,119858.0
1995,118957.0
1996,117515.0
1997,115913.0
1998,114233.0
1999,112562.0
2000,117270.0
2001,116006.0
2002,114926.0
2003,114093.0
2004,113552.0
2005,123391.0
2006,123600.0
2007,124135.0
2008,124928.0
2009,125872.0
2010,124756.0
2011,125496.0
2012,126392.0
2013,127361.0
2014,128306.0
2015,124673.0
2016,124786.0
2017,124777.0
2018,124655.0
2019,124426.0
2020,125386.0
2021,124844.0
2022,124183.0
2023,123438.0
2024,122658.0
2025,122494.0
2026,121681.0
2027,120916.0
2028,120228.0
2029,119650.0
2030,119769.0
2031,119510.0
2032,119403.0
2033,119432.0
2034,119565.0
2035,120064.0
2036,120403.0
2037,120828.0
2038,121280.0
2039,121683.0
2040,122583.0
2041,122860.0
2042,123053.0
2043,123160.0
2044,123173.0
2045,123142.0
2046,123018.0
2047,122819.0
2048,122545.0
2049,122207.0
2050,122013.0
2051,121686.0
2052,121349.0
2053,121007.0
2054,120650.0
2055,120653.0
2056,120343.0
2057,120064.0
2058,119808.0
2059,119566.0
2060,119250.0
2061,119112.0
2062,119026.0
2063,118975.0
2064,118938.0
2065,119187.0
2066,119277.0
2067,119404.0
2068,119545.0
2069,119666.0
2070,119849.0
2071,120023.0
2072,120195.0
2073,120341.0
2074,120424.0
2075,120733.0
2076,120806.0
2077,120842.0
2078,120830.0
2079,120752.0
2080,120462.0
2081,120390.0
2082,120299.0
2083,120174.0
2084,119996.0
2085,119830.0
2086,119710.0
2087,119590.0
2088,119460.0
2089,119299.0
2090,119026.0
2091,118968.0
2092,118932.0
2093,118888.0
2094,118811.0
2095,118703.0
2096,118761.0
2097,118828.0
2098,118884.0
2099,118903.0
