Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,65149,63533,61831,60063,58245,56396,54535,52678,50845,49052,47287,45534,43971,42684,41592,40537,39554,38574,37547,36513,35552,34642,33812,33079,32423,31799,31211,30653,30118,29604,29122,28670,28222,27764,27306,26865,26428,26032,25690,25383,25076,24777,24440,24038,23594,23154,22704,22270,21867,21477,21074,20664,20229,19764,19273,18781,18290,17771,17214,16636,16058,15476,14929,14437,13982,13526,13076,12628,12173,11719,11249,10739,10305,9997,9740,9457,9212,8684,7720,6487,5311,4124,3106,2378,1858,1333,827,452,235,135,90,73,55,35,16,4,4,2,2,0,0
1951,68846,63132,61460,59839,58256,56701,55197,53769,52223,50471,48614,46823,45048,43458,42149,41038,39948,38920,37905,36864,35829,34864,33950,33121,32399,31758,31151,30581,30040,29518,29015,28545,28107,27669,27220,26771,26337,25907,25516,25181,24879,24575,24279,23944,23542,23096,22652,22198,21758,21346,20948,20533,20109,19659,19174,18661,18147,17630,17086,16503,15898,15294,14683,14105,13582,13095,12607,12127,11647,11160,10671,10175,9650,9192,8844,8546,8231,7953,7446,6583,5505,4478,3447,2570,1952,1521,1084,672,369,193,110,73,59,44,29,12,4,3,2,0,0
1952,72018,66934,61171,59442,57899,56501,55204,54042,53044,51804,50134,48211,46392,44596,42977,41646,40515,39391,38316,37266,36209,35173,34203,33284,32458,31744,31118,30526,29974,29451,28941,28450,27991,27564,27137,26698,26256,25829,25405,25020,24690,24393,24092,23799,23465,23062,22615,22169,21710,21264,20844,20436,20008,19572,19106,18601,18068,17529,16988,16417,15808,15176,14545,13905,13298,12743,12223,11703,11191,10679,10159,9638,9115,8573,8092.000000000001,7706,7365,7018,6708,6221,5458,4532,3653,2777,2040,1531,1187,838,518,289,153,86,56,45,34,22,10,3,2,0,0
1953,74777,68676,63705,59355,57567,56100,54881,53841,53015,52444,51507,49913,47920,46071,44248,42597,41240,40088,38927,37803,36715,35641,34600,33625,32698.999999999996,31871,31164,30552,29975,29440,28932,28434,27952,27503,27087,26670,26239,25804,25383,24964,24583,24259,23965,23668,23376,23042,22639,22189,21738,21275,20821,20392,19972,19533,19081,18599,18075,17517,16953,16386,15789,15153,14492,13831,13163,12524,11937,11382,10829,10285,9739,9185,8630,8080,7521,7014,6588,6205,5826,5482,5015,4349,3573,2841,2115,1516,1115,857,594,367,209,113,62,38,31,23,15,6,2,0,0
1954,77189,70504,65074,60762,57689,55835,54439,53398,52611,52122,51976,51340,49819,47751,45865,44012,42324,40939,39761,38560,37385,36256,35162,34114,33129,32194.000000000004,31363,30663,30062,29497,28978,28484,27998,27524,27085,26678,26270,25846,25416,25000,24585,24209,23887,23598,23302,23012,22677,22271,21818,21362,20891,20430,19990,19558,19105,18639,18139,17592,17009,16419,15825,15198,14533,13844,13151,12451,11781,11157,10569,9980,9402,8823,8232,7642,7063,6484,5951,5484,5059,4644,4266,3817,3250,2621,2032,1457,994,700,528,352,216,128,72,38,22,18,13,8,4,0,0
1955,79288,72408,66784,62283,58774,56125,54203,52876,52011,51478,51327,51608,51274,49824,47676,45750,43862,42134,40717,39511,38267,37038,35866,34749,33693,32697.000000000004,31751,30915,30220,29629,29077,28572,28092,27614,27147,26717,26320,25920,25501,25077,24665,24254,23880,23562,23275,22981,22691,22355,21946,21488,21026,20548,20077,19626,19181,18713,18230,17711,17140,16532,15914,15291,14635,13939,13218,12494,11760,11055,10396,9771,9146,8533,7918,7291,6662,6053,5454,4893,4385,3915,3466,3052,2621,2150,1668,1224,798,471,285,198,109,65,48,32,14,4,4,2,2,0,0
1956,80336,76044,69974,64977.00000000001,60946,57769,55322,53483,52208,51415,50952,50806,51043,50666,49195,47040,45090,43167,41412,39986,38783,37539,36311,35146,34045,33009,32034.999999999996,31112,30299,29619,29041,28503,28011,27542,27075,26616,26194,25803,25409,24997,24579,24174,23767,23395,23076,22786,22487,22190,21847,21432,20966,20495,20007,19521,19053,18587,18099,17595,17052,16459,15826,15185,14537,13861,13149,12415,11680,10939,10227,9561,8930,8303,7692,7085,6478,5879,5301,4738,4217,3751,3327,2926,2559,2184,1783,1377,1000.9999999999999,649,386,234,161,88,52,40,25,11,4,2,2,0,0
1957,81427,75113,73065,67777,63387,59807,56949,54696,52933,51706,50980,50587,50445,50640,50220,48725,46556,44575,42610,40824,39384,38178,36932,35701,34540,33450,32432.000000000004,31477,30575,29781,29115,28547,28019,27540,27081,26622,26171,25754,25367,24979,24574,24161,23761,23357,22987,22666,22371,22066,21762,21410,20987,20512,20031,19530,19030,18543,18055,17544,17017,16450,15831,15172,14506,13833,13134,12403,11655,10907,10156,9435,8759,8121,7491,6879,6280,5691,5118,4569,4040,3556,3132,2753,2399,2078,1757,1423,1092,782,503,301,183,124,67,40,30,19,8,2,2,0,0
1958,82670,76809,71740,70241,65723,61931,58796,56250,54185,52494,51311,50652,50328,50192,50344,49879,48357,46169,44153,42143,40321,38864,37654,36403,35164,34005,32924,31922,30984,30102,29324,28671,28112,27595,27127,26677,26227,25780,25368,24986,24602,24201,23795,23398,22997,22627,22303,22003,21692,21380,21020,20586,20101,19608,19096,18579,18071,17560,17025,16475,15883,15236,14549,13856,13157,12434,11684,10918,10156,9394,8662,7977,7329,6694,6081,5488,4916,4369,3848,3351,2904,2520,2185,1876,1600,1334,1066,808,566,359,218,134,88,47,29,21,14,6,2,0,0
1959,84204,78743,73900,69633,67488,63740,60542,57849,55613,53735,52114,50976,50384,50127,49995,50104,49596,48044,45834,43781,41722,39863,38387,37173,35913,34669,33508,32436,31449,30527,29663,28901,28260,27710,27203,26744,26303,25859,25418,25012,24633,24252,23856,23454,23061,22663,22293,21965,21659,21341,21021,20652,20208,19713,19208,18681,18149,17620,17085,16525,15950,15332,14657,13942,13221,12495,11747,10976,10193,9416,8642,7897,7201,6544,5904,5288,4700,4144,3621,3129,2664,2254,1909,1618,1354,1123,912,710,525,349,214,135,84,51,26,17,12,8,4,0,0
1960,86173,80938,76206,71949,68143,64763.99999999999,61786,59185,56934,55010,53319,51767,50673,50146,49957,49831,49897,49343,47761,45528,43436,41328,39430,37934,36713,35445,34193,33032,31968,30993,30087,29241,28496,27865,27322,26826,26377,25945,25507,25071,24669,24295,23916,23525,23128,22737,22341,21971,21640,21328,21003,20673,20295,19842,19335,18817,18277,17727,17178,16618,16033.999999999998,15434,14789,14086,13342,12593,11838,11065,10272,9472,8678,7891,7136,6427,5759,5113,4493,3911,3372,2873,2409,1976,1601,1297,1049,831,644,487,353,242,131,69,52,35,15,5,4,3,2,0,0
