Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.281055,0.04337763,0.04337763,0.04337763,0.04337763,0.00871945,0.00871945,0.00871945,0.00871945,0.00871945,0.00600774,0.00600774,0.00600774,0.00600774,0.00600774,0.00782089,0.00782089,0.00782089,0.00782089,0.00782089,0.01108512,0.01108512,0.01108512,0.01108512,0.01108512,0.01263164,0.01263164,0.01263164,0.01263164,0.01263164,0.01493162,0.01493162,0.01493162,0.01493162,0.01493162,0.01778272,0.01778272,0.01778272,0.01778272,0.01778272,0.02162309,0.02162309,0.02162309,0.02162309,0.02162309,0.02539702,0.02539702,0.02539702,0.02539702,0.02539702,0.02664111,0.02664111,0.02664111,0.02664111,0.02664111,0.03426289,0.03426289,0.03426289,0.03426289,0.03426289,0.04994297,0.04994297,0.04994297,0.04994297,0.04994297,0.06873071,0.06873071,0.06873071,0.06873071,0.06873071,0.10282297,0.10282297,0.10282297,0.10282297,0.10282297,0.15142255,0.15142255,0.15142255,0.15142255,0.15142255,0.22102571,0.22102571,0.22102571,0.22102571,0.22102571,0.30474011,0.30474011,0.30474011,0.30474011,0.30474011,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.51133991,0.51133991,0.51133991,0.51133991,0.51133991,0.60343013
1951,0.281055,0.04337763,0.04337763,0.04337763,0.04337763,0.00871945,0.00871945,0.00871945,0.00871945,0.00871945,0.00600774,0.00600774,0.00600774,0.00600774,0.00600774,0.00782089,0.00782089,0.00782089,0.00782089,0.00782089,0.01108512,0.01108512,0.01108512,0.01108512,0.01108512,0.01263164,0.01263164,0.01263164,0.01263164,0.01263164,0.01493162,0.01493162,0.01493162,0.01493162,0.01493162,0.01778272,0.01778272,0.01778272,0.01778272,0.01778272,0.02162309,0.02162309,0.02162309,0.02162309,0.02162309,0.02539702,0.02539702,0.02539702,0.02539702,0.02539702,0.02664111,0.02664111,0.02664111,0.02664111,0.02664111,0.03426289,0.03426289,0.03426289,0.03426289,0.03426289,0.04994297,0.04994297,0.04994297,0.04994297,0.04994297,0.06873071,0.06873071,0.06873071,0.06873071,0.06873071,0.10282297,0.10282297,0.10282297,0.10282297,0.10282297,0.15142255,0.15142255,0.15142255,0.15142255,0.15142255,0.22102571,0.22102571,0.22102571,0.22102571,0.22102571,0.30474011,0.30474011,0.30474011,0.30474011,0.30474011,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.51133991,0.51133991,0.51133991,0.51133991,0.51133991,0.60343013
1952,0.281055,0.04337763,0.04337763,0.04337763,0.04337763,0.00871945,0.00871945,0.00871945,0.00871945,0.00871945,0.00600774,0.00600774,0.00600774,0.00600774,0.00600774,0.00782089,0.00782089,0.00782089,0.00782089,0.00782089,0.01108512,0.01108512,0.01108512,0.01108512,0.01108512,0.01263164,0.01263164,0.01263164,0.01263164,0.01263164,0.01493162,0.01493162,0.01493162,0.01493162,0.01493162,0.01778272,0.01778272,0.01778272,0.01778272,0.01778272,0.02162309,0.02162309,0.02162309,0.02162309,0.02162309,0.02539702,0.02539702,0.02539702,0.02539702,0.02539702,0.02664111,0.02664111,0.02664111,0.02664111,0.02664111,0.03426289,0.03426289,0.03426289,0.03426289,0.03426289,0.04994297,0.04994297,0.04994297,0.04994297,0.04994297,0.06873071,0.06873071,0.06873071,0.06873071,0.06873071,0.10282297,0.10282297,0.10282297,0.10282297,0.10282297,0.15142255,0.15142255,0.15142255,0.15142255,0.15142255,0.22102571,0.22102571,0.22102571,0.22102571,0.22102571,0.30474011,0.30474011,0.30474011,0.30474011,0.30474011,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.51133991,0.51133991,0.51133991,0.51133991,0.51133991,0.60343013
1953,0.281055,0.04337763,0.04337763,0.04337763,0.04337763,0.00871945,0.00871945,0.00871945,0.00871945,0.00871945,0.00600774,0.00600774,0.00600774,0.00600774,0.00600774,0.00782089,0.00782089,0.00782089,0.00782089,0.00782089,0.01108512,0.01108512,0.01108512,0.01108512,0.01108512,0.01263164,0.01263164,0.01263164,0.01263164,0.01263164,0.01493162,0.01493162,0.01493162,0.01493162,0.01493162,0.01778272,0.01778272,0.01778272,0.01778272,0.01778272,0.02162309,0.02162309,0.02162309,0.02162309,0.02162309,0.02539702,0.02539702,0.02539702,0.02539702,0.02539702,0.02664111,0.02664111,0.02664111,0.02664111,0.02664111,0.03426289,0.03426289,0.03426289,0.03426289,0.03426289,0.04994297,0.04994297,0.04994297,0.04994297,0.04994297,0.06873071,0.06873071,0.06873071,0.06873071,0.06873071,0.10282297,0.10282297,0.10282297,0.10282297,0.10282297,0.15142255,0.15142255,0.15142255,0.15142255,0.15142255,0.22102571,0.22102571,0.22102571,0.22102571,0.22102571,0.30474011,0.30474011,0.30474011,0.30474011,0.30474011,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.51133991,0.51133991,0.51133991,0.51133991,0.51133991,0.60343013
1954,0.281055,0.04337763,0.04337763,0.04337763,0.04337763,0.00871945,0.00871945,0.00871945,0.00871945,0.00871945,0.00600774,0.00600774,0.00600774,0.00600774,0.00600774,0.00782089,0.00782089,0.00782089,0.00782089,0.00782089,0.01108512,0.01108512,0.01108512,0.01108512,0.01108512,0.01263164,0.01263164,0.01263164,0.01263164,0.01263164,0.01493162,0.01493162,0.01493162,0.01493162,0.01493162,0.01778272,0.01778272,0.01778272,0.01778272,0.01778272,0.02162309,0.02162309,0.02162309,0.02162309,0.02162309,0.02539702,0.02539702,0.02539702,0.02539702,0.02539702,0.02664111,0.02664111,0.02664111,0.02664111,0.02664111,0.03426289,0.03426289,0.03426289,0.03426289,0.03426289,0.04994297,0.04994297,0.04994297,0.04994297,0.04994297,0.06873071,0.06873071,0.06873071,0.06873071,0.06873071,0.10282297,0.10282297,0.10282297,0.10282297,0.10282297,0.15142255,0.15142255,0.15142255,0.15142255,0.15142255,0.22102571,0.22102571,0.22102571,0.22102571,0.22102571,0.30474011,0.30474011,0.30474011,0.30474011,0.30474011,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.40374240000000006,0.51133991,0.51133991,0.51133991,0.51133991,0.51133991,0.60343013
1955,0.24982148,0.04274414,0.04274414,0.04274414,0.04274414,0.00837592,0.00837592,0.00837592,0.00837592,0.00837592,0.00577105,0.00577105,0.00577105,0.00577105,0.00577105,0.00751276,0.00751276,0.00751276,0.00751276,0.00751276,0.01064838,0.01064838,0.01064838,0.01064838,0.01064838,0.01213397,0.01213397,0.01213397,0.01213397,0.01213397,0.01434334,0.01434334,0.01434334,0.01434334,0.01434334,0.01708211,0.01708211,0.01708211,0.01708211,0.01708211,0.02077117,0.02077117,0.02077117,0.02077117,0.02077117,0.02439642,0.02439642,0.02439642,0.02439642,0.02439642,0.02578697,0.02578697,0.02578697,0.02578697,0.02578697,0.03316438,0.03316438,0.03316438,0.03316438,0.03316438,0.04834174,0.04834174,0.04834174,0.04834174,0.04834174,0.06591083,0.06591083,0.06591083,0.06591083,0.06591083,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.1425629,0.1425629,0.1425629,0.1425629,0.1425629,0.20568519,0.20568519,0.20568519,0.20568519,0.20568519,0.28305936,0.28305936,0.28305936,0.28305936,0.28305936,0.37540396,0.37540396,0.37540396,0.37540396,0.37540396,0.47743962,0.47743962,0.47743962,0.47743962,0.47743962,0.55776147
1956,0.24982148,0.04274414,0.04274414,0.04274414,0.04274414,0.00837592,0.00837592,0.00837592,0.00837592,0.00837592,0.00577105,0.00577105,0.00577105,0.00577105,0.00577105,0.00751276,0.00751276,0.00751276,0.00751276,0.00751276,0.01064838,0.01064838,0.01064838,0.01064838,0.01064838,0.01213397,0.01213397,0.01213397,0.01213397,0.01213397,0.01434334,0.01434334,0.01434334,0.01434334,0.01434334,0.01708211,0.01708211,0.01708211,0.01708211,0.01708211,0.02077117,0.02077117,0.02077117,0.02077117,0.02077117,0.02439642,0.02439642,0.02439642,0.02439642,0.02439642,0.02578697,0.02578697,0.02578697,0.02578697,0.02578697,0.03316438,0.03316438,0.03316438,0.03316438,0.03316438,0.04834174,0.04834174,0.04834174,0.04834174,0.04834174,0.06591083,0.06591083,0.06591083,0.06591083,0.06591083,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.1425629,0.1425629,0.1425629,0.1425629,0.1425629,0.20568519,0.20568519,0.20568519,0.20568519,0.20568519,0.28305936,0.28305936,0.28305936,0.28305936,0.28305936,0.37540396,0.37540396,0.37540396,0.37540396,0.37540396,0.47743962,0.47743962,0.47743962,0.47743962,0.47743962,0.55776147
1957,0.24982148,0.04274414,0.04274414,0.04274414,0.04274414,0.00837592,0.00837592,0.00837592,0.00837592,0.00837592,0.00577105,0.00577105,0.00577105,0.00577105,0.00577105,0.00751276,0.00751276,0.00751276,0.00751276,0.00751276,0.01064838,0.01064838,0.01064838,0.01064838,0.01064838,0.01213397,0.01213397,0.01213397,0.01213397,0.01213397,0.01434334,0.01434334,0.01434334,0.01434334,0.01434334,0.01708211,0.01708211,0.01708211,0.01708211,0.01708211,0.02077117,0.02077117,0.02077117,0.02077117,0.02077117,0.02439642,0.02439642,0.02439642,0.02439642,0.02439642,0.02578697,0.02578697,0.02578697,0.02578697,0.02578697,0.03316438,0.03316438,0.03316438,0.03316438,0.03316438,0.04834174,0.04834174,0.04834174,0.04834174,0.04834174,0.06591083,0.06591083,0.06591083,0.06591083,0.06591083,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.1425629,0.1425629,0.1425629,0.1425629,0.1425629,0.20568519,0.20568519,0.20568519,0.20568519,0.20568519,0.28305936,0.28305936,0.28305936,0.28305936,0.28305936,0.37540396,0.37540396,0.37540396,0.37540396,0.37540396,0.47743962,0.47743962,0.47743962,0.47743962,0.47743962,0.55776147
1958,0.24982148,0.04274414,0.04274414,0.04274414,0.04274414,0.00837592,0.00837592,0.00837592,0.00837592,0.00837592,0.00577105,0.00577105,0.00577105,0.00577105,0.00577105,0.00751276,0.00751276,0.00751276,0.00751276,0.00751276,0.01064838,0.01064838,0.01064838,0.01064838,0.01064838,0.01213397,0.01213397,0.01213397,0.01213397,0.01213397,0.01434334,0.01434334,0.01434334,0.01434334,0.01434334,0.01708211,0.01708211,0.01708211,0.01708211,0.01708211,0.02077117,0.02077117,0.02077117,0.02077117,0.02077117,0.02439642,0.02439642,0.02439642,0.02439642,0.02439642,0.02578697,0.02578697,0.02578697,0.02578697,0.02578697,0.03316438,0.03316438,0.03316438,0.03316438,0.03316438,0.04834174,0.04834174,0.04834174,0.04834174,0.04834174,0.06591083,0.06591083,0.06591083,0.06591083,0.06591083,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.1425629,0.1425629,0.1425629,0.1425629,0.1425629,0.20568519,0.20568519,0.20568519,0.20568519,0.20568519,0.28305936,0.28305936,0.28305936,0.28305936,0.28305936,0.37540396,0.37540396,0.37540396,0.37540396,0.37540396,0.47743962,0.47743962,0.47743962,0.47743962,0.47743962,0.55776147
1959,0.24982148,0.04274414,0.04274414,0.04274414,0.04274414,0.00837592,0.00837592,0.00837592,0.00837592,0.00837592,0.00577105,0.00577105,0.00577105,0.00577105,0.00577105,0.00751276,0.00751276,0.00751276,0.00751276,0.00751276,0.01064838,0.01064838,0.01064838,0.01064838,0.01064838,0.01213397,0.01213397,0.01213397,0.01213397,0.01213397,0.01434334,0.01434334,0.01434334,0.01434334,0.01434334,0.01708211,0.01708211,0.01708211,0.01708211,0.01708211,0.02077117,0.02077117,0.02077117,0.02077117,0.02077117,0.02439642,0.02439642,0.02439642,0.02439642,0.02439642,0.02578697,0.02578697,0.02578697,0.02578697,0.02578697,0.03316438,0.03316438,0.03316438,0.03316438,0.03316438,0.04834174,0.04834174,0.04834174,0.04834174,0.04834174,0.06591083,0.06591083,0.06591083,0.06591083,0.06591083,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.09729600000000001,0.1425629,0.1425629,0.1425629,0.1425629,0.1425629,0.20568519,0.20568519,0.20568519,0.20568519,0.20568519,0.28305936,0.28305936,0.28305936,0.28305936,0.28305936,0.37540396,0.37540396,0.37540396,0.37540396,0.37540396,0.47743962,0.47743962,0.47743962,0.47743962,0.47743962,0.55776147
1960,0.21673256,0.03977903,0.03977903,0.03977903,0.03977903,0.00874614,0.00874614,0.00874614,0.00874614,0.00874614,0.00578726,0.00578726,0.00578726,0.00578726,0.00578726,0.00716834,0.00716834,0.00716834,0.00716834,0.00716834,0.01003059,0.01003059,0.01003059,0.01003059,0.01003059,0.01160313,0.01160313,0.01160313,0.01160313,0.01160313,0.01398746,0.01398746,0.01398746,0.01398746,0.01398746,0.01665785,0.01665785,0.01665785,0.01665785,0.01665785,0.02005581,0.02005581,0.02005581,0.02005581,0.02005581,0.02340253,0.02340253,0.02340253,0.02340253,0.02340253,0.02515878,0.02515878,0.02515878,0.02515878,0.02515878,0.03226144,0.03226144,0.03226144,0.03226144,0.03226144,0.04606722,0.04606722,0.04606722,0.04606722,0.04606722,0.06247869,0.06247869,0.06247869,0.06247869,0.06247869,0.09130471,0.09130471,0.09130471,0.09130471,0.09130471,0.13336144,0.13336144,0.13336144,0.13336144,0.13336144,0.19080776,0.19080776,0.19080776,0.19080776,0.19080776,0.26137861,0.26137861,0.26137861,0.26137861,0.26137861,0.34706552,0.34706552,0.34706552,0.34706552,0.34706552,0.44353933,0.44353933,0.44353933,0.44353933,0.44353933,0.56765951
1961,0.21673256,0.03977903,0.03977903,0.03977903,0.03977903,0.00874614,0.00874614,0.00874614,0.00874614,0.00874614,0.00578726,0.00578726,0.00578726,0.00578726,0.00578726,0.00716834,0.00716834,0.00716834,0.00716834,0.00716834,0.01003059,0.01003059,0.01003059,0.01003059,0.01003059,0.01160313,0.01160313,0.01160313,0.01160313,0.01160313,0.01398746,0.01398746,0.01398746,0.01398746,0.01398746,0.01665785,0.01665785,0.01665785,0.01665785,0.01665785,0.02005581,0.02005581,0.02005581,0.02005581,0.02005581,0.02340253,0.02340253,0.02340253,0.02340253,0.02340253,0.02515878,0.02515878,0.02515878,0.02515878,0.02515878,0.03226144,0.03226144,0.03226144,0.03226144,0.03226144,0.04606722,0.04606722,0.04606722,0.04606722,0.04606722,0.06247869,0.06247869,0.06247869,0.06247869,0.06247869,0.09130471,0.09130471,0.09130471,0.09130471,0.09130471,0.13336144,0.13336144,0.13336144,0.13336144,0.13336144,0.19080776,0.19080776,0.19080776,0.19080776,0.19080776,0.26137861,0.26137861,0.26137861,0.26137861,0.26137861,0.34706552,0.34706552,0.34706552,0.34706552,0.34706552,0.44353933,0.44353933,0.44353933,0.44353933,0.44353933,0.56765951
1962,0.21673256,0.03977903,0.03977903,0.03977903,0.03977903,0.00874614,0.00874614,0.00874614,0.00874614,0.00874614,0.00578726,0.00578726,0.00578726,0.00578726,0.00578726,0.00716834,0.00716834,0.00716834,0.00716834,0.00716834,0.01003059,0.01003059,0.01003059,0.01003059,0.01003059,0.01160313,0.01160313,0.01160313,0.01160313,0.01160313,0.01398746,0.01398746,0.01398746,0.01398746,0.01398746,0.01665785,0.01665785,0.01665785,0.01665785,0.01665785,0.02005581,0.02005581,0.02005581,0.02005581,0.02005581,0.02340253,0.02340253,0.02340253,0.02340253,0.02340253,0.02515878,0.02515878,0.02515878,0.02515878,0.02515878,0.03226144,0.03226144,0.03226144,0.03226144,0.03226144,0.04606722,0.04606722,0.04606722,0.04606722,0.04606722,0.06247869,0.06247869,0.06247869,0.06247869,0.06247869,0.09130471,0.09130471,0.09130471,0.09130471,0.09130471,0.13336144,0.13336144,0.13336144,0.13336144,0.13336144,0.19080776,0.19080776,0.19080776,0.19080776,0.19080776,0.26137861,0.26137861,0.26137861,0.26137861,0.26137861,0.34706552,0.34706552,0.34706552,0.34706552,0.34706552,0.44353933,0.44353933,0.44353933,0.44353933,0.44353933,0.56765951
1963,0.21673256,0.03977903,0.03977903,0.03977903,0.03977903,0.00874614,0.00874614,0.00874614,0.00874614,0.00874614,0.00578726,0.00578726,0.00578726,0.00578726,0.00578726,0.00716834,0.00716834,0.00716834,0.00716834,0.00716834,0.01003059,0.01003059,0.01003059,0.01003059,0.01003059,0.01160313,0.01160313,0.01160313,0.01160313,0.01160313,0.01398746,0.01398746,0.01398746,0.01398746,0.01398746,0.01665785,0.01665785,0.01665785,0.01665785,0.01665785,0.02005581,0.02005581,0.02005581,0.02005581,0.02005581,0.02340253,0.02340253,0.02340253,0.02340253,0.02340253,0.02515878,0.02515878,0.02515878,0.02515878,0.02515878,0.03226144,0.03226144,0.03226144,0.03226144,0.03226144,0.04606722,0.04606722,0.04606722,0.04606722,0.04606722,0.06247869,0.06247869,0.06247869,0.06247869,0.06247869,0.09130471,0.09130471,0.09130471,0.09130471,0.09130471,0.13336144,0.13336144,0.13336144,0.13336144,0.13336144,0.19080776,0.19080776,0.19080776,0.19080776,0.19080776,0.26137861,0.26137861,0.26137861,0.26137861,0.26137861,0.34706552,0.34706552,0.34706552,0.34706552,0.34706552,0.44353933,0.44353933,0.44353933,0.44353933,0.44353933,0.56765951
