Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.21542148,0.00448574,0.00448574,0.00448574,0.00448574,0.00067511,0.00067511,0.00067511,0.00067511,0.00067511,0.00082239,0.00082239,0.00082239,0.00082239,0.00082239,0.00130849,0.00130849,0.00130849,0.00130849,0.00130849,0.00176702,0.00176702,0.00176702,0.00176702,0.00176702,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.00233667,0.00233667,0.00233667,0.00233667,0.00233667,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.00481241,0.00481241,0.00481241,0.00481241,0.00481241,0.00765597,0.00765597,0.00765597,0.00765597,0.00765597,0.0122386,0.0122386,0.0122386,0.0122386,0.0122386,0.01931528,0.01931528,0.01931528,0.01931528,0.01931528,0.03043592,0.03043592,0.03043592,0.03043592,0.03043592,0.05010467,0.05010467,0.05010467,0.05010467,0.05010467,0.08391198,0.08391198,0.08391198,0.08391198,0.08391198,0.13184009,0.13184009,0.13184009,0.13184009,0.13184009,0.18417421,0.18417421,0.18417421,0.18417421,0.18417421,0.25694216,0.25694216,0.25694216,0.25694216,0.25694216,0.28120651,0.28120651,0.28120651,0.28120651,0.28120651,0.36762586,0.36762586,0.36762586,0.36762586,0.36762586,0.43455394
1951,0.21542148,0.00448574,0.00448574,0.00448574,0.00448574,0.00067511,0.00067511,0.00067511,0.00067511,0.00067511,0.00082239,0.00082239,0.00082239,0.00082239,0.00082239,0.00130849,0.00130849,0.00130849,0.00130849,0.00130849,0.00176702,0.00176702,0.00176702,0.00176702,0.00176702,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.00233667,0.00233667,0.00233667,0.00233667,0.00233667,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.00481241,0.00481241,0.00481241,0.00481241,0.00481241,0.00765597,0.00765597,0.00765597,0.00765597,0.00765597,0.0122386,0.0122386,0.0122386,0.0122386,0.0122386,0.01931528,0.01931528,0.01931528,0.01931528,0.01931528,0.03043592,0.03043592,0.03043592,0.03043592,0.03043592,0.05010467,0.05010467,0.05010467,0.05010467,0.05010467,0.08391198,0.08391198,0.08391198,0.08391198,0.08391198,0.13184009,0.13184009,0.13184009,0.13184009,0.13184009,0.18417421,0.18417421,0.18417421,0.18417421,0.18417421,0.25694216,0.25694216,0.25694216,0.25694216,0.25694216,0.28120651,0.28120651,0.28120651,0.28120651,0.28120651,0.36762586,0.36762586,0.36762586,0.36762586,0.36762586,0.43455394
1952,0.21542148,0.00448574,0.00448574,0.00448574,0.00448574,0.00067511,0.00067511,0.00067511,0.00067511,0.00067511,0.00082239,0.00082239,0.00082239,0.00082239,0.00082239,0.00130849,0.00130849,0.00130849,0.00130849,0.00130849,0.00176702,0.00176702,0.00176702,0.00176702,0.00176702,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.00233667,0.00233667,0.00233667,0.00233667,0.00233667,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.00481241,0.00481241,0.00481241,0.00481241,0.00481241,0.00765597,0.00765597,0.00765597,0.00765597,0.00765597,0.0122386,0.0122386,0.0122386,0.0122386,0.0122386,0.01931528,0.01931528,0.01931528,0.01931528,0.01931528,0.03043592,0.03043592,0.03043592,0.03043592,0.03043592,0.05010467,0.05010467,0.05010467,0.05010467,0.05010467,0.08391198,0.08391198,0.08391198,0.08391198,0.08391198,0.13184009,0.13184009,0.13184009,0.13184009,0.13184009,0.18417421,0.18417421,0.18417421,0.18417421,0.18417421,0.25694216,0.25694216,0.25694216,0.25694216,0.25694216,0.28120651,0.28120651,0.28120651,0.28120651,0.28120651,0.36762586,0.36762586,0.36762586,0.36762586,0.36762586,0.43455394
1953,0.21542148,0.00448574,0.00448574,0.00448574,0.00448574,0.00067511,0.00067511,0.00067511,0.00067511,0.00067511,0.00082239,0.00082239,0.00082239,0.00082239,0.00082239,0.00130849,0.00130849,0.00130849,0.00130849,0.00130849,0.00176702,0.00176702,0.00176702,0.00176702,0.00176702,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.00233667,0.00233667,0.00233667,0.00233667,0.00233667,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.00481241,0.00481241,0.00481241,0.00481241,0.00481241,0.00765597,0.00765597,0.00765597,0.00765597,0.00765597,0.0122386,0.0122386,0.0122386,0.0122386,0.0122386,0.01931528,0.01931528,0.01931528,0.01931528,0.01931528,0.03043592,0.03043592,0.03043592,0.03043592,0.03043592,0.05010467,0.05010467,0.05010467,0.05010467,0.05010467,0.08391198,0.08391198,0.08391198,0.08391198,0.08391198,0.13184009,0.13184009,0.13184009,0.13184009,0.13184009,0.18417421,0.18417421,0.18417421,0.18417421,0.18417421,0.25694216,0.25694216,0.25694216,0.25694216,0.25694216,0.28120651,0.28120651,0.28120651,0.28120651,0.28120651,0.36762586,0.36762586,0.36762586,0.36762586,0.36762586,0.43455394
1954,0.21542148,0.00448574,0.00448574,0.00448574,0.00448574,0.00067511,0.00067511,0.00067511,0.00067511,0.00067511,0.00082239,0.00082239,0.00082239,0.00082239,0.00082239,0.00130849,0.00130849,0.00130849,0.00130849,0.00130849,0.00176702,0.00176702,0.00176702,0.00176702,0.00176702,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.0019820999999999997,0.00233667,0.00233667,0.00233667,0.00233667,0.00233667,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.0031265999999999998,0.00481241,0.00481241,0.00481241,0.00481241,0.00481241,0.00765597,0.00765597,0.00765597,0.00765597,0.00765597,0.0122386,0.0122386,0.0122386,0.0122386,0.0122386,0.01931528,0.01931528,0.01931528,0.01931528,0.01931528,0.03043592,0.03043592,0.03043592,0.03043592,0.03043592,0.05010467,0.05010467,0.05010467,0.05010467,0.05010467,0.08391198,0.08391198,0.08391198,0.08391198,0.08391198,0.13184009,0.13184009,0.13184009,0.13184009,0.13184009,0.18417421,0.18417421,0.18417421,0.18417421,0.18417421,0.25694216,0.25694216,0.25694216,0.25694216,0.25694216,0.28120651,0.28120651,0.28120651,0.28120651,0.28120651,0.36762586,0.36762586,0.36762586,0.36762586,0.36762586,0.43455394
1955,0.14908258,0.00331344,0.00331344,0.00331344,0.00331344,0.00058199,0.00058199,0.00058199,0.00058199,0.00058199,0.00071525,0.00071525,0.00071525,0.00071525,0.00071525,0.00111743,0.00111743,0.00111743,0.00111743,0.00111743,0.00153881,0.00153881,0.00153881,0.00153881,0.00153881,0.0017622,0.0017622,0.0017622,0.0017622,0.0017622,0.00210162,0.00210162,0.00210162,0.00210162,0.00210162,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.00424232,0.00424232,0.00424232,0.00424232,0.00424232,0.00693251,0.00693251,0.00693251,0.00693251,0.00693251,0.01119122,0.01119122,0.01119122,0.01119122,0.01119122,0.01764771,0.01764771,0.01764771,0.01764771,0.01764771,0.02770096,0.02770096,0.02770096,0.02770096,0.02770096,0.04508554,0.04508554,0.04508554,0.04508554,0.04508554,0.07433305,0.07433305,0.07433305,0.07433305,0.07433305,0.11858638,0.11858638,0.11858638,0.11858638,0.11858638,0.16593571,0.16593571,0.16593571,0.16593571,0.16593571,0.23553191,0.23553191,0.23553191,0.23553191,0.23553191,0.27105901,0.27105901,0.27105901,0.27105901,0.27105901,0.36006306,0.36006306,0.36006306,0.36006306,0.36006306,0.43594436
1956,0.14908258,0.00331344,0.00331344,0.00331344,0.00331344,0.00058199,0.00058199,0.00058199,0.00058199,0.00058199,0.00071525,0.00071525,0.00071525,0.00071525,0.00071525,0.00111743,0.00111743,0.00111743,0.00111743,0.00111743,0.00153881,0.00153881,0.00153881,0.00153881,0.00153881,0.0017622,0.0017622,0.0017622,0.0017622,0.0017622,0.00210162,0.00210162,0.00210162,0.00210162,0.00210162,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.00424232,0.00424232,0.00424232,0.00424232,0.00424232,0.00693251,0.00693251,0.00693251,0.00693251,0.00693251,0.01119122,0.01119122,0.01119122,0.01119122,0.01119122,0.01764771,0.01764771,0.01764771,0.01764771,0.01764771,0.02770096,0.02770096,0.02770096,0.02770096,0.02770096,0.04508554,0.04508554,0.04508554,0.04508554,0.04508554,0.07433305,0.07433305,0.07433305,0.07433305,0.07433305,0.11858638,0.11858638,0.11858638,0.11858638,0.11858638,0.16593571,0.16593571,0.16593571,0.16593571,0.16593571,0.23553191,0.23553191,0.23553191,0.23553191,0.23553191,0.27105901,0.27105901,0.27105901,0.27105901,0.27105901,0.36006306,0.36006306,0.36006306,0.36006306,0.36006306,0.43594436
1957,0.14908258,0.00331344,0.00331344,0.00331344,0.00331344,0.00058199,0.00058199,0.00058199,0.00058199,0.00058199,0.00071525,0.00071525,0.00071525,0.00071525,0.00071525,0.00111743,0.00111743,0.00111743,0.00111743,0.00111743,0.00153881,0.00153881,0.00153881,0.00153881,0.00153881,0.0017622,0.0017622,0.0017622,0.0017622,0.0017622,0.00210162,0.00210162,0.00210162,0.00210162,0.00210162,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.00424232,0.00424232,0.00424232,0.00424232,0.00424232,0.00693251,0.00693251,0.00693251,0.00693251,0.00693251,0.01119122,0.01119122,0.01119122,0.01119122,0.01119122,0.01764771,0.01764771,0.01764771,0.01764771,0.01764771,0.02770096,0.02770096,0.02770096,0.02770096,0.02770096,0.04508554,0.04508554,0.04508554,0.04508554,0.04508554,0.07433305,0.07433305,0.07433305,0.07433305,0.07433305,0.11858638,0.11858638,0.11858638,0.11858638,0.11858638,0.16593571,0.16593571,0.16593571,0.16593571,0.16593571,0.23553191,0.23553191,0.23553191,0.23553191,0.23553191,0.27105901,0.27105901,0.27105901,0.27105901,0.27105901,0.36006306,0.36006306,0.36006306,0.36006306,0.36006306,0.43594436
1958,0.14908258,0.00331344,0.00331344,0.00331344,0.00331344,0.00058199,0.00058199,0.00058199,0.00058199,0.00058199,0.00071525,0.00071525,0.00071525,0.00071525,0.00071525,0.00111743,0.00111743,0.00111743,0.00111743,0.00111743,0.00153881,0.00153881,0.00153881,0.00153881,0.00153881,0.0017622,0.0017622,0.0017622,0.0017622,0.0017622,0.00210162,0.00210162,0.00210162,0.00210162,0.00210162,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.00424232,0.00424232,0.00424232,0.00424232,0.00424232,0.00693251,0.00693251,0.00693251,0.00693251,0.00693251,0.01119122,0.01119122,0.01119122,0.01119122,0.01119122,0.01764771,0.01764771,0.01764771,0.01764771,0.01764771,0.02770096,0.02770096,0.02770096,0.02770096,0.02770096,0.04508554,0.04508554,0.04508554,0.04508554,0.04508554,0.07433305,0.07433305,0.07433305,0.07433305,0.07433305,0.11858638,0.11858638,0.11858638,0.11858638,0.11858638,0.16593571,0.16593571,0.16593571,0.16593571,0.16593571,0.23553191,0.23553191,0.23553191,0.23553191,0.23553191,0.27105901,0.27105901,0.27105901,0.27105901,0.27105901,0.36006306,0.36006306,0.36006306,0.36006306,0.36006306,0.43594436
1959,0.14908258,0.00331344,0.00331344,0.00331344,0.00331344,0.00058199,0.00058199,0.00058199,0.00058199,0.00058199,0.00071525,0.00071525,0.00071525,0.00071525,0.00071525,0.00111743,0.00111743,0.00111743,0.00111743,0.00111743,0.00153881,0.00153881,0.00153881,0.00153881,0.00153881,0.0017622,0.0017622,0.0017622,0.0017622,0.0017622,0.00210162,0.00210162,0.00210162,0.00210162,0.00210162,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.0027754000000000003,0.00424232,0.00424232,0.00424232,0.00424232,0.00424232,0.00693251,0.00693251,0.00693251,0.00693251,0.00693251,0.01119122,0.01119122,0.01119122,0.01119122,0.01119122,0.01764771,0.01764771,0.01764771,0.01764771,0.01764771,0.02770096,0.02770096,0.02770096,0.02770096,0.02770096,0.04508554,0.04508554,0.04508554,0.04508554,0.04508554,0.07433305,0.07433305,0.07433305,0.07433305,0.07433305,0.11858638,0.11858638,0.11858638,0.11858638,0.11858638,0.16593571,0.16593571,0.16593571,0.16593571,0.16593571,0.23553191,0.23553191,0.23553191,0.23553191,0.23553191,0.27105901,0.27105901,0.27105901,0.27105901,0.27105901,0.36006306,0.36006306,0.36006306,0.36006306,0.36006306,0.43594436
