Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.13974544,0.02727501,0.02727501,0.02727501,0.02727501,0.00801473,0.00801473,0.00801473,0.00801473,0.00801473,0.00464467,0.00464467,0.00464467,0.00464467,0.00464467,0.00554175,0.00554175,0.00554175,0.00554175,0.00554175,0.00733572,0.00733572,0.00733572,0.00733572,0.00733572,0.00844147,0.00844147,0.00844147,0.00844147,0.00844147,0.00963958,0.00963958,0.00963958,0.00963958,0.00963958,0.01123959,0.01123959,0.01123959,0.01123959,0.01123959,0.01300991,0.01300991,0.01300991,0.01300991,0.01300991,0.01454783,0.01454783,0.01454783,0.01454783,0.01454783,0.01796774,0.01796774,0.01796774,0.01796774,0.01796774,0.02249744,0.02249744,0.02249744,0.02249744,0.02249744,0.03187329,0.03187329,0.03187329,0.03187329,0.03187329,0.04715202,0.04715202,0.04715202,0.04715202,0.04715202,0.07328278,0.07328278,0.07328278,0.07328278,0.07328278,0.11406088,0.11406088,0.11406088,0.11406088,0.11406088,0.18377121,0.18377121,0.18377121,0.18377121,0.18377121,0.29115558,0.29115558,0.29115558,0.29115558,0.29115558,0.44597245,0.44597245,0.44597245,0.44597245,0.44597245,0.59226271,0.59226271,0.59226271,0.59226271,0.59226271,0.73006759
1951,0.13974544,0.02727501,0.02727501,0.02727501,0.02727501,0.00801473,0.00801473,0.00801473,0.00801473,0.00801473,0.00464467,0.00464467,0.00464467,0.00464467,0.00464467,0.00554175,0.00554175,0.00554175,0.00554175,0.00554175,0.00733572,0.00733572,0.00733572,0.00733572,0.00733572,0.00844147,0.00844147,0.00844147,0.00844147,0.00844147,0.00963958,0.00963958,0.00963958,0.00963958,0.00963958,0.01123959,0.01123959,0.01123959,0.01123959,0.01123959,0.01300991,0.01300991,0.01300991,0.01300991,0.01300991,0.01454783,0.01454783,0.01454783,0.01454783,0.01454783,0.01796774,0.01796774,0.01796774,0.01796774,0.01796774,0.02249744,0.02249744,0.02249744,0.02249744,0.02249744,0.03187329,0.03187329,0.03187329,0.03187329,0.03187329,0.04715202,0.04715202,0.04715202,0.04715202,0.04715202,0.07328278,0.07328278,0.07328278,0.07328278,0.07328278,0.11406088,0.11406088,0.11406088,0.11406088,0.11406088,0.18377121,0.18377121,0.18377121,0.18377121,0.18377121,0.29115558,0.29115558,0.29115558,0.29115558,0.29115558,0.44597245,0.44597245,0.44597245,0.44597245,0.44597245,0.59226271,0.59226271,0.59226271,0.59226271,0.59226271,0.73006759
1952,0.13974544,0.02727501,0.02727501,0.02727501,0.02727501,0.00801473,0.00801473,0.00801473,0.00801473,0.00801473,0.00464467,0.00464467,0.00464467,0.00464467,0.00464467,0.00554175,0.00554175,0.00554175,0.00554175,0.00554175,0.00733572,0.00733572,0.00733572,0.00733572,0.00733572,0.00844147,0.00844147,0.00844147,0.00844147,0.00844147,0.00963958,0.00963958,0.00963958,0.00963958,0.00963958,0.01123959,0.01123959,0.01123959,0.01123959,0.01123959,0.01300991,0.01300991,0.01300991,0.01300991,0.01300991,0.01454783,0.01454783,0.01454783,0.01454783,0.01454783,0.01796774,0.01796774,0.01796774,0.01796774,0.01796774,0.02249744,0.02249744,0.02249744,0.02249744,0.02249744,0.03187329,0.03187329,0.03187329,0.03187329,0.03187329,0.04715202,0.04715202,0.04715202,0.04715202,0.04715202,0.07328278,0.07328278,0.07328278,0.07328278,0.07328278,0.11406088,0.11406088,0.11406088,0.11406088,0.11406088,0.18377121,0.18377121,0.18377121,0.18377121,0.18377121,0.29115558,0.29115558,0.29115558,0.29115558,0.29115558,0.44597245,0.44597245,0.44597245,0.44597245,0.44597245,0.59226271,0.59226271,0.59226271,0.59226271,0.59226271,0.73006759
1953,0.13974544,0.02727501,0.02727501,0.02727501,0.02727501,0.00801473,0.00801473,0.00801473,0.00801473,0.00801473,0.00464467,0.00464467,0.00464467,0.00464467,0.00464467,0.00554175,0.00554175,0.00554175,0.00554175,0.00554175,0.00733572,0.00733572,0.00733572,0.00733572,0.00733572,0.00844147,0.00844147,0.00844147,0.00844147,0.00844147,0.00963958,0.00963958,0.00963958,0.00963958,0.00963958,0.01123959,0.01123959,0.01123959,0.01123959,0.01123959,0.01300991,0.01300991,0.01300991,0.01300991,0.01300991,0.01454783,0.01454783,0.01454783,0.01454783,0.01454783,0.01796774,0.01796774,0.01796774,0.01796774,0.01796774,0.02249744,0.02249744,0.02249744,0.02249744,0.02249744,0.03187329,0.03187329,0.03187329,0.03187329,0.03187329,0.04715202,0.04715202,0.04715202,0.04715202,0.04715202,0.07328278,0.07328278,0.07328278,0.07328278,0.07328278,0.11406088,0.11406088,0.11406088,0.11406088,0.11406088,0.18377121,0.18377121,0.18377121,0.18377121,0.18377121,0.29115558,0.29115558,0.29115558,0.29115558,0.29115558,0.44597245,0.44597245,0.44597245,0.44597245,0.44597245,0.59226271,0.59226271,0.59226271,0.59226271,0.59226271,0.73006759
1954,0.13974544,0.02727501,0.02727501,0.02727501,0.02727501,0.00801473,0.00801473,0.00801473,0.00801473,0.00801473,0.00464467,0.00464467,0.00464467,0.00464467,0.00464467,0.00554175,0.00554175,0.00554175,0.00554175,0.00554175,0.00733572,0.00733572,0.00733572,0.00733572,0.00733572,0.00844147,0.00844147,0.00844147,0.00844147,0.00844147,0.00963958,0.00963958,0.00963958,0.00963958,0.00963958,0.01123959,0.01123959,0.01123959,0.01123959,0.01123959,0.01300991,0.01300991,0.01300991,0.01300991,0.01300991,0.01454783,0.01454783,0.01454783,0.01454783,0.01454783,0.01796774,0.01796774,0.01796774,0.01796774,0.01796774,0.02249744,0.02249744,0.02249744,0.02249744,0.02249744,0.03187329,0.03187329,0.03187329,0.03187329,0.03187329,0.04715202,0.04715202,0.04715202,0.04715202,0.04715202,0.07328278,0.07328278,0.07328278,0.07328278,0.07328278,0.11406088,0.11406088,0.11406088,0.11406088,0.11406088,0.18377121,0.18377121,0.18377121,0.18377121,0.18377121,0.29115558,0.29115558,0.29115558,0.29115558,0.29115558,0.44597245,0.44597245,0.44597245,0.44597245,0.44597245,0.59226271,0.59226271,0.59226271,0.59226271,0.59226271,0.73006759
1955,0.12156647,0.02114214,0.02114214,0.02114214,0.02114214,0.00645577,0.00645577,0.00645577,0.00645577,0.00645577,0.00384741,0.00384741,0.00384741,0.00384741,0.00384741,0.00479096,0.00479096,0.00479096,0.00479096,0.00479096,0.0065176,0.0065176,0.0065176,0.0065176,0.0065176,0.00766913,0.00766913,0.00766913,0.00766913,0.00766913,0.00890424,0.00890424,0.00890424,0.00890424,0.00890424,0.01055343,0.01055343,0.01055343,0.01055343,0.01055343,0.01237561,0.01237561,0.01237561,0.01237561,0.01237561,0.01412631,0.01412631,0.01412631,0.01412631,0.01412631,0.01764525,0.01764525,0.01764525,0.01764525,0.01764525,0.0221765,0.0221765,0.0221765,0.0221765,0.0221765,0.03135806,0.03135806,0.03135806,0.03135806,0.03135806,0.04647979,0.04647979,0.04647979,0.04647979,0.04647979,0.07255146,0.07255146,0.07255146,0.07255146,0.07255146,0.11395696,0.11395696,0.11395696,0.11395696,0.11395696,0.18569907,0.18569907,0.18569907,0.18569907,0.18569907,0.29830352,0.29830352,0.29830352,0.29830352,0.29830352,0.46379592,0.46379592,0.46379592,0.46379592,0.46379592,0.62138549,0.62138549,0.62138549,0.62138549,0.62138549,0.77490276
1956,0.12156647,0.02114214,0.02114214,0.02114214,0.02114214,0.00645577,0.00645577,0.00645577,0.00645577,0.00645577,0.00384741,0.00384741,0.00384741,0.00384741,0.00384741,0.00479096,0.00479096,0.00479096,0.00479096,0.00479096,0.0065176,0.0065176,0.0065176,0.0065176,0.0065176,0.00766913,0.00766913,0.00766913,0.00766913,0.00766913,0.00890424,0.00890424,0.00890424,0.00890424,0.00890424,0.01055343,0.01055343,0.01055343,0.01055343,0.01055343,0.01237561,0.01237561,0.01237561,0.01237561,0.01237561,0.01412631,0.01412631,0.01412631,0.01412631,0.01412631,0.01764525,0.01764525,0.01764525,0.01764525,0.01764525,0.0221765,0.0221765,0.0221765,0.0221765,0.0221765,0.03135806,0.03135806,0.03135806,0.03135806,0.03135806,0.04647979,0.04647979,0.04647979,0.04647979,0.04647979,0.07255146,0.07255146,0.07255146,0.07255146,0.07255146,0.11395696,0.11395696,0.11395696,0.11395696,0.11395696,0.18569907,0.18569907,0.18569907,0.18569907,0.18569907,0.29830352,0.29830352,0.29830352,0.29830352,0.29830352,0.46379592,0.46379592,0.46379592,0.46379592,0.46379592,0.62138549,0.62138549,0.62138549,0.62138549,0.62138549,0.77490276
1957,0.12156647,0.02114214,0.02114214,0.02114214,0.02114214,0.00645577,0.00645577,0.00645577,0.00645577,0.00645577,0.00384741,0.00384741,0.00384741,0.00384741,0.00384741,0.00479096,0.00479096,0.00479096,0.00479096,0.00479096,0.0065176,0.0065176,0.0065176,0.0065176,0.0065176,0.00766913,0.00766913,0.00766913,0.00766913,0.00766913,0.00890424,0.00890424,0.00890424,0.00890424,0.00890424,0.01055343,0.01055343,0.01055343,0.01055343,0.01055343,0.01237561,0.01237561,0.01237561,0.01237561,0.01237561,0.01412631,0.01412631,0.01412631,0.01412631,0.01412631,0.01764525,0.01764525,0.01764525,0.01764525,0.01764525,0.0221765,0.0221765,0.0221765,0.0221765,0.0221765,0.03135806,0.03135806,0.03135806,0.03135806,0.03135806,0.04647979,0.04647979,0.04647979,0.04647979,0.04647979,0.07255146,0.07255146,0.07255146,0.07255146,0.07255146,0.11395696,0.11395696,0.11395696,0.11395696,0.11395696,0.18569907,0.18569907,0.18569907,0.18569907,0.18569907,0.29830352,0.29830352,0.29830352,0.29830352,0.29830352,0.46379592,0.46379592,0.46379592,0.46379592,0.46379592,0.62138549,0.62138549,0.62138549,0.62138549,0.62138549,0.77490276
1958,0.12156647,0.02114214,0.02114214,0.02114214,0.02114214,0.00645577,0.00645577,0.00645577,0.00645577,0.00645577,0.00384741,0.00384741,0.00384741,0.00384741,0.00384741,0.00479096,0.00479096,0.00479096,0.00479096,0.00479096,0.0065176,0.0065176,0.0065176,0.0065176,0.0065176,0.00766913,0.00766913,0.00766913,0.00766913,0.00766913,0.00890424,0.00890424,0.00890424,0.00890424,0.00890424,0.01055343,0.01055343,0.01055343,0.01055343,0.01055343,0.01237561,0.01237561,0.01237561,0.01237561,0.01237561,0.01412631,0.01412631,0.01412631,0.01412631,0.01412631,0.01764525,0.01764525,0.01764525,0.01764525,0.01764525,0.0221765,0.0221765,0.0221765,0.0221765,0.0221765,0.03135806,0.03135806,0.03135806,0.03135806,0.03135806,0.04647979,0.04647979,0.04647979,0.04647979,0.04647979,0.07255146,0.07255146,0.07255146,0.07255146,0.07255146,0.11395696,0.11395696,0.11395696,0.11395696,0.11395696,0.18569907,0.18569907,0.18569907,0.18569907,0.18569907,0.29830352,0.29830352,0.29830352,0.29830352,0.29830352,0.46379592,0.46379592,0.46379592,0.46379592,0.46379592,0.62138549,0.62138549,0.62138549,0.62138549,0.62138549,0.77490276
1959,0.12156647,0.02114214,0.02114214,0.02114214,0.02114214,0.00645577,0.00645577,0.00645577,0.00645577,0.00645577,0.00384741,0.00384741,0.00384741,0.00384741,0.00384741,0.00479096,0.00479096,0.00479096,0.00479096,0.00479096,0.0065176,0.0065176,0.0065176,0.0065176,0.0065176,0.00766913,0.00766913,0.00766913,0.00766913,0.00766913,0.00890424,0.00890424,0.00890424,0.00890424,0.00890424,0.01055343,0.01055343,0.01055343,0.01055343,0.01055343,0.01237561,0.01237561,0.01237561,0.01237561,0.01237561,0.01412631,0.01412631,0.01412631,0.01412631,0.01412631,0.01764525,0.01764525,0.01764525,0.01764525,0.01764525,0.0221765,0.0221765,0.0221765,0.0221765,0.0221765,0.03135806,0.03135806,0.03135806,0.03135806,0.03135806,0.04647979,0.04647979,0.04647979,0.04647979,0.04647979,0.07255146,0.07255146,0.07255146,0.07255146,0.07255146,0.11395696,0.11395696,0.11395696,0.11395696,0.11395696,0.18569907,0.18569907,0.18569907,0.18569907,0.18569907,0.29830352,0.29830352,0.29830352,0.29830352,0.29830352,0.46379592,0.46379592,0.46379592,0.46379592,0.46379592,0.62138549,0.62138549,0.62138549,0.62138549,0.62138549,0.77490276
