Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.09625238,0.00722724,0.00722724,0.00722724,0.00722724,0.00131044,0.00131044,0.00131044,0.00131044,0.00131044,0.00110456,0.00110456,0.00110456,0.00110456,0.00110456,0.00190017,0.00190017,0.00190017,0.00190017,0.00190017,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.00255856,0.00255856,0.00255856,0.00255856,0.00255856,0.00255546,0.00255546,0.00255546,0.00255546,0.00255546,0.00282647,0.00282647,0.00282647,0.00282647,0.00282647,0.00369033,0.00369033,0.00369033,0.00369033,0.00369033,0.00516898,0.00516898,0.00516898,0.00516898,0.00516898,0.00790328,0.00790328,0.00790328,0.00790328,0.00790328,0.01205224,0.01205224,0.01205224,0.01205224,0.01205224,0.01988258,0.01988258,0.01988258,0.01988258,0.01988258,0.03185489,0.03185489,0.03185489,0.03185489,0.03185489,0.05108203,0.05108203,0.05108203,0.05108203,0.05108203,0.08818828,0.08818828,0.08818828,0.08818828,0.08818828,0.12712912,0.12712912,0.12712912,0.12712912,0.12712912,0.17865283,0.17865283,0.17865283,0.17865283,0.17865283,0.22895908,0.22895908,0.22895908,0.22895908,0.22895908,0.28793093,0.28793093,0.28793093,0.28793093,0.28793093,0.3686005
1951,0.09625238,0.00722724,0.00722724,0.00722724,0.00722724,0.00131044,0.00131044,0.00131044,0.00131044,0.00131044,0.00110456,0.00110456,0.00110456,0.00110456,0.00110456,0.00190017,0.00190017,0.00190017,0.00190017,0.00190017,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.00255856,0.00255856,0.00255856,0.00255856,0.00255856,0.00255546,0.00255546,0.00255546,0.00255546,0.00255546,0.00282647,0.00282647,0.00282647,0.00282647,0.00282647,0.00369033,0.00369033,0.00369033,0.00369033,0.00369033,0.00516898,0.00516898,0.00516898,0.00516898,0.00516898,0.00790328,0.00790328,0.00790328,0.00790328,0.00790328,0.01205224,0.01205224,0.01205224,0.01205224,0.01205224,0.01988258,0.01988258,0.01988258,0.01988258,0.01988258,0.03185489,0.03185489,0.03185489,0.03185489,0.03185489,0.05108203,0.05108203,0.05108203,0.05108203,0.05108203,0.08818828,0.08818828,0.08818828,0.08818828,0.08818828,0.12712912,0.12712912,0.12712912,0.12712912,0.12712912,0.17865283,0.17865283,0.17865283,0.17865283,0.17865283,0.22895908,0.22895908,0.22895908,0.22895908,0.22895908,0.28793093,0.28793093,0.28793093,0.28793093,0.28793093,0.3686005
1952,0.09625238,0.00722724,0.00722724,0.00722724,0.00722724,0.00131044,0.00131044,0.00131044,0.00131044,0.00131044,0.00110456,0.00110456,0.00110456,0.00110456,0.00110456,0.00190017,0.00190017,0.00190017,0.00190017,0.00190017,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.00255856,0.00255856,0.00255856,0.00255856,0.00255856,0.00255546,0.00255546,0.00255546,0.00255546,0.00255546,0.00282647,0.00282647,0.00282647,0.00282647,0.00282647,0.00369033,0.00369033,0.00369033,0.00369033,0.00369033,0.00516898,0.00516898,0.00516898,0.00516898,0.00516898,0.00790328,0.00790328,0.00790328,0.00790328,0.00790328,0.01205224,0.01205224,0.01205224,0.01205224,0.01205224,0.01988258,0.01988258,0.01988258,0.01988258,0.01988258,0.03185489,0.03185489,0.03185489,0.03185489,0.03185489,0.05108203,0.05108203,0.05108203,0.05108203,0.05108203,0.08818828,0.08818828,0.08818828,0.08818828,0.08818828,0.12712912,0.12712912,0.12712912,0.12712912,0.12712912,0.17865283,0.17865283,0.17865283,0.17865283,0.17865283,0.22895908,0.22895908,0.22895908,0.22895908,0.22895908,0.28793093,0.28793093,0.28793093,0.28793093,0.28793093,0.3686005
1953,0.09625238,0.00722724,0.00722724,0.00722724,0.00722724,0.00131044,0.00131044,0.00131044,0.00131044,0.00131044,0.00110456,0.00110456,0.00110456,0.00110456,0.00110456,0.00190017,0.00190017,0.00190017,0.00190017,0.00190017,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.00255856,0.00255856,0.00255856,0.00255856,0.00255856,0.00255546,0.00255546,0.00255546,0.00255546,0.00255546,0.00282647,0.00282647,0.00282647,0.00282647,0.00282647,0.00369033,0.00369033,0.00369033,0.00369033,0.00369033,0.00516898,0.00516898,0.00516898,0.00516898,0.00516898,0.00790328,0.00790328,0.00790328,0.00790328,0.00790328,0.01205224,0.01205224,0.01205224,0.01205224,0.01205224,0.01988258,0.01988258,0.01988258,0.01988258,0.01988258,0.03185489,0.03185489,0.03185489,0.03185489,0.03185489,0.05108203,0.05108203,0.05108203,0.05108203,0.05108203,0.08818828,0.08818828,0.08818828,0.08818828,0.08818828,0.12712912,0.12712912,0.12712912,0.12712912,0.12712912,0.17865283,0.17865283,0.17865283,0.17865283,0.17865283,0.22895908,0.22895908,0.22895908,0.22895908,0.22895908,0.28793093,0.28793093,0.28793093,0.28793093,0.28793093,0.3686005
1954,0.09625238,0.00722724,0.00722724,0.00722724,0.00722724,0.00131044,0.00131044,0.00131044,0.00131044,0.00131044,0.00110456,0.00110456,0.00110456,0.00110456,0.00110456,0.00190017,0.00190017,0.00190017,0.00190017,0.00190017,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.0026658000000000003,0.00255856,0.00255856,0.00255856,0.00255856,0.00255856,0.00255546,0.00255546,0.00255546,0.00255546,0.00255546,0.00282647,0.00282647,0.00282647,0.00282647,0.00282647,0.00369033,0.00369033,0.00369033,0.00369033,0.00369033,0.00516898,0.00516898,0.00516898,0.00516898,0.00516898,0.00790328,0.00790328,0.00790328,0.00790328,0.00790328,0.01205224,0.01205224,0.01205224,0.01205224,0.01205224,0.01988258,0.01988258,0.01988258,0.01988258,0.01988258,0.03185489,0.03185489,0.03185489,0.03185489,0.03185489,0.05108203,0.05108203,0.05108203,0.05108203,0.05108203,0.08818828,0.08818828,0.08818828,0.08818828,0.08818828,0.12712912,0.12712912,0.12712912,0.12712912,0.12712912,0.17865283,0.17865283,0.17865283,0.17865283,0.17865283,0.22895908,0.22895908,0.22895908,0.22895908,0.22895908,0.28793093,0.28793093,0.28793093,0.28793093,0.28793093,0.3686005
1955,0.06448279,0.00455341,0.00455341,0.00455341,0.00455341,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.00063575,0.00063575,0.00063575,0.00063575,0.00063575,0.00098853,0.00098853,0.00098853,0.00098853,0.00098853,0.00131136,0.00131136,0.00131136,0.00131136,0.00131136,0.00147379,0.00147379,0.00147379,0.00147379,0.00147379,0.00167426,0.00167426,0.00167426,0.00167426,0.00167426,0.00211679,0.00211679,0.00211679,0.00211679,0.00211679,0.00288656,0.00288656,0.00288656,0.00288656,0.00288656,0.00429783,0.00429783,0.00429783,0.00429783,0.00429783,0.00689314,0.00689314,0.00689314,0.00689314,0.00689314,0.01129962,0.01129962,0.01129962,0.01129962,0.01129962,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.03099074,0.03099074,0.03099074,0.03099074,0.03099074,0.05210459,0.05210459,0.05210459,0.05210459,0.05210459,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.1283365,0.1283365,0.1283365,0.1283365,0.1283365,0.17633466,0.17633466,0.17633466,0.17633466,0.17633466,0.23868841,0.23868841,0.23868841,0.23868841,0.23868841,0.28960779,0.28960779,0.28960779,0.28960779,0.28960779,0.36951616
1956,0.06448279,0.00455341,0.00455341,0.00455341,0.00455341,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.00063575,0.00063575,0.00063575,0.00063575,0.00063575,0.00098853,0.00098853,0.00098853,0.00098853,0.00098853,0.00131136,0.00131136,0.00131136,0.00131136,0.00131136,0.00147379,0.00147379,0.00147379,0.00147379,0.00147379,0.00167426,0.00167426,0.00167426,0.00167426,0.00167426,0.00211679,0.00211679,0.00211679,0.00211679,0.00211679,0.00288656,0.00288656,0.00288656,0.00288656,0.00288656,0.00429783,0.00429783,0.00429783,0.00429783,0.00429783,0.00689314,0.00689314,0.00689314,0.00689314,0.00689314,0.01129962,0.01129962,0.01129962,0.01129962,0.01129962,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.03099074,0.03099074,0.03099074,0.03099074,0.03099074,0.05210459,0.05210459,0.05210459,0.05210459,0.05210459,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.1283365,0.1283365,0.1283365,0.1283365,0.1283365,0.17633466,0.17633466,0.17633466,0.17633466,0.17633466,0.23868841,0.23868841,0.23868841,0.23868841,0.23868841,0.28960779,0.28960779,0.28960779,0.28960779,0.28960779,0.36951616
1957,0.06448279,0.00455341,0.00455341,0.00455341,0.00455341,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.00063575,0.00063575,0.00063575,0.00063575,0.00063575,0.00098853,0.00098853,0.00098853,0.00098853,0.00098853,0.00131136,0.00131136,0.00131136,0.00131136,0.00131136,0.00147379,0.00147379,0.00147379,0.00147379,0.00147379,0.00167426,0.00167426,0.00167426,0.00167426,0.00167426,0.00211679,0.00211679,0.00211679,0.00211679,0.00211679,0.00288656,0.00288656,0.00288656,0.00288656,0.00288656,0.00429783,0.00429783,0.00429783,0.00429783,0.00429783,0.00689314,0.00689314,0.00689314,0.00689314,0.00689314,0.01129962,0.01129962,0.01129962,0.01129962,0.01129962,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.03099074,0.03099074,0.03099074,0.03099074,0.03099074,0.05210459,0.05210459,0.05210459,0.05210459,0.05210459,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.1283365,0.1283365,0.1283365,0.1283365,0.1283365,0.17633466,0.17633466,0.17633466,0.17633466,0.17633466,0.23868841,0.23868841,0.23868841,0.23868841,0.23868841,0.28960779,0.28960779,0.28960779,0.28960779,0.28960779,0.36951616
1958,0.06448279,0.00455341,0.00455341,0.00455341,0.00455341,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.00063575,0.00063575,0.00063575,0.00063575,0.00063575,0.00098853,0.00098853,0.00098853,0.00098853,0.00098853,0.00131136,0.00131136,0.00131136,0.00131136,0.00131136,0.00147379,0.00147379,0.00147379,0.00147379,0.00147379,0.00167426,0.00167426,0.00167426,0.00167426,0.00167426,0.00211679,0.00211679,0.00211679,0.00211679,0.00211679,0.00288656,0.00288656,0.00288656,0.00288656,0.00288656,0.00429783,0.00429783,0.00429783,0.00429783,0.00429783,0.00689314,0.00689314,0.00689314,0.00689314,0.00689314,0.01129962,0.01129962,0.01129962,0.01129962,0.01129962,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.03099074,0.03099074,0.03099074,0.03099074,0.03099074,0.05210459,0.05210459,0.05210459,0.05210459,0.05210459,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.1283365,0.1283365,0.1283365,0.1283365,0.1283365,0.17633466,0.17633466,0.17633466,0.17633466,0.17633466,0.23868841,0.23868841,0.23868841,0.23868841,0.23868841,0.28960779,0.28960779,0.28960779,0.28960779,0.28960779,0.36951616
1959,0.06448279,0.00455341,0.00455341,0.00455341,0.00455341,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.0007953999999999999,0.00063575,0.00063575,0.00063575,0.00063575,0.00063575,0.00098853,0.00098853,0.00098853,0.00098853,0.00098853,0.00131136,0.00131136,0.00131136,0.00131136,0.00131136,0.00147379,0.00147379,0.00147379,0.00147379,0.00147379,0.00167426,0.00167426,0.00167426,0.00167426,0.00167426,0.00211679,0.00211679,0.00211679,0.00211679,0.00211679,0.00288656,0.00288656,0.00288656,0.00288656,0.00288656,0.00429783,0.00429783,0.00429783,0.00429783,0.00429783,0.00689314,0.00689314,0.00689314,0.00689314,0.00689314,0.01129962,0.01129962,0.01129962,0.01129962,0.01129962,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.018875799999999998,0.03099074,0.03099074,0.03099074,0.03099074,0.03099074,0.05210459,0.05210459,0.05210459,0.05210459,0.05210459,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.08048680000000001,0.1283365,0.1283365,0.1283365,0.1283365,0.1283365,0.17633466,0.17633466,0.17633466,0.17633466,0.17633466,0.23868841,0.23868841,0.23868841,0.23868841,0.23868841,0.28960779,0.28960779,0.28960779,0.28960779,0.28960779,0.36951616
