Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,78802,74364,70455,67033,64054,61474,59249,57335,55689,54268,53065,52076,51064,49909,48682,47573,46541,45530,44528,43538,42574,41631,40695,39759,38826,37906,36996,36094,35200,34312,33430,32551.000000000004,31680,30819,29963,29114,28275,27417,26524,25613,24713,23814,22955,22156,21398,20644,19905,19153,18373,17580,16804,16035,15299,14608,13950,13298,12658,12017,11365,10709,10067,9432,8814,8218,7638,7063,6496,5932,5366,4801,4265,3778,3232,2584,1900,1256,606,190,125,288,446,657,764,669,452,287,136,26,0,1,11,8,6,4,2,0,0,0,0,0,0
1951,79069,75528,71558,68091,65078,62470,60230,58325,56633,55079,53654,52430,51393,50316,49094,47799,46603,45470,44377,43328,42317,41328,40362,39422,38507,37613,36735,35874,35018,34161,33305,32459.000000000004,31618,30781,29947,29115,28288,27471,26633,25762,24873,23993,23113,22271,21486,20741,19999,19270,18528,17758,16974,16204.999999999998,15444,14712,14023,13364,12711,12070,11428,10775,10120,9479,8847,8233,7641,7067,6502,5947,5398,4852,4313,3802,3336,2829,2250,1647,1083,517,154,99,229,361,541,635,556,373,233,109,22,0,1,8,7,5,3,1,0,0,0,0,0
1952,79535,74769,72446,68933,65898,63284,61038,59132,57540,56066,54599,53167,51919,50832,49688,48398,47030,45746,44510,43332,42234,41199,40184,39192,38246,37350,36493,35656,34841,34028,33206,32381,31568,30763,29957,29149,28338,27532,26734,25915,25063,24194,23332,22469,21641,20870,20136,19403,18683,17949,17187,16410,15647,14892,14163,13473,12812,12156,11513,10868,10213,9557,8916,8285,7673,7085,6516,5958,5414,4880,4353,3836,3349,2904,2436,1922,1400,913,430,119,74,172,277,428,508,445,295,179,83,17,1,1,6,5,4,2,1,0,0,0,0
1953,80363,75494,71321,69515,66452,63841,61621,59732,58156,56874,55613,54230,52790,51515,50375,49163,47801,46359,44983,43641,42378,41228,40166,39123,38104,37150,36271,35449,34650,33880,33109,32320.999999999996,31524,30742,29971,29196,28411,27620,26833,26053,25251,24417,23566,22720,21871,21057,20296,19572,18848,18135,17408,16651,15880,15122,14371,13644,12952,12286,11627,10979,10331,9673,9015,8372,7741,7130,6544,5978,5427,4893,4372,3863,3368,2904,2478,2048,1598,1155,746,344,84,50,114,193,316,382,335,218,126,57,13,1,1,4,4,3,2,1,0,0,0
1954,81637,76608,72304,68657,66688,64071,61881,60053,58519,57270,56297,55249,53947,52495,51192,49998,48714,47278,45760,44290,42840,41488,40285,39196,38123,37074,36111,35248,34459,33698,32970,32241,31485,30715,29964,29226,28479,27718,26944,26175,25411,24626,23808,22973,22142,21307,20504,19754,19038,18322,17615,16893,16140.999999999998,15374,14620,13871,13144,12450,11779,11115,10462,9809,9147,8485,7840,7208,6597,6012,5449,4904,4378,3870,3378,2905,2462,2055,1663,1277,912,579,259,50,25,57,110,204,257,225,141,73,31,8,2,1,2,2,1,1,0,0,0
1955,83379,78102,73592,69774,66577,63928,61756,59987,58550,57371,56450,55785,54950,53729,52264,50930,49680,48323,46812,45214,43648,42087,40645,39387,38268,37164,36085,35110,34262,33507,32782,32097,31407,30683,29939,29219,28512,27794,27054,26298,25546,24797,24027,23226,22406,21588,20766,19974,19233,18525,17815,17113,16396,15648,14885,14133,13386,12659,11961,11284,10614,9956,9297,8630,7963,7315,6682,6070,5484,4924,4384,3867,3371,2895,2442,2021,1633,1277,955,669,412,173,15,0,0,27,91,131,115,64,20,5,4,2,1,0,0,0,0,0,0
1956,84971,80208,75449,71405,68002,65168.00000000001,62838,60948,59374,58019,56841,55896,55177,54273,52984,51450,50031,48681,47245,45693,44082,42499,40923,39483,38248,37168,36106,35074,34143,33330,32601.999999999996,31909,31256,30595,29895,29171,28470,27782,27080,26357,25618,24880,24145,23388,22599,21791,20985,20172,19389,18654,17950,17243,16544,15828,15082,14318,13566,12819,12091,11392,10714,10044,9386,8731,8070,7413,6776,6155,5559,4993,4455,3938,3446,2980,2541,2129,1749,1400,1084,804,560,343,144,13,0,0,23,75,106,93,52,16,4,3,2,1,0,0,0,0,0
1957,86927,81006,77177,72925,69339,66346,63868,61852,60241,58857,57582,56403,55433,54659,53685,52327,50722,49215,47762,46247,44651,43023,41422,39829,38388,37175,36131,35109,34123,33235,32454,31753,31089,30468,29835,29158,28453,27769,27098,26412,25705,24981,24256,23534,22788,22011,21214,20417,19613,18837,18107,17405,16701,16003,15288,14541,13776,13022,12275,11545,10843,10163,9492,8834,8180.999999999999,7525,6877,6249,5641,5060,4512,3994,3501,3033,2596,2192,1821,1480,1170,894,655,452,274,115,11,0,0,20,58,82,71,39,12,3,2,1,1,0,0,0,0
1958,89069,82807,77462,74246,70495,67363,64774,62650,60945,59611,58416,57219,56038,55040,54211,53166,51736,50059,48461,46906,45307,43667,42020,40398,38785,37342,36149,35140,34157,33216,32368.000000000004,31620,30944,30310,29720,29114,28458,27771,27104,26449,25778,25086,24376,23664,22953,22218,21451,20664,19876,19080,18309,17582,16883,16180,15483,14768,14019,13251,12496,11746,11014,10309,9626,8952,8293,7641,6991,6349,5731,5134,4567,4035.9999999999995,3539,3068,2624,2215,1847,1515,1213,941,705,507,345,206,87,9,0,0,16,42,57,49,27,8,2,2,1,0,0,0,0
1959,91187,84671,79100,74389,71383,68130,65450,63264,61492,60096,59038,58031,56912,55726,54701,53815,52698,51195,49443,47754,46093,44411,42723,41057,39412,37778,36331,35157,34182,33237,32340.000000000004,31533,30815,30165,29559,28999,28419,27784,27114,26465,25825,25169,24490,23794,23094,22393,21669,20911,20133,19353,18564,17798,17075,16376.000000000002,15674,14977,14261,13510,12739,11980,11228,10493,9784,9097,8420,7760,7108,6462,5827,5218,4631,4078.0000000000005,3564,3087,2637,2216,1836,1502,1210,947,713,516,360,238,138,59,7,0,0,13,26,32,27,15,4,1,1,1,0,0,0
