Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,4818.000000000001,4171.0,3705.0,3398.9999999999995,3228.9999999999995,3179.0,3226.0000000000005,3348.9999999999995,3528.0,3743.0000000000005,3998.9999999999995,4303.0,4500.0,4521.0,4421.0,4332.0,4224.0,4113.0,4021.0,3931.0,3821.0,3716.0,3531.0,3227.0,2858.0,2504.0,2140.0,1891.0,1820.0,1870.0,1915.0,1976.0,2037.0,2077.0,2106.0,2149.0,2186.0,2251.0,2356.0,2476.0,2586.9999999999995,2711.0000000000005,2719.0,2551.0,2272.0,2001.9999999999998,1709.0,1495.0,1420.0,1431.0,1425.0,1430.0,1393.0,1279.0000000000002,1123.0,986.0,849.0000000000001,770.9999999999999,787.0,863.0,930.9999999999999,1006.0,1055.0,1059.0000000000002,1030.0,1010.9999999999999,992.0,969.0000000000001,938.0,903.0,865.0,819.0000000000001,777.0,742.0,708.0,674.0,639.0,593.0,528.0,452.99999999999994,382.0,310.0,249.0,205.0,175.0,146.0,118.00000000000001,94.0,74.00000000000001,55.99999999999999,40.0,30.0,24.0,17.0,10.0,6.0,5.0,4.0,3.0,1.0,1.0
1951,7482.0,4859.0,4207.0,3738.0,3429.0,3262.0,3213.0,3263.0,3390.0,3572.0,3788.9999999999995,4048.0,4355.0,4552.0,4568.000000000001,4462.0,4364.0,4248.0,4132.0,4033.0000000000005,3938.9999999999995,3826.0,3718.0,3531.0,3227.0,2858.0,2506.9999999999995,2145.0,1899.0,1833.0000000000002,1889.0,1940.0,2006.9999999999998,2073.0,2114.0,2144.0,2185.0,2221.0,2284.0000000000005,2391.0,2513.0,2623.9999999999995,2748.9999999999995,2756.0,2585.0,2301.0,2025.9999999999998,1729.0,1511.0,1433.0,1444.0,1436.0,1439.0,1401.0,1285.0,1128.0,989.0000000000001,850.0,770.0,784.0,857.0,922.9999999999999,995.0,1042.0,1043.0,1012.0,989.0000000000001,968.0,939.0,907.0,869.0000000000001,828.0,780.0,737.0,699.0000000000001,665.0,627.0,592.0000000000001,545.0,484.0,413.0,346.00000000000006,278.0,221.0,181.00000000000003,155.0,127.0,102.0,81.99999999999999,63.0,48.0,34.0,25.0,20.0,15.0,8.0,5.0,4.0,3.0,1.0,1.0
1952,9394.0,7587.000000000001,4773.0,4132.0,3671.9999999999995,3371.0000000000005,3208.0,3163.0000000000005,3216.0,3342.0,3523.0,3737.0,3991.0,4293.0,4486.000000000001,4497.0,4385.0,4282.0,4161.000000000001,4040.0,3941.0000000000005,3845.0,3731.0000000000005,3622.0,3438.0,3142.0,2785.0,2444.0,2093.0,1857.0,1799.0000000000002,1860.0,1915.0,1988.0000000000002,2056.0,2098.0000000000005,2124.0,2163.0000000000005,2197.0,2258.0,2363.0,2483.0,2592.0,2715.0,2721.0,2550.0,2269.0,1997.0,1704.0,1486.9999999999998,1410.0,1419.0,1410.0,1411.0,1372.0,1259.0000000000002,1103.0,967.0000000000001,828.0,749.0000000000001,760.9999999999999,829.0000000000001,890.0,959.0000000000001,1002.9999999999999,999.0000000000001,966.0,940.0,915.9999999999999,885.9999999999999,851.0,812.0,769.0,721.0,675.9999999999999,637.0,601.0,564.0,528.0,483.0,426.0,362.00000000000006,301.0,240.0,188.0,153.0,129.0,105.0,84.0,68.0,52.00000000000001,39.0,27.000000000000004,20.0,17.0,11.000000000000002,6.999999999999999,4.0,3.0,1.0,1.0
1953,10511.0,8456.0,6776.0,4649.0,4025.0000000000005,3578.0000000000005,3286.0,3128.9999999999995,3088.0,3142.0,3268.0000000000005,3446.0,3655.0,3903.0,4198.0,4383.999999999999,4390.0,4273.0,4167.0,4042.0,3918.9999999999995,3818.0,3721.0,3608.0,3498.0,3319.0,3033.0,2688.9999999999995,2362.0,2025.9999999999998,1800.0,1750.0,1815.0,1874.0,1952.0,2021.9999999999998,2063.0,2089.0,2125.0,2157.0,2215.0,2316.0,2434.0,2540.0,2658.0,2663.9999999999995,2496.0,2220.0,1954.0,1664.0000000000002,1452.0,1374.0,1383.0,1373.0000000000002,1373.0000000000002,1334.0,1220.9999999999998,1070.0,936.0,800.9999999999999,722.0,731.0,795.0,852.0,915.9999999999999,955.0,949.0000000000001,912.9999999999999,885.0,859.0000000000001,826.0,789.0,749.0000000000001,704.0000000000001,657.0,611.0,572.0000000000001,535.0,497.00000000000006,461.0,418.0,365.0,308.0,253.0,198.99999999999997,154.0,123.00000000000001,103.00000000000001,83.0,66.0,53.0,40.99999999999999,28.999999999999996,20.0,15.0,12.0,8.0,5.0,3.0,1.0,1.0
1954,10902.000000000002,8870.0,7189.0,5830.0,4530.0,3921.0000000000005,3486.0,3203.0000000000005,3053.0,3017.0,3072.0,3198.0,3372.0,3576.0,3819.0,4106.0,4286.000000000001,4287.0,4166.0,4056.0,3927.0,3801.0,3698.0,3601.0000000000005,3487.0,3378.9999999999995,3203.0000000000005,2927.0,2598.0000000000005,2283.0,1960.9999999999998,1747.0,1703.0,1771.9999999999998,1835.9999999999998,1916.9999999999998,1990.9999999999998,2032.0,2054.0000000000005,2089.0,2117.0,2173.0,2272.0,2387.0,2490.0,2605.0,2609.0,2444.0,2173.0,1910.0,1626.0,1416.9999999999998,1341.0,1347.0,1335.9999999999998,1335.9999999999998,1296.0,1186.0,1038.0,905.9999999999999,774.0,697.0000000000001,702.0000000000001,762.0,815.0,874.0000000000001,910.0,900.0,861.0,831.0,802.0,768.0,729.0000000000001,688.0,642.0,594.0,547.9999999999999,507.0,470.0,431.0,395.0,354.0,306.0,255.0,206.00000000000003,159.0,120.0,94.0,77.0,60.0,48.0,38.0,28.999999999999996,20.0,13.000000000000002,10.0,8.0,6.0,3.0,1.0,1.0
1955,10659.0,8908.999999999998,7430.0,6204.0,5207.000000000001,4421.0,3826.0,3403.0,3128.9999999999995,2984.0,2951.0,3009.0,3134.0,3306.0,3505.0,3743.0000000000005,4024.0,4198.0,4193.000000000001,4069.0,3955.0,3823.0,3694.0,3588.0,3491.0,3377.0,3268.9999999999995,3097.0,2828.9999999999995,2512.0,2211.0,1901.0,1696.9999999999998,1660.0,1734.0,1801.9999999999998,1886.9999999999998,1963.0,2004.0,2024.0,2057.0,2083.0,2136.0,2231.9999999999995,2344.0,2445.9999999999995,2557.0,2561.0000000000005,2398.0,2131.0,1873.0000000000002,1593.0000000000002,1386.9999999999998,1310.0,1315.0,1304.0,1301.9999999999998,1262.0,1154.0000000000002,1008.0,880.0,750.0,672.9999999999999,675.9999999999999,732.0,780.9999999999999,834.0000000000001,866.0,853.0,813.0,780.0,748.0,712.0000000000001,672.0,628.0,582.0000000000001,532.9999999999999,486.0,445.0,407.0,368.0,330.0,291.00000000000006,248.0,203.0,161.0,120.0,87.0,66.0,53.0,39.0,30.0,24.0,17.0,10.0,6.0,5.0,4.0,3.0,1.0,1.0
1956,9804.0,9860.0,8392.999999999998,7116.000000000001,6020.0,5098.0,4330.0,3697.0,3245.0,2986.0,2878.0,2853.0,2903.0,3016.0,3171.0000000000005,3351.0000000000005,3568.0,3826.0,3984.0,3976.0000000000005,3856.0000000000005,3747.0,3620.0,3500.0,3409.0,3328.0000000000005,3231.0000000000005,3140.0,2983.0,2726.0000000000005,2415.0,2120.0,1815.9999999999998,1615.9999999999998,1581.0,1653.0,1720.9999999999998,1803.0000000000002,1875.0,1914.0000000000002,1931.0,1960.9999999999998,1984.0,2034.0000000000002,2126.0,2234.0,2331.0,2440.0,2444.0,2290.0,2035.0000000000002,1789.0000000000002,1524.0,1328.0,1256.0,1262.0,1251.0,1249.0,1210.9999999999998,1107.0,965.0,840.0,714.0000000000001,637.0,638.0,689.0,732.0,780.9999999999999,807.9999999999999,792.9999999999999,752.0,718.0,685.0,647.0,608.0,566.0000000000001,522.0,474.0,430.0,391.0,355.0,320.0,285.0,250.0,211.00000000000003,172.0,135.0,100.0,73.0,55.0,43.0,32.0,24.0,20.0,13.999999999999998,8.0,5.0,4.0,3.0,1.0,1.0
1957,8774.0,8142.999999999999,9206.0,7997.000000000001,6901.0,5920.0,5058.0,4297.0,3620.0,3133.0,2884.0,2812.0,2795.0,2838.0,2938.9999999999995,3078.9999999999995,3244.0,3443.0,3680.0,3826.0,3813.9999999999995,3699.0,3592.0,3469.0,3356.9999999999995,3276.9999999999995,3211.0000000000005,3130.0,3055.0,2911.0,2660.0,2352.0,2060.0,1758.0,1559.0000000000002,1524.0,1595.9999999999998,1662.0,1743.0,1814.0,1849.0,1865.0,1891.0,1912.0,1960.0,2049.0,2155.0,2250.0,2356.9999999999995,2363.0,2214.0,1969.0,1732.0,1476.0,1287.0,1219.0,1225.0,1214.0,1214.0,1176.0,1074.0,936.0,812.0,688.0,611.0,609.0,655.0,694.0000000000001,738.0,760.9999999999999,745.0,702.0000000000001,665.0,631.0,593.0,553.9999999999999,512.0,468.0,423.0,380.0,344.0,309.0,276.0,245.0,212.0,179.0,145.0,111.99999999999999,83.0,60.0,45.0,35.0,25.0,20.0,16.0,11.000000000000002,6.999999999999999,4.0,3.0,1.0,1.0
1958,7741.000000000001,7727.0,7559.0,8620.0,7662.000000000001,6739.0,5865.0,5056.999999999999,4297.0,3569.0,3045.0,2804.0,2767.0,2758.0,2793.9999999999995,2885.0,3012.0,3161.0,3343.0,3563.0,3696.0,3681.0,3569.0,3465.0,3344.0,3238.0,3170.0,3118.0000000000005,3052.0,2993.0000000000005,2860.0,2615.0,2306.0,2014.0000000000002,1712.0,1514.0,1478.0000000000002,1551.9999999999998,1617.0,1696.9999999999998,1766.0,1799.0000000000002,1811.9999999999998,1835.9999999999998,1855.0,1900.0,1986.9999999999998,2093.0,2187.0,2291.0,2299.0,2155.0,1918.0000000000002,1688.0000000000002,1439.0,1257.0000000000002,1190.0,1198.0,1188.0,1187.0,1151.0,1050.0,912.9999999999999,790.9999999999999,667.0,589.0,585.0,626.0,660.9999999999999,702.0000000000001,722.0,702.0000000000001,655.9999999999999,619.0,583.0,544.0,504.0,462.0,420.0,375.0,333.99999999999994,298.0,266.0,235.0,205.0,176.00000000000003,146.0,118.00000000000001,89.00000000000001,64.0,48.0,36.00000000000001,26.000000000000004,19.0,15.0,11.000000000000002,8.0,4.0,3.0,1.0,1.0
1959,6926.0,7407.999999999999,7624.0,7607.0,8048.0,7340.0,6588.999999999999,5822.999999999999,5067.0,4306.0,3526.0000000000005,2963.0,2731.0000000000005,2728.0,2727.0,2756.0,2836.9999999999995,2950.0,3083.9999999999995,3250.0,3453.0000000000005,3573.0,3555.0,3445.0,3345.0,3226.0000000000005,3125.0,3069.0,3032.0,2980.0,2937.0,2815.0,2574.0,2265.0,1972.0,1670.0,1470.9999999999998,1436.0,1509.0000000000002,1575.0,1655.0,1722.0,1754.0,1763.0000000000002,1785.0,1801.0,1845.0,1930.0,2034.0000000000002,2128.0,2231.0,2239.0,2100.0,1870.0,1648.0000000000002,1406.0,1228.0,1166.0,1173.0,1164.0000000000002,1163.0,1128.0,1027.0000000000002,890.9999999999999,770.9999999999999,647.0,569.0,562.0,599.0,630.0,665.9999999999999,682.0,660.0,612.0,572.0000000000001,534.0,494.0,453.99999999999994,413.0,371.0,327.0,287.0,253.0,223.99999999999997,193.99999999999997,166.0,140.0,115.0,91.0,67.0,46.0,35.0,26.000000000000004,18.000000000000004,12.0,10.0,8.0,6.0,3.0,1.0,1.0
