Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15473268351508185,0.18180343068372773,0.20674705589548023,0.228165034110591,0.24501157240890387,0.2566889120407342,0.2630715691166411,0.26456666694548214,0.2620135030896852,0.25643690433655786,0.24891246703033368,0.24044892170500423,0.2314652304342308,0.2218646002176891,0.21156410530104894,0.20052110000306111,0.1887450613360367,0.1764829214852958,0.1641482749140358,0.15208710741330653,0.14056810924521357,0.12977415697923392,0.11953074613384831,0.10943552967374535,0.09921434108502653,0.08873154624423371,0.07798815952295109,0.06714334779359558,0.056467014001211804,0.046260190621780044,0.0368166298186396,0.02838624287961411,0.021144738665918008,0.015175063141127685,0.010463951599378836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15293410372103805,0.17969195691140225,0.20434757953210025,0.22551853479703698,0.24217102980884953,0.25371413309209967,0.26002374714789,0.26150225283582385,0.25897923768837294,0.25346769235367494,0.24603080104916733,0.2376656592167924,0.22878638992824427,0.21929730055576244,0.20911640538511295,0.19820153485935282,0.1865620385318933,0.17444190303494805,0.16224980653144852,0.15032764499310586,0.13894095349653124,0.12827048269135427,0.11814390320758975,0.10816380373002239,0.09805943259917661,0.08769691694986816,0.07707738539994295,0.0663581899115692,0.0558060445725554,0.0457183752383875,0.03638537467944519,0.02805389158237089,0.02089744823649586,0.014997917657215783,0.010342128183915665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15174497344054377,0.17829606464090994,0.20276139765166637,0.2237691629831157,0.24029349185558507,0.25174795816620593,0.2580093748234932,0.25947698424685833,0.2569739544963173,0.25150545335610447,0.24412646283522624,0.23582639053222998,0.22701616250623463,0.21760081337330717,0.20749897866037684,0.19666880349878832,0.18511955302530636,0.1730932611504603,0.1609953472210277,0.14916499788443463,0.1378656595904864,0.12727667729747486,0.1172271706740634,0.10732301112554171,0.09729572192668681,0.08701260866870571,0.07647488514277238,0.06583870621893807,0.05536867397764418,0.04535982182290639,0.036099978416938246,0.027833955734153745,0.02073381945081703,0.014880724810440244,0.01026155680489356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15109793704494065,0.17753665191866494,0.20189859111404282,0.2228177165509293,0.23927245947063888,0.25067883481463493,0.25691414299271714,0.25837591443207336,0.25588382365418966,0.2504387841554436,0.24309131919638202,0.2348266584720705,0.22605399194914227,0.21667875131401718,0.2066199113475562,0.1958357895997482,0.18433560610595642,0.1723603261969759,0.1603135855761417,0.14853308981779142,0.1372811453332617,0.126736331570908,0.1167285688533394,0.10686553681763646,0.0968800160965153,0.08663996944936092,0.0761466680722841,0.06555561885315742,0.05513027068109168,0.045164346374413945,0.03594437614018118,0.02771405038605707,0.020644629826184226,0.01481686959665081,0.010217679898903827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15093277859358478,0.17734299388411126,0.20167875613899014,0.2225754844630385,0.23901269060037408,0.2504069969757095,0.25663581632163707,0.2580962347672657,0.2556070329844269,0.2501680408053021,0.24282864875131102,0.23457302718105688,0.22580992895234694,0.21644489131810343,0.20639697948567626,0.19562455849783644,0.18413683944173095,0.17217450639532514,0.1601407240455712,0.14837280929254615,0.1371327717266193,0.1265989938633969,0.11660161701454305,0.10674881288281525,0.09677371014298099,0.08654446152509443,0.0760623684148332,0.06548277723731949,0.05506883724845046,0.04511392481071345,0.03590422216664339,0.027683115087414067,0.02062164168657456,0.014800441658335462,0.010206423690839128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1511944930437739,0.17765047888438673,0.20202843203383813,0.2229614100152678,0.23942715573281817,0.2508412767871097,0.2570809669074315,0.2585439905883371,0.25605053607411843,0.25060215627797955,0.2432500532608143,0.2349800987193549,0.22620175941815432,0.2168204222644025,0.20675502460489073,0.19596387010118738,0.18445619432576615,0.1724730993256414,0.1604184433256723,0.14863012308512422,0.13737059842076246,0.12681855803970557,0.11680384665328726,0.10693395528465656,0.09694154916866674,0.08669455236176354,0.07619426914690604,0.0655963165884598,0.05516430196970303,0.0451921122968788,0.03596642783563901,0.027731057686560534,0.020657337114047106,0.014826045403217625,0.010224067597643417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15183165108493873,0.17839868921790428,0.20287892048792927,0.2238996859092155,0.24043445685050474,0.2518964017048481,0.25816220509972165,0.2596312969419926,0.2571272953660752,0.2516559425639431,0.24427283913912617,0.23596798382999043,0.22715256994348648,0.21773161166265542,0.20762372897974818,0.19678707050826236,0.18523092735633875,0.17319743668363696,0.161092176720898,0.14925447700865474,0.1379479047877479,0.12735189683797943,0.11729554108513789,0.10738460813191264,0.09735057880185952,0.08706077444980259,0.07651647436095059,0.06587394444776076,0.055397918247547105,0.04538355090971823,0.03611876963491792,0.027848452324936945,0.02074469323096476,0.014888639021805037,0.010267133513795757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15279500403759444,0.17952976369264703,0.2041644251108026,0.22531770253142153,0.24195662548689095,0.2534906886466282,0.2597958171063755,0.26127396335390185,0.2587539302703414,0.2532477891451264,0.2458177836998273,0.237460144362116,0.22858867108668196,0.2191078152951428,0.20893571791611984,0.19803029358791052,0.18640091786428856,0.17429130181742986,0.16210963822221172,0.1501974317796253,0.13881992836622645,0.12815769602756377,0.11803866014219444,0.10806595757811689,0.0979692496210492,0.08761492294879422,0.07700420291894543,0.06629433172615475,0.0557517519436023,0.04567354939314848,0.036349554709385216,0.02802628166388832,0.020876990409918254,0.01498339711037508,0.010332291347706796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15403386403078528,0.1809842195177185,0.20581737073901327,0.22714094599452414,0.24391369894008827,0.25554040714364695,0.2618960243190146,0.26338574954544497,0.26084505296218946,0.2552941427850534,0.2478038022268868,0.23937827157333408,0.23043470117580056,0.22087681944321044,0.2106221518717043,0.1996283126260113,0.18790478620631082,0.17569731218301213,0.16341745254087583,0.15140951352595128,0.13994090170129392,0.12919363984642482,0.11899414868161705,0.10894216110555949,0.09876498342537914,0.08832778803030115,0.07763172242425824,0.06683528174815863,0.056207109585942314,0.04604678155496079,0.036646585627212694,0.028255149787125223,0.021047243240699776,0.015105321969150456,0.010416110147950281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1554876234267929,0.18269121556744658,0.20775754512087868,0.22928120794966284,0.24621122600323608,0.2579468274339256,0.264361819631471,0.2658652150932999,0.2633003199670619,0.25769690621731484,0.2501357937927325,0.2416306367550377,0.23260251677074303,0.22295430037991773,0.2126027783494438,0.20150520160256538,0.18967117386239637,0.17734880251436955,0.16495358951840755,0.15283312130166057,0.1412573378475327,0.13040997146753297,0.12011570331585655,0.10997031597345494,0.09969839073301795,0.0891637057652954,0.0783673375832128,0.06746925636276829,0.05674067845584295,0.046484081689464204,0.03699461208189918,0.02852335130071835,0.02124681494609928,0.015248309259983762,0.010514472268434978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
