Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,75837,71050,66910,63360,60343,57801,55677,53913,52452,51237,50269,49546,48724,47630,46379,45259,44213,43186,42182,41199,40229,39276,38336,37408,36493,35592,34706,33831,32967,32113.999999999996,31274,30449,29634,28830,28037,27259,26494,25743,25006,24284,23574,22876,22200,21548,20915,20293,19681,19078,18483,17894,17313,16740,16169,15598,15029,14463,13899,13339,12783,12228,11675,11125,10568,10001,9427,8860,8300,7736,7166,6595,6036,5485,4960,4471,4010,3568,3152,2740,2322,1913,1533,1171,882,693,576,475,399,331,254,178,115,78,61,42,22,11,9,7,4,2,2
1951,77197,73379,69032,65265,62027,59265,56927,54963,53317,51937,50771,49823,49095,48269,47187,45957,44843,43793,42764,41762,40782,39815,38861,37922,36995,36081,35182,34297,33424,32561.999999999996,31712,30876,30054,29243,28442,27654,26879,26118,25373,24643,23928,23226,22536,21865,21218,20589,19969,19359,18758,18162,17572,16989,16413,15838,15263,14689,14118,13549,12983,12419,11855,11294,10737,10173,9600,9021,8450,7888,7324,6756,6192,5641,5100,4587,4111,3667,3241,2842,2453,2066,1692,1347,1020,760,591,487,399,336,277,212,147,94,64,50,35,18,9,7,5,2,2
1952,78734,74056,71002,67089,63691,60760,58249,56114,54307,52777,51475,50356,49429,48695,47864,46793,45582,44473,43418,42386,41384,40408,39442,38487,37547,36620,35707,34808,33924,33052,32191.000000000004,31344,30510,29690,28882,28085,27299,26528,25770,25029,24305,23598,22903,22219,21554,20910,20283,19666,19058,18457,17860,17268,16682,16103.000000000002,15525,14945,14365,13788,13214,12641,12068,11496,10926,10361,9790,9210,8626,8050.000000000001,7484,6920,6355,5797,5252,4721,4219,3757,3328,2919,2537,2170,1813,1473,1162,870,639,489,399,324,272,224,171,116,73,50,39,27,14,7,5,2,2
1953,80300,75578,71368,68690,65208,62174,59548,57287,55351,53700,52284,51059,49987,49079,48338,47502,46441,45248,44143,43082,42045,41044,40070,39104,38148,37206,36279,35365,34466,33581,32709.000000000004,31850,31003,30171,29353,28547,27752,26969,26200,25445,24707,23989,23288,22600,21922,21262,20622,19997,19381,18774,18173,17575,16980,16391,15808,15225,14640,14054,13471,12891,12310,11728,11147,10568,9994,9415,8828,8238,7658,7088,6522,5960,5406,4869,4347,3856,3406,2992,2599,2234,1889,1561,1256,978,721,519,389,311,249,209,171,129,85,52,36,28,20,10,5,2,2
1954,81819,77079,72838,69064,66437,63382,60711,58388,56374,54637,53140,51837,50688,49661,48772,48024,47181,46130,44954,43852,42785,41743,40740,39768,38800,37842,36898,35969,35055,34154,33268,32395.000000000004,31536,30690,29859,29042,28238,27444,26663,25896,25143,24408,23695,23000,22317,21645,20989,20351,19727,19113,18506,17905,17304,16707,16114,15526,14938,14348,13756,13166,12578,11990,11399,10807,10219,9636,9049,8454,7858,7271,6697,6130,5569,5021,4490,3976,3495,3058,2658,2282,1932,1609,1311,1040,796,572,399,288,223,174,146,118,87,55,32,23,18,12,6,2,2
1955,83262,78565,74344,70570,67209,64230.00000000001,61602,59292,57270,55503,53963,52620,51430,50356,49374,48503,47747,46897,45854,44694,43595,42520,41471,40467,39496,38526,37565,36618,35687,34770,33868,32980,32106,31246,30400,29569,28753,27949,27157,26376,25611,24859,24127,23418,22728,22050,21383,20731,20096,19473,18858,18252,17650,17047,16446,15849,15256,14663,14066,13467,12870,12275,11678,11078,10476,9877,9285,8689,8086,7482,6890,6311,5741,5182,4638,4113,3607,3137,2712,2326,1965,1631,1330,1061,824,613,424,279,187,135,99,84,66,46,24,11,9,7,4,2,2
1956,84281,80855,76541,72659,69181,66074,63315,60876,58705,56765,55037,53516,52169,50975,49911,48945,48077,47313,46457,45415,44260,43162,42088,41040,40037,39067,38099,37139,36194,35265,34352,33452,32567.999999999996,31698,30841,29999,29171,28359,27560,26774,26001,25243,24498,23772,23067,22381,21705,21040,20390,19753,19129,18512,17902,17295,16688,16081,15478,14879,14278,13672,13063,12457,11854,11248,10639,10030,9425,8828,8230,7627,7027,6440,5868,5310,4766,4241,3737,3253,2808,2410,2053,1721,1417,1145,906,698,513,353,234,157,111,81,68,54,37,19,9,7,4,2,2
1957,85435,81002,78578,74639,71090,67901,65044,62499,60245,58210,56348,54657,53152,51799,50599,49543,48593,47725,46952,46090,45047,43895,42797,41722,40673,39669,38699,37731,36770,35826,34898,33986,33089,32207,31338,30484,29644,28819,28009,27213,26433,25667,24915,24176,23455,22753,22069,21395,20731,20080,19442,18815,18194,17580,16968,16355,15741,15131,14525,13916,13300,12681,12065,11451,10836,10219,9601,8989,8386,7784,7182,6584,6002,5436,4887,4358,3852,3368,2905,2484,2113,1784,1481,1205,962,753,575,415,282,189,127,88,63,53,42,29,15,6,4,2,2
1958,86847,82521,78562,76387,72819,69598,66696,64084.99999999999,61751,59679,57777,55993,54336,52846,51485,50278,49229,48293,47425,46643,45773,44728,43577,42479,41401,40349,39344,38373,37403,36442,35497,34570,33658,32762,31880,31014,30160,29322,28498,27689,26897,26121,25361,24614,23880,23163,22464,21781,21108,20444,19792,19152,18521,17896,17277,16660,16040,15419,14802,14188,13569,12943,12313,11685,11062,10437,9809,9182,8563,7953,7348,6744,6149,5570,5010,4470,3956,3467,3002,2561,2163,1818,1517,1243,995,780,601,452,317,212,144,97,65,46,38,30,21,11,4,2,2
1959,88674,84345,80373,76736,74244,71045,68151,65533,63168,61044,59153,57383,55674,54051,52575,51206,49990,48947,48025,47156,46364,45486,44438,43289,42188,41107,40053,39045,38072,37101,36138,35192,34264,33352,32456.000000000004,31575,30709,29856,29018,28196,27388,26597,25825,25071,24329,23600,22887,22190,21507,20834,20171,19517,18874,18239,17610,16986,16361.999999999998,15735,15107,14481,13859,13231,12594,11952,11313,10679,10043,9405,8769,8141.999999999999,7525,6915,6310,5716,5141,4586,4056,3555,3084,2639,2218,1843,1524,1251,1004,785,599,449,329,219,142,100,67,42,28,23,18,12,6,2,2
