Time,Births
1950,389161.0
1951,395034.0
1952,401058.0
1953,406395.0
1954,411006.0
1955,442221.0
1956,448432.0
1957,454045.0
1958,459492.0
1959,465128.0
1960,445718.0
1961,450627.0
1962,456364.0
1963,463350.0
1964,472066.0
1965,344551.0
1966,354972.0
1967,367416.0
1968,381462.0
1969,396433.0
1970,314438.0
1971,327413.0
1972,340406.0
1973,353419.0
1974,366506.0
1975,334105.0
1976,343524.0
1977,352798.0
1978,361727.0
1979,370015.0
1980,353832.0
1981,360061.0
1982,365521.0
1983,370166.0
1984,373978.0
1985,371177.0
1986,374528.0
1987,377141.0
1988,378797.0
1989,379233.0
1990,396985.0
1991,395101.0
1992,391946.0
1993,387912.0
1994,383555.0
1995,353233.0
1996,349600.0
1997,346072.0
1998,342784.0
1999,339887.0
2000,330802.0
2001,329458.0
2002,328735.0
2003,328727.0
2004,329484.0
2005,358281.0
2006,361188.0
2007,365149.0
2008,369910.0
2009,375099.0
2010,372292.0
2011,376491.0
2012,381196.0
2013,386082.0
2014,390794.0
2015,376909.0
2016,380964.0
2017,384634.0
2018,388004.0
2019,391185.0
2020,384593.0
2021,386493.0
2022,388279.0
2023,389852.0
2024,391015.0
2025,392215.0
2026,391968.0
2027,391302.0
2028,390385.0
2029,389458.0
2030,395342.0
2031,393994.0
2032,392842.0
2033,392017.0
2034,391655.0
2035,399883.0
2036,399840.0
2037,400435.0
2038,401577.0
2039,403071.0
2040,411475.0
2041,412658.0
2042,414139.0
2043,415860.0
2044,417703.0
2045,426936.0
2046,428134.0
2047,429417.0
2048,430754.0
2049,432115.0
2050,438844.0
2051,439502.0
2052,440264.0
2053,441131.0
2054,442078.0
2055,449019.0
2056,449360.0
2057,449892.0
2058,450624.0
2059,451521.0
2060,458457.0
2061,458934.0
2062,459683.0
2063,460644.0
2064,461767.0
2065,467341.0
2066,468261.0
2067,469454.0
2068,470912.0
2069,472581.0
2070,478175.0
2071,479673.0
2072,481434.0
2073,483409.0
2074,485516.0
2075,491210.0
2076,493022.0
2077,495046.0
2078,497232.0
2079,499471.0
2080,504290.0
2081,506110.0
2082,508079.0
2083,510103.0
2084,512094.0
2085,516843.0
2086,518427.0
2087,520151.0
2088,522001.0
2089,523886.0
2090,529256.0
2091,530793.0
2092,532542.0
2093,534386.0
2094,536202.0
2095,539659.0
2096,541249.0
2097,543024.0
2098,544929.0
2099,546873.0
