Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,41150.0,38797.0,36725.0,34910.0,33332.0,31967.0,30794.0,29790.0,28932.0,28199.0,27585.0,27083.000000000004,26590.0,26050.0,25490.0,24994.0,24546.0,24088.0,23598.000000000004,23093.000000000004,22604.0,22116.999999999996,21664.0,21263.0,20890.0,20517.0,20156.0,19746.0,19255.0,18717.0,18192.0,17670.0,17176.0,16733.0,16325.0,15914.000000000002,15505.0,15122.0,14773.0,14447.000000000002,14130.0,13833.0,13502.0,13110.999999999998,12689.0,12274.0,11839.0,11490.0,11277.999999999998,11142.999999999998,10995.999999999998,10879.000000000002,10622.0,10138.0,9519.0,8926.0,8312.000000000002,7832.000000000001,7576.000000000001,7461.0,7317.0,7183.0,6988.0,6684.0,6309.0,5954.0,5605.0,5252.999999999999,4904.0,4558.0,4209.0,3859.0,3518.0000000000005,3193.0,2881.9999999999995,2578.9999999999995,2292.0,2001.0,1700.9999999999998,1403.0,1123.0,854.0000000000001,637.0,496.0,408.0,330.0,268.99999999999994,217.0,163.99999999999997,114.0,75.0,53.0,42.0,28.999999999999996,16.0,9.000000000000002,6.999999999999999,5.0,4.0,2.0,2.0
1951,46631.0,40105.0,37790.0,35794.00000000001,34084.0,32630.000000000004,31410.999999999996,30408.0,29528.000000000004,28715.999999999996,27976.0,27364.0,26863.000000000004,26370.0,25835.0,25283.0,24788.0,24335.0,23873.0,23381.999999999996,22879.0,22389.0,21901.0,21447.0,21044.0,20670.0,20294.0,19932.000000000004,19520.0,19030.0,18492.0,17968.0,17445.999999999996,16954.0,16511.0,16104.0,15695.0,15287.0,14905.999999999998,14559.000000000002,14235.0,13920.0,13625.0,13296.0,12908.0,12488.0,12075.0,11642.999999999998,11294.0,11077.0,10934.000000000002,10780.0,10654.000000000002,10390.999999999998,9906.0,9289.0,8697.000000000002,8084.0,7601.0,7336.0,7207.000000000001,7050.0,6903.0,6697.999999999999,6385.0,6004.0,5645.0,5291.0,4936.0,4588.0,4244.0,3898.9999999999995,3554.0,3221.0,2907.0,2608.0,2320.0,2046.9999999999998,1775.0,1500.0,1230.0,979.0000000000001,738.0,546.0,421.00000000000006,344.0,276.99999999999994,226.0,182.0,136.99999999999997,95.0,61.0,44.00000000000001,34.0,24.0,13.000000000000002,6.999999999999999,5.0,4.0,2.0,2.0
1952,50842.0,45508.99999999999,39012.0,36739.00000000001,34821.0,33218.0,31889.0,30816.0,29984.0,29230.0,28464.000000000004,27718.000000000004,27110.0,26610.0,26116.999999999996,25589.000000000004,25045.0,24551.0,24093.000000000004,23628.0,23138.0,22636.0,22147.0,21658.0,21204.0,20799.0,20424.0,20047.0,19683.0,19271.0,18781.0,18244.0,17722.0,17201.0,16710.0,16269.000000000002,15864.0,15457.0,15050.0,14671.0,14327.0,14005.999999999998,13694.0,13401.0,13074.000000000002,12689.0,12272.0,11862.0,11432.0,11083.0,10862.0,10713.0,10550.999999999998,10417.0,10148.0,9663.0,9048.0,8458.0,7847.0,7361.000000000001,7087.000000000001,6944.0,6775.0,6616.000000000001,6400.0,6080.0,5694.0,5329.0,4971.0,4615.0,4266.0,3925.0,3585.0,3246.0000000000005,2921.9999999999995,2618.0000000000005,2333.0,2059.0,1800.0,1548.0,1298.0,1057.0,834.0000000000001,623.0,455.0,346.00000000000006,280.0,223.99999999999997,183.0,147.0,110.0,75.0,48.0,34.0,27.000000000000004,19.0,10.0,5.0,4.0,2.0,2.0
1953,53866.00000000001,47883.0,42885.0,38000.0,35764.0,33920.0,32420.0,31213.0,30284.000000000004,29621.0,28990.0,28269.000000000004,27516.0,26910.0,26410.999999999996,25916.999999999996,25393.0,24857.0,24363.000000000004,23900.0,23430.0,22939.0,22439.0,21949.0,21459.0,21003.0,20596.0,20219.0,19840.0,19474.0,19061.0,18570.0,18033.0,17511.0,16991.0,16500.0,16059.999999999998,15655.0,15250.0,14844.000000000002,14467.0,14125.0,13806.0,13495.0,13203.0,12878.0,12495.0,12081.0,11672.0,11245.0,10895.999999999998,10670.0,10513.0,10343.0,10201.0,9926.0,9440.0,8826.0,8237.0,7626.0,7137.0,6853.0,6697.0,6515.0,6343.0,6116.000000000001,5787.999999999999,5395.0,5025.0,4662.0,4303.0,3955.0,3616.0,3278.0,2945.0,2628.9999999999995,2336.0,2063.0,1801.9999999999998,1558.0,1324.0,1099.0,887.0,692.0000000000001,509.0,365.0,272.0,217.0,171.0,141.0,113.0,84.0,55.0,35.0,25.0,20.0,13.999999999999998,6.999999999999999,4.0,2.0,2.0
1954,55768.0,49716.0,44632.0,40429.0,37083.0,34876.99999999999,33104.0,31703.000000000004,30615.0,29828.000000000004,29331.999999999996,28823.0,28145.0,27381.999999999996,26776.999999999996,26276.999999999996,25781.0,25261.0,24732.0,24236.0,23766.0,23291.0,22798.0,22296.999999999996,21805.999999999996,21313.000000000004,20854.0,20445.0,20065.0,19683.0,19314.0,18898.0,18406.0,17868.0,17344.0,16823.0,16332.0,15890.999999999998,15485.999999999998,15080.0,14675.0,14298.0,13957.0,13639.000000000002,13330.0,13039.000000000002,12715.0,12333.0,11920.0,11512.0,11085.999999999998,10735.0,10504.000000000002,10339.0,10162.0,10010.0,9729.0,9240.0,8626.0,8035.0,7423.999999999999,6931.0,6636.0,6465.0,6270.0,6086.0,5847.0,5508.999999999999,5110.0,4733.000000000001,4365.0,4002.0,3653.0,3315.0,2980.0,2651.0000000000005,2342.0,2059.0,1798.0,1551.0,1319.0,1104.0,902.0,718.0,550.0,396.0,276.0,198.99999999999997,154.0,119.00000000000001,98.0,79.0,57.0,36.00000000000001,22.000000000000004,16.0,13.000000000000002,9.000000000000002,5.0,2.0,2.0
1955,56617.0,51037.0,46277.0,42266.00000000001,38936.0,36216.0,34038.00000000001,32333.0,31029.0,30059.0,29414.0,29086.0,28699.0,28061.999999999996,27289.0,26683.000000000004,26182.0,25684.0,25166.999999999996,24642.0,24144.000000000004,23668.000000000004,23186.0,22690.0,22189.0,21695.0,21199.0,20736.0,20323.0,19940.0,19555.0,19182.000000000004,18762.999999999996,18268.0,17727.999999999996,17202.0,16679.000000000004,16187.000000000002,15745.0,15340.0,14933.0,14527.000000000002,14150.0,13810.0,13493.0,13184.000000000002,12892.999999999998,12570.0,12189.0,11776.0,11369.000000000002,10943.0,10590.0,10353.0,10180.0,9995.0,9834.0,9545.0,9052.999999999998,8437.999999999998,7845.0,7232.0,6734.0,6428.0,6242.999999999999,6034.0,5836.0,5585.0,5238.0,4831.0,4447.0,4073.0000000000005,3706.0000000000005,3353.9999999999995,3017.0,2685.0,2360.0,2057.0,1783.0000000000002,1534.0,1300.0,1082.0,884.0,706.0,550.0,410.0,283.00000000000006,186.00000000000003,125.0,91.0,67.0,55.99999999999999,44.00000000000001,31.0,17.0,9.000000000000002,6.999999999999999,5.0,4.0,2.0,2.0
1956,56138.99999999999,54343.0,49455.0,45200.0,41535.0,38417.0,35782.0,33564.0,31831.0,30586.0,29719.0,29111.0,28776.999999999996,28385.0,27756.0,26998.0,26396.0,25891.0,25390.0,24874.000000000004,24351.999999999996,23854.0,23377.0,22896.0,22400.0,21900.0,21406.999999999996,20912.0,20449.0,20035.999999999996,19652.0,19266.0,18893.0,18475.0,17983.0,17445.999999999996,16925.0,16405.0,15917.0,15479.000000000002,15079.0,14677.0,14275.0,13901.0,13562.999999999998,13247.0,12939.0,12649.0,12325.0,11944.0,11530.0,11122.0,10695.0,10338.0,10092.0,9908.999999999998,9713.0,9540.0,9244.0,8751.0,8138.999999999999,7548.999999999999,6940.0,6440.0,6126.0,5928.0,5707.999999999999,5499.0,5242.000000000001,4895.0,4492.0,4114.0,3746.0000000000005,3389.0,3051.0,2728.9999999999995,2414.0,2106.9999999999995,1824.0,1570.0,1343.0000000000002,1130.0,934.0,757.0,602.0,465.0,343.0,236.00000000000003,157.0,105.0,75.0,55.0,46.0,36.00000000000001,25.0,13.999999999999998,6.999999999999999,5.0,4.0,2.0,2.0
1957,55298.0,51836.00000000001,52288.99999999999,48070.0,44302.0,40967.0,38049.0,35486.99999999999,33220.0,31455.0,30263.0,29495.0,28921.0,28580.0,28183.000000000004,27559.0,26811.999999999996,26211.0,25701.0,25195.0,24677.0,24156.0,23658.0,23179.000000000004,22695.0,22198.0,21695.999999999996,21202.0,20706.0,20243.0,19827.0,19441.0,19053.0,18679.000000000004,18260.0,17768.0,17234.0,16714.000000000004,16195.999999999998,15710.0,15275.0,14877.0,14478.0,14079.0,13707.0,13370.0,13054.0,12745.999999999998,12454.0,12129.000000000002,11745.0,11330.0,10918.0,10489.0,10127.0,9872.0,9677.999999999998,9470.0,9285.0,8980.0,8484.0,7872.999999999999,7282.999999999999,6676.0,6173.999999999999,5849.0,5637.0,5405.0,5185.0,4920.0,4572.0,4173.0,3798.0,3436.0000000000005,3086.9999999999995,2760.0,2453.0000000000005,2153.0,1863.0000000000002,1598.0,1364.0,1158.0,966.0,790.0,635.0,499.0,382.99999999999994,278.0,190.0,128.0,86.0,60.0,43.0,36.00000000000001,27.999999999999996,20.0,11.000000000000002,5.0,3.0,2.0,2.0
1958,54381.0,52113.0,49783.0,50321.99999999999,46766.00000000001,43478.0,40467.0,37745.0,35251.99999999999,32933.0,31131.999999999996,29991.0,29320.999999999996,28781.0,28432.0,28028.000000000004,27409.000000000004,26671.999999999996,26070.999999999996,25554.000000000004,25043.000000000004,24523.000000000004,24002.0,23500.999999999996,23019.000000000004,22531.999999999996,22033.0,21530.0,21033.0,20535.999999999996,20070.0,19652.0,19262.999999999996,18873.0,18496.0,18075.0,17584.0,17050.0,16531.0,16014.0,15529.000000000002,15095.999999999998,14700.999999999998,14302.999999999998,13907.0,13536.0,13199.000000000002,12883.0,12573.0,12280.0,11953.0,11567.0,11148.0,10732.999999999998,10300.999999999998,9932.0,9668.0,9462.0,9243.0,9046.0,8732.000000000002,8232.000000000002,7620.0,7030.0,6422.000000000001,5917.000000000001,5582.000000000001,5355.0,5111.000000000001,4879.0,4606.0,4256.0,3860.0,3489.0,3131.0,2788.9999999999995,2474.0,2180.0,1895.0,1622.0,1374.0,1160.0,974.0000000000001,802.9999999999999,648.0,513.0,397.99999999999994,301.0,214.0,144.00000000000003,99.0,67.0,45.0,32.0,27.000000000000004,21.0,15.0,8.0,4.0,2.0,2.0
1959,53754.0,52452.0,50847.0,48993.0,48351.00000000001,45460.0,42654.0,39969.0,37442.0,35019.0,32647.0,30809.0,29720.0,29148.000000000004,28642.0,28285.0,27874.000000000004,27260.0,26533.0,25932.0,25409.000000000004,24892.0,24370.0,23848.000000000004,23346.0,22860.0,22371.0,21869.0,21364.0,20866.0,20366.0,19898.0,19477.999999999996,19085.0,18692.999999999996,18313.0,17891.0,17399.0,16866.0,16347.999999999998,15833.0,15349.0,14918.0,14525.0,14129.000000000002,13735.0,13365.0,13027.999999999998,12710.999999999998,12401.0,12106.0,11777.000000000002,11389.000000000002,10967.0,10549.000000000002,10112.0,9738.0,9465.0,9247.0,9016.0,8806.000000000002,8482.000000000002,7979.0,7367.000000000001,6776.0,6169.0,5660.0,5314.0,5073.0,4816.0,4572.0,4292.0,3940.0,3546.0000000000005,3178.0,2825.0,2491.0,2186.0,1906.9999999999998,1636.9999999999998,1380.0,1150.0,956.0,790.0,639.0,505.0,391.0,296.00000000000006,218.99999999999997,149.0,99.0,70.0,48.0,30.0,20.0,17.0,13.000000000000002,9.000000000000002,5.0,2.0,2.0
