Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.02614574,0.00145525,0.00145525,0.00145525,0.00145525,0.00052664,0.00052664,0.00052664,0.00052664,0.00052664,0.00042711,0.00042711,0.00042711,0.00042711,0.00042711,0.00069899,0.00069899,0.00069899,0.00069899,0.00069899,0.00098493,0.00098493,0.00098493,0.00098493,0.00098493,0.00119698,0.00119698,0.00119698,0.00119698,0.00119698,0.00146763,0.00146763,0.00146763,0.00146763,0.00146763,0.00192928,0.00192928,0.00192928,0.00192928,0.00192928,0.00269968,0.00269968,0.00269968,0.00269968,0.00269968,0.00406293,0.00406293,0.00406293,0.00406293,0.00406293,0.00610531,0.00610531,0.00610531,0.00610531,0.00610531,0.00929049,0.00929049,0.00929049,0.00929049,0.00929049,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.02498633,0.02498633,0.02498633,0.02498633,0.02498633,0.04295699,0.04295699,0.04295699,0.04295699,0.04295699,0.07334201,0.07334201,0.07334201,0.07334201,0.07334201,0.12468626,0.12468626,0.12468626,0.12468626,0.12468626,0.20041713,0.20041713,0.20041713,0.20041713,0.20041713,0.29941336,0.29941336,0.29941336,0.29941336,0.29941336,0.42029538,0.42029538,0.42029538,0.42029538,0.42029538,0.56388059
1951,0.02614574,0.00145525,0.00145525,0.00145525,0.00145525,0.00052664,0.00052664,0.00052664,0.00052664,0.00052664,0.00042711,0.00042711,0.00042711,0.00042711,0.00042711,0.00069899,0.00069899,0.00069899,0.00069899,0.00069899,0.00098493,0.00098493,0.00098493,0.00098493,0.00098493,0.00119698,0.00119698,0.00119698,0.00119698,0.00119698,0.00146763,0.00146763,0.00146763,0.00146763,0.00146763,0.00192928,0.00192928,0.00192928,0.00192928,0.00192928,0.00269968,0.00269968,0.00269968,0.00269968,0.00269968,0.00406293,0.00406293,0.00406293,0.00406293,0.00406293,0.00610531,0.00610531,0.00610531,0.00610531,0.00610531,0.00929049,0.00929049,0.00929049,0.00929049,0.00929049,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.02498633,0.02498633,0.02498633,0.02498633,0.02498633,0.04295699,0.04295699,0.04295699,0.04295699,0.04295699,0.07334201,0.07334201,0.07334201,0.07334201,0.07334201,0.12468626,0.12468626,0.12468626,0.12468626,0.12468626,0.20041713,0.20041713,0.20041713,0.20041713,0.20041713,0.29941336,0.29941336,0.29941336,0.29941336,0.29941336,0.42029538,0.42029538,0.42029538,0.42029538,0.42029538,0.56388059
1952,0.02614574,0.00145525,0.00145525,0.00145525,0.00145525,0.00052664,0.00052664,0.00052664,0.00052664,0.00052664,0.00042711,0.00042711,0.00042711,0.00042711,0.00042711,0.00069899,0.00069899,0.00069899,0.00069899,0.00069899,0.00098493,0.00098493,0.00098493,0.00098493,0.00098493,0.00119698,0.00119698,0.00119698,0.00119698,0.00119698,0.00146763,0.00146763,0.00146763,0.00146763,0.00146763,0.00192928,0.00192928,0.00192928,0.00192928,0.00192928,0.00269968,0.00269968,0.00269968,0.00269968,0.00269968,0.00406293,0.00406293,0.00406293,0.00406293,0.00406293,0.00610531,0.00610531,0.00610531,0.00610531,0.00610531,0.00929049,0.00929049,0.00929049,0.00929049,0.00929049,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.02498633,0.02498633,0.02498633,0.02498633,0.02498633,0.04295699,0.04295699,0.04295699,0.04295699,0.04295699,0.07334201,0.07334201,0.07334201,0.07334201,0.07334201,0.12468626,0.12468626,0.12468626,0.12468626,0.12468626,0.20041713,0.20041713,0.20041713,0.20041713,0.20041713,0.29941336,0.29941336,0.29941336,0.29941336,0.29941336,0.42029538,0.42029538,0.42029538,0.42029538,0.42029538,0.56388059
1953,0.02614574,0.00145525,0.00145525,0.00145525,0.00145525,0.00052664,0.00052664,0.00052664,0.00052664,0.00052664,0.00042711,0.00042711,0.00042711,0.00042711,0.00042711,0.00069899,0.00069899,0.00069899,0.00069899,0.00069899,0.00098493,0.00098493,0.00098493,0.00098493,0.00098493,0.00119698,0.00119698,0.00119698,0.00119698,0.00119698,0.00146763,0.00146763,0.00146763,0.00146763,0.00146763,0.00192928,0.00192928,0.00192928,0.00192928,0.00192928,0.00269968,0.00269968,0.00269968,0.00269968,0.00269968,0.00406293,0.00406293,0.00406293,0.00406293,0.00406293,0.00610531,0.00610531,0.00610531,0.00610531,0.00610531,0.00929049,0.00929049,0.00929049,0.00929049,0.00929049,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.02498633,0.02498633,0.02498633,0.02498633,0.02498633,0.04295699,0.04295699,0.04295699,0.04295699,0.04295699,0.07334201,0.07334201,0.07334201,0.07334201,0.07334201,0.12468626,0.12468626,0.12468626,0.12468626,0.12468626,0.20041713,0.20041713,0.20041713,0.20041713,0.20041713,0.29941336,0.29941336,0.29941336,0.29941336,0.29941336,0.42029538,0.42029538,0.42029538,0.42029538,0.42029538,0.56388059
1954,0.02614574,0.00145525,0.00145525,0.00145525,0.00145525,0.00052664,0.00052664,0.00052664,0.00052664,0.00052664,0.00042711,0.00042711,0.00042711,0.00042711,0.00042711,0.00069899,0.00069899,0.00069899,0.00069899,0.00069899,0.00098493,0.00098493,0.00098493,0.00098493,0.00098493,0.00119698,0.00119698,0.00119698,0.00119698,0.00119698,0.00146763,0.00146763,0.00146763,0.00146763,0.00146763,0.00192928,0.00192928,0.00192928,0.00192928,0.00192928,0.00269968,0.00269968,0.00269968,0.00269968,0.00269968,0.00406293,0.00406293,0.00406293,0.00406293,0.00406293,0.00610531,0.00610531,0.00610531,0.00610531,0.00610531,0.00929049,0.00929049,0.00929049,0.00929049,0.00929049,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.014830100000000002,0.02498633,0.02498633,0.02498633,0.02498633,0.02498633,0.04295699,0.04295699,0.04295699,0.04295699,0.04295699,0.07334201,0.07334201,0.07334201,0.07334201,0.07334201,0.12468626,0.12468626,0.12468626,0.12468626,0.12468626,0.20041713,0.20041713,0.20041713,0.20041713,0.20041713,0.29941336,0.29941336,0.29941336,0.29941336,0.29941336,0.42029538,0.42029538,0.42029538,0.42029538,0.42029538,0.56388059
1955,0.02167825,0.0011103,0.0011103,0.0011103,0.0011103,0.00041853,0.00041853,0.00041853,0.00041853,0.00041853,0.00034085,0.00034085,0.00034085,0.00034085,0.00034085,0.00056119,0.00056119,0.00056119,0.00056119,0.00056119,0.00079369,0.00079369,0.00079369,0.00079369,0.00079369,0.00097535,0.00097535,0.00097535,0.00097535,0.00097535,0.00120953,0.00120953,0.00120953,0.00120953,0.00120953,0.00161545,0.00161545,0.00161545,0.00161545,0.00161545,0.00230845,0.00230845,0.00230845,0.00230845,0.00230845,0.00355899,0.00355899,0.00355899,0.00355899,0.00355899,0.00540772,0.00540772,0.00540772,0.00540772,0.00540772,0.00832609,0.00832609,0.00832609,0.00832609,0.00832609,0.01336565,0.01336565,0.01336565,0.01336565,0.01336565,0.02287049,0.02287049,0.02287049,0.02287049,0.02287049,0.03976583,0.03976583,0.03976583,0.03976583,0.03976583,0.0686982,0.0686982,0.0686982,0.0686982,0.0686982,0.118237,0.118237,0.118237,0.118237,0.118237,0.19225775,0.19225775,0.19225775,0.19225775,0.19225775,0.29008603,0.29008603,0.29008603,0.29008603,0.29008603,0.41063914,0.41063914,0.41063914,0.41063914,0.41063914,0.55619963
1956,0.02167825,0.0011103,0.0011103,0.0011103,0.0011103,0.00041853,0.00041853,0.00041853,0.00041853,0.00041853,0.00034085,0.00034085,0.00034085,0.00034085,0.00034085,0.00056119,0.00056119,0.00056119,0.00056119,0.00056119,0.00079369,0.00079369,0.00079369,0.00079369,0.00079369,0.00097535,0.00097535,0.00097535,0.00097535,0.00097535,0.00120953,0.00120953,0.00120953,0.00120953,0.00120953,0.00161545,0.00161545,0.00161545,0.00161545,0.00161545,0.00230845,0.00230845,0.00230845,0.00230845,0.00230845,0.00355899,0.00355899,0.00355899,0.00355899,0.00355899,0.00540772,0.00540772,0.00540772,0.00540772,0.00540772,0.00832609,0.00832609,0.00832609,0.00832609,0.00832609,0.01336565,0.01336565,0.01336565,0.01336565,0.01336565,0.02287049,0.02287049,0.02287049,0.02287049,0.02287049,0.03976583,0.03976583,0.03976583,0.03976583,0.03976583,0.0686982,0.0686982,0.0686982,0.0686982,0.0686982,0.118237,0.118237,0.118237,0.118237,0.118237,0.19225775,0.19225775,0.19225775,0.19225775,0.19225775,0.29008603,0.29008603,0.29008603,0.29008603,0.29008603,0.41063914,0.41063914,0.41063914,0.41063914,0.41063914,0.55619963
1957,0.02167825,0.0011103,0.0011103,0.0011103,0.0011103,0.00041853,0.00041853,0.00041853,0.00041853,0.00041853,0.00034085,0.00034085,0.00034085,0.00034085,0.00034085,0.00056119,0.00056119,0.00056119,0.00056119,0.00056119,0.00079369,0.00079369,0.00079369,0.00079369,0.00079369,0.00097535,0.00097535,0.00097535,0.00097535,0.00097535,0.00120953,0.00120953,0.00120953,0.00120953,0.00120953,0.00161545,0.00161545,0.00161545,0.00161545,0.00161545,0.00230845,0.00230845,0.00230845,0.00230845,0.00230845,0.00355899,0.00355899,0.00355899,0.00355899,0.00355899,0.00540772,0.00540772,0.00540772,0.00540772,0.00540772,0.00832609,0.00832609,0.00832609,0.00832609,0.00832609,0.01336565,0.01336565,0.01336565,0.01336565,0.01336565,0.02287049,0.02287049,0.02287049,0.02287049,0.02287049,0.03976583,0.03976583,0.03976583,0.03976583,0.03976583,0.0686982,0.0686982,0.0686982,0.0686982,0.0686982,0.118237,0.118237,0.118237,0.118237,0.118237,0.19225775,0.19225775,0.19225775,0.19225775,0.19225775,0.29008603,0.29008603,0.29008603,0.29008603,0.29008603,0.41063914,0.41063914,0.41063914,0.41063914,0.41063914,0.55619963
1958,0.02167825,0.0011103,0.0011103,0.0011103,0.0011103,0.00041853,0.00041853,0.00041853,0.00041853,0.00041853,0.00034085,0.00034085,0.00034085,0.00034085,0.00034085,0.00056119,0.00056119,0.00056119,0.00056119,0.00056119,0.00079369,0.00079369,0.00079369,0.00079369,0.00079369,0.00097535,0.00097535,0.00097535,0.00097535,0.00097535,0.00120953,0.00120953,0.00120953,0.00120953,0.00120953,0.00161545,0.00161545,0.00161545,0.00161545,0.00161545,0.00230845,0.00230845,0.00230845,0.00230845,0.00230845,0.00355899,0.00355899,0.00355899,0.00355899,0.00355899,0.00540772,0.00540772,0.00540772,0.00540772,0.00540772,0.00832609,0.00832609,0.00832609,0.00832609,0.00832609,0.01336565,0.01336565,0.01336565,0.01336565,0.01336565,0.02287049,0.02287049,0.02287049,0.02287049,0.02287049,0.03976583,0.03976583,0.03976583,0.03976583,0.03976583,0.0686982,0.0686982,0.0686982,0.0686982,0.0686982,0.118237,0.118237,0.118237,0.118237,0.118237,0.19225775,0.19225775,0.19225775,0.19225775,0.19225775,0.29008603,0.29008603,0.29008603,0.29008603,0.29008603,0.41063914,0.41063914,0.41063914,0.41063914,0.41063914,0.55619963
1959,0.02167825,0.0011103,0.0011103,0.0011103,0.0011103,0.00041853,0.00041853,0.00041853,0.00041853,0.00041853,0.00034085,0.00034085,0.00034085,0.00034085,0.00034085,0.00056119,0.00056119,0.00056119,0.00056119,0.00056119,0.00079369,0.00079369,0.00079369,0.00079369,0.00079369,0.00097535,0.00097535,0.00097535,0.00097535,0.00097535,0.00120953,0.00120953,0.00120953,0.00120953,0.00120953,0.00161545,0.00161545,0.00161545,0.00161545,0.00161545,0.00230845,0.00230845,0.00230845,0.00230845,0.00230845,0.00355899,0.00355899,0.00355899,0.00355899,0.00355899,0.00540772,0.00540772,0.00540772,0.00540772,0.00540772,0.00832609,0.00832609,0.00832609,0.00832609,0.00832609,0.01336565,0.01336565,0.01336565,0.01336565,0.01336565,0.02287049,0.02287049,0.02287049,0.02287049,0.02287049,0.03976583,0.03976583,0.03976583,0.03976583,0.03976583,0.0686982,0.0686982,0.0686982,0.0686982,0.0686982,0.118237,0.118237,0.118237,0.118237,0.118237,0.19225775,0.19225775,0.19225775,0.19225775,0.19225775,0.29008603,0.29008603,0.29008603,0.29008603,0.29008603,0.41063914,0.41063914,0.41063914,0.41063914,0.41063914,0.55619963
