Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,1133,969,841,746,680,639,619,617,628,649,681,724,751,750,729,716,706,692,670,646,621,591,585,617,671,722,780,810,793,746,706,662,641,660,703,739,776,802,810,804,801,797,790,778,763,746,727,707,686,666,645,623,601,577,553,529,505,485,470,459,448,437,428,421,415,410,404,395,380,361,342,323,303,284,265,246,228,207,183,158,133,109,89,77,69,63,57,50,39,25,0,0,0,0,0,0,0,0,0,0,0
1951,1114,1035,902,802,730,683,658,653,656,660,667,684,710,726,724,711,702,697,688,675,661,647,630,628,649,685,718,757,776,765,735,710,681,668,681,711,737,762,780,786,784,783,781,775,764,750,735,717,698,678,657,636,613,591,568,546,524,502,483,468,457,445,434,424,414,405,396,387,376,360,341,322,303,284,264,245,225,206,186,163,140,118,96,78,66,60,53,49,42,33,21,0,0,0,0,0,0,0,0,0,0
1952,1103,954,940,839,766,717,689,679,688,696,694,687,689,697,703,701,695,691,689,686,682,679,675,670,671,683,700,716,735,745,740,727,715,701,696,705,722,736,750,761,766,766,767,767,762,753,740,726,710,692,672,651,628,606,583,562,541,521,500,482,467,455,443,432,420,408,396,383,371,357,341,322,304,285,265,245,225,205,185,165,144,123,103,83,67,57,50,44,40,35,26,16,0,0,0,0,0,0,0,0,0
1953,1096,949,836,848,777,731,705,695,702,725,738,730,708,695,687,681,679,680,681,682,685,691,697,704,711,717,718,717,716,715,715,717,719,721,723,726,729,734,737,740,743,747,750,753,754,751,743,731,718,704,687,667,645,622,599,576,556,537,518,499,482,467,455,443,430,417,403,387,372,356,340,322,304,286,267,248,227,206,185,165,145,125,106,88,70,56,47,41,35,32,27,20,12,0,0,0,0,0,0,0,0
1954,1092,944,831,749,756,717,698,695,703,725,762,781,766,730,703,677,660,658,666,672,677,686,700,717,734,754,763,754,735,717,696,687,694,713,729,746,757,755,747,739,731,726,729,735,739,743,742,735,723,712,699,684,664,641,618,593,571,551,535,517,499,482,468,455,442,430,415,398,380,361,342,323,305,286,268,250,230,209,187,165,144,124,106,89,74,58,46,37,31,26,24,20,14,8,0,0,0,0,0,0,0
1955,1092,941,827,746,693,665,657,665,685,712,750,801,826,804,754,711,668,640,638,653,664,673,688,711,738,765,798,811,792,754,718,678,659,673,708,738,771,789,783,761,743,723,710,712,721,727,732,733,727,717,706,695,681,661,637,613,588,566,547,532,516,499,484,470,456,443,430,414,394,372,350,328,306,287,269,251,233,213,191,168,146,124,104,87,73,59,46,35,27,22,17,15,13,8,3,0,0,0,0,0,0
1956,1082,1006,886,799,741,706,692,698,709,716,721,737,762,773,760,732,708,684,669,670,681,690,698,708,722,738,754,773,780,766,741,718,691,677,685,706,723,743,754,752,741,731,721,715,718,726,732,736,736,728,716,703,689,672,652,629,606,581,558,539,523,506,488,471,455,439,423,408,391,371,350,329,308,288,268,249,231,213,193,172,150,129,109,91,75,63,50,39,30,23,18,14,13,10,7,3,0,0,0,0,0
1957,1075,923,924,836,775,738,720,721,741,754,749,733,726,726,724,719,712,707,702,701,704,712,718,725,731,736,741,745,751,751,744,731,719,706,698,699,706,711,717,722,724,723,723,722,723,728,734,739,743,741,732,717,702,685,667,646,624,600,576,553,533,516,497,478,460,442,424,406,388,369,350,330,310,290,270,250,231,212,193,174,154,133,114,95,78,64,53,41,32,24,19,15,11,10,8,5,2,1,0,0,0
1958,1070,919,808,845,787,753,737,737,752,785,801,784,746,718,692,677,680,695,708,722,734,741,744,748,754,756,753,746,739,731,725,723,723,723,723,721,716,708,702,694,692,698,708,717,725,733,739,744,748,752,749,738,721,703,683,663,641,620,597,573,550,529,510,490,470,450,430,409,389,369,349,329,310,291,272,253,233,213,194,175,155,136,117,98,81,65,53,43,33,25,19,15,11,8,7,6,4,1,1,0,0
1959,1064,917,810,737,767,740,732,738,755,785,832,851,821,761,711,659,631,642,679,711,744,769,778,778,780,785,782,770,752,734,713,701,704,717,728,742,746,734,712,693,673,664,673,694,712,730,744,752,756,759,762,758,745,726,705,683,660,638,617,594,570,547,526,505,484,463,441,419,396,373,350,329,309,291,273,256,237,217,196,176,156,137,118,100,83,67,52,42,33,25,18,14,11,8,6,5,4,3,1,0,0
