Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,100656.0,96663.0,93035.0,89753.99999999999,86802.0,84160.0,81809.0,79732.0,77910.0,76325.0,74946.0,73743.0,72758.0,71997.0,71405.0,70826.00000000001,70176.0,69764.0,69689.0,69725.0,69675.0,69734.0,68748.0,66173.99999999999,62588.0,59114.0,55526.0,52373.00000000001,50043.0,48278.0,46393.0,44478.0,42856.0,41602.0,40600.0,39664.0,38836.99999999999,37900.99999999999,36729.0,35413.00000000001,34183.0,33005.0,31813.000000000004,30601.999999999996,29393.0,28201.0,27009.0,25930.999999999996,25021.0,24223.000000000004,23428.0,22656.999999999996,21868.000000000004,21031.999999999996,20166.0,19322.0,18493.0,17650.0,16783.0,15902.000000000002,15034.0,14187.000000000002,13319.0,12417.0,11505.999999999998,10620.0,9743.0,8961.0,8316.0,7769.0,7238.0,6741.000000000001,6249.0,5742.000000000001,5235.0,4766.0,4327.0,3916.0000000000005,3538.9999999999995,3191.9999999999995,2867.0,2563.9999999999995,2290.0,2048.0,1833.0000000000002,1638.0000000000002,1463.0,1304.0,1157.0,1022.9999999999999,900.0,795.0,713.0,637.0,567.0000000000001,528.0,497.00000000000006,447.0,377.0,287.0,813.0
1951,107535.0,99670.0,95746.00000000001,92208.0,89030.0,86186.0,83663.0,81445.0,79456.0,77648.0,76028.0,74618.0,73378.99999999999,72360.0,71574.0,70964.0,70360.0,69683.0,69243.0,69139.0,69148.0,69073.00000000001,69106.00000000001,68106.00000000001,65535.0,61965.0,58506.0,54935.0,51801.0,49490.0,47742.0,45876.00000000001,43983.00000000001,42378.0,41137.0,40145.0,39218.0,38400.0,37472.0,36306.99999999999,34998.00000000001,33773.0,32600.0,31412.0,30205.0,28999.000000000004,27810.0,26621.0,25544.0,24635.0,23838.0,23044.0,22272.0,21484.0,20649.0,19785.0,18942.999999999996,18116.0,17274.0,16407.0,15525.0,14658.0,13810.0,12943.0,12044.0,11139.000000000002,10257.0,9386.000000000002,8607.999999999998,7963.999999999999,7416.0,6886.0,6388.999999999999,5900.0,5399.0,4901.0,4441.0,4011.0,3611.0,3246.0000000000005,2911.0,2598.9999999999995,2309.0,2049.0,1821.0,1620.0,1436.9999999999998,1277.0000000000002,1134.0000000000002,999.0000000000001,874.0000000000001,763.0,672.9999999999999,601.0,535.0,475.0,402.99999999999994,358.0,301.0,234.0,688.0
1952,113457.00000000001,106595.0,98662.0,94808.0,91360.0,88285.0,85551.0,83147.0,81062.0,79160.0,77366.0,75712.0,74271.99999999999,72998.0,71944.0,71135.0,70507.0,69878.99999999999,69173.99999999999,68706.0,68574.0,68555.0,68455.0,68462.0,67449.0,64882.00000000001,61327.0,57885.0,54333.0,51218.0,48925.0,47195.0,45349.0,43477.0,41891.00000000001,40663.00000000001,39680.0,38764.0,37955.0,37035.0,35876.99999999999,34575.0,33356.0,32188.000000000004,31004.0,29801.0,28599.0,27413.0,26226.999999999996,25153.000000000004,24245.0,23448.0,22654.0,21881.999999999996,21095.0,20261.0,19400.0,18560.0,17736.0,16895.0,16027.999999999998,15145.999999999998,14277.999999999998,13430.0,12564.0,11669.0,10769.0,9892.999999999998,9027.999999999998,8254.0,7611.000000000001,7063.0,6532.0,6036.000000000001,5550.0,5055.0,4566.0,4115.0,3694.0,3305.0,2952.0,2628.9999999999995,2331.0,2054.0000000000005,1808.0,1593.0000000000002,1406.0,1235.0,1091.0,964.0000000000001,842.0000000000001,725.0,626.0,550.0,489.0,433.0,382.0,286.00000000000006,241.00000000000003,191.0,580.0
1953,118158.99999999999,110627.00000000001,104075.0,97743.0,93956.0,90594.0,87620.0,84993.0,82706.0,80752.0,78935.0,77155.0,75464.0,73993.0,72682.0,71593.0,70760.0,70113.99999999999,69460.0,68728.00000000001,68231.00000000001,68070.0,68025.0,67898.0,67881.0,66854.0,64288.0,60746.0,57316.0,53779.0,50681.99999999999,48405.0,46692.0,44864.0,43011.0,41441.0,40225.0,39251.99999999999,38344.0,37544.00000000001,36631.0,35480.0,34184.0,32970.0,31805.0,30625.0,29425.0,28226.0,27041.0,25857.0,24784.000000000004,23875.999999999996,23080.0,22285.0,21513.0,20725.0,19893.0,19032.0,18194.000000000004,17371.0,16531.0,15664.000000000002,14780.999999999998,13912.0,13062.999999999998,12197.000000000002,11305.0,10410.0,9538.0,8679.0,7907.999999999999,7265.0,6716.0,6185.0,5688.0,5205.0,4716.0,4235.0,3793.0,3381.9999999999995,3003.0,2661.0,2351.0,2064.0,1801.0,1568.0,1367.0,1194.0,1035.0,905.9999999999999,795.0,685.0,577.0000000000001,490.0,429.0,377.99999999999994,332.0,290.0,193.0,155.0,487.00000000000006
1954,121482.00000000001,113969.0,107392.99999999999,101680.0,96933.0,93208.0,89930.0,87052.0,84530.0,82357.99999999999,80532.0,78798.99999999999,77029.0,75301.0,73797.0,72447.0,71322.0,70464.0,69798.0,69119.0,68358.0,67832.0,67643.0,67570.0,67418.0,67375.0,66333.0,63765.0,60232.0,56811.00000000001,53286.0,50202.0,47938.99999999999,46240.0,44428.00000000001,42593.0,41038.00000000001,39833.0,38867.0,37968.0,37175.0,36268.0,35123.00000000001,33830.0,32619.999999999996,31456.999999999996,30280.0,29081.0,27883.000000000004,26700.0,25515.0,24441.999999999996,23534.000000000004,22737.0,21941.0,21166.999999999996,20378.0,19546.0,18686.0,17848.0,17026.0,16186.0,15318.0,14432.0,13561.0,12710.0,11844.000000000002,10954.0,10062.000000000002,9193.999999999998,8338.0,7570.0,6928.0,6376.0,5843.999999999999,5347.0,4866.000000000001,4382.0,3910.0,3475.0,3073.0,2703.9999999999995,2372.0,2074.0,1801.0,1550.0,1331.0,1143.0,983.0,836.0,722.0,627.0,530.0,429.0,355.0,307.0,267.0,231.0,198.0,128.0,407.0
1955,123374.0,116579.0,110515.0,105130.0,100371.00000000001,96185.0,92521.0,89323.0,86541.0,84121.00000000001,82062.00000000001,80365.0,78714.0,76954.0,75187.0,73648.0,72260.0,71098.0,70213.00000000001,69528.0,68823.00000000001,68032.0,67477.0,67259.0,67158.99999999999,66980.0,66913.0,65854.0,63283.0,59756.0,56343.0,52826.0,49753.0,47503.0,45818.00000000001,44021.0,42202.0,40661.0,39466.0,38507.0,37615.0,36829.0,35929.0,34787.0,33498.00000000001,32290.0,31130.0,29954.0,28756.0,27558.000000000004,26375.0,25190.0,24116.0,23206.999999999996,22408.0,21610.0,20834.0,20044.0,19211.0,18351.0,17514.0,16692.0,15851.0,14980.0,14092.0,13219.000000000002,12364.0,11498.0,10609.000000000002,9720.0,8855.0,8003.0,7237.0,6593.999999999999,6040.0,5507.000000000001,5008.999999999999,4529.0,4051.0,3585.0,3159.0,2765.0,2406.0,2085.0,1799.0000000000002,1537.0,1300.0,1093.0,919.0,773.0,637.0,537.9999999999999,458.99999999999994,374.0,282.0,218.99999999999997,186.00000000000003,156.0,130.0,106.0,338.99999999999994
1956,123594.0,121512.0,115417.99999999999,109838.0,104752.00000000001,100140.0,95952.00000000001,92140.0,88832.00000000001,86067.0,83737.00000000001,81693.0,79965.0,78286.99999999999,76508.0,74730.0,73172.0,71761.00000000001,70575.0,69666.0,68957.0,68229.0,67417.0,66845.0,66616.0,66512.0,66331.0,66260.0,65208.0,62657.0,59156.00000000001,55770.0,52282.0,49235.0,47003.0,45331.0,43549.0,41744.0,40214.0,39025.0,38069.0,37178.00000000001,36393.0,35493.0,34353.0,33065.0,31858.0,30697.0,29522.0,28328.000000000004,27134.0,25954.0,24773.000000000004,23701.0,22793.000000000004,21995.0,21198.0,20422.0,19631.0,18794.0,17929.000000000004,17086.0,16260.000000000002,15415.0,14542.0,13652.000000000002,12777.999999999998,11923.0,11059.000000000002,10176.0,9295.0,8439.0,7599.0,6843.0,6207.999999999999,5662.000000000001,5138.999999999999,4651.0,4184.0,3722.0,3275.0,2867.0,2493.0000000000005,2154.0,1854.0,1590.0,1347.0,1133.0,952.0000000000001,795.0,659.0,539.0,455.0,387.0,314.0,236.00000000000003,162.0,134.0,110.0,89.00000000000001,280.0
1957,123113.99999999999,119323.0,119851.0,114448.0,109341.00000000001,104545.0,100072.0,95876.0,91910.0,88486.0,85734.0,83490.0,81458.0,79697.0,77987.0,76188.0,74395.0,72815.0,71378.99999999999,70168.0,69233.0,68499.0,67747.0,66913.0,66323.00000000001,66084.0,65973.99999999999,65790.0,65717.0,64670.0,62133.0,58653.0,55288.99999999999,51824.0,48797.0,46580.0,44919.0,43148.0,41355.0,39834.0,38648.0,37693.00000000001,36802.0,36016.0,35115.0,33974.00000000001,32686.0,31478.0,30316.0,29139.0,27945.999999999996,26754.0,25576.0,24396.0,23326.0,22416.999999999996,21618.000000000004,20820.0,20044.0,19250.0,18408.0,17535.999999999996,16687.0,15855.0,15005.0,14128.0,13235.0,12359.000000000002,11502.0,10638.0,9760.0,8886.000000000002,8039.0,7207.000000000001,6461.0,5832.999999999999,5295.0,4780.0,4302.0,3846.0,3398.9999999999995,2971.0,2581.0000000000005,2225.0,1905.0,1626.9999999999998,1384.0000000000002,1160.0,969.0000000000001,813.0,672.9999999999999,547.0,442.0,373.0,316.0,255.0,190.0,120.0,96.99999999999999,76.0,231.0
1958,122374.0,120311.0,117794.0,118258.0,113542.99999999999,108907.99999999999,104399.0,100062.00000000001,95855.0,91734.0,88191.0,85450.0,83291.0,81268.99999999999,79473.99999999999,77733.0,75911.99999999999,74102.0,72501.0,71038.0,69801.0,68840.0,68080.0,67304.0,66446.0,65839.0,65589.0,65473.99999999999,65286.0,65211.0,64169.0,61645.0,58184.0,54839.0,51396.0,48387.0,46184.0,44532.0,42772.0,40990.0,39476.0,38294.00000000001,37338.0,36446.99999999999,35660.0,34757.0,33615.0,32326.0,31116.0,29951.0,28773.000000000004,27580.0,26390.0,25213.0,24033.0,22963.0,22054.000000000004,21253.0,20454.0,19676.0,18880.0,18032.0,17153.0,16297.999999999998,15459.000000000002,14603.0,13720.999999999998,12825.999999999998,11946.0,11087.0,10224.0,9349.0,8482.000000000002,7642.0,6820.0,6081.0,5461.0,4930.0,4423.0,3953.9999999999995,3510.0,3078.9999999999995,2667.0,2296.0,1956.9999999999998,1658.0000000000002,1400.0,1179.0,973.0,805.0,674.0,551.0,434.0,345.0,291.00000000000006,245.0,196.0,145.0,88.00000000000001,67.0,190.0
1959,121940.0,121290.0,119863.0,117762.0,116634.0,112609.0,108446.0,104226.0,100027.0,95810.0,91533.99999999999,87874.0,85145.0,83071.0,81060.0,79232.0,77458.0,75617.0,73792.0,72168.0,70680.0,69416.0,68429.0,67643.99999999999,66844.0,65963.00000000001,65338.00000000001,65077.0,64958.0,64766.00000000001,64688.99999999999,63651.0,61141.00000000001,57700.0,54376.00000000001,50953.99999999999,47965.0,45776.0,44133.99999999999,42385.0,40614.00000000001,39108.00000000001,37929.0,36974.00000000001,36083.0,35295.0,34391.0,33248.00000000001,31958.000000000004,30746.0,29578.000000000004,28399.0,27206.999999999996,26019.000000000004,24843.000000000004,23664.0,22595.0,21685.0,20883.000000000004,20083.0,19304.000000000004,18504.0,17651.0,16766.0,15902.999999999998,15058.0,14197.000000000002,13311.0,12412.0,11530.999999999998,10669.0,9806.000000000002,8936.0,8076.000000000001,7242.999999999999,6430.0,5700.0,5088.0,4563.0,4065.0000000000005,3605.0,3173.0,2756.9999999999995,2363.0,2009.9999999999998,1690.0,1409.0,1173.0,973.0,785.0,640.0,534.0,428.0,322.0,248.0,208.00000000000003,173.00000000000003,136.99999999999997,99.0,60.0,157.0
