Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,96140.0,76112.0,59823.0,46952.0,37173.0,30165.0,25601.999999999996,23162.0,22520.0,23351.999999999996,25565.0,29066.0,32381.0,34724.00000000001,36463.0,38740.0,41313.99999999999,43443.00000000001,44865.0,45738.0,46543.0,47257.0,47435.0,46928.00000000001,45938.0,44812.0,43479.0,42241.00000000001,41285.0,40482.0,39516.0,38441.0,37343.0,36226.0,35076.0,33894.0,32705.0,31366.0,29811.999999999996,28124.000000000004,26456.999999999996,24796.999999999996,23182.0,21655.0,20209.0,18779.0,17352.0,16120.000000000002,15161.0,14389.000000000002,13642.999999999998,12963.0,12225.0,11355.0,10415.0,9551.0,8747.0,7960.0,7189.0,6452.999999999999,5757.000000000001,5076.000000000001,4568.000000000001,4301.0,4198.0,4106.0,4048.9999999999995,3972.0,3828.9999999999995,3643.0000000000005,3489.0,3362.0,3176.0,2901.0000000000005,2573.0,2255.0,1936.9999999999998,1652.0,1422.0,1232.9999999999998,1045.0,863.0,710.0,592.0000000000001,501.0,422.00000000000006,357.00000000000006,298.0,240.0,185.0,134.0,99.0,80.0,60.0,35.0,21.0,18.000000000000004,13.999999999999998,10.0,5.0,9.000000000000002
1951,79183.0,92130.0,75005.0,60601.00000000001,48754.0,39309.0,31949.0,26364.0,23160.999999999996,22490.0,23729.0,26009.0,29384.0,32626.999999999996,34997.0,36821.0,39163.00000000001,41806.00000000001,43960.0,45331.0,46108.99999999999,46828.99999999999,47453.0,47567.0,47038.99999999999,46055.0,44928.99999999999,43596.0,42354.0,41383.0,40559.0,39577.0,38490.0,37376.99999999999,36248.00000000001,35089.0,33897.0,32698.0,31353.0,29796.999999999996,28109.0,26444.000000000004,24784.000000000004,23171.0,21644.000000000004,20198.0,18768.0,17342.0,16109.000000000002,15149.0,14374.0,13624.0,12940.999999999998,12203.0,11335.0,10401.0,9542.0,8743.0,7959.0,7185.0,6443.0,5740.0,5048.999999999999,4536.000000000001,4277.0,4187.0,4107.0,4066.0,3980.0,3790.0,3531.0,3310.0,3112.0,2884.0,2616.0,2322.0,2037.0,1754.0,1498.0000000000002,1285.0,1105.0,930.0,763.0,623.0,516.0,433.0,360.0,303.0,252.0,201.99999999999997,152.0,109.0,81.0,66.0,48.0,28.999999999999996,16.0,12.0,9.000000000000002,5.0,6.999999999999999
1952,70689.0,71255.0,89291.0,74851.0,62145.0,51173.0,41940.0,34138.00000000001,27460.0,23455.0,22747.0,24406.999999999996,26781.999999999996,30074.0,33287.0,35713.0,37646.0,40084.0,42828.99999999999,45032.0,46373.00000000001,47066.0,47710.0,48254.0,48303.99999999999,47748.00000000001,46757.0,45615.0,44266.00000000001,43004.0,42006.0,41153.0,40141.99999999999,39027.0,37888.00000000001,36734.0,35548.0,34330.0,33108.00000000001,31738.000000000004,30160.0,28451.0,26764.0,25086.0,23453.000000000004,21906.999999999996,20441.0,18992.0,17550.0,16300.999999999998,15325.999999999998,14537.0,13776.0,13080.0,12331.0,11457.0,10515.0,9649.0,8846.0,8055.0,7269.0,6513.0,5794.0,5083.0,4561.0,4305.0,4228.0,4158.0,4133.999999999999,4038.0000000000005,3796.0000000000005,3461.9999999999995,3171.0000000000005,2898.9999999999995,2627.0,2360.9999999999995,2100.0,1844.0,1591.9999999999998,1363.0000000000002,1164.0000000000002,990.0,826.0,672.9999999999999,544.0,445.0,370.0,303.0,252.0,210.0,165.0,122.0,85.0,64.0,52.00000000000001,38.0,22.000000000000004,11.000000000000002,6.999999999999999,3.0,5.0
1953,67841.00000000001,73448.00000000001,75716.00000000001,86234.0,74536.0,63571.00000000001,53507.0,44507.0,36275.0,28506.999999999996,23702.0,22956.999999999996,25040.0,27506.0,30706.0,33882.0,36360.0,38398.0,40928.00000000001,43770.0,46021.0,47326.0,47931.99999999999,48498.00000000001,48958.99999999999,48946.00000000001,48361.99999999999,47366.00000000001,46211.99999999999,44848.0,43567.0,42546.00000000001,41663.00000000001,40626.0,39486.0,38323.0,37144.0,35936.0,34696.0,33451.0,32058.999999999996,30462.0,28735.0,27031.0,25335.0,23686.0,22124.000000000004,20642.0,19179.000000000004,17720.0,16458.0,15470.0,14671.0,13898.0,13190.999999999998,12433.0,11552.0,10606.0,9737.0,8931.000000000002,8132.0,7337.000000000001,6567.0,5834.0,5106.0,4574.0,4325.0,4258.999999999999,4199.0,4192.0,4086.0000000000005,3793.0,3383.0,3023.0,2678.0,2362.0,2098.0000000000005,1871.0,1644.0000000000002,1424.0000000000002,1222.0,1039.0000000000002,871.0,720.0,580.0,462.99999999999994,374.0,306.0,245.0,201.0,165.0,129.0,90.0,61.0,47.0,37.00000000000001,27.000000000000004,16.0,6.999999999999999,3.0,4.0
1954,69112.0,76898.0,80790.0,81319.0,82796.0,73899.0,64729.0,55617.0,46891.99999999999,38260.99999999999,29436.0,23848.000000000004,23070.0,25566.0,28113.000000000004,31209.0,34333.0,36852.0,38988.0,41599.0,44525.0,46815.0,48078.99999999999,48595.0,49080.0,49457.0,49379.0,48770.0,47773.0,46611.00000000001,45238.0,43946.00000000001,42903.0,41997.0,40938.0,39777.0,38595.0,37397.0,36171.0,34912.0,33650.0,32243.000000000004,30634.0,28896.0,27182.0,25476.999999999996,23819.000000000004,22246.0,20755.0,19282.0,17815.0,16544.0,15548.0,14741.0,13960.0,13244.000000000002,12481.0,11597.999999999998,10652.000000000002,9781.0,8976.0,8176.0,7372.000000000001,6593.0,5850.0,5107.0,4568.000000000001,4325.0,4272.0,4223.0,4232.0,4116.000000000001,3773.0,3290.0,2861.0,2444.0,2085.0,1825.0,1633.0,1436.0,1250.0,1077.0,907.9999999999999,750.0,609.0,484.0,380.0,300.0,240.0,185.0,147.0,120.0,92.0,60.0,37.00000000000001,27.999999999999996,23.0,16.0,9.000000000000002,3.0,2.0
1955,73363.0,81020.0,84944.0,85627.00000000001,83560.0,79235.0,73143.99999999999,65779.0,57632.0,49193.99999999999,40181.99999999999,30315.0,23955.0,23145.0,26052.0,28674.0,31659.000000000004,34727.0,37285.0,39513.00000000001,42201.0,45207.0,47530.0,48751.99999999999,49178.99999999999,49582.0,49872.0,49732.0,49099.0,48103.0,46934.0,45555.0,44253.0,43192.0,42261.0,41181.99999999999,40004.0,38803.00000000001,37588.0,36346.0,35071.99999999999,33795.0,32375.999999999996,30755.0,29010.0,27289.0,25577.0,23913.0,22331.999999999996,20834.0,19352.999999999996,17881.0,16604.0,15601.0,14787.0,14000.0,13277.999999999998,12509.0,11625.0,10680.0,9811.0,9007.0,8206.0,7397.0,6609.0,5856.0,5099.0,4555.0,4318.000000000001,4277.0,4240.0,4265.0,4140.0,3747.0,3191.0000000000005,2696.0,2207.0,1806.0,1551.0,1393.0,1227.0,1075.0,930.0,777.0,626.0,499.0,387.99999999999994,297.0,226.99999999999997,174.0,126.0,95.0,76.0,54.00000000000001,27.999999999999996,13.999999999999998,11.000000000000002,9.000000000000002,5.0,3.0,2.0
1956,80325.0,76942.0,82654.0,85362.00000000001,85432.0,83232.00000000001,79275.0,74075.0,67266.0,58922.0,49850.0,40465.0,30301.0,23884.0,23391.0,26840.999999999996,29967.0,33490.0,36879.0,39398.0,41354.0,43810.0,46567.0,48699.0,49849.0,50279.0,50652.0,50903.0,50713.0,50013.00000000001,48942.0,47705.0,46258.0,44902.0,43805.0,42853.0,41751.00000000001,40553.00000000001,39326.0,38075.0,36788.00000000001,35474.00000000001,34159.0,32701.0,31040.0,29255.0,27495.0,25745.0,24052.0,22458.000000000004,20956.0,19473.0,17999.000000000004,16719.0,15710.999999999998,14889.000000000002,14095.999999999998,13373.0,12595.0,11690.0,10716.0,9818.999999999998,8978.0,8164.999999999999,7381.0,6638.999999999999,5928.0,5223.0,4683.0,4375.0,4218.0,4074.0,3986.0,3792.0,3405.0,2901.9999999999995,2450.0,2011.0000000000002,1650.0,1412.0,1260.0,1105.9999999999998,967.0000000000001,835.0,695.0,555.0,434.0,333.99999999999994,255.0,193.99999999999997,146.0,104.00000000000001,79.0,63.0,44.00000000000001,23.0,11.000000000000002,8.0,5.0,2.0,2.0
1957,87687.99999999999,90792.0,80039.0,83749.0,85211.0,84663.0,82342.99999999999,78783.99999999999,74518.0,68316.0,59830.0,50178.99999999999,40479.0,30085.0,23654.0,23485.0,27459.0,31070.0,35113.0,38805.0,41266.00000000001,42935.0,45140.0,47628.0,49551.0,50622.0,51053.00000000001,51393.0,51601.00000000001,51363.0,50602.0,49461.99999999999,48163.99999999999,46658.0,45257.0,44133.0,43163.99999999999,42046.00000000001,40835.0,39591.0,38310.0,36988.0,35641.99999999999,34297.0,32810.0,31120.0,29305.999999999996,27519.000000000004,25741.999999999996,24031.999999999996,22436.0,20941.0,19464.000000000004,17999.000000000004,16725.0,15718.0,14892.000000000002,14100.0,13379.000000000002,12597.999999999998,11675.999999999998,10681.0,9761.000000000002,8890.0,8068.999999999999,7316.0,6626.0,5961.0,5314.0,4782.0,4403.000000000001,4129.0,3878.9999999999995,3677.0,3417.0,3037.0,2591.0,2188.0,1800.0,1480.9999999999998,1263.0,1115.9999999999998,975.0,853.0,735.0,608.0,480.0,367.00000000000006,276.0,212.0,160.0,115.99999999999999,81.99999999999999,62.0,49.0,35.0,18.000000000000004,8.0,5.0,2.0,1.0
1958,94728.0,94680.0,93731.00000000001,82881.0,84577.99999999999,84789.0,83624.0,81192.0,78042.0,74723.0,69146.99999999999,60546.00000000001,50348.0,40364.00000000001,29772.0,23346.999999999996,23502.0,27988.000000000004,32073.999999999996,36625.0,40606.0,43001.99999999999,44378.0,46325.0,48536.0,50245.0,51235.0,51663.99999999999,51971.0,52135.0,51850.0,51028.0,49824.0,48468.99999999999,46910.0,45467.0,44318.00000000001,43336.99999999999,42207.0,40988.0,39729.0,38424.0,37069.0,35695.0,34327.0,32815.0,31100.0,29264.0,27456.0,25656.999999999996,23935.0,22342.0,20858.0,19393.0,17940.0,16677.0,15674.000000000002,14849.0,14058.0,13344.000000000002,12560.0,11626.0,10613.0,9673.0,8773.0,7947.999999999999,7228.0,6591.0,5976.0,5388.0,4865.0,4418.0,4029.0,3671.9999999999995,3358.0,3030.0,2659.0,2271.0,1916.9999999999998,1584.0,1307.0,1110.0,969.0000000000001,842.0000000000001,736.0,632.0,518.0,402.99999999999994,299.0,218.0,168.0,125.0,87.0,59.00000000000001,45.0,36.00000000000001,25.0,12.0,5.0,2.0,1.0
1959,100794.0,97967.00000000001,95244.0,92567.0,85596.0,85287.0,84253.99999999999,82477.0,79937.0,77198.00000000001,74826.00000000001,69882.0,61178.00000000001,50446.99999999999,40195.0,29421.0,23010.0,23488.000000000004,28478.0,33030.0,38079.0,42343.0,44672.0,45755.0,47443.00000000001,49373.99999999999,50868.0,51773.99999999999,52202.0,52475.0,52596.0,52263.99999999999,51385.0,50116.00000000001,48706.0,47096.0,45614.0,44443.00000000001,43450.0,42310.0,41083.99999999999,39814.0,38485.0,37100.0,35701.0,34309.0,32774.0,31039.0,29183.000000000004,27355.0,25538.0,23805.999999999996,22217.0,20747.0,19296.0,17858.0,16605.0,15607.999999999998,14785.0,13998.0,13290.0,12505.0,11560.0,10530.0,9570.0,8645.0,7816.0,7130.0,6547.000000000001,5982.0,5452.999999999999,4940.0,4426.0,3921.9999999999995,3461.0000000000005,3035.0,2641.0,2279.0,1949.0,1646.0,1365.9999999999998,1133.0,957.0000000000001,823.0,708.0,617.0,528.0,428.0,326.0,230.0,160.0,124.0,91.0,57.0,36.00000000000001,27.999999999999996,22.000000000000004,15.0,6.999999999999999,2.0,1.0
