Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.09958433,0.00253026,0.00253026,0.00253026,0.00253026,0.00061908,0.00061908,0.00061908,0.00061908,0.00061908,0.00049879,0.00049879,0.00049879,0.00049879,0.00049879,0.00084577,0.00084577,0.00084577,0.00084577,0.00084577,0.00101874,0.00101874,0.00101874,0.00101874,0.00101874,0.00110996,0.00110996,0.00110996,0.00110996,0.00110996,0.00151462,0.00151462,0.00151462,0.00151462,0.00151462,0.00228141,0.00228141,0.00228141,0.00228141,0.00228141,0.00348543,0.00348543,0.00348543,0.00348543,0.00348543,0.00555827,0.00555827,0.00555827,0.00555827,0.00555827,0.00960508,0.00960508,0.00960508,0.00960508,0.00960508,0.01447784,0.01447784,0.01447784,0.01447784,0.01447784,0.02282348,0.02282348,0.02282348,0.02282348,0.02282348,0.04011062,0.04011062,0.04011062,0.04011062,0.04011062,0.0750446,0.0750446,0.0750446,0.0750446,0.0750446,0.10104147,0.10104147,0.10104147,0.10104147,0.10104147,0.15035002,0.15035002,0.15035002,0.15035002,0.15035002,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.3353211,0.3353211,0.3353211,0.3353211,0.3353211,0.47677705,0.47677705,0.47677705,0.47677705,0.47677705,0.5729609999999999
1951,0.09958433,0.00253026,0.00253026,0.00253026,0.00253026,0.00061908,0.00061908,0.00061908,0.00061908,0.00061908,0.00049879,0.00049879,0.00049879,0.00049879,0.00049879,0.00084577,0.00084577,0.00084577,0.00084577,0.00084577,0.00101874,0.00101874,0.00101874,0.00101874,0.00101874,0.00110996,0.00110996,0.00110996,0.00110996,0.00110996,0.00151462,0.00151462,0.00151462,0.00151462,0.00151462,0.00228141,0.00228141,0.00228141,0.00228141,0.00228141,0.00348543,0.00348543,0.00348543,0.00348543,0.00348543,0.00555827,0.00555827,0.00555827,0.00555827,0.00555827,0.00960508,0.00960508,0.00960508,0.00960508,0.00960508,0.01447784,0.01447784,0.01447784,0.01447784,0.01447784,0.02282348,0.02282348,0.02282348,0.02282348,0.02282348,0.04011062,0.04011062,0.04011062,0.04011062,0.04011062,0.0750446,0.0750446,0.0750446,0.0750446,0.0750446,0.10104147,0.10104147,0.10104147,0.10104147,0.10104147,0.15035002,0.15035002,0.15035002,0.15035002,0.15035002,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.3353211,0.3353211,0.3353211,0.3353211,0.3353211,0.47677705,0.47677705,0.47677705,0.47677705,0.47677705,0.5729609999999999
1952,0.09958433,0.00253026,0.00253026,0.00253026,0.00253026,0.00061908,0.00061908,0.00061908,0.00061908,0.00061908,0.00049879,0.00049879,0.00049879,0.00049879,0.00049879,0.00084577,0.00084577,0.00084577,0.00084577,0.00084577,0.00101874,0.00101874,0.00101874,0.00101874,0.00101874,0.00110996,0.00110996,0.00110996,0.00110996,0.00110996,0.00151462,0.00151462,0.00151462,0.00151462,0.00151462,0.00228141,0.00228141,0.00228141,0.00228141,0.00228141,0.00348543,0.00348543,0.00348543,0.00348543,0.00348543,0.00555827,0.00555827,0.00555827,0.00555827,0.00555827,0.00960508,0.00960508,0.00960508,0.00960508,0.00960508,0.01447784,0.01447784,0.01447784,0.01447784,0.01447784,0.02282348,0.02282348,0.02282348,0.02282348,0.02282348,0.04011062,0.04011062,0.04011062,0.04011062,0.04011062,0.0750446,0.0750446,0.0750446,0.0750446,0.0750446,0.10104147,0.10104147,0.10104147,0.10104147,0.10104147,0.15035002,0.15035002,0.15035002,0.15035002,0.15035002,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.3353211,0.3353211,0.3353211,0.3353211,0.3353211,0.47677705,0.47677705,0.47677705,0.47677705,0.47677705,0.5729609999999999
1953,0.09958433,0.00253026,0.00253026,0.00253026,0.00253026,0.00061908,0.00061908,0.00061908,0.00061908,0.00061908,0.00049879,0.00049879,0.00049879,0.00049879,0.00049879,0.00084577,0.00084577,0.00084577,0.00084577,0.00084577,0.00101874,0.00101874,0.00101874,0.00101874,0.00101874,0.00110996,0.00110996,0.00110996,0.00110996,0.00110996,0.00151462,0.00151462,0.00151462,0.00151462,0.00151462,0.00228141,0.00228141,0.00228141,0.00228141,0.00228141,0.00348543,0.00348543,0.00348543,0.00348543,0.00348543,0.00555827,0.00555827,0.00555827,0.00555827,0.00555827,0.00960508,0.00960508,0.00960508,0.00960508,0.00960508,0.01447784,0.01447784,0.01447784,0.01447784,0.01447784,0.02282348,0.02282348,0.02282348,0.02282348,0.02282348,0.04011062,0.04011062,0.04011062,0.04011062,0.04011062,0.0750446,0.0750446,0.0750446,0.0750446,0.0750446,0.10104147,0.10104147,0.10104147,0.10104147,0.10104147,0.15035002,0.15035002,0.15035002,0.15035002,0.15035002,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.3353211,0.3353211,0.3353211,0.3353211,0.3353211,0.47677705,0.47677705,0.47677705,0.47677705,0.47677705,0.5729609999999999
1954,0.09958433,0.00253026,0.00253026,0.00253026,0.00253026,0.00061908,0.00061908,0.00061908,0.00061908,0.00061908,0.00049879,0.00049879,0.00049879,0.00049879,0.00049879,0.00084577,0.00084577,0.00084577,0.00084577,0.00084577,0.00101874,0.00101874,0.00101874,0.00101874,0.00101874,0.00110996,0.00110996,0.00110996,0.00110996,0.00110996,0.00151462,0.00151462,0.00151462,0.00151462,0.00151462,0.00228141,0.00228141,0.00228141,0.00228141,0.00228141,0.00348543,0.00348543,0.00348543,0.00348543,0.00348543,0.00555827,0.00555827,0.00555827,0.00555827,0.00555827,0.00960508,0.00960508,0.00960508,0.00960508,0.00960508,0.01447784,0.01447784,0.01447784,0.01447784,0.01447784,0.02282348,0.02282348,0.02282348,0.02282348,0.02282348,0.04011062,0.04011062,0.04011062,0.04011062,0.04011062,0.0750446,0.0750446,0.0750446,0.0750446,0.0750446,0.10104147,0.10104147,0.10104147,0.10104147,0.10104147,0.15035002,0.15035002,0.15035002,0.15035002,0.15035002,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.26294509999999993,0.3353211,0.3353211,0.3353211,0.3353211,0.3353211,0.47677705,0.47677705,0.47677705,0.47677705,0.47677705,0.5729609999999999
1955,0.07289578,0.00210604,0.00210604,0.00210604,0.00210604,0.00053822,0.00053822,0.00053822,0.00053822,0.00053822,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00078301,0.00078301,0.00078301,0.00078301,0.00078301,0.00092591,0.00092591,0.00092591,0.00092591,0.00092591,0.00107544,0.00107544,0.00107544,0.00107544,0.00107544,0.00144226,0.00144226,0.00144226,0.00144226,0.00144226,0.00217222,0.00217222,0.00217222,0.00217222,0.00217222,0.00331818,0.00331818,0.00331818,0.00331818,0.00331818,0.0052909,0.0052909,0.0052909,0.0052909,0.0052909,0.00832922,0.00832922,0.00832922,0.00832922,0.00832922,0.01253331,0.01253331,0.01253331,0.01253331,0.01253331,0.01970761,0.01970761,0.01970761,0.01970761,0.01970761,0.03444875,0.03444875,0.03444875,0.03444875,0.03444875,0.06350179,0.06350179,0.06350179,0.06350179,0.06350179,0.10009431,0.10009431,0.10009431,0.10009431,0.10009431,0.14648245,0.14648245,0.14648245,0.14648245,0.14648245,0.23920666,0.23920666,0.23920666,0.23920666,0.23920666,0.31706562,0.31706562,0.31706562,0.31706562,0.31706562,0.46063521,0.46063521,0.46063521,0.46063521,0.46063521,0.55664888
1956,0.07289578,0.00210604,0.00210604,0.00210604,0.00210604,0.00053822,0.00053822,0.00053822,0.00053822,0.00053822,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00078301,0.00078301,0.00078301,0.00078301,0.00078301,0.00092591,0.00092591,0.00092591,0.00092591,0.00092591,0.00107544,0.00107544,0.00107544,0.00107544,0.00107544,0.00144226,0.00144226,0.00144226,0.00144226,0.00144226,0.00217222,0.00217222,0.00217222,0.00217222,0.00217222,0.00331818,0.00331818,0.00331818,0.00331818,0.00331818,0.0052909,0.0052909,0.0052909,0.0052909,0.0052909,0.00832922,0.00832922,0.00832922,0.00832922,0.00832922,0.01253331,0.01253331,0.01253331,0.01253331,0.01253331,0.01970761,0.01970761,0.01970761,0.01970761,0.01970761,0.03444875,0.03444875,0.03444875,0.03444875,0.03444875,0.06350179,0.06350179,0.06350179,0.06350179,0.06350179,0.10009431,0.10009431,0.10009431,0.10009431,0.10009431,0.14648245,0.14648245,0.14648245,0.14648245,0.14648245,0.23920666,0.23920666,0.23920666,0.23920666,0.23920666,0.31706562,0.31706562,0.31706562,0.31706562,0.31706562,0.46063521,0.46063521,0.46063521,0.46063521,0.46063521,0.55664888
1957,0.07289578,0.00210604,0.00210604,0.00210604,0.00210604,0.00053822,0.00053822,0.00053822,0.00053822,0.00053822,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00078301,0.00078301,0.00078301,0.00078301,0.00078301,0.00092591,0.00092591,0.00092591,0.00092591,0.00092591,0.00107544,0.00107544,0.00107544,0.00107544,0.00107544,0.00144226,0.00144226,0.00144226,0.00144226,0.00144226,0.00217222,0.00217222,0.00217222,0.00217222,0.00217222,0.00331818,0.00331818,0.00331818,0.00331818,0.00331818,0.0052909,0.0052909,0.0052909,0.0052909,0.0052909,0.00832922,0.00832922,0.00832922,0.00832922,0.00832922,0.01253331,0.01253331,0.01253331,0.01253331,0.01253331,0.01970761,0.01970761,0.01970761,0.01970761,0.01970761,0.03444875,0.03444875,0.03444875,0.03444875,0.03444875,0.06350179,0.06350179,0.06350179,0.06350179,0.06350179,0.10009431,0.10009431,0.10009431,0.10009431,0.10009431,0.14648245,0.14648245,0.14648245,0.14648245,0.14648245,0.23920666,0.23920666,0.23920666,0.23920666,0.23920666,0.31706562,0.31706562,0.31706562,0.31706562,0.31706562,0.46063521,0.46063521,0.46063521,0.46063521,0.46063521,0.55664888
1958,0.07289578,0.00210604,0.00210604,0.00210604,0.00210604,0.00053822,0.00053822,0.00053822,0.00053822,0.00053822,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00078301,0.00078301,0.00078301,0.00078301,0.00078301,0.00092591,0.00092591,0.00092591,0.00092591,0.00092591,0.00107544,0.00107544,0.00107544,0.00107544,0.00107544,0.00144226,0.00144226,0.00144226,0.00144226,0.00144226,0.00217222,0.00217222,0.00217222,0.00217222,0.00217222,0.00331818,0.00331818,0.00331818,0.00331818,0.00331818,0.0052909,0.0052909,0.0052909,0.0052909,0.0052909,0.00832922,0.00832922,0.00832922,0.00832922,0.00832922,0.01253331,0.01253331,0.01253331,0.01253331,0.01253331,0.01970761,0.01970761,0.01970761,0.01970761,0.01970761,0.03444875,0.03444875,0.03444875,0.03444875,0.03444875,0.06350179,0.06350179,0.06350179,0.06350179,0.06350179,0.10009431,0.10009431,0.10009431,0.10009431,0.10009431,0.14648245,0.14648245,0.14648245,0.14648245,0.14648245,0.23920666,0.23920666,0.23920666,0.23920666,0.23920666,0.31706562,0.31706562,0.31706562,0.31706562,0.31706562,0.46063521,0.46063521,0.46063521,0.46063521,0.46063521,0.55664888
1959,0.07289578,0.00210604,0.00210604,0.00210604,0.00210604,0.00053822,0.00053822,0.00053822,0.00053822,0.00053822,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00045339999999999996,0.00078301,0.00078301,0.00078301,0.00078301,0.00078301,0.00092591,0.00092591,0.00092591,0.00092591,0.00092591,0.00107544,0.00107544,0.00107544,0.00107544,0.00107544,0.00144226,0.00144226,0.00144226,0.00144226,0.00144226,0.00217222,0.00217222,0.00217222,0.00217222,0.00217222,0.00331818,0.00331818,0.00331818,0.00331818,0.00331818,0.0052909,0.0052909,0.0052909,0.0052909,0.0052909,0.00832922,0.00832922,0.00832922,0.00832922,0.00832922,0.01253331,0.01253331,0.01253331,0.01253331,0.01253331,0.01970761,0.01970761,0.01970761,0.01970761,0.01970761,0.03444875,0.03444875,0.03444875,0.03444875,0.03444875,0.06350179,0.06350179,0.06350179,0.06350179,0.06350179,0.10009431,0.10009431,0.10009431,0.10009431,0.10009431,0.14648245,0.14648245,0.14648245,0.14648245,0.14648245,0.23920666,0.23920666,0.23920666,0.23920666,0.23920666,0.31706562,0.31706562,0.31706562,0.31706562,0.31706562,0.46063521,0.46063521,0.46063521,0.46063521,0.46063521,0.55664888
