Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,96972,84912,75462,68370,63382,60245,58705,58510,59404,61136,63681,67019,69740,71131,71630,72387,73173,73631,73697,73411,72844,71950,70836,69552,68017,66449,65221,62450,57351,51028,45070,38808,35418,36532,40573,44262,48163,51538,53656,54879,56394,58085,58782,58063,56375,54562,52419,50523,49234,48263,47061,45870,44094,41425,38250,35192,32042,29655,28489,28123,27669,27297,26799,25979,24956,24060,23236,22337,21325,20242,19151,18016,16972,16084,15278,14453,13671,12681,11356,9839,8388,6945,5702,4779,4085,3405,2775,2227,1755,1353,969,706,569,413,239,142,117,91,62,32,43
1951,87269,94065,83932,75708,69253,64432,60991,58678,57926,58823,60892,63540,66859,69563,70941,71431,72179,72952,73400,73460,73171,72603,71707,70593,69312,67782,66218,64992.99999999999,62230,57146,50843,44902,38657,35273,36373,40390,44053,47928,51271,53359,54549,56031,57684,58347,57598,55884,54045,51877,49953,48633,47627,46393,45164,43366,40699,37538,34488,31349,28956,27758,27342,26840,26421,25868,24984,23895,22932,22043,21089,20037,18927,17813,16666,15613,14719,13913,13097,12329,11380,10137,8729,7388,6060,4926,4096,3487,2885,2344,1882,1477,1125,801,586,471,341,197,117,91,62,32,41
1952,80539,81233,91487,83247,76218,70378,65706,61947,58855,57544,58448,60860,63619,66932,69628,71000,71484,72222,72986,73425,73480,73187,72614,71715,70598,69315,67783,66218,64991,62226,57141,50836,44891,38640,35250,36342,40347,43998,47858,51184,53247,54409,55862,57485,58117,57335,55588,53716,51516,49559,48202,47158,45885,44616,42790,40114,36955,33905,30766,28358,27124,26657,26105,25637,25027,24078,22917,21885,20928,19914,18819,17678,16540,15374,14309,13405,12597,11788,11031,10119,8954,7649,6413,5196,4167,3429,2901,2377,1922,1543,1203,901,634,468,375,271,155,91,61,31,40
1953,75932,80113,82250,88854,82515,76689,71470,66948,62876,59002,57131,58041,60797,63667,66971,69657,71022,71498,72228,72981,73412,73461,73165,72589,71684,70565,69280,67749,66184,64956.99999999999,62191,57107,50802,44857,38605,35209,36292,40284,43920,47764,51070,53108,54242,55663,57255,57855,57042,55263,53358,51128,49138,47744,46663,45353,44044,42191,39508,36353,33304,30165,27744,26474,25956,25355,24837,24172,23156,21925,20824,19798,18727,17589,16417,15252,14071,12994,12081,11271,10469,9722,8850,7763,6563,5434,4328,3404,2758,2312,1866,1498,1202,929,675,468,349,279,201,113,61,30,39
1954,72969,79077,82704,84186,86110,81682,77068,72474,68110,63727,59076,56648,57563,60659,63636,66927,69601,70955,71426,72146,72888,73309,73352,73053,72473,71566,70445,69162,67633,66069,64842,62079,57003,50706,44768,38522,35125,36198,40172,43788,47611,50893,52904,54007,55398,56955,57522,56678,54870,52936,50676,48656,47228,46111,44765,43418,41539,38852,35705,32661,29528,27097,25793,25223,24573,24008,23286,22205,20906,19737,18644,17515,16335.999999999998,15136,13947,12749,11661,10741,9931,9135,8401,7569,6562,5468,4446,3453,2636,2084,1719,1352,1070,861,654,448,300,230,182,130,71,30,38
1955,71302,78064,82322,84403,84628,83321,80806,77404,73439,69235,64544,59119,56135,57054,60490,63571,66847,69507,70852,71314,72025,72755,73166,73205,72902,72320,71410,70289,69006,67481,65919,64694,61937,56870,50585,44656,38419,35024,36084,40038,43634,47434,50690,52672,53745,55102,56625,57159,56284,54448,52485,50199,48148,46687,45535,44154,42769,40866,38177,35040,32000.999999999996,28875,26435,25098,24478,23779,23166,22389,21245,19875,18640,17481,16295.000000000002,15075,13847,12635,11422,10325,9397,8587,7799,7077,6286,5358,4371,3457,2577,1868,1408,1127,837,644,519,377,221,133,110,85,59,29,38
1956,70758,72791,78388,81929,83664,83839,82779,80808,77792,73827,69389,64613,59175,56180,57092,60524,63599,66869,69523,70864,71321,72027,72752,73161,73196,72893,72309,71399,70274,68988,67456,65889,64656.00000000001,61891,56823,50537,44605,38364,34958,36001,39930,43502,47277,50501,52441,53464,54773,56245,56733,55821,53952,51959,49643,47559,46058,44863,43442,42013,40080,37383,34250,31215,28095,25643,24262,23578,22822,22154,21326,20141,18738,17471,16282,15086,13883,12688,11516,10352,9302,8412,7638,6894,6214,5486,4652,3776,2956,2186,1593,1198,944,697,537,432,313,183,108,84,57,29,38
1957,70744,76198,74165,78587,81404,82789,82914,82104,80682,78058,74099,69433,64578,59137,56134,57039,60461,63526,66784,69429,70761,71214,71914,72633,73038,73072,72767,72183,71273,70148,68859,67323,65752,64512,61747,56684,50407,44482,38246,34835,35859,39759,43300,47044,50229,52124,53098,54355,55774,56215,55267,53371,51349,49007,46893,45355,44119,42659,41188,39229,36528,33406,30378,27270,24809,23385,22639,21827,21105,20228,19002,17568,16273,15056,13852,12665,11508,10377,9263,8261,7414,6676,5976,5340,4677,3938,3175,2448,1790,1315,985,758,554,429,344,249,144,83,57,28,37
1958,71050,75132,78124,75497,78741,80834,81869,81943,81382,80511,78279,74327,69437,64507.00000000001,59065,56057,56953,60365,63418,66661,69294,70619,71066,71760,72474,72874,72906,72600,72015,71107,69982,68691,67153,65578,64331.99999999999,61567,56512,50249,44334,38107,34693,35697,39566,43075,46785,49930,51778,52702,53907,55272,55664,54682,52759,50710,48343,46201,44626,43352,41852,40340,38357,35654,32543,29525,26429,23960,22496,21688,20820,20046,19120,17855,16390,15065,13822,12610,11442,10322,9234,8172.000000000001,7218,6410,5712,5056,4464,3866,3222,2572,1940,1394,1037,772,573,412,321,256,184,106,57,28,37
1959,71488,74113,76256,77928,76844,78915,80283,80969,80993,80681,80357,78518,74574,69458,64452,59007,55994,56882,60283,63324,66556,69177,70493,70935,71624,72331,72727,72757,72450,71866,70958,69832,68540,66998,65419,64168.00000000001,61401,56355,50103,44196,37975,34560,35544,39381,42858,46535,49642,51445,52318,53472,54782,55129,54111,52161,50084,47692,45521,43909,42594,41056,39503,37494,34788,31688,28679,25596,23119,21613,20744,19820,18991,18017,16711,15216,13864,12593,11373,10223,9140,8093.999999999999,7082,6178,5411,4750,4138,3590,3056,2507,1971,1432,999,759,561,388,269,212,169,120,67,28,37
1960,71875,73209,74565,75891,77130,78226,79124,79769,80108,80081,80017,80242,78793,74853,69511,64426,58975,55956,56836,60228,63259,66480,69091,70401,70837,71520,72223,72614,72641,72335,71749,70841,69715,68418,66873,65290.00000000001,64031.00000000001,61262,56221,49979,44078,37862,34441,35407,39215,42662,46308,49378,51134,51959,53062,54319,54617,53565,51586,49480,47063,44861,43213,41856,40280,38685,36648,33939,30848,27846,24774,22288,20740,19809,18827,17945,16922,15577,14050,12668,11370,10141,9009,7963,6958,5996,5140,4413,3791,3222,2718,2249,1794,1371,927,605,482,348,203,127,105,82,55,28,37
1961,72023,71807,73133,74495,75834,77088,78207,79140,79789,80082,79981,79850,80011,78504,74520,69146,64030,58546,55522,56442,59903,63000,66290,68960,70304,70759,71463,72186,72584,72598,72263,71650,70712,69553,68223,66646,65029,63733,60943,55902,49675,43786,37582,34171,35142,38951,42397,46044,49098,50820,51593,52644,53847,54092,52987,50960,48804,46338,44088,42387,40979,39353,37708,35639,32927,29853,26866,23818,21337,19764,18791,17776,16863,15823,14480,12971,11609,10333,9140,8063.000000000001,7084,6148,5260,4476,3818,3262,2755,2323,1920,1524,1146,767,505,402,290,168,104,81,56,27,37
1962,71825,71646,71734,73052,74419,75768,77039,78182,79148,79802,80050,79873,79675,79771,78208,74181,68775,63629,58110,55084,56043,59572,62735,66095,68822,70202,70674,71399,72143,72547,72547,72187,71545,70576,69384,68022,66411,64760.99999999999,63429,60616,55577,49366,43490,37299,33898,34874,38683,42129,45775,48815,50499,51222,52221,53369,53559,52405,50329,48124,45609,43309,41557,40097,38422,36726,34627,31912,28854,25884,22858,20384,18787,17771,16723,15780,14722,13383,11892,10548,9295,8138.999999999999,7116,6203,5337,4523,3812,3223,2732,2288,1927,1592,1254,921,608,406,322,231,133,80,55,28,37
1963,71238,70857,71042,71668,72980,74350,75712,76999,78165,79165,79823,80026,79774,79509,79541,77921,73850,68412,63234,57681,54651,55651,59248,62478,65907,68691,70106,70599,71343,72108,72519,72505,72118,71448,70448,69224,67828,66186,64500,63132,60298,55259,49062,43199,37020,33628,34609,38419,41865,45512,48536,50185,50857,51805,52898,53034,51828,49703,47449,44886,42537,40732,39221,37496,35749,33619,30901,27859,24904,21902,19434,17812,16754,15672,14699,13623,12286,10813,9490,8259,7139,6170,5324,4528,3786,3148,2628,2202,1821,1532,1264,983,697,449,306,242,173,98,54,28,38
