Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,1643,1552,1468,1391,1319,1254,1195,1142,1095,1053,1016,982,957,942,934,928,924,918,907,891,877,865,850,828,802,777,749,729,722,722,721,723,713,684,643,605,565,537,529,535,537,542,538,520,492,467,443,422,408,398,387,376,368,361,356,352,349,342,328,310,293,276,263,257,256,253,250,249,251,254,256,259,255,242,222,203,183,162,141,119,98,76,58,48,44,39,35,31,26,20,15,12,10,7,5,4,3,3,2,1,2
1951,1819,1650,1563,1481,1406,1336,1272,1214,1161,1113,1071,1034,999,973,957,948,941,936,929,916,900,886,874,857,835,809,782,754,734,726,726,725,727,716,688,648,610,570,543,535,540,542,546,542,523,495,470,445,423,409,400,389,379,369,363,357,352,348,340,326,308,291,274,261,254,251,248,243,241,242,244,245,247,243,230,210,192,173,152,132,111,90,69,52,43,38,34,31,28,23,18,13,10,8,6,4,3,3,2,1,2
1952,1912,1784,1647,1564,1485,1412,1345,1282,1224,1172,1125,1083,1045,1010,983,966,956,948,942,934,921,904,890,877,860,837,810,783,755,734,726,726,725,726,715,687,648,611,572,545,538,542,544,547,542,523,495,469,444,422,408,399,389,378,369,362,355,349,344,336,321,303,286,270,256,249,245,240,235,232,232,233,233,234,229,216,197,179,161,142,122,102,82,62,46,37,33,30,27,24,19,15,11,8,7,5,4,3,2,1,2
1953,1957,1842,1737,1638,1559,1484,1414,1349,1287,1231,1179,1133,1091,1053,1016.9999999999999,989,972,961,952,945,936,922,905,890,877,859,836,809,782,753,732,724,723,721,722,712,684,646,610,573,546,538,542,543,546,541,522,493,467,442,420,406,397,387,377,368,359,352,345,339,330,315,298,281,264,251,242,238,232,226,222,221,220,220,219,214,201,183,166,149,130,111,92,73,54,39,31,28,25,22,19,16,12,8,7,5,4,3,2,1,2
1954,1980,1882,1791,1704,1625,1550,1479,1412,1348,1289,1234,1183,1137,1095,1057,1020.9999999999999,993,975,963,953,944,935,920,903,888,874,856,832,805,778,749,727,719,718,716,716,706,679,643,608,571,545,537,540,541,544,538,518,490,464,438,416,403,394,384,374,365,356,348,340,333,323,309,291,275,258,245,236,230,223,216,211,209,207,206,205,199,186,169,152,136,119,101,83,65,46,32,25,22,20,18,15,12,9,6,5,4,3,2,1,2
1955,1997,1914,1834,1755,1680,1607,1536,1469,1405,1344,1287,1233,1184,1138,1097,1059,1022.9999999999999,994,975,962,951,942,931,916,899,883,869,851,827,799,772,742,721,712,711,709,709,699,673,637,603,568,542,535,537,538,540,534,514,485,459,433,412,398,390,380,370,361,352,343,334,326,316,301,284,268,252,238,228,221,214,206,200,197,194,191,189,183,171,154,139,123,107,90,73,56,39,26,19,16,15,13,11,9,6,4,3,2,2,1,2
1956,2035.0000000000002,1970,1893,1817,1742,1669,1599,1530,1463,1399,1337,1278,1222,1170,1123,1081,1042,1004.9999999999999,975,956,945,934,926,916,903,886,872,860,843,820,792,765,737,715,707,706,703,703,693,668,633,599,564,539,531,533,533,535,529,509,480,454,428,406,392,383,372,362,352,343,334,325,318,307,293,275,259,242,228,217,210,202,194,187,183,180,177,175,169,157,141,126,111,96,80,65,49,33,22,17,14,13,11,10,7,5,3,3,2,1,2
1957,2073,2001.9999999999998,1939,1868,1797,1726,1657,1588,1521,1456,1390,1327,1266,1208,1155,1107,1064,1022.9999999999999,985,955,937,926,916,909,900,888,873,860,849,834,811,784,758,730,709,701,699,697,697,687,662,627,595,560,535,527,529,528,529,523,503,474,448,422,399,385,375,364,353,343,333,324,316,309,298,283,265,248,231,217,206,198,190,181,174,170,166,163,160,154,143,128,113,99,85,70,57,42,28,19,14,12,11,10,8,6,4,3,2,1,2
1958,2100,2032,1964,1908,1842,1776,1709,1643,1577,1512,1447,1381,1316,1254,1194,1139,1090,1046,1004,965,934,916,906,897,891,883,872,859,847,838,824,802,776,750,722,702,694,692,690,690,680,655,621,589,555,531,523,524,523,524,516,496,468,442,415,393,377,367,355,343,333,323,315,306,299,289,274,256,238,221,206,195,186,177,168,161,156,152,149,146,139,128,114,100,87,74,61,48,35,23,16,12,10,9,8,6,5,3,2,1,2
1959,2102,2044,1985,1925,1876,1817,1755,1693,1629,1565,1502,1438,1372,1306,1242,1180,1123,1072,1028,985,945,914,896,886,878,873,866,857,845,835,827,814,793,768,742,715,695,687,686,683,683,673,649,616,584,551,527,518,519,518,518,510,490,462,435,409,386,370,359,347,334,323,314,305,297,290,280,264,246,228,210,195,183,174,165,155,148,142,138,134,131,125,114,100,87,75,62,51,40,28,18,13,10,7,6,6,5,3,2,1,2
