Time,Births
1950,559432.0
1951,570142.0
1952,582558.0
1953,595985.0
1954,610212.0
1955,627255.0
1956,641165.0
1957,656028.0
1958,672036.0
1959,689305.0
1960,717165.0
1961,732919.0
1962,750613.0
1963,769812.0
1964,789932.0
1965,822731.0
1966,841734.0
1967,862085.0
1968,883413.0
1969,905474.0
1970,941005.0
1971,960583.0
1972,981107.0
1973,1002884.0
1974,1026350.0
1975,1070751.0
1976,1095251.0
1977,1122378.0
1978,1151352.0
1979,1181266.0
1980,1227295.0
1981,1253280.0
1982,1280396.0
1983,1309139.0
1984,1340179.0
1985,1383025.0
1986,1415320.0
1987,1451368.0
1988,1491900.0
1989,1537754.0
1990,1599826.0
1991,1655650.0
1992,1718122.0
1993,1783847.0
1994,1849094.0
1995,1911940.0
1996,1962811.0
1997,2011161.0
1998,2059764.0
1999,2111860.0
2000,2161313.0
2001,2219646.0
2002,2284562.0
2003,2355151.0
2004,2430341.0
2005,2493533.0
2006,2569503.0
2007,2650908.0
2008,2737105.0
2009,2827482.0
2010,2846796.0
2011,2937404.0
2012,3033101.0
2013,3133695.0
2014,3239277.0
2015,3143159.0
2016,3247635.0
2017,3358267.0
2018,3474733.0
2019,3596742.0
2020,3434290.0
2021,3554147.0
2022,3679229.0
2023,3809917.0
2024,3946756.0
2025,3743060.0
2026,3876241.0
2027,4015333.0
2028,4159858.0
2029,4309116.0
2030,4073996.0
2031,4214602.0
2032,4359221.0
2033,4507090.0
2034,4657425.0
2035,4381813.0
2036,4519408.0
2037,4658950.0
2038,4799824.0
2039,4941422.0
2040,4646323.0
2041,4774681.0
2042,4903249.0
2043,5031975.0
2044,5160992.0
2045,4849436.0
2046,4966841.0
2047,5084650.0
2048,5202594.0
2049,5320330.0
2050,5026992.0
2051,5134780.0
2052,5242104.0
2053,5348835.0
2054,5454889.0
2055,5183405.0
2056,5280602.0
2057,5377077.0
2058,5472479.0
2059,5566398.0
2060,5314430.0
2061,5400069.0
2062,5484107.0
2063,5566296.0
2064,5646422.0
2065,5417962.0
2066,5491029.0
2067,5562002.0
2068,5630716.0
2069,5697026.0
2070,5481548.0
2071,5541550.0
2072,5599292.0
2073,5654758.0
2074,5707985.0
2075,5501420.0
2076,5550340.0
2077,5597244.0
2078,5642084.0
2079,5684841.0
2080,5469074.0
2081,5508426.0
2082,5546006.0
2083,5581701.0
2084,5615361.0
2085,5428175.0
2086,5459800.0
2087,5489403.0
2088,5517019.0
2089,5542724.0
2090,5379542.0
2091,5403536.0
2092,5425853.0
2093,5446294.0
2094,5464599.0
2095,5320059.0
2096,5336626.0
2097,5351151.0
2098,5363572.0
2099,5373890.0
