Time,Births
1950,13246.0
1951,13460.0
1952,13680.0
1953,13913.0
1954,14163.0
1955,14557.0
1956,14764.0
1957,14998.0
1958,15257.0
1959,15535.0
1960,16291.0
1961,16490.0
1962,16710.0
1963,16966.0
1964,17284.0
1965,18092.0
1966,18616.0
1967,19224.0
1968,19897.0
1969,20608.0
1970,21711.0
1971,22395.0
1972,23106.0
1973,23843.0
1974,24608.0
1975,25036.0
1976,25704.0
1977,26422.0
1978,27193.0
1979,28012.0
1980,28089.0
1981,29092.0
1982,30137.0
1983,31246.0
1984,32457.0
1985,28249.0
1986,29362.0
1987,30586.0
1988,31867.0
1989,33134.0
1990,30156.0
1991,31115.0
1992,32020.0
1993,32915.0
1994,33872.0
1995,30555.0
1996,31183.0
1997,31867.0
1998,32581.0
1999,33268.0
2000,30992.0
2001,31635.0
2002,32212.0
2003,32751.0
2004,33292.0
2005,32174.0
2006,32707.0
2007,33246.0
2008,33774.0
2009,34273.0
2010,30845.0
2011,30987.0
2012,31088.0
2013,31141.0
2014,31138.0
2015,30262.0
2016,30366.0
2017,30361.0
2018,30293.0
2019,30231.0
2020,28090.0
2021,28291.0
2022,28566.0
2023,28891.0
2024,29225.0
2025,27682.0
2026,28131.0
2027,28579.0
2028,29030.0
2029,29489.0
2030,28285.0
2031,28860.0
2032,29480.0
2033,30122.0
2034,30759.0
2035,29710.0
2036,30206.0
2037,30678.0
2038,31117.0
2039,31514.0
2040,30386.0
2041,30622.0
2042,30815.0
2043,30975.0
2044,31117.0
2045,29910.0
2046,29990.0
2047,30068.0
2048,30149.0
2049,30239.0
2050,29206.0
2051,29281.0
2052,29372.0
2053,29481.0
2054,29605.0
2055,28777.0
2056,28893.0
2057,29027.0
2058,29173.0
2059,29323.0
2060,28632.0
2061,28748.0
2062,28865.0
2063,28979.0
2064,29083.0
2065,28548.0
2066,28599.0
2067,28639.0
2068,28669.0
2069,28690.0
2070,28192.0
2071,28164.0
2072,28130.0
2073,28092.0
2074,28054.0
2075,27692.0
2076,27621.0
2077,27553.0
2078,27492.0
2079,27438.0
2080,27122.0
2081,27047.0
2082,26983.0
2083,26930.0
2084,26887.0
2085,26681.0
2086,26621.0
2087,26569.0
2088,26526.0
2089,26490.0
2090,26335.0
2091,26276.0
2092,26222.0
2093,26174.0
2094,26130.0
2095,26006.0
2096,25934.0
2097,25865.0
2098,25801.0
2099,25743.0
