Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,5537.999999999999,5125.0,4765.0,4454.0,4187.0,3960.0,3768.9999999999995,3608.0,3475.0,3364.0,3273.9999999999995,3205.0,3134.0,3050.0,2958.9999999999995,2878.9999999999995,2807.0,2734.0,2657.0,2578.0000000000005,2502.0,2428.0,2356.0,2285.0,2217.0,2149.0,2081.0,2019.0000000000002,1962.0,1909.0,1858.0,1808.0,1755.0,1694.0,1630.0,1567.0,1505.0,1446.9999999999998,1398.0000000000002,1353.0000000000002,1309.0000000000002,1266.0,1220.9999999999998,1173.0,1122.0,1073.0,1025.0,979.0000000000001,937.0,898.0,860.0,823.0,785.9999999999999,749.0000000000001,712.0000000000001,677.0,642.0,608.0,575.0,542.9999999999999,512.0,480.0,451.0,422.00000000000006,395.0,369.0,343.0,316.0,287.0,257.0,228.0,200.0,174.0,151.0,130.0,111.0,92.0,76.0,63.0,52.00000000000001,43.0,35.0,27.999999999999996,22.000000000000004,17.0,13.000000000000002,10.0,8.0,6.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,5685.0,5369.0,4992.0,4663.0,4375.0,4127.0,3913.0000000000005,3731.0000000000005,3577.0,3448.0,3340.0,3250.0,3180.0,3106.9999999999995,3021.0000000000005,2928.0,2846.0,2771.0000000000005,2695.0,2616.0,2536.0,2459.0,2385.0,2312.0,2241.0,2173.0,2105.0,2039.0000000000002,1976.0,1920.0,1867.0,1815.9999999999998,1766.0,1713.0,1653.0,1590.0,1529.0000000000002,1466.9999999999998,1411.0,1361.9999999999998,1319.0,1276.0,1234.0,1190.0,1142.0000000000002,1093.0,1045.0,997.0,953.0,912.0,874.0000000000001,837.0000000000001,800.0,764.0,728.0,692.0000000000001,657.0,623.0,590.0,557.0,524.0,492.00000000000006,461.0,431.0,402.0,375.0,349.0,324.0,297.0,268.99999999999994,240.0,212.0,185.0,161.0,139.0,119.00000000000001,100.0,83.0,68.0,55.0,46.0,37.00000000000001,30.0,24.0,19.0,13.999999999999998,11.000000000000002,9.000000000000002,6.999999999999999,5.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,5817.0,5436.0,5196.000000000001,4857.0,4556.999999999999,4294.0,4064.0,3864.0,3691.0000000000005,3543.0,3418.9999999999995,3313.9999999999995,3225.0,3153.0,3078.0000000000005,2990.0,2896.0000000000005,2811.0000000000005,2731.9999999999995,2654.0,2574.0,2493.0000000000005,2415.0,2340.0,2266.0,2195.9999999999995,2128.0,2061.0,1995.0,1933.0,1876.9999999999998,1824.0,1773.0000000000002,1723.0,1671.0,1611.9999999999998,1550.0,1489.0,1429.0,1374.0,1327.0,1284.0,1242.0,1200.9999999999998,1158.0,1111.0,1063.0,1016.0,970.0,925.9999999999999,885.9999999999999,849.0000000000001,813.0,777.0,742.0,706.0,670.9999999999999,637.0,604.0,571.0000000000001,537.9999999999999,505.0,473.0,441.0,411.00000000000006,382.0,355.0,328.99999999999994,304.0,278.0,251.0,223.0,196.0,171.0,147.0,126.0,107.0,90.0,73.0,59.00000000000001,48.0,39.0,32.0,25.0,20.0,15.0,12.0,9.000000000000002,6.999999999999999,5.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1953,5937.0,5570.0,5235.0,5025.0,4723.0,4453.0,4213.999999999999,4002.0,3816.0000000000005,3651.0000000000005,3509.0,3390.0,3288.9999999999995,3201.0,3127.0,3050.0,2960.0,2864.0,2776.9999999999995,2695.0,2613.0,2531.0,2450.0,2372.0,2295.0,2221.0,2151.0,2083.0,2017.0,1950.9999999999998,1890.0,1834.0,1781.0,1730.0,1681.0,1628.0,1570.0,1509.0000000000002,1450.0,1391.0,1337.0,1291.0,1249.0,1208.0,1168.0,1126.0,1081.0,1033.0,987.0,942.0000000000001,899.0,861.0,825.0,789.0,754.0,720.0,685.0,650.9999999999999,617.0,584.0,552.0,519.0,485.0,452.99999999999994,421.00000000000006,390.0,362.00000000000006,336.0,310.0,285.0,259.0,233.0,206.00000000000003,180.0,156.0,133.0,113.0,96.0,79.0,64.0,51.0,40.99999999999999,33.0,26.000000000000004,21.0,16.0,12.0,9.000000000000002,6.999999999999999,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1954,6052.000000000001,5697.999999999999,5371.0,5071.000000000001,4857.0,4591.0,4351.0,4136.0,3943.0,3770.0,3614.0,3478.0,3364.0,3266.0,3178.0,3103.0,3023.0,2932.0,2833.9999999999995,2744.0,2658.0,2574.0,2491.0,2409.0000000000005,2329.0,2252.0,2177.0,2106.9999999999995,2039.0000000000002,1973.0,1909.0,1848.0,1791.9999999999998,1739.0,1688.0000000000002,1639.0,1587.0,1530.0,1470.0,1412.0,1354.0,1301.0,1256.0,1215.0,1175.0,1136.0,1095.0,1051.0,1004.0,959.0000000000001,915.0,873.0,835.0,800.0,765.9999999999999,732.0,698.0,664.0,630.0,597.0,566.0000000000001,532.9999999999999,500.0,466.0,434.0,401.0,371.0,342.0,316.0,290.0,265.0,240.0,215.0,188.99999999999997,163.99999999999997,141.0,120.0,100.99999999999999,84.0,69.0,55.0,43.0,34.0,27.000000000000004,21.0,16.0,12.0,9.000000000000002,6.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1955,6166.0,5824.0,5507.000000000001,5212.999999999999,4942.0,4692.0,4463.0,4253.0,4061.0,3886.0,3726.0000000000005,3578.9999999999995,3450.0,3340.0,3245.0,3158.0,3081.0000000000005,2998.9999999999995,2906.0,2806.0,2713.0,2623.9999999999995,2537.0,2452.0,2369.0,2289.0,2210.0,2135.0,2064.0,1997.0,1932.0,1868.0,1808.0,1751.9999999999998,1699.0,1648.0000000000002,1599.0,1547.0,1490.9999999999998,1432.0,1375.0,1318.0,1266.0,1222.0,1182.0,1143.0,1105.0,1065.0,1020.9999999999999,976.0,932.0,888.0,848.0,811.0,777.0,743.0,710.0,677.0,644.0,611.0,578.0,547.0,515.0,482.00000000000006,447.99999999999994,415.0,382.0,351.00000000000006,322.99999999999994,296.00000000000006,271.0,246.00000000000003,222.0,196.99999999999997,172.0,148.00000000000003,126.0,106.0,88.00000000000001,73.0,59.00000000000001,45.0,35.0,26.000000000000004,20.0,15.0,11.000000000000002,8.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,6260.0,5999.0,5683.0,5388.0,5116.000000000001,4863.0,4630.0,4415.0,4216.0,4028.0000000000005,3852.0,3690.0,3540.0,3406.0,3293.0,3195.0,3103.0,3021.0000000000005,2936.0000000000005,2842.0,2743.0000000000005,2651.0000000000005,2563.0,2477.0,2393.0000000000005,2312.0,2233.0,2157.0,2083.0,2014.0000000000002,1948.0000000000002,1884.0000000000002,1821.0,1761.9999999999998,1706.9999999999998,1656.0,1605.9999999999998,1558.0,1508.0,1453.0,1396.0,1340.0,1285.0,1234.0,1190.9999999999998,1152.0000000000002,1113.0,1075.9999999999998,1037.0,995.0,951.0,907.9999999999999,866.0,826.0,790.0,755.9999999999999,723.0,690.0,657.9999999999999,624.0,590.0,557.0,525.0,492.00000000000006,458.99999999999994,425.0,392.0,360.0,328.99999999999994,302.0,276.0,251.0,228.0,204.0,180.0,156.0,134.0,113.0,94.0,78.0,64.0,51.0,39.0,30.0,22.000000000000004,17.0,13.000000000000002,9.000000000000002,6.999999999999999,5.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,6367.000000000001,6047.999999999999,5843.0,5550.0,5279.0,5026.0,4792.0,4575.0,4376.0,4186.0,4001.0000000000005,3824.0,3660.0,3506.0,3369.0,3251.0000000000005,3148.9999999999995,3054.0,2966.0,2878.0,2783.0,2685.0,2593.0,2506.0,2421.0,2339.0,2259.0,2181.0,2106.9999999999995,2035.0000000000002,1966.9999999999998,1901.0,1838.0,1777.0,1719.0,1665.0,1615.0,1567.0,1521.0,1472.0,1418.0000000000002,1361.9999999999998,1308.0,1254.0,1204.0,1162.0,1124.0,1085.9999999999998,1050.0,1012.0,970.0,927.0,885.0,844.0000000000001,805.0,770.0,737.0,704.0000000000001,672.0,640.0,605.0,570.0,536.0,503.0,470.0,436.0,402.99999999999994,370.0,337.99999999999994,308.0,281.0,256.0,231.99999999999997,210.0,187.0,163.99999999999997,141.0,120.0,100.0,83.0,68.0,55.0,43.0,33.0,25.0,18.000000000000004,13.999999999999998,10.0,6.999999999999999,5.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1958,6488.0,6173.999999999999,5881.0,5691.0,5422.999999999999,5173.999999999999,4942.0,4725.0,4524.0,4340.0,4159.0,3978.0,3800.0,3633.0,3475.0,3333.9999999999995,3213.0,3106.9999999999995,3006.9999999999995,2913.9999999999995,2822.0,2726.0000000000005,2628.9999999999995,2538.0000000000005,2451.0,2367.0,2286.0,2207.0,2131.9999999999995,2059.0,1988.0000000000002,1921.0,1857.0,1795.0,1734.0,1676.9999999999998,1625.0,1575.9999999999998,1529.0000000000002,1484.0,1436.9999999999998,1385.0,1330.0,1277.0000000000002,1224.0,1176.0,1134.0000000000002,1097.0,1060.0,1024.0,987.0,947.0000000000001,905.0,864.0000000000001,823.0,785.0,750.9999999999999,718.0,686.0,655.0,622.0,587.0000000000001,551.0,516.0,482.00000000000006,447.99999999999994,414.0,381.0,349.0,317.0,287.0,261.0,237.0,213.0,192.0,170.0,148.00000000000003,126.0,106.0,88.00000000000001,71.0,57.0,46.0,36.00000000000001,27.000000000000004,20.0,13.999999999999998,10.0,6.999999999999999,6.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1959,6624.0,6310.0,6017.0,5744.0,5541.0,5297.000000000001,5071.000000000001,4859.0,4660.0,4475.0,4305.0,4133.999999999999,3956.0000000000005,3776.0000000000005,3608.0,3446.0,3300.0,3175.0,3066.0000000000005,2961.0000000000005,2863.0,2767.0,2670.0,2573.0,2483.0,2397.0,2314.0,2234.0,2156.0,2082.0,2011.0000000000002,1942.0,1876.0,1813.0000000000002,1751.0,1692.0,1636.0,1585.0,1538.0,1492.0,1449.0,1403.0,1351.0,1298.0,1246.0,1194.0,1147.0,1105.9999999999998,1070.0,1034.0,999.0000000000001,962.0000000000001,922.9999999999999,882.0,842.0000000000001,802.9999999999999,765.9999999999999,732.0,700.0,667.9999999999999,637.0,605.0,569.0,532.0,497.00000000000006,461.0,427.00000000000006,392.99999999999994,360.0,327.0,296.00000000000006,266.0,240.0,217.0,195.0,174.0,153.0,132.0,111.0,93.00000000000001,75.0,59.00000000000001,47.0,37.00000000000001,28.999999999999996,21.0,15.0,10.0,6.999999999999999,5.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
