Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.22954539,0.04660664,0.04660664,0.04660664,0.04660664,0.01477013,0.01477013,0.01477013,0.01477013,0.01477013,0.00751508,0.00751508,0.00751508,0.00751508,0.00751508,0.00806412,0.00806412,0.00806412,0.00806412,0.00806412,0.01032413,0.01032413,0.01032413,0.01032413,0.01032413,0.01145607,0.01145607,0.01145607,0.01145607,0.01145607,0.01276843,0.01276843,0.01276843,0.01276843,0.01276843,0.01460317,0.01460317,0.01460317,0.01460317,0.01460317,0.01677362,0.01677362,0.01677362,0.01677362,0.01677362,0.01916289,0.01916289,0.01916289,0.01916289,0.01916289,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.03092827,0.03092827,0.03092827,0.03092827,0.03092827,0.04364511,0.04364511,0.04364511,0.04364511,0.04364511,0.06418246,0.06418246,0.06418246,0.06418246,0.06418246,0.09911764,0.09911764,0.09911764,0.09911764,0.09911764,0.14827734,0.14827734,0.14827734,0.14827734,0.14827734,0.2220522,0.2220522,0.2220522,0.2220522,0.2220522,0.31706822,0.31706822,0.31706822,0.31706822,0.31706822,0.4233517,0.4233517,0.4233517,0.4233517,0.4233517,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.64542158
1951,0.22954539,0.04660664,0.04660664,0.04660664,0.04660664,0.01477013,0.01477013,0.01477013,0.01477013,0.01477013,0.00751508,0.00751508,0.00751508,0.00751508,0.00751508,0.00806412,0.00806412,0.00806412,0.00806412,0.00806412,0.01032413,0.01032413,0.01032413,0.01032413,0.01032413,0.01145607,0.01145607,0.01145607,0.01145607,0.01145607,0.01276843,0.01276843,0.01276843,0.01276843,0.01276843,0.01460317,0.01460317,0.01460317,0.01460317,0.01460317,0.01677362,0.01677362,0.01677362,0.01677362,0.01677362,0.01916289,0.01916289,0.01916289,0.01916289,0.01916289,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.03092827,0.03092827,0.03092827,0.03092827,0.03092827,0.04364511,0.04364511,0.04364511,0.04364511,0.04364511,0.06418246,0.06418246,0.06418246,0.06418246,0.06418246,0.09911764,0.09911764,0.09911764,0.09911764,0.09911764,0.14827734,0.14827734,0.14827734,0.14827734,0.14827734,0.2220522,0.2220522,0.2220522,0.2220522,0.2220522,0.31706822,0.31706822,0.31706822,0.31706822,0.31706822,0.4233517,0.4233517,0.4233517,0.4233517,0.4233517,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.64542158
1952,0.22954539,0.04660664,0.04660664,0.04660664,0.04660664,0.01477013,0.01477013,0.01477013,0.01477013,0.01477013,0.00751508,0.00751508,0.00751508,0.00751508,0.00751508,0.00806412,0.00806412,0.00806412,0.00806412,0.00806412,0.01032413,0.01032413,0.01032413,0.01032413,0.01032413,0.01145607,0.01145607,0.01145607,0.01145607,0.01145607,0.01276843,0.01276843,0.01276843,0.01276843,0.01276843,0.01460317,0.01460317,0.01460317,0.01460317,0.01460317,0.01677362,0.01677362,0.01677362,0.01677362,0.01677362,0.01916289,0.01916289,0.01916289,0.01916289,0.01916289,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.03092827,0.03092827,0.03092827,0.03092827,0.03092827,0.04364511,0.04364511,0.04364511,0.04364511,0.04364511,0.06418246,0.06418246,0.06418246,0.06418246,0.06418246,0.09911764,0.09911764,0.09911764,0.09911764,0.09911764,0.14827734,0.14827734,0.14827734,0.14827734,0.14827734,0.2220522,0.2220522,0.2220522,0.2220522,0.2220522,0.31706822,0.31706822,0.31706822,0.31706822,0.31706822,0.4233517,0.4233517,0.4233517,0.4233517,0.4233517,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.64542158
1953,0.22954539,0.04660664,0.04660664,0.04660664,0.04660664,0.01477013,0.01477013,0.01477013,0.01477013,0.01477013,0.00751508,0.00751508,0.00751508,0.00751508,0.00751508,0.00806412,0.00806412,0.00806412,0.00806412,0.00806412,0.01032413,0.01032413,0.01032413,0.01032413,0.01032413,0.01145607,0.01145607,0.01145607,0.01145607,0.01145607,0.01276843,0.01276843,0.01276843,0.01276843,0.01276843,0.01460317,0.01460317,0.01460317,0.01460317,0.01460317,0.01677362,0.01677362,0.01677362,0.01677362,0.01677362,0.01916289,0.01916289,0.01916289,0.01916289,0.01916289,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.03092827,0.03092827,0.03092827,0.03092827,0.03092827,0.04364511,0.04364511,0.04364511,0.04364511,0.04364511,0.06418246,0.06418246,0.06418246,0.06418246,0.06418246,0.09911764,0.09911764,0.09911764,0.09911764,0.09911764,0.14827734,0.14827734,0.14827734,0.14827734,0.14827734,0.2220522,0.2220522,0.2220522,0.2220522,0.2220522,0.31706822,0.31706822,0.31706822,0.31706822,0.31706822,0.4233517,0.4233517,0.4233517,0.4233517,0.4233517,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.64542158
1954,0.22954539,0.04660664,0.04660664,0.04660664,0.04660664,0.01477013,0.01477013,0.01477013,0.01477013,0.01477013,0.00751508,0.00751508,0.00751508,0.00751508,0.00751508,0.00806412,0.00806412,0.00806412,0.00806412,0.00806412,0.01032413,0.01032413,0.01032413,0.01032413,0.01032413,0.01145607,0.01145607,0.01145607,0.01145607,0.01145607,0.01276843,0.01276843,0.01276843,0.01276843,0.01276843,0.01460317,0.01460317,0.01460317,0.01460317,0.01460317,0.01677362,0.01677362,0.01677362,0.01677362,0.01677362,0.01916289,0.01916289,0.01916289,0.01916289,0.01916289,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.023362099999999997,0.03092827,0.03092827,0.03092827,0.03092827,0.03092827,0.04364511,0.04364511,0.04364511,0.04364511,0.04364511,0.06418246,0.06418246,0.06418246,0.06418246,0.06418246,0.09911764,0.09911764,0.09911764,0.09911764,0.09911764,0.14827734,0.14827734,0.14827734,0.14827734,0.14827734,0.2220522,0.2220522,0.2220522,0.2220522,0.2220522,0.31706822,0.31706822,0.31706822,0.31706822,0.31706822,0.4233517,0.4233517,0.4233517,0.4233517,0.4233517,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.5363034000000001,0.64542158
1955,0.20615127,0.04151003,0.04151003,0.04151003,0.04151003,0.01326878,0.01326878,0.01326878,0.01326878,0.01326878,0.00678751,0.00678751,0.00678751,0.00678751,0.00678751,0.00735299,0.00735299,0.00735299,0.00735299,0.00735299,0.00943725,0.00943725,0.00943725,0.00943725,0.00943725,0.01046469,0.01046469,0.01046469,0.01046469,0.01046469,0.01164584,0.01164584,0.01164584,0.01164584,0.01164584,0.01329849,0.01329849,0.01329849,0.01329849,0.01329849,0.01532281,0.01532281,0.01532281,0.01532281,0.01532281,0.01754999,0.01754999,0.01754999,0.01754999,0.01754999,0.02163492,0.02163492,0.02163492,0.02163492,0.02163492,0.02861223,0.02861223,0.02861223,0.02861223,0.02861223,0.04035501,0.04035501,0.04035501,0.04035501,0.04035501,0.0595125,0.0595125,0.0595125,0.0595125,0.0595125,0.09184989,0.09184989,0.09184989,0.09184989,0.09184989,0.13773468,0.13773468,0.13773468,0.13773468,0.13773468,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.2970973,0.2970973,0.2970973,0.2970973,0.2970973,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.51383885,0.51383885,0.51383885,0.51383885,0.51383885,0.62450633
1956,0.20615127,0.04151003,0.04151003,0.04151003,0.04151003,0.01326878,0.01326878,0.01326878,0.01326878,0.01326878,0.00678751,0.00678751,0.00678751,0.00678751,0.00678751,0.00735299,0.00735299,0.00735299,0.00735299,0.00735299,0.00943725,0.00943725,0.00943725,0.00943725,0.00943725,0.01046469,0.01046469,0.01046469,0.01046469,0.01046469,0.01164584,0.01164584,0.01164584,0.01164584,0.01164584,0.01329849,0.01329849,0.01329849,0.01329849,0.01329849,0.01532281,0.01532281,0.01532281,0.01532281,0.01532281,0.01754999,0.01754999,0.01754999,0.01754999,0.01754999,0.02163492,0.02163492,0.02163492,0.02163492,0.02163492,0.02861223,0.02861223,0.02861223,0.02861223,0.02861223,0.04035501,0.04035501,0.04035501,0.04035501,0.04035501,0.0595125,0.0595125,0.0595125,0.0595125,0.0595125,0.09184989,0.09184989,0.09184989,0.09184989,0.09184989,0.13773468,0.13773468,0.13773468,0.13773468,0.13773468,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.2970973,0.2970973,0.2970973,0.2970973,0.2970973,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.51383885,0.51383885,0.51383885,0.51383885,0.51383885,0.62450633
1957,0.20615127,0.04151003,0.04151003,0.04151003,0.04151003,0.01326878,0.01326878,0.01326878,0.01326878,0.01326878,0.00678751,0.00678751,0.00678751,0.00678751,0.00678751,0.00735299,0.00735299,0.00735299,0.00735299,0.00735299,0.00943725,0.00943725,0.00943725,0.00943725,0.00943725,0.01046469,0.01046469,0.01046469,0.01046469,0.01046469,0.01164584,0.01164584,0.01164584,0.01164584,0.01164584,0.01329849,0.01329849,0.01329849,0.01329849,0.01329849,0.01532281,0.01532281,0.01532281,0.01532281,0.01532281,0.01754999,0.01754999,0.01754999,0.01754999,0.01754999,0.02163492,0.02163492,0.02163492,0.02163492,0.02163492,0.02861223,0.02861223,0.02861223,0.02861223,0.02861223,0.04035501,0.04035501,0.04035501,0.04035501,0.04035501,0.0595125,0.0595125,0.0595125,0.0595125,0.0595125,0.09184989,0.09184989,0.09184989,0.09184989,0.09184989,0.13773468,0.13773468,0.13773468,0.13773468,0.13773468,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.2970973,0.2970973,0.2970973,0.2970973,0.2970973,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.51383885,0.51383885,0.51383885,0.51383885,0.51383885,0.62450633
1958,0.20615127,0.04151003,0.04151003,0.04151003,0.04151003,0.01326878,0.01326878,0.01326878,0.01326878,0.01326878,0.00678751,0.00678751,0.00678751,0.00678751,0.00678751,0.00735299,0.00735299,0.00735299,0.00735299,0.00735299,0.00943725,0.00943725,0.00943725,0.00943725,0.00943725,0.01046469,0.01046469,0.01046469,0.01046469,0.01046469,0.01164584,0.01164584,0.01164584,0.01164584,0.01164584,0.01329849,0.01329849,0.01329849,0.01329849,0.01329849,0.01532281,0.01532281,0.01532281,0.01532281,0.01532281,0.01754999,0.01754999,0.01754999,0.01754999,0.01754999,0.02163492,0.02163492,0.02163492,0.02163492,0.02163492,0.02861223,0.02861223,0.02861223,0.02861223,0.02861223,0.04035501,0.04035501,0.04035501,0.04035501,0.04035501,0.0595125,0.0595125,0.0595125,0.0595125,0.0595125,0.09184989,0.09184989,0.09184989,0.09184989,0.09184989,0.13773468,0.13773468,0.13773468,0.13773468,0.13773468,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.2970973,0.2970973,0.2970973,0.2970973,0.2970973,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.51383885,0.51383885,0.51383885,0.51383885,0.51383885,0.62450633
1959,0.20615127,0.04151003,0.04151003,0.04151003,0.04151003,0.01326878,0.01326878,0.01326878,0.01326878,0.01326878,0.00678751,0.00678751,0.00678751,0.00678751,0.00678751,0.00735299,0.00735299,0.00735299,0.00735299,0.00735299,0.00943725,0.00943725,0.00943725,0.00943725,0.00943725,0.01046469,0.01046469,0.01046469,0.01046469,0.01046469,0.01164584,0.01164584,0.01164584,0.01164584,0.01164584,0.01329849,0.01329849,0.01329849,0.01329849,0.01329849,0.01532281,0.01532281,0.01532281,0.01532281,0.01532281,0.01754999,0.01754999,0.01754999,0.01754999,0.01754999,0.02163492,0.02163492,0.02163492,0.02163492,0.02163492,0.02861223,0.02861223,0.02861223,0.02861223,0.02861223,0.04035501,0.04035501,0.04035501,0.04035501,0.04035501,0.0595125,0.0595125,0.0595125,0.0595125,0.0595125,0.09184989,0.09184989,0.09184989,0.09184989,0.09184989,0.13773468,0.13773468,0.13773468,0.13773468,0.13773468,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.20691379999999998,0.2970973,0.2970973,0.2970973,0.2970973,0.2970973,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.40113990000000005,0.51383885,0.51383885,0.51383885,0.51383885,0.51383885,0.62450633
