Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,373926.99999999994,348519.0,326052.0,306292.00000000006,289006.0,273957.99999999994,260914.0,249639.0,239900.99999999997,231464.00000000003,224291.0,218347.99999999997,212408.0,205842.0,199009.0,192890.0,187277.00000000003,181804.0,176380.99999999997,171052.00000000003,165935.99999999997,160997.0,156207.0,151561.0,147043.99999999997,142651.0,138391.0,134162.99999999997,129914.99999999999,125694.0,121590.0,117587.0,113705.0,109964.0,106350.0,102831.0,99411.0,96104.0,92911.0,89830.0,86812.99999999999,83819.0,81054.0,78597.0,76326.00000000001,74109.0,72058.0,69603.00000000001,66476.0,62976.00000000001,59621.0,56247.0,53425.0,51473.0,50095.0,48678.99999999999,47348.0,45918.0,44236.99999999999,42408.0,40669.00000000001,38954.0,37296.0,35731.0,34208.0,32668.0,31155.0,29455.0,27463.0,25293.000000000004,23163.0,21031.999999999996,19009.0,17169.0,15464.0,13790.999999999998,12192.0,10607.000000000002,9004.0,7435.0,5971.0,4576.000000000001,3440.0,2661.0,2142.0,1686.0,1321.9999999999998,1020.0,744.0000000000001,504.0,321.0,228.99999999999997,178.00000000000003,123.00000000000001,64.0,31.0,25.0,19.0,13.000000000000002,6.0,6.999999999999999
1951,368809.0,358501.0,335818.00000000006,315721.0,297992.0,282416.0,268801.0,256952.99999999997,246541.0,237303.0,229090.99999999997,221994.00000000003,215959.0,209954.0,203460.99999999997,196775.99999999997,190706.0,185077.0,179597.99999999997,174199.0,168910.0,163821.0,158899.0,154126.0,149497.0,144995.0,140618.0,136373.0,132161.0,127932.0,123730.0,119648.0,115666.0,111808.0,108094.0,104511.00000000001,101022.0,97633.0,94359.0,91206.0,88166.0,85190.0,82238.0,79507.0,77074.0,74819.0,72616.0,70574.0,68132.0,65026.00000000001,61549.0,58211.99999999999,54855.0,52033.0,50058.0,48640.0,47183.0,45808.0,44333.99999999999,42613.0,40745.0,38968.0,37218.0,35519.0,33903.0,32325.000000000004,30739.0,29185.0,27465.999999999996,25489.0,23358.0,21275.0,19201.0,17245.0,15482.000000000002,13865.0,12286.0,10783.0,9317.0,7860.0,6455.0,5153.0,3921.0000000000005,2924.0,2242.0,1791.9999999999998,1402.0,1102.0,851.0,619.0,415.0,262.0,187.0,146.0,100.99999999999999,52.00000000000001,26.000000000000004,19.0,13.000000000000002,6.0,6.999999999999999
1952,369042.0,349769.0,344136.99999999994,324106.0,306312.0,290556.0,276640.99999999994,264414.0,253725.0,244143.0,235375.99999999997,227367.00000000003,220326.0,214183.0,208095.99999999997,201657.0,195101.0,189062.0,183402.00000000003,177902.00000000003,172511.0,167248.0,162171.0,157253.0,152484.0,147857.0,143359.0,138985.0,134744.0,130536.0,126312.99999999999,122120.0,118046.0,114074.0,110230.0,106532.99999999999,102970.0,99502.00000000001,96133.0,92884.0,89761.00000000001,86755.0,83812.00000000001,80893.0,78188.0,75771.99999999999,73527.0,71331.0,69293.0,66857.0,63763.00000000001,60300.0,56972.0,53621.0,50792.0,48787.0,47327.0,45825.0,44403.0,42881.0,41114.0,39203.0,37382.0,35592.0,33848.0,32176.000000000004,30541.0,28904.0,27305.0,25563.000000000004,23594.0,21497.0,19455.0,17430.0,15536.0,13845.0,12311.0,10821.0,9410.0,8057.0,6742.999999999999,5497.999999999999,4352.0,3279.0,2417.0,1831.0,1448.0000000000002,1123.0,885.9999999999999,684.0,496.0,327.99999999999994,204.0,147.0,114.0,79.0,40.0,19.0,13.000000000000002,6.0,6.999999999999999
1953,372816.0,354135.0,336926.0,330202.0,312798.0,297284.0,283481.0,271207.99999999994,260355.00000000003,250810.99999999997,242047.0,233742.00000000003,225925.0,218930.0,212671.0,206495.99999999997,200102.99999999997,193667.0,187652.00000000003,181954.0,176425.0,171037.0,165794.0,160721.0,155802.00000000003,151030.0,146401.0,141900.0,137524.0,133281.0,129072.99999999999,124851.0,120660.0,116591.00000000001,112625.0,108788.0,105104.0,101557.0,98105.0,94752.99999999999,91525.0,88428.0,85452.00000000001,82538.0,79648.0,76967.0,74564.0,72325.0,70135.0,68097.0,65665.0,62578.99999999999,59125.0,55802.0,52453.99999999999,49613.0,47578.0,46071.99999999999,44523.99999999999,43052.0,41481.0,39667.0,37709.0,35843.0,34010.99999999999,32219.0,30490.0,28794.0,27105.999999999996,25459.0,23691.0,21729.0,19663.0,17658.0,15682.0,13847.000000000002,12226.0,10772.0,9370.0,8048.999999999999,6808.0,5635.0,4547.0,3557.0,2642.0,1914.0000000000002,1422.0,1105.9999999999998,845.0,670.9999999999999,519.0,374.0,241.00000000000003,146.0,106.0,81.99999999999999,57.0,28.999999999999996,13.000000000000002,6.0,6.999999999999999
1954,379041.0,359885.0,342339.0,326294.00000000006,316518.0,301730.0,288489.00000000006,276631.0,265994.0,256507.99999999997,248102.99999999997,240150.99999999997,232301.0,224670.0,217715.99999999997,211335.99999999997,205065.99999999997,198715.0,192394.0,186398.0,180655.99999999997,175095.0,169704.0,164476.0,159405.0,154478.99999999997,149701.0,145066.0,140558.0,136176.00000000003,131928.0,127715.0,123492.0,119300.0,115231.00000000001,111267.00000000001,107436.0,103761.00000000001,100227.0,96789.0,93450.0,90240.0,87167.0,84217.99999999999,81331.0,78468.0,75808.0,73416.0,71183.0,68995.0,66957.0,64526.00000000001,61445.0,57998.00000000001,54677.0,51328.0,48474.0,46406.00000000001,44853.0,43258.0,41736.00000000001,40113.0,38250.0,36245.0,34330.99999999999,32455.999999999996,30615.0,28826.0,27069.000000000004,25326.0,23630.0,21836.0,19879.0,17842.0,15873.0,13943.0,12165.999999999998,10614.0,9240.0,7923.999999999999,6692.0,5562.0,4529.0,3598.9999999999995,2763.0,2005.9999999999998,1411.0,1012.9999999999999,764.0,567.0000000000001,456.0,353.0,252.0,154.0,89.00000000000001,66.0,51.0,35.0,17.0,6.0,6.999999999999999
1955,387058.00000000006,366691.0,348253.00000000006,331599.0,316584.0,303062.0,290887.0,279915.0,269999.0,260994.00000000003,252872.0,245602.99999999997,238458.0,231058.0,223608.0,216689.00000000003,210182.00000000003,203810.99999999997,197495.99999999997,191285.0,185302.00000000003,179512.0,173912.99999999997,168515.0,163297.0,158222.99999999997,153287.0,148498.0,143852.0,139335.0,134942.0,130685.0,126465.0,122235.0,118039.0,113967.99999999999,110002.00000000001,106172.00000000001,102503.99999999999,98980.0,95552.0,92223.99999999999,89029.0,85978.0,83054.0,80190.0,77352.0,74711.0,72329.0,70098.0,67911.99999999999,65872.0,63438.99999999999,60361.00000000001,56918.0,53595.0,50244.0,47373.99999999999,45270.0,43670.0,42025.0,40451.0,38775.0,36861.99999999999,34806.99999999999,32844.0,30923.0,29031.0,27182.0,25361.0,23563.000000000004,21816.0,19993.0,18039.0,16030.000000000002,14095.999999999998,12210.999999999998,10490.0,9006.0,7710.0,6479.0,5336.0,4316.0,3423.0,2650.0,1969.0,1369.0,907.9999999999999,605.0,422.00000000000006,289.0,241.00000000000003,188.0,130.0,67.0,31.0,25.0,19.0,13.000000000000002,6.0,6.999999999999999
1956,394113.00000000006,373900.0,355048.0,338173.0,323082.99999999994,309589.0,297580.99999999994,286952.0,277096.0,267654.0,258685.99999999997,250585.99999999997,243249.00000000003,236055.0,228724.00000000003,221407.0,214530.99999999997,208005.99999999997,201629.00000000003,195337.00000000003,189169.0,183212.00000000003,177440.99999999997,171860.0,166479.0,161279.0,156221.0,151303.0,146530.0,141901.0,137401.0,133026.0,128787.99999999999,124589.0,120387.0,116222.00000000001,112181.0,108246.00000000001,104451.00000000001,100822.0,97340.0,93952.99999999999,90663.0,87502.99999999999,84480.0,81579.0,78736.0,75918.0,73286.0,70899.0,68652.0,66448.00000000001,64382.99999999999,61935.0,58857.0,55421.00000000001,52101.00000000001,48753.0,45872.0,43736.00000000001,42089.0,40400.99999999999,38784.0,37070.0,35122.0,33038.00000000001,31050.0,29111.0,27206.999999999996,25354.0,23540.0,21756.0,20028.0,18250.999999999996,16376.999999999998,14472.000000000002,12645.999999999998,10875.0,9273.0,7907.999999999999,6731.0,5621.0,4598.0,3694.0,2910.0,2238.0,1646.9999999999998,1141.0,762.0,508.0,350.0,237.0,198.0,154.0,106.0,55.0,25.0,19.0,13.000000000000002,6.0,6.999999999999999
1957,402556.0,378816.99999999994,361333.0,343964.0,328621.0,315067.0,303067.0,292550.0,283445.99999999994,274687.0,265703.0,256759.0,248669.0,241253.0,233999.00000000003,226727.99999999997,219534.00000000003,212690.0,206138.0,199745.0,193468.0,187332.0,181394.0,175632.99999999997,170063.0,164690.99999999997,159500.0,154452.0,149543.0,144781.0,140162.0,135672.0,131309.0,127082.00000000001,122900.0,118717.99999999999,114579.0,110562.99999999999,106652.0,102886.00000000001,99292.0,95847.00000000001,92495.0,89240.0,86109.0,83111.0,80228.00000000001,77402.0,74600.0,71973.0,69576.00000000001,67310.0,65084.99999999999,62994.0,60526.0,57443.00000000001,54008.99999999999,50688.0,47339.0,44443.00000000001,42271.0,40575.0,38842.0,37181.0,35424.0,33439.0,31324.0,29309.0,27349.0,25430.0,23570.999999999996,21760.0,19987.000000000004,18277.0,16542.0,14745.0,12940.999999999998,11220.999999999998,9561.0,8074.999999999999,6826.000000000001,5766.0,4775.0,3870.0,3078.9999999999995,2403.0,1831.0,1328.0,915.0,617.0,413.0,278.99999999999994,186.00000000000003,155.0,120.0,83.0,43.0,19.0,13.000000000000002,6.0,6.999999999999999
1958,412522.0,386833.0,364439.0,349329.0,333414.0,319578.0,307538.0,297013.0,287968.0,280373.0,272695.99999999994,264157.0,255222.99999999997,247130.99999999997,239625.0,232301.0,225078.0,217995.0,211173.0,204585.0,198166.0,191895.0,185782.0,179852.99999999997,174094.00000000003,168525.0,163155.0,157966.0,152918.99999999997,148013.0,143253.0,138637.0,134150.0,129792.0,125572.0,121399.0,117232.00000000001,113111.0,109115.0,105223.0,101479.0,97914.0,94500.0,91179.0,87952.99999999999,84848.0,81868.0,78999.0,76186.0,73396.0,70770.0,68361.0,66072.0,63821.99999999999,61701.0,59211.00000000001,56118.0,52681.00000000001,49354.0,45998.00000000001,43083.0,40872.0,39125.0,37344.0,35635.99999999999,33835.0,31810.0,29659.000000000004,27614.0,25629.0,23694.000000000004,21826.0,20016.0,18252.0,16555.999999999996,14860.999999999998,13137.0,11432.0,9815.0,8263.0,6890.0,5756.0,4811.0,3937.0,3148.9999999999995,2471.0,1900.0,1426.9999999999998,1010.9999999999999,691.0,474.0,318.0,208.00000000000003,136.0,113.0,87.0,60.0,31.0,13.000000000000002,6.0,6.999999999999999
1959,424246.0,396565.0,372607.0,352026.0,337796.0,323316.0,310969.0,300429.00000000006,291365.0,283783.0,277688.0,271085.0,262979.00000000006,254042.0,245937.0,238331.0,230926.0,223741.0,216760.0,209950.0,203315.99999999997,196863.0,190587.00000000003,184489.0,178560.99999999997,172796.0,167220.99999999997,161845.0,156650.0,151597.99999999997,146687.0,141924.0,137304.0,132815.0,128456.00000000001,124235.0,120066.0,115907.99999999999,111800.0,107817.0,103937.99999999999,100213.0,96671.0,93283.99999999999,89988.0,86787.0,83702.99999999999,80738.99999999999,77880.0,75075.0,72293.0,69665.0,67238.99999999999,64925.0,62647.0,60493.0,57977.0,54870.0,51425.0,48086.00000000001,44718.99999999999,41781.00000000001,39528.0,37727.0,35895.0,34138.00000000001,32290.0,30221.999999999996,28034.000000000004,25955.0,23944.000000000004,21988.000000000004,20109.0,18296.0,16539.0,14855.0,13197.000000000002,11546.0,9937.000000000002,8420.0,6975.0,5712.999999999999,4692.0,3861.0,3103.0,2430.0,1864.0,1400.0,1025.0,696.0,468.0,331.0,223.99999999999997,138.0,85.0,70.0,54.00000000000001,37.00000000000001,19.0,6.0,6.999999999999999
