Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,758335.0,706138.0,659981.0000000001,619386.0,583881.0,552987.0,526231.0,503135.99999999994,483228.0,466031.0,451436.99999999994,439340.0,427423.0,414476.0,401126.99999999994,389212.0,378360.0,367575.0,356543.0,345468.0,334859.00000000006,324608.0,314626.0,304921.0,295475.0,286274.0,277332.99999999994,268560.0,259909.0,251427.00000000003,243182.00000000003,235136.0,227430.99999999997,220137.0,213171.0,206382.99999999997,199797.0,193343.0,186967.0,180697.99999999997,174505.0,168257.99999999997,162483.0,157392.0,152656.0,147981.0,143724.0,138067.99999999997,130174.0,121017.99999999999,112255.0,103360.0,96275.0,92072.0,89768.99999999999,87311.0,85105.0,82609.0,79347.0,75632.0,72243.0,69007.0,65825.0,62721.0,59654.0,56586.99999999999,53558.0,50370.0,46928.00000000001,43335.0,39809.0,36330.0,32908.0,29576.0,26345.0,23213.0,20202.0,17340.999999999996,14652.999999999998,12152.000000000002,9811.0,7604.0,5782.999999999999,4466.0,3528.0,2719.0,2069.0,1543.0000000000002,1093.0,724.0000000000001,450.0,322.99999999999994,250.0,171.0,86.0,40.0,32.0,24.0,16.0,6.999999999999999,8.0
1951,742140.0,726243.9999999999,679868.0,638733.0000000001,602408.0,570468.0000000001,542521.9999999999,518179.99999999994,496825.99999999994,477955.0,461251.99999999994,446819.0,434528.0,422453.00000000006,409606.0,396494.0,384615.0,373665.0,362815.0,351798.0,340788.0,330216.0,319982.0,310039.0,300404.0,291047.0,281935.0,273085.0,264395.0,255810.99999999997,247384.0,239197.99999999997,231212.00000000003,223562.0,216314.00000000003,209392.0,202644.0,196097.99999999997,189685.0,183360.0,177145.0,171005.0,164815.99999999997,159087.00000000003,154024.0,149306.0,144647.00000000003,140397.00000000003,134781.0,126982.00000000001,117951.00000000001,109301.0,100524.0,93502.99999999999,89282.99999999999,86908.99999999999,84383.0,82102.0,79536.99999999999,76223.0,72467.0,69032.0,65753.99999999999,62523.0,59357.0,56226.00000000001,53108.99999999999,50041.00000000001,46840.0,43424.0,39889.0,36435.0,33041.0,29738.000000000004,26566.999999999996,23530.0,20599.0,17795.0,15164.000000000002,12729.000000000002,10497.0,8424.0,6483.0,4894.0,3748.0,2938.9999999999995,2250.0,1716.9999999999998,1281.9999999999998,907.0,595.0,366.0,263.0,204.0,140.0,70.0,33.0,24.0,16.0,6.999999999999999,8.0
1952,738546.0,702291.9999999999,696568.0,655843.0000000001,619579.0000000001,587391.9999999999,558903.0,533804.0,511791.0,492102.0,474203.00000000006,457941.0,443624.0,431101.0,418830.0,406041.0,393126.0,381244.0,370163.0,359214.0,348176.99999999994,337198.00000000006,326628.0,316380.0,306445.0,296848.0,287551.0,278498.0,269712.0,261075.99999999997,252530.99999999997,244134.0,235980.0,228028.0,220409.00000000003,213185.0,206284.00000000003,199557.00000000003,193027.00000000003,186637.0,180342.0,174162.0,168058.0,161906.0,156204.0,151153.0,146438.0,141781.0,137523.0,131929.0,124201.00000000001,115265.0,106701.00000000001,98010.0,91032.00000000001,86781.0,84330.0,81728.00000000001,79367.0,76725.0,73348.0,69539.0,66048.0,62717.0,59427.0,56190.0,52986.99999999999,49809.0,46692.0,43470.0,40069.0,36582.0,33189.0,29866.999999999996,26673.0,23653.000000000004,20799.0,18059.0,15452.0,13040.999999999998,10853.0,8883.0,7067.0,5387.0,4022.0000000000005,3043.9999999999995,2360.0,1790.0,1370.0,1026.0,724.0000000000001,469.0,284.0,206.00000000000003,159.0,109.0,54.00000000000001,24.0,16.0,6.999999999999999,8.0
1953,743674.0,709367.0,677285.0,667735.0,632613.0,601175.0,573088.0000000001,548014.0,525732.0,506020.99999999994,487975.0,471028.0,455186.0,440966.0,428195.99999999994,415715.0,402969.0,390233.0,378335.0,367110.0,356048.0,344979.00000000006,334018.0,323436.0,313161.0,303221.0,293652.0,284403.0,275397.99999999994,266664.0,258074.0,249558.0,241180.0,233049.0,225123.0,217522.00000000003,210315.0,203426.0,196710.99999999997,190190.99999999997,183815.99999999997,177543.0,171391.0,165314.00000000003,159192.0,153511.0,148465.0,143746.0,139086.0,134815.0,129238.0,121569.0,112719.0,104230.0,95617.0,88671.0,84386.00000000001,81853.00000000001,79173.0,76727.0,74005.0,70562.0,66695.0,63144.0,59757.0,56403.0,53092.0,49811.00000000001,46571.00000000001,43400.0,40150.99999999999,36762.0,33319.0,29980.999999999996,26730.999999999996,23640.0,20767.0,18092.0,15540.999999999998,13128.0,10934.000000000002,8991.0,7278.0,5718.999999999999,4298.0,3156.0,2344.0,1785.0,1331.0,1026.0,770.9999999999999,542.0,342.0,201.99999999999997,147.0,114.0,78.0,39.0,16.0,6.999999999999999,8.0
1954,755207.0,719973.0000000001,687268.9999999999,656946.0,639318.0,609784.0,583163.0,559163.0,537494.0,518020.0,500601.0,484186.99999999994,468181.0,452750.0,438618.00000000006,425591.0,412890.0,400178.00000000006,387613.00000000006,375691.0,364311.99999999994,353130.0,342020.0,331069.0,320469.0,310159.0,300207.99999999994,290660.0,281452.0,272489.00000000006,263802.0,255250.0,246757.99999999997,238392.0,230278.0,222370.99999999997,214787.0,207589.00000000003,200708.0,194000.0,187485.0,181120.0,174865.0,168736.0,162682.00000000003,156587.00000000003,150923.0,145877.0,141154.0,136485.0,132198.99999999997,126633.0,119020.0,110247.99999999999,101829.0,93287.0,86370.0,82047.00000000001,79430.0,76670.0,74139.0,71334.0,67822.0,63896.0,60281.00000000001,56835.0,53416.00000000001,50026.0,46666.00000000001,43358.99999999999,40133.0,36856.0,33476.0,30074.0,26789.0,23605.999999999996,20619.0,17891.0,15395.0,13029.000000000002,10809.000000000002,8831.0,7131.0,5676.0,4372.0,3210.0,2290.0,1643.0,1209.0,873.0,680.9999999999999,516.0,360.0,216.00000000000003,122.0,90.0,69.0,47.0,23.0,6.999999999999999,8.0
1955,771695.0,733383.9999999999,698435.0,666602.0,637641.9999999999,611311.0,587361.0,565550.9999999999,545634.0,527366.0,510693.00000000006,495561.0,480772.0,465696.99999999994,450667.0,436611.0,423316.99999999994,410384.0,397696.99999999994,385294.00000000006,373336.0,361795.0,350482.0,339323.00000000006,328373.00000000006,317746.0,307395.0,297424.00000000006,287888.0,278715.0,269787.00000000006,261139.0,252620.0,244144.0,235785.0,227682.00000000003,219787.0,212212.00000000003,205020.0,198141.0,191434.00000000003,184919.0,178558.0,172317.0,166207.0,160170.0,154096.0,148445.0,143398.0,138662.99999999997,133985.0,129680.0,124120.0,116556.0,107857.99999999999,99501.0,91025.0,84132.0,79765.0,77063.0,74220.0,71601.0,68711.0,65128.0,61137.0,57456.0,53946.99999999999,50460.0,46990.0,43547.0,40171.0,36887.0,33579.0,30205.0,26840.999999999996,23609.0,20491.0,17602.999999999996,15019.0,12699.000000000002,10517.999999999998,8490.0,6727.0,5270.0,4073.0000000000005,3023.9999999999995,2121.0,1424.0000000000002,943.0,633.0,414.0,336.0,261.0,179.0,90.0,40.0,32.0,24.0,16.0,6.999999999999999,8.0
1956,787592.0,745656.0000000001,709937.0,677868.0,649077.0,623198.0,600058.0,579491.0,560120.0,541173.0,522885.0,506224.0,490952.0,476041.0,461058.00000000006,446230.0,432195.99999999994,418801.0,405799.00000000006,393120.0,380777.0,368848.0,357319.0,346041.0,334949.0,324090.0,313551.0,303293.0,293403.0,283929.00000000006,274804.00000000006,265927.0,257332.0,248861.0,240435.0,232123.0,224064.00000000003,216212.00000000003,208680.99999999997,201535.99999999997,194706.0,188045.0,181572.0,175252.0,169048.0,162971.0,156968.0,150931.0,145297.0,140239.0,135477.0,130771.00000000001,126426.0,120866.0,113363.99999999999,104762.99999999999,96494.0,88110.0,81263.0,76867.0,74088.00000000001,71176.99999999999,68490.0,65542.0,61913.99999999999,57893.0,54185.0,50658.0,47167.0,43713.0,40308.0,36982.0,33757.0,30546.999999999996,27320.999999999996,24139.0,21096.0,18175.0,15498.0,13135.0,11042.0,9088.0,7286.000000000001,5733.0,4459.0,3421.9999999999995,2518.0000000000005,1761.9999999999998,1190.0,789.0,523.0,337.99999999999994,276.0,213.0,145.0,73.0,32.0,24.0,16.0,6.999999999999999,8.0
1957,806826.0,759044.0,720630.0,687451.0,658211.0,632415.0,609570.0,589581.0,572357.0,555391.9999999999,537388.0,519058.0,502388.00000000006,486957.0,471907.0,456996.99999999994,442355.0,428324.0,414811.99999999994,401726.0,389041.0,376741.0,364827.0,353296.0,342040.0,331001.99999999994,320218.0,309755.0,299575.99999999994,289756.0,280332.0,271243.0,262407.0,253851.0,245421.0,237032.0,228757.99999999997,220734.0,212912.99999999997,205417.0,198312.0,191523.0,184899.0,178460.99999999997,172172.0,165999.00000000003,159947.99999999997,153971.0,147963.0,142339.0,137264.0,132469.0,127730.0,123341.00000000001,117773.0,110324.0,101809.0,93618.0,85317.0,78507.0,74078.0,71217.0,68236.0,65479.0,62466.0,58791.00000000001,54735.0,50997.0,47446.00000000001,43946.00000000001,40506.0,37133.0,33851.0,30683.000000000004,27566.0,24482.0,21478.0,18621.0,15892.000000000002,13421.0,11275.0,9405.0,7676.0,6097.0,4749.0,3657.0,2778.0,2016.0,1406.0,957.0000000000001,637.0,415.0,264.0,215.0,166.0,113.0,57.0,24.0,16.0,6.999999999999999,8.0
1958,829305.0,776075.0,730052.0,696697.0,666003.0,639545.0,616702.0,596855.0,579983.0000000001,566071.0,551484.0,534396.0,515996.0,499293.0,483681.99999999994,468470.0,453611.99999999994,439131.0,425084.0,411436.99999999994,398246.0,385538.0,373263.00000000006,361346.0,349796.0,338544.00000000006,327545.0,316820.99999999994,306418.0,296304.00000000006,286539.0,277150.0,268084.0,259274.99999999997,250749.00000000003,242345.0,233982.0,225732.0,217733.0,209933.0,202459.0,195382.99999999997,188623.0,182028.0,175615.0,169350.0,163196.0,157162.99999999997,151203.0,145216.0,139594.0,134495.0,129658.99999999999,124878.99999999999,120440.0,114857.00000000001,107449.0,99009.0,90884.0,82652.99999999999,75871.00000000001,71401.00000000001,68456.0,65400.00000000001,62568.99999999999,59488.0,55758.99999999999,51662.0,47887.0,44306.99999999999,40796.0,37363.0,34016.99999999999,30776.0,27658.0,24630.0,21683.000000000004,18852.999999999996,16175.999999999998,13636.0,11367.0,9435.0,7785.0,6277.0,4918.0,3776.0000000000005,2860.0,2139.0000000000005,1518.0,1054.0,728.0,485.0,307.0,191.0,156.0,119.00000000000001,81.99999999999999,40.99999999999999,16.0,6.999999999999999,8.0
1959,855073.0,796573.0,746447.0,703895.0,673758.0,645510.0,621798.0,601879.0,585003.0,571228.0000000001,560612.0,548385.0,532189.0,513692.0,496931.0,481116.99999999994,465721.0,450892.0,436554.00000000006,422469.0,408665.0,395351.0,382598.0,370330.99999999994,358393.0,346808.00000000006,335544.00000000006,324566.0,313887.0,303529.0,293465.0,283741.0,274373.0,265318.0,256524.0,248013.0,239623.0,231274.0,223037.0,215048.0,207257.99999999997,199797.0,192738.0,185999.00000000003,179421.0,173024.0,166772.00000000003,160631.0,154606.0,148655.0,142679.0,137052.00000000003,131920.0,127038.0,122210.0,117713.0,112107.00000000001,104730.0,96351.0,88279.0,80106.00000000001,73343.0,68825.0,65791.0,62654.0,59745.0,56593.0,52803.99999999999,48661.0,44843.0,41230.0,37700.0,34270.0,30945.999999999996,27741.0,24670.0,21725.0,18912.0,16251.999999999998,13752.0,11397.0,9326.0,7606.0,6173.999999999999,4883.999999999999,3744.0,2805.0,2068.0,1501.9999999999998,1022.0,702.0000000000001,498.0,333.99999999999994,200.0,117.0,95.0,73.0,50.0,25.0,6.999999999999999,8.0
