Time,Births
1950,13300.0
1951,13764.0
1952,14262.0
1953,14760.0
1954,15238.0
1955,16090.0
1956,16492.0
1957,16894.0
1958,17327.0
1959,17829.0
1960,16351.0
1961,16946.0
1962,17642.0
1963,18396.0
1964,19157.0
1965,16094.0
1966,16691.0
1967,17278.0
1968,17873.0
1969,18499.0
1970,16602.0
1971,17143.0
1972,17718.0
1973,18329.0
1974,18977.0
1975,19280.0
1976,19750.0
1977,20204.0
1978,20654.0
1979,21119.0
1980,20661.0
1981,21354.0
1982,22122.0
1983,22867.0
1984,23481.0
1985,21609.0
1986,21684.0
1987,21607.0
1988,21451.0
1989,21307.0
1990,20849.0
1991,20858.0
1992,20927.0
1993,21060.0
1994,21249.0
1995,20109.0
1996,20145.0
1997,20234.0
1998,20350.0
1999,20468.0
2000,19249.0
2001,19514.0
2002,19680.0
2003,19779.0
2004,19847.0
2005,18426.0
2006,18547.0
2007,18723.0
2008,18932.0
2009,19135.0
2010,19423.0
2011,19407.0
2012,19351.0
2013,19262.0
2014,19151.0
2015,18975.0
2016,18923.0
2017,18880.0
2018,18866.0
2019,18884.0
2020,17954.0
2021,17947.0
2022,17934.0
2023,17924.0
2024,17924.0
2025,17092.0
2026,17190.0
2027,17307.0
2028,17438.0
2029,17581.0
2030,16957.0
2031,17113.0
2032,17272.0
2033,17431.0
2034,17585.0
2035,16966.0
2036,17104.0
2037,17234.0
2038,17353.0
2039,17460.0
2040,16803.0
2041,16900.0
2042,16985.0
2043,17060.0
2044,17125.0
2045,16532.0
2046,16595.0
2047,16649.0
2048,16694.0
2049,16729.0
2050,16213.0
2051,16239.0
2052,16255.0
2053,16260.0
2054,16257.0
2055,15775.0
2056,15767.0
2057,15751.0
2058,15729.0
2059,15702.0
2060,15284.0
2061,15257.0
2062,15227.0
2063,15193.0
2064,15157.0
2065,14812.0
2066,14781.0
2067,14749.0
2068,14715.0
2069,14678.0
2070,14396.0
2071,14362.0
2072,14326.0
2073,14286.0
2074,14242.0
2075,13977.0
2076,13931.0
2077,13881.0
2078,13825.0
2079,13765.0
2080,13533.0
2081,13473.0
2082,13408.0
2083,13339.0
2084,13265.0
2085,13064.0
2086,12994.0
2087,12921.0
2088,12845.0
2089,12764.0
2090,12578.0
2091,12504.0
2092,12428.0
2093,12348.0
2094,12265.0
2095,12097.0
2096,12023.0
2097,11946.0
2098,11867.0
2099,11785.0
