Time,Births
1950,93202.0
1951,92793.0
1952,92804.0
1953,92634.0
1954,92206.0
1955,84801.0
1956,84787.0
1957,84462.0
1958,84081.0
1959,83842.0
1960,80579.0
1961,80677.0
1962,80952.0
1963,81470.0
1964,82293.0
1965,69644.0
1966,70951.0
1967,72414.0
1968,73906.0
1969,75291.0
1970,57404.0
1971,58804.0
1972,60158.0
1973,61384.0
1974,62388.0
1975,64493.0
1976,64982.0
1977,65068.0
1978,64862.0
1979,64539.0
1980,65142.0
1981,65045.0
1982,64980.0
1983,64875.0
1984,64638.0
1985,63535.0
1986,63186.0
1987,62731.0
1988,62186.0
1989,61566.0
1990,66953.0
1991,66298.0
1992,65577.0
1993,64810.0
1994,64025.0
1995,61004.0
1996,60131.0
1997,59313.0
1998,58556.0
1999,57860.0
2000,57915.0
2001,57478.0
2002,57085.0
2003,56762.0
2004,56538.0
2005,59152.0
2006,59133.0
2007,59253.0
2008,59480.0
2009,59761.0
2010,57725.0
2011,58038.0
2012,58400.0
2013,58772.0
2014,59113.0
2015,51367.0
2016,51534.0
2017,51649.0
2018,51714.0
2019,51729.0
2020,47993.0
2021,47954.0
2022,47859.0
2023,47720.0
2024,47550.0
2025,47895.0
2026,47659.0
2027,47404.0
2028,47142.0
2029,46893.0
2030,48579.0
2031,48401.0
2032,48259.0
2033,48151.0
2034,48067.0
2035,49397.0
2036,49379.0
2037,49387.0
2038,49388.0
2039,49340.0
2040,50336.0
2041,50152.0
2042,49905.0
2043,49597.0
2044,49227.0
2045,49604.0
2046,49099.0
2047,48549.0
2048,47966.0
2049,47379.0
2050,47395.0
2051,46875.0
2052,46397.0
2053,45970.0
2054,45598.0
2055,45768.0
2056,45531.0
2057,45369.0
2058,45274.0
2059,45223.0
2060,45590.0
2061,45613.0
2062,45677.0
2063,45766.0
2064,45859.0
2065,46219.0
2066,46325.0
2067,46429.0
2068,46512.0
2069,46561.0
2070,46832.0
2071,46855.0
2072,46848.0
2073,46811.0
2074,46736.0
2075,46829.0
2076,46717.0
2077,46584.0
2078,46425.0
2079,46240.0
2080,46194.0
2081,46024.0
2082,45853.0
2083,45678.0
2084,45497.0
2085,45479.0
2086,45357.0
2087,45259.0
2088,45183.0
2089,45117.0
2090,45191.0
2091,45190.0
2092,45217.0
2093,45251.0
2094,45270.0
2095,45411.0
2096,45479.0
2097,45550.0
2098,45612.0
2099,45654.0
