Time,Births
1950,804472.0
1951,807428.0
1952,814202.0
1953,819806.0
1954,823015.0
1955,809868.0
1956,814746.0
1957,816120.0
1958,815705.0
1959,814837.0
1960,855949.0
1961,855502.0
1962,855474.0
1963,857040.0
1964,861738.0
1965,811391.0
1966,822650.0
1967,838648.0
1968,857989.0
1969,878510.0
1970,786914.0
1971,805883.0
1972,824634.0
1973,842770.0
1974,860019.0
1975,712977.0
1976,724613.0
1977,734612.0
1978,743184.0
1979,750675.0
1980,758410.0
1981,766344.0
1982,772394.0
1983,777144.0
1984,781519.0
1985,758856.0
1986,761646.0
1987,765017.0
1988,768390.0
1989,770942.0
1990,733636.0
1991,734955.0
1992,735305.0
1993,734615.0
1994,732910.0
1995,751938.0
1996,749046.0
1997,745223.0
1998,740736.0
1999,735858.0
2000,782116.0
2001,777730.0
2002,773603.0
2003,769608.0
2004,765706.0
2005,803667.0
2006,800239.0
2007,796691.0
2008,793105.0
2009,789656.0
2010,789755.0
2011,788520.0
2012,787709.0
2013,786747.0
2014,785083.0
2015,733681.0
2016,732745.0
2017,731356.0
2018,729486.0
2019,727041.0
2020,723544.0
2021,721275.0
2022,718537.0
2023,715482.0
2024,712486.0
2025,708133.0
2026,706791.0
2027,706121.0
2028,705918.0
2029,705914.0
2030,703871.0
2031,705776.0
2032,707975.0
2033,710136.0
2034,711913.0
2035,711940.0
2036,714358.0
2037,716344.0
2038,717550.0
2039,717682.0
2040,715315.0
2041,714919.0
2042,713668.0
2043,711570.0
2044,708592.0
2045,703837.0
2046,700872.0
2047,697439.0
2048,693445.0
2049,688961.0
2050,683605.0
2051,680609.0
2052,677742.0
2053,674867.0
2054,671849.0
2055,668833.0
2056,667515.0
2057,666437.0
2058,665402.0
2059,664187.0
2060,661790.0
2061,661994.0
2062,662301.0
2063,662423.0
2064,662098.0
2065,660912.0
2066,661558.0
2067,662039.0
2068,662120.0
2069,661538.0
2070,659830.0
2071,659882.0
2072,659566.0
2073,658578.0
2074,656740.0
2075,655255.0
2076,654103.0
2077,652541.0
2078,650498.0
2079,647878.0
2080,643679.0
2081,642023.0
2082,640249.0
2083,638157.0
2084,635581.0
2085,631592.0
2086,630431.0
2087,629265.0
2088,627847.0
2089,625988.0
2090,623482.0
2091,623097.0
2092,622689.0
2093,622027.0
2094,620883.0
2095,618950.0
2096,619102.0
2097,619130.0
2098,618766.0
2099,617758.0
