Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,445,397,355,318,286,258,236,217,202,192,184,179,177,180,186,193,201,209,214,217,221,225,229,230,231,232,232,231,229,227,224,221,218,215,211,207,203,199,196,192,188,185,181,176,171,165,160,155,152,149,147,145,141,133,123,113,103,96,92,91,89,87,86,83,80,77,75,71,65,57,50,43,37,33,30,27,25,22,19,16,13,10,8,6,5,4,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0
1951,453,439,396,356,321,290,262,238,218,204,194,186,180,179,181,187,194,202,210,215,218,222,227,230,232,233,233,233,232,230,228,225,222,219,215,211,208,203,199,195,192,188,185,180,175,170,165,159,154,151,148,146,143,139,131,121,111,101,94,90,89,87,85,83,80,77,74,71,67,61,54,47,40,34,30,28,25,22,20,17,14,11,9,7,6,5,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0
1952,454,434,430,392,356,323,292,265,239,219,204,195,187,181,179,182,187,194,203,210,215,219,223,227,230,232,233,233,233,232,230,228,225,222,218,215,211,207,203,198,194,191,187,183,179,174,169,163,157,152,149,146,144,141,137,129,119,109,99,91,87,86,84,82,80,77,74,70,68,64,58,51,44,37,31,27,25,22,20,18,15,12,10,8,6,5,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0
1953,450,442,428,420,387,354,323,294,266,240,218,204,195,187,181,179,181,187,194,202,209,214,218,222,226,229,231,232,232,232,231,229,227,224,221,217,213,209,205,201,197,193,189,185,181,177,172,166,161,155,150,146,144,141,138,134,126,116,106,96,89,85,83,81,79,76,73,70,67,64,60,54,47,41,34,28,25,22,20,18,15,13,10,8,6,5,4,3,2,2,2,1,1,0,0,0,0,0,0,0,0
1954,445,444,436,423,408,380,351,322,294,266,239,217,203,194,186,180,178,180,186,192,200,208,213,216,220,224,228,229,230,231,230,230,228,225,222,219,215,211,207,203,198,194,190,186,182,178,174,169,163,158,152,147,143,141,138,135,130,122,112,103,93,85,81,80,77,75,73,70,66,63,60,56,50,43,37,31,25,22,19,17,15,13,11,9,7,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0
1955,439,443,439,429,414,395,372,347,321,294,266,238,215,201,193,186,179,177,179,184,191,199,206,211,214,218,222,226,228,228,229,228,228,226,223,220,216,213,209,205,200,196,191,187,183,179,175,171,166,160,155,149,144,140,137,134,131,127,119,109,100,90,82,78,76,74,72,69,66,62,59,55,51,46,40,34,27,22,19,17,14,12,11,9,7,5,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0
1956,435,435,436,431,420,405,387,366,342,315,288,260,232,209,195,188,181,175,173,176,183,190,198,206,211,214,217,221,224,226,226,226,226,224,222,220,217,213,210,206,202,198,193,189,185,182,178,174,170,164,159,153,147,142,138,135,131,128,123,116,106,97,87,80,76,74,72,69,67,64,60,56,53,49,44,38,32,26,21,18,15,13,11,9,7,6,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
1957,435,437,432,430,423,412,397,379,359,336,310,282,254,226,204,190,184,177,172,171,174,181,189,198,206,211,214,217,221,223,224,224,224,223,222,220,217,214,211,207,204,200,196,192,187,184,180,176,173,168,163,157,151,145,140,136,132,129,125,120,113,103,94,85,78,74,72,69,67,65,62,58,55,51,48,42,36,30,25,20,16,14,12,10,8,6,5,4,3,2,1,1,1,0,0,0,0,0,0,0,0
1958,438,438,435,431,426,417,405,390,373,354,333,306,278,249,221,199,186,180,174,169,168,173,180,189,199,208,213,215,218,221,223,224,223,223,222,220,218,215,212,209,205,202,198,194,190,186,183,179,176,172,168,163,157,151,144,138,134,130,126,123,118,110,101,92,83,76,72,70,68,66,63,60,56,53,50,46,41,35,29,23,19,15,13,11,8,7,5,4,3,2,1,1,1,0,0,0,0,0,0,0,0
1959,447,445,441,435,431,424,413,400,385,368,352,331,304,274,246,217,195,182,177,171,167,167,172,181,190,201,210,215,217,219,222,224,224,224,223,221,219,217,215,212,208,205,201,198,194,190,186,183,180,176,173,168,163,157,150,144,138,133,129,125,121,116,108,99,90,81,74,70,68,66,64,62,59,55,51,48,44,39,33,28,22,17,14,12,9,7,5,4,3,2,1,1,1,0,0,0,0,0,0,0,0
1960,460,459,455,450,443,434,424,412,398,382,366,351,330,303,273,244,215,192,180,175,170,166,166,172,182,192,204,214,219,220,222,225,226,226,225,224,222,220,218,215,212,209,205,202,199,195,191,187,184,181,177,174,170,164,158,151,144,138,133,129,124,120,114,107,98,89,80,73,69,67,65,63,61,57,54,50,47,43,38,32,27,21,16,13,11,8,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0
1961,470,478,474,467,458,447,435,421,406,390,375,358,343,324,301,277,253,230,212,201,195,190,186,185,189,196,204,213,220,225,227,229,232,233,233,232,230,228,225,222,219,215,211,207,203,200,196,191,187,183,178,174,169,164,158,152,145,139,133,128,124,119,115,110,102,93,85,76,69,65,63,61,59,56,53,49,46,42,38,34,28,23,18,14,11,9,7,5,3,2,2,1,1,0,0,0,0,0,0,0,0
1962,485,492,499,491,481,468,454,438,420,402,385,369,353,337,320,301,282,264,247,233,223,217,212,207,205,207,212,217,223,228,232,235,237,240,242,242,240,238,235,232,228,224,220,215,210,206,202,197,193,188,182,177,171,165,159,153,147,140,134,128,123,119,115,111,106,99,90,82,73,66,62,60,57,55,52,49,45,41,38,34,29,25,20,16,12,9,7,6,4,3,2,1,1,0,0,0,0,0,0,0,0
1963,504,517,523,520,510,496,480,461,441,420,399,381,365,348,332,316,302,288,276,265,255,246,239,233,228,225,225,228,230,233,236,240,243,246,250,251,251,248,246,243,239,235,230,225,219,214,209,204,199,195,189,183,176,169,162,155,148,142,136,129,124,119,115,111,107,102,95,87,78,70,63,59,57,54,51,48,45,40,37,33,29,25,21,17,13,10,7,6,4,3,2,2,1,0,0,0,0,0,0,0,0
1964,528,544,553,554,542,528,511,491,469,445,419,396,376,360,343,326,312,302,294,288,282,276,269,262,255,250,246,244,243,243,243,245,248,251,255,259,261,260,257,254,250,246,241,236,230,223,217,212,207,202,196,190,183,174,166,158,150,143,137,131,125,119,115,111,107,103,99,92,83,75,67,60,56,53,50,48,44,41,36,32,28,25,21,17,14,10,8,6,4,3,2,2,1,1,0,0,0,0,0,0,0
1965,555,572,580,581,575,563,546,525,501,476,448,419,392,371,355,338,320,308,302,300,299,299,298,292,284,277,271,266,262,259,256,253,253,255,259,263,268,270,268,265,261,257,253,247,241,234,227,220,214,209,203,198,191,183,173,164,154,146,138,132,126,120,114,110,106,103,99,95,88,80,72,64,57,53,50,47,44,40,36,32,28,24,20,17,14,10,8,5,4,3,2,1,1,1,0,0,0,0,0,0,0
1966,589,577,588,592,590,583,570,555,534,509,481,451,420,394,377,366,355,344,335,329,326,323,322,319,312,302,294,286,280,275,272,269,265,264,265,268,271,274,275,273,270,266,262,257,251,243,235,226,218,211,206,200,194,187,178,168,158,149,140,133,128,122,116,111,107,102,98,95,90,83,75,67,59,53,48,46,43,40,37,33,29,25,21,18,15,12,9,6,5,3,2,2,1,1,1,0,0,0,0,0,0
1967,626,632,597,603,603,598,589,577,562,542,515,485,453,420,395,382,377,371,366,362,356,351,347,344,339,331,320,311,301,293,288,284,281,277,275,275,276,278,279,279,277,274,270,266,261,253,244,234,224,215,208,202,195,189,182,173,163,153,143,134,128,123,118,112,107,103,98,94,90,85,78,70,62,54,48,44,41,38,36,33,29,25,22,18,15,12,10,7,5,4,3,2,1,1,1,0,0,0,0,0,0
1968,662,659,653,617,616,612,605,594,581,568,549,520,487,454,420,395,386,387,387,388,387,383,375,370,365,359,349,338,327,316,306,300,296,292,288,285,284,284,284,284,283,281,277,273,270,264,255,244,234,222,212,204,197,191,184,176,167,157,147,137,128,122,117,113,108,103,99,94,89,85,80,73,65,57,50,43,39,37,34,32,29,26,22,19,15,13,10,8,6,4,3,2,1,1,1,1,0,0,0,0,0
1969,693,682,671,660,634,627,619,609,597,584,572,553,524,488,454,417,393,388,396,401,408,412,407,398,391,385,377,366,354,341,329,318,311,307,302,297,294,292,290,289,288,286,283,279,276,272,266,256,244,232,219,208,199,192,185,178,170,161,150,140,130,122,116,112,107,103,99,94,89,84,80,74,67,60,52,44,38,34,32,30,28,25,22,19,15,13,10,8,6,4,3,2,1,1,1,0,0,0,0,0,0
1970,716,700,686,672,660,648,636,624,611,597,585,574,556,525,487,451,413,390,389,402,414,427,434,430,419,411,403,394,381,368,354,340,328,321,316,311,306,301,298,295,293,290,287,284,281,277,274,267,256,243,229,215,203,194,187,179,172,164,154,143,133,123,115,109,106,102,98,94,90,84,79,74,68,62,54,47,39,33,30,27,25,23,21,18,15,12,10,7,6,4,3,2,1,1,1,0,0,0,0,0,0
1971,740,724,710,697,685,673,661,649,637,622,606,590,577,557,525,487,451,413,390,391,408,422,438,447,442,428,416,405,393,379,365,350,334,322,316,314,312,310,308,304,299,294,289,284,280,277,273,270,263,251,237,222,207,195,185,179,172,165,157,148,138,128,118,110,105,102,98,94,91,86,80,75,70,65,58,50,43,36,30,27,25,22,21,19,16,13,10,8,6,5,4,2,1,1,1,0,0,0,0,0,0
1972,757,739,730,718,706,695,684,672,660,647,630,612,594,578,556,523,486,449,411,389,392,412,429,448,458,452,434,419,406,391,375,360,344,326,314,310,312,312,314,313,308,301,294,286,280,276,272,268,265,258,245,230,215,199,186,177,170,164,158,150,142,132,122,113,106,101,97,94,90,86,81,76,71,66,60,54,47,40,33,27,24,22,20,18,16,14,11,9,7,5,4,3,2,1,1,1,0,0,0,0,0
1973,766,751,739,734,724,714,704,693,682,671,656,638,617,597,579,554,521,483,447,408,387,392,415,435,458,469,461,440,423,406,388,371,355,337,319,306,304,309,312,317,318,312,302,293,283,275,270,267,263,260,252,239,223,207,190,177,168,162,156,150,143,135,126,117,108,101,96,93,89,86,82,77,72,66,62,56,50,43,36,30,24,21,19,17,15,13,11,9,7,5,4,3,2,1,1,1,0,0,0,0,0
1974,771,761,752,744,740,732,724,715,705,694,682,667,647,624,601,580,554,520,482,446,407,386,394,419,442,468,481,472,447,427,407,387,368,350,332,312,299,299,306,313,321,324,317,305,293,281,271,266,263,259,255,248,234,216,199,182,168,159,154,148,143,137,129,120,112,104,97,92,89,85,82,78,73,68,62,57,52,46,39,33,26,21,18,16,14,12,11,9,7,5,4,3,2,1,1,1,0,0,0,0,0
1975,773,768,764,759,755,750,744,737,729,720,709,698,682,660,634,608,585,557,522,484,447,407,387,397,426,452,481,496,484,457,433,410,387,366,348,328,306,294,295,306,315,327,331,324,309,295,280,269,263,260,256,252,244,229,211,193,175,160,151,146,141,136,130,123,115,107,99,93,89,85,81,78,74,69,64,59,54,48,42,36,29,23,18,15,13,11,10,8,7,5,3,2,2,1,1,0,0,0,0,0,0
1976,757,773,769,766,761,755,749,742,733,722,709,695,679,664,649,634,619,606,587,557,521,486,449,429,435,458,478,500,509,496,469,445,422,399,379,362,343,323,310,308,314,320,327,328,318,301,286,271,258,252,250,247,244,237,222,204,187,169,155,147,143,139,135,130,122,113,105,97,90,85,82,78,74,70,65,59,53,48,43,37,31,26,20,16,13,11,10,8,7,6,4,3,2,1,1,1,0,0,0,0,0
1977,742,751,778,776,772,767,761,753,745,734,720,703,685,665,650,642,638,634,631,620,594,560,528,493,473,475,492,506,522,526,511,484,460,436,414,394,378,360,341,328,323,325,326,329,326,314,296,280,262,249,243,242,239,237,231,217,199,181,164,150,143,141,137,135,130,123,113,104,96,88,83,79,75,71,66,61,54,49,43,38,33,27,22,17,13,11,9,8,7,6,5,3,2,1,1,1,0,0,0,0,0
1978,730,746,757,787,787,783,778,771,762,752,739,721,700,679,655,640,639,646,651,660,657,635,603,573,540,519,518,529,537,546,546,529,502,478,453,430,412,396,379,361,347,340,337,334,333,326,312,293,275,256,242,236,235,233,232,226,213,194,177,160,147,141,139,137,135,131,124,113,104,95,87,81,76,72,67,63,57,50,44,39,33,28,23,19,14,11,9,7,6,5,5,4,2,1,1,1,1,0,0,0,0
1979,722,745,763,776,799,800,798,792,783,773,762,747,726,701,676,647,632,638,656,672,691,696,679,648,620,589,568,563,568,570,573,567,549,522,497,472,449,430,415,399,382,368,358,351,343,338,328,311,290,271,250,235,229,229,227,227,222,209,191,174,156,144,138,138,137,136,133,125,114,104,94,85,79,74,69,65,59,53,46,40,34,29,24,20,16,12,9,7,6,5,4,3,3,2,1,1,1,0,0,0,0
1980,720,751,776,794,806,813,816,813,807,797,786,774,756,731,702,673,641,625,638,667,694,723,737,725,696,669,641,619,610,609,605,601,590,570,543,518,492,468,450,436,421,405,390,377,365,354,344,330,311,289,267,245,229,223,223,222,223,219,206,187,171,153,141,136,137,137,138,135,127,115,104,93,84,77,72,67,62,56,50,42,36,30,24,20,16,12,9,6,5,4,3,3,2,2,1,0,0,0,0,0,0
