Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14269422449623229,0.15131258941653936,0.15915610372955333,0.16607554134408103,0.17193994078902047,0.17664085668419946,0.18009573187891564,0.18225024581486088,0.18307459976634177,0.18245504805818305,0.1801995789966537,0.17616202165386693,0.17026365499111776,0.16252944537263955,0.15354767224531565,0.14431368464799246,0.13565495313071607,0.12821487855263816,0.12245671186985974,0.11787534612196907,0.11318853963381548,0.10728027868441878,0.09930569660037966,0.08887104885320704,0.07691043382611121,0.0650530797294128,0.054377984967528964,0.04542197457461922,0.0383329576384087,0.03297732756431472,0.029118326215738604,0.026567883182477634,0.025218478007187784,0.02507170919868802,0.026283544866610126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14522110055595883,0.15302179475763208,0.16016597001507482,0.1665213182660864,0.17196549468586073,0.17638998093797204,0.17970364494549926,0.18183583594728947,0.18273303057113385,0.1822325000466029,0.18007061796646723,0.1760318664741715,0.16997862888646784,0.16189912188494263,0.15245096060817606,0.14276951925279754,0.1337870355901748,0.12621742290935714,0.12057179678556812,0.11631279808860173,0.11205690334795682,0.10658446993959585,0.09894829145683566,0.08867617357995779,0.07672791429783442,0.06482603816638358,0.05411372195987682,0.04515848533983983,0.03811671712974929,0.03285021655668527,0.029116717445317575,0.026731340896923795,0.025601532560326965,0.02576147944190767,0.02743013742679312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14750090419080172,0.15473372395183616,0.16139899415097703,0.16737303106724144,0.17253698706927303,0.17678046439665937,0.18000514688925537,0.18212829756321042,0.18307948148998596,0.18266106845350286,0.1805581791461933,0.17650564464818824,0.17032394091550393,0.16197602178698634,0.15217164405416475,0.1421485799607267,0.13291432233101944,0.12523224754485301,0.11964666256090636,0.11559650029690233,0.11162536946998952,0.10643878541696376,0.09901485121473794,0.08882376965656033,0.07684570799609194,0.06487432111489555,0.054101639156233616,0.045118432295930176,0.03808737846584176,0.032866659336135313,0.02920974206898073,0.026934180242153428,0.025959115339737805,0.026344642203024925,0.028360717659990597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1495380195918067,0.15644030083249333,0.16283128683925394,0.16859091103429114,0.17360108873901256,0.17774918204896242,0.18093165320927465,0.18305776722938366,0.18404627858182881,0.1836771090393668,0.1816022541640124,0.17752455610786813,0.17123771831359108,0.16268911264100916,0.15262428859458,0.14234976061371196,0.1329232791267151,0.12514106863884222,0.1195694169151905,0.11563052085995672,0.11181791692530137,0.10678614917761639,0.09946290382021607,0.08928008778769796,0.07723423284577408,0.06517052379905638,0.05431623283285953,0.04527891751143531,0.03822574868348092,0.03301210063078222,0.029387941075603677,0.027171920887342865,0.026290754176441077,0.026822151449522474,0.029071562900063568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15133901498727842,0.15813310746103662,0.1644387518676234,0.1701364739348442,0.1751076014690101,0.1792376791492876,0.18242014264378426,0.184560119383308,0.18557106211942945,0.18522159874297156,0.18314690727281657,0.17903380392178775,0.17266284058650122,0.1639741964840619,0.1537338976621616,0.14328683326625172,0.1337192603665347,0.12584651590580426,0.12024783066957923,0.1163345850353684,0.11256934622192828,0.10757616742756308,0.1002539605002532,0.09001413339309386,0.07786637587189466,0.06568980158142983,0.05473467425509364,0.04561961264977456,0.03851475501472492,0.03327336701617357,0.029642412744473934,0.027440044909768514,0.026596092360307223,0.02719692934650428,0.029566384370714162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15291245814534354,0.1598033893768445,0.16619677932703064,0.1719716469508123,0.17700798424567935,0.18119021919165393,0.18441093148125154,0.1865746858089561,0.18759463304230878,0.18723819416052867,0.1851385074182231,0.1809808590503532,0.17454499439137486,0.16577136870705733,0.15543234610518988,0.14488362264804852,0.13522054392267518,0.127265597656279,0.12160318640846907,0.11763910965253732,0.11382173760985859,0.10876281210717845,0.10135201899344119,0.09099657041665664,0.07871652189309326,0.06640891041881589,0.055335850737562954,0.046121858348701764,0.03893869517494045,0.03363814641361833,0.029964546857493907,0.027733937118000342,0.026874887288037625,0.02747364283444871,0.0298554398968775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1542687207229161,0.1614420655208898,0.1680799770463677,0.1740579978956077,0.1792540586827457,0.1835520772108272,0.18684573237688692,0.1890422670378576,0.19005907210820702,0.18967153189898497,0.18752417786567793,0.18331393877464447,0.17683097350282778,0.16802281552819762,0.157655330173622,0.14706994073552496,0.1373533715612426,0.12932430963519523,0.12356519974363028,0.11948106555665221,0.11552145832941199,0.11030243439784285,0.10272226487026388,0.09219876496286726,0.07975970648693181,0.06730537353349521,0.05609953737635703,0.04676788943150775,0.03948259220381779,0.034094537329533665,0.03034579196981462,0.028048833399108457,0.0271270083505066,0.027658453339713084,0.029954418399059345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15541977663286594,0.16303974311629735,0.17006194087434814,0.17635605934598447,0.18179687161806105,0.18626804176583514,0.18966595181891166,0.1919033881181451,0.19290608887778857,0.19246573512790516,0.19025043303616768,0.1859806689146112,0.17946718601943745,0.1706708875351264,0.16033971950920278,0.14977808997874617,0.14004771992182963,0.1319530622622601,0.1260677092480819,0.1218004444853282,0.11761658378567369,0.11215203751529916,0.1043299350907885,0.09359194607088218,0.08097087267669391,0.06835675147782441,0.05700567363446102,0.0475401598124787,0.04013163242171058,0.03463065514039232,0.030777451727234468,0.02837977723850292,0.02735243411362366,0.02775875326461825,0.029883207690398473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1563814289199013,0.16458752093044735,0.17211444439755832,0.1788229890524787,0.18458309433916534,0.18927792338847954,0.1928077104195895,0.19509320942590858,0.19607213460498807,0.19555989154753892,0.19325897731177674,0.18892396718512777,0.18239521413456206,0.17365277680721103,0.1634169067789782,0.1529348234437284,0.14322819461240568,0.13507717371058725,0.12903968888624484,0.12453258389435927,0.12005088660753863,0.11426487538176622,0.10613715942231225,0.0951447529940906,0.08232269948737449,0.06953857860411877,0.05803240185066216,0.04841956642350159,0.04086968987893744,0.0352335572094306,0.031250076251762716,0.02872150826741424,0.02755161797302327,0.027783874601924392,0.029666511587071683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1571804974609313,0.16607942100273748,0.17420536923230998,0.18140660896383837,0.18754601111930844,0.19250544558055918,0.19618959534425495,0.19852901659209984,0.19947634907265074,0.19887684379595064,0.1964762504386569,0.19207180269422383,0.18554085196753925,0.17688760221007288,0.16679706510293804,0.15644278473333678,0.1467934285145822,0.13859560297104498,0.1323851242903418,0.12759075618757615,0.12274990707956634,0.11657999525419771,0.10809528699178529,0.09681720409713025,0.08378026172941316,0.07081932610757011,0.059151327482725696,0.0493811906779007,0.04167579163144112,0.035886644162164603,0.031751960690628925,0.029068199501700302,0.027726610082794347,0.027747742234009515,0.029338096729186525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
