Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,12209.000000000002,11312.000000000002,10562.000000000002,9941.0,9442.0,9047.0,8747.0,8527.000000000002,8376.0,8279.0,8237.0,8248.0,8240.0,8177.0,8083.0,8013.0,7960.0,7902.0,7837.999999999999,7770.0,7702.999999999999,7635.0,7565.0,7492.000000000001,7416.0,7340.0,7263.0,7185.0,7108.0,7031.000000000001,6954.0,6874.0,6795.0,6713.999999999999,6632.000000000001,6550.0,6467.000000000001,6382.999999999999,6297.000000000001,6209.0,6121.0,6031.000000000001,5941.0,5851.0,5760.0,5667.000000000001,5572.0,5477.0,5381.0,5284.0,5185.0,5083.0,4978.0,4870.0,4758.999999999999,4645.0,4528.000000000001,4406.000000000001,4279.0,4149.0,4013.9999999999995,3873.9999999999995,3730.0,3580.0,3423.0,3264.0,3103.0,2935.0,2759.0,2578.0000000000005,2398.0,2218.0,2037.0,1855.0,1676.0,1501.0,1330.0,1167.0,1014.0,872.0,737.0,608.0,496.0,402.0,322.99999999999994,253.0,191.0,139.0,100.99999999999999,74.00000000000001,49.0,34.0,27.000000000000004,18.000000000000004,10.0,5.0,4.0,4.0,2.0,1.0,0.0
1951,12104.000000000002,11765.0,10975.0,10308.0,9752.0,9297.0,8933.0,8647.0,8437.000000000002,8300.0,8219.0,8182.0,8192.0,8183.999999999999,8122.999999999999,8031.000000000001,7962.999999999999,7907.0,7849.0,7785.0,7716.0,7648.0,7579.0,7507.999999999999,7433.0,7357.0,7280.0,7201.000000000001,7122.000000000001,7042.999999999999,6963.999999999999,6883.999999999999,6803.0,6721.0,6638.999999999999,6556.0,6471.0,6387.0,6300.0,6213.999999999999,6126.0,6037.000000000001,5946.000000000001,5855.0,5763.999999999999,5671.0,5577.999999999999,5482.0,5385.0,5287.999999999999,5189.0,5086.0,4983.000000000001,4875.0,4763.999999999999,4651.0,4535.0,4414.0,4288.0,4158.0,4022.0000000000005,3883.0,3740.0,3591.0,3437.0,3276.9999999999995,3114.0,2950.0,2781.0,2603.0,2423.0,2243.0000000000005,2063.0,1885.0,1708.0000000000002,1535.0,1365.0,1200.9999999999998,1046.0,904.0,772.0,647.0,530.0,428.0,344.0,275.0,213.0,160.0,117.0,85.0,61.0,40.0,27.999999999999996,23.0,15.0,8.0,4.0,3.0,2.0,1.0,0.0
1952,12043.0,11446.0,11318.0,10636.0,10052.999999999998,9560.0,9152.000000000002,8817.0,8545.0,8347.000000000002,8222.999999999998,8154.999999999999,8125.0,8135.0,8125.0,8066.000000000001,7978.0,7911.000000000001,7854.0,7795.0,7730.0,7662.000000000001,7592.000000000001,7522.0,7449.0,7374.0,7296.0,7217.000000000001,7137.0,7056.0,6976.0,6895.0,6813.0,6731.0,6648.0,6563.0,6478.0,6392.0,6305.0,6217.000000000001,6129.0,6041.0,5950.0,5860.0,5768.0,5676.0,5582.999999999999,5487.0,5390.0,5292.000000000001,5192.0,5092.0,4988.0,4881.0,4771.0,4658.0,4542.0,4422.0,4298.999999999999,4170.0,4036.0000000000005,3895.0,3752.0,3605.0,3453.0000000000005,3295.0,3130.0,2964.0,2796.9999999999995,2625.0,2447.0,2266.0,2086.0,1908.0000000000002,1733.0,1560.0,1392.0,1229.0,1072.0,925.9999999999999,792.0,670.9999999999999,557.9999999999999,451.0,360.0,287.0,226.99999999999997,173.00000000000003,128.0,95.0,69.0,48.0,31.0,23.0,17.0,12.0,6.999999999999999,3.0,2.0,1.0,1.0
1953,12027.999999999998,11505.999999999998,11014.000000000002,10870.999999999998,10296.0,9796.0,9367.0,9006.0,8700.0,8441.0,8254.0,8144.0,8092.000000000001,8067.0,8076.000000000001,8064.999999999999,8009.0,7923.999999999999,7858.0,7800.0,7740.0,7675.0,7605.0,7535.0,7462.999999999999,7390.0,7313.0,7234.0,7154.0,7072.999999999999,6991.000000000001,6907.999999999999,6826.000000000001,6742.000000000001,6657.0,6572.0,6486.000000000001,6399.0,6311.0,6222.0,6133.999999999999,6044.0,5955.0,5864.0,5773.0,5680.0,5586.0,5492.000000000001,5395.0,5297.999999999999,5197.999999999999,5096.0,4994.0,4888.0,4779.0,4667.0,4551.0,4431.999999999999,4309.0,4181.999999999999,4050.0,3912.0,3768.0000000000005,3620.0,3470.0,3313.0,3150.0,2983.0,2813.9999999999995,2643.9999999999995,2469.0,2291.0,2109.0,1930.0,1753.0,1580.0,1412.0,1250.0,1093.0,942.0000000000001,805.0,680.0,571.0000000000001,468.0,373.0,293.0,228.99999999999997,178.00000000000003,133.0,98.0,72.00000000000001,53.0,35.0,23.0,16.0,13.000000000000002,8.0,4.0,2.0,1.0,1.0
1954,12070.0,11583.0,11117.0,10675.0,10425.0,9958.0,9541.0,9176.0,8860.0,8585.0,8340.0,8163.0,8068.0,8029.0,8011.000000000001,8017.999999999999,8007.999999999999,7952.999999999999,7871.0,7806.0,7747.999999999999,7686.0,7620.0,7551.0,7479.0,7406.000000000001,7331.0,7254.0,7173.999999999999,7092.000000000001,7008.999999999999,6925.0,6841.0,6757.000000000001,6671.0,6585.0,6497.999999999999,6410.0,6321.000000000001,6231.0,6141.0,6050.0,5960.0,5870.0,5778.0,5686.0,5593.0,5497.999999999999,5403.0,5305.0,5206.0,5104.0,5001.0,4897.0,4789.0,4678.0,4564.0,4446.000000000001,4323.0,4197.0,4067.0,3932.0,3788.0000000000005,3641.0,3489.0,3333.9999999999995,3174.0,3006.9999999999995,2836.0000000000005,2663.9999999999995,2491.0,2314.0,2134.0,1952.0,1773.0000000000002,1598.0,1426.9999999999998,1264.0,1107.0,957.0000000000001,814.0,682.9999999999999,570.0,471.00000000000006,379.0,295.0,223.99999999999997,171.0,130.0,93.00000000000001,67.0,50.0,36.00000000000001,23.0,13.999999999999998,10.0,8.0,5.0,3.0,1.0,1.0
1955,12173.0,11690.0,11228.0,10789.000000000002,10375.0,9986.0,9625.0,9292.0,8991.0,8720.0,8474.0,8244.0,8077.0,7996.0,7972.0,7957.999999999999,7965.0,7955.0,7902.0,7824.0,7758.999999999999,7699.0,7637.0,7570.0,7500.0,7428.999999999999,7354.0,7278.0,7199.0,7117.999999999999,7035.0,6950.0,6865.0,6779.0,6693.0,6605.0,6517.0,6428.0,6337.999999999999,6247.000000000001,6156.000000000001,6062.0,5971.0,5879.0,5789.0,5696.000000000001,5603.0,5508.999999999999,5412.999999999999,5317.0,5218.0,5117.0,5013.999999999999,4910.0,4803.0,4693.000000000001,4580.0,4463.0,4342.0,4216.0,4086.9999999999995,3953.9999999999995,3815.0,3668.0,3516.0,3360.0,3201.0,3037.0,2866.0,2691.0000000000005,2515.0,2339.0,2160.0,1979.0,1796.0,1619.0,1444.0,1276.0,1115.9999999999998,965.0,822.0000000000001,685.0,562.0,458.99999999999994,370.0,289.0,216.00000000000003,157.0,113.0,81.99999999999999,53.0,36.00000000000001,27.999999999999996,19.0,10.0,5.0,4.0,3.0,2.0,1.0,1.0
1956,12299.000000000002,11830.0,11372.0,10943.0,10540.0,10165.0,9818.0,9503.0,9205.0,8918.0,8649.0,8405.0,8175.000000000001,8010.0,7931.0,7909.0,7896.0,7902.0,7890.0,7836.0,7757.999999999999,7692.0,7632.000000000001,7568.0,7500.0,7428.999999999999,7356.0,7280.0,7202.000000000001,7122.000000000001,7039.0,6955.0,6867.999999999999,6782.0,6694.0,6606.0,6517.0,6427.000000000001,6336.0,6245.0,6154.0,6061.0,5968.0,5875.0,5784.0,5691.0,5599.0,5502.999999999999,5407.0,5310.0,5211.0,5111.000000000001,5008.0,4903.000000000001,4796.0,4686.0,4573.0,4457.0,4336.0,4211.0,4082.0,3948.0,3811.0000000000005,3667.0,3517.0,3360.0,3200.0,3038.0000000000005,2872.0,2699.0,2523.0,2347.0,2171.9999999999995,1995.0,1818.0,1641.0,1468.0000000000002,1300.0,1140.0,991.0,851.0,720.0,594.0,484.0,392.0,313.0,243.0,181.00000000000003,131.0,95.0,67.0,44.00000000000001,30.0,23.0,16.0,8.0,4.0,3.0,2.0,1.0,1.0
1957,12495.999999999998,11948.0,11502.0,11070.0,10671.0,10305.0,9968.0,9663.0,9394.0,9129.0,8856.0,8589.0,8346.0,8118.0,7952.999999999999,7875.0,7856.0,7843.999999999999,7848.0,7835.0,7781.000000000001,7702.999999999999,7636.0,7574.0,7508.999999999999,7440.0,7367.999999999999,7292.999999999999,7217.000000000001,7137.0,7053.999999999999,6970.0,6882.999999999999,6795.0,6706.0,6617.000000000001,6527.0,6437.0,6343.999999999999,6252.999999999999,6161.000000000001,6069.0,5976.0,5882.000000000001,5787.999999999999,5695.0,5602.0,5506.0,5410.0,5314.0,5215.0,5114.0,5011.0,4905.0,4798.0,4688.0,4575.0,4459.0,4340.0,4216.0,4086.9999999999995,3951.0,3813.9999999999995,3673.0,3525.0,3370.0,3208.9999999999995,3045.0,2880.0,2710.0,2536.0,2359.0,2182.0,2006.9999999999998,1833.0000000000002,1658.0000000000002,1486.9999999999998,1320.0,1159.0,1007.0000000000001,867.0,739.0000000000001,619.0,505.0,406.0,325.0,258.0,196.0,144.00000000000003,106.0,76.0,53.0,33.0,23.0,18.000000000000004,12.0,6.0,3.0,2.0,1.0,1.0
1958,12763.0,12155.999999999998,11609.000000000002,11190.0,10782.0,10414.000000000002,10083.0,9783.999999999998,9520.0,9296.0,9065.0,8805.0,8538.0,8298.0,8070.0,7905.0,7829.0,7813.0,7801.0,7803.999999999999,7789.0,7735.0,7656.000000000001,7588.999999999999,7526.0,7457.999999999999,7388.999999999999,7315.0,7239.0,7161.000000000001,7080.0,6996.0,6909.0,6820.0,6731.0,6640.0,6547.999999999999,6457.000000000001,6364.0,6271.0,6177.000000000001,6082.999999999999,5991.000000000001,5897.0,5803.0,5707.000000000001,5613.0,5519.0,5422.999999999999,5325.0,5225.0,5125.0,5022.0,4918.0,4810.0,4700.0,4587.0,4471.0,4351.0,4229.0,4100.0,3966.0,3827.0,3683.9999999999995,3538.9999999999995,3386.0,3227.0,3062.0,2895.0,2726.0000000000005,2553.0,2376.0,2197.0,2020.0,1845.9999999999998,1673.0,1501.9999999999998,1335.9999999999998,1174.0000000000002,1019.0000000000001,875.0,745.0,628.0,518.0,416.00000000000006,327.99999999999994,258.0,201.99999999999997,150.0,109.0,81.0,57.0,39.0,24.0,16.0,13.000000000000002,9.000000000000002,4.0,2.0,1.0,1.0
1959,13097.000000000002,12420.0,11820.0,11294.0,10888.0,10504.000000000002,10168.0,9871.0,9610.0,9387.0,9208.0,9010.0,8763.0,8497.0,8259.0,8031.000000000001,7866.000000000001,7792.000000000001,7779.0,7767.0,7769.0,7752.000000000001,7697.999999999999,7617.999999999999,7550.0,7485.0,7417.000000000001,7346.0,7271.0,7193.0,7113.0,7030.0,6944.0,6855.0,6766.0,6673.999999999999,6581.0,6488.0,6393.0,6298.999999999999,6202.999999999999,6108.0,6013.999999999999,5920.0,5825.0,5729.0,5632.999999999999,5537.000000000001,5441.0,5343.0,5245.0,5143.0,5041.0,4936.0,4829.0,4718.999999999999,4606.0,4490.0,4371.0,4248.0,4121.0,3990.0,3851.0000000000005,3707.0,3560.0,3409.0,3252.0,3088.0,2917.0,2746.0000000000005,2573.0,2398.0,2219.0,2039.0000000000002,1861.0,1686.0,1514.0,1347.0,1185.0,1030.0,880.0,743.0,623.0,517.0,419.0,327.99999999999994,252.0,192.0,147.0,105.0,74.00000000000001,55.99999999999999,39.0,25.0,15.0,10.0,8.0,6.0,3.0,1.0,1.0
