Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,6166,5846,5546,5265,5003,4759,4533,4325,4134,3961,3801,3653,3528,3431,3355,3286,3227,3164,3089,3008,2931,2853,2783,2724,2670,2615,2566,2489,2369,2223,2083,1940,1825,1759,1725,1687,1652,1614,1565,1509,1460,1413,1368,1325,1282,1241,1200,1160,1121,1083,1046,1008.9999999999999,973,936,899,863,827,790,754,717,681,644,608,571,534,497,461,426,390,355,321,288,256,226,198,170,145,122,103,86,72,59,47,36,26,17,10,5,2,1,1,1,1,0,0,0,0,0,0,0,0
1951,6241,5886,5595,5327,5081,4854,4647,4462,4282,4101,3926,3765,3613,3486,3389,3313,3243,3182,3117,3042,2961,2885,2808,2738,2680,2626,2572,2523,2447,2329,2185,2047.0000000000002,1906,1793,1728,1694,1656,1623,1585,1536,1482,1433,1387,1343,1300,1257,1216,1175,1135,1096,1058,1020,983,946,909,871,834,797,759,722,684,646,609,572,535,497,461,425,390,355,321,288,256,226,198,172,147,124,103,86,72,60,49,39,29,21,14,8,4,2,1,1,1,0,0,0,0,0,0,0,0
1952,6305,5893,5614,5350,5115,4903,4711,4541,4395,4243,4073.0000000000005,3895,3732,3578,3447,3350,3275,3204,3140,3074,2999,2918,2842,2765,2696,2638,2585,2531,2483,2408,2291,2149,2013,1874,1763,1699,1665,1628,1595,1557,1510,1456,1408,1363,1319,1276,1234,1193,1152,1112,1073,1034,996,958,921,882,844,806,768,729,691,652,613,575,537,499,462,425,389,354,320,287,255,224,196,170,146,124,103,85,70,58,48,39,31,23,16,11,6,3,1,1,1,0,0,0,0,0,0,0,0
1953,6384,5942,5565,5352,5116,4912,4734,4577,4444,4337,4212,4051,3871,3707,3549,3415,3317,3243,3171,3105,3037,2961,2881,2804,2728,2659,2601,2548,2495,2448,2374,2258,2118,1983,1846,1737,1673,1639,1603,1569,1533,1486,1433,1386,1341,1298,1255,1213,1171,1130,1090,1051,1012,974,935,897,858,818,779,740,701,661,621,581,542,503,465,427,390,354,320,286,254,223,193,166,142,121,101,83,67,54,44,36,29,23,17,12,8,4,2,1,0,0,0,0,0,0,0,0,0
1954,6496,6024,5626,5295,5100,4891,4718,4574,4451,4354,4286,4189,4037,3854,3688,3526,3389,3290,3217,3143,3074,3004,2928,2848,2772,2695,2626,2569,2516,2463,2416,2343,2229,2090,1957,1821,1713,1650,1617,1580,1547,1511,1464,1412,1366,1322,1279,1236,1194,1152,1111,1071,1031,992,953,914,875,835,794,754,714,673,632,591,550,510,470,431,393,356,320,286,252,221,191,163,137,115,96,78,62,49,39,31,24,19,15,11,7,4,3,1,1,0,0,0,0,0,0,0,0
1955,6645,6141,5718,5368,5083,4853,4672,4530,4419,4331,4270,4241,4172,4029,3843,3674,3508,3367,3268,3195,3120,3048,2976,2899,2819,2743,2666,2597,2540,2487,2435,2388,2316,2202,2065,1933,1799,1691,1629,1596,1560,1527,1491,1445,1394,1347,1304,1262,1219,1177,1135,1093,1053,1012,973,933,894,854,813,771,729,688,647,604,562,520,478,438,398,360,322,286,252,219,188,159,132,108,88,71,55,42,31,23,17,12,9,7,4,2,1,1,1,0,0,0,0,0,0,0,0
1956,6777,6330,5881,5506,5199,4950,4752,4599,4476,4375,4288,4227,4193,4121,3978,3794,3625,3458,3317,3217,3145,3071,2999,2927,2851,2772,2697,2622,2553,2496,2444,2392,2346,2275,2163,2028,1898,1766,1661,1599,1567,1531,1499,1463,1418,1367,1321,1277,1235,1192,1149,1107,1065,1024,983,942,902,862,821,779,736,694,652,609,567,524,483,442,402,363,326,290,255,222,192,164,138,113,92,74,59,46,35,26,19,14,10,7,5,4,2,1,1,0,0,0,0,0,0,0,0
1957,6943,6375,6032,5635,5308,5042,4829,4663,4537,4434,4341,4256,4193,4155,4078.9999999999995,3937,3755,3586,3417,3274,3174,3103,3029,2957,2886,2810,2732,2657,2583,2516,2459,2407,2356,2310,2239,2129,1996,1868,1738,1634,1573,1541,1506,1474,1439,1394,1343,1297,1253,1210,1168,1125,1082,1040,998,956,915,873,832,790,747,703,660,617,574,531,488,447,406,367,329,293,258,225,194,166,140,117,95,76,60,48,37,28,20,15,11,8,6,4,3,1,1,0,0,0,0,0,0,0,0
1958,7128,6530,6026,5744,5400,5120,4895,4717,4582,4483,4399,4315,4231,4168,4125,4046.0000000000005,3903,3722,3552,3382,3237,3137,3066,2992,2920,2849,2774,2696,2623,2549,2482,2426,2375,2324,2278,2208,2099,1968,1841,1712,1610,1550,1519,1484,1452,1417,1372,1322,1275,1232,1189,1145,1102,1059,1016.9999999999999,974,931,888,846,803,760,716,671,627,583,539,496,453,412,371,332,295,260,227,195,166,140,117,96,77,60,47,37,28,21,15,11,7,5,4,3,2,1,0,0,0,0,0,0,0,0
1959,7311,6690,6166,5729,5464,5172,4938,4754,4612,4507,4436,4370,4295,4213,4147,4101,4017.0000000000005,3874,3694,3524,3351,3205,3104,3034,2959,2888,2817,2741,2665,2591,2518,2452,2397,2345,2294,2249,2180,2072,1942,1817,1689,1588,1529,1498,1464,1433,1398,1353,1302,1256,1212,1168,1125,1081,1038,994,951,907,863,820,776,732,686,640,595,550,506,462,419,377,337,298,262,228,196,165,138,114,94,75,58,45,34,26,19,14,10,7,4,3,2,2,1,1,0,0,0,0,0,0,0
