Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,37784.0,31558.000000000004,27372.0,24971.999999999996,24101.0,24505.0,25929.000000000004,28118.000000000004,30816.0,33769.0,37209.0,41367.0,43553.99999999999,42538.00000000001,39528.0,36766.0,33575.0,31819.000000000004,32578.000000000004,34812.0,36562.0,38411.0,38833.0,36934.0,33576.0,30576.0,27642.0,25088.0,23278.000000000004,22066.999999999996,20744.0,19207.0,18927.0,20487.0,23159.000000000004,25740.0,28601.999999999996,30238.000000000004,29816.999999999996,28075.0,26546.999999999996,24886.999999999996,23596.999999999996,23066.0,22982.0,22689.0,22375.0,21755.0,20638.0,19232.0,17948.0,16727.0,15685.0,14930.0,14420.0,13914.000000000002,13350.0,13325.0,14077.0,15293.0,16458.0,17717.0,18458.0,18336.0,17639.0,17005.0,16317.999999999998,15606.0,14950.999999999998,14315.0,13581.0,12777.000000000002,11970.0,11185.0,10410.0,9625.0,8847.000000000002,8042.0,7195.0,6336.0,5506.0,4692.0,3978.9999999999995,3412.0,2953.9999999999995,2520.0,2126.0,1771.0,1446.9999999999998,1155.0,874.0000000000001,670.9999999999999,551.0,415.0,260.0,170.0,143.00000000000003,111.99999999999999,79.0,43.0,68.0
1951,37799.0,36524.0,31264.0,27682.0,25581.999999999996,24769.000000000004,24990.0,25990.0,27870.0,30555.999999999996,33673.0,37157.0,41298.0,43475.0,42463.0,39464.0,36714.0,33535.0,31785.0,32539.0,34760.99999999999,36501.0,38338.0,38757.0,36867.0,33527.0,30541.999999999996,27622.0,25077.0,23268.0,22051.0,20723.000000000004,19180.999999999996,18890.0,20430.0,23077.0,25633.000000000004,28468.000000000004,30086.0,29663.0,27928.0,26406.999999999996,24755.0,23468.000000000004,22934.0,22842.0,22541.999999999996,22221.999999999996,21596.999999999996,20480.999999999996,19078.0,17795.0,16570.0,15525.0,14767.000000000002,14252.0,13740.0,13169.0,13122.0,13827.0,14982.000000000002,16087.0,17283.0,17968.0,17805.999999999996,17076.0,16409.000000000004,15690.0,14948.0,14264.000000000002,13601.0,12845.0,12024.0,11203.0,10407.0,9625.0,8837.0,8058.999999999999,7269.0,6457.000000000001,5647.0,4868.0,4107.0,3448.0,2931.0,2521.0,2131.9999999999995,1790.0,1488.0000000000002,1209.0,954.0000000000001,716.0,551.0,452.0,338.99999999999994,211.00000000000003,125.0,98.0,69.0,37.00000000000001,57.0
1952,38421.0,34296.0,35361.99999999999,31053.0,28063.000000000004,26256.999999999996,25500.0,25539.0,26118.000000000004,27697.0,30375.999999999996,33666.0,37203.0,41336.99999999999,43510.0,42498.99999999999,39504.0,36757.0,33583.0,31835.0,32585.0,34801.0,36535.0,38366.0,38783.0,36897.0,33565.0,30587.0,27674.0,25131.999999999996,23318.0,22092.0,20756.0,19206.0,18903.0,20427.0,23055.0,25593.000000000004,28408.0,30013.0,29586.0,27855.0,26336.0,24688.000000000004,23401.999999999996,22862.0,22761.999999999996,22455.0,22127.0,21496.0,20378.0,18974.0,17687.0,16457.0,15405.999999999998,14642.999999999998,14123.0,13602.0,13023.0,12953.0,13614.0,14710.999999999998,15759.0,16896.0,17528.0,17323.0,16559.0,15857.000000000002,15104.000000000002,14331.0,13616.0,12924.000000000002,12144.0,11304.0,10467.0,9657.0,8866.0,8074.0,7295.0,6517.0,5738.0,4975.0,4244.0,3535.0,2928.0,2459.0,2096.0,1751.0,1459.0,1210.0,975.0,755.0,560.0,432.00000000000006,354.0,265.0,163.99999999999997,85.0,60.0,32.0,49.0
1953,39351.0,36007.0,33245.0,34223.0,30862.0,28463.0,26951.0,26249.000000000004,26105.0,26264.0,27541.0,30217.0,33681.0,37273.0,41403.0,43574.0,42563.0,39570.0,36825.0,33653.0,31906.0,32653.0,34864.00000000001,36594.0,38419.00000000001,38834.0,36952.0,33626.0,30653.000000000004,27745.0,25203.000000000004,23384.0,22148.000000000004,20802.0,19243.0,18929.000000000004,20438.0,23049.0,25569.000000000004,28366.999999999996,29959.0,29529.0,27800.0,26281.999999999996,24636.0,23350.0,22805.999999999996,22698.0,22383.000000000004,22046.0,21410.0,20288.0,18883.0,17592.0,16355.0,15297.0,14529.000000000002,14002.0,13472.999999999998,12886.0,12793.0,13410.0,14449.000000000002,15440.999999999998,16519.000000000004,17098.0,16851.0,16052.0,15315.0,14527.999999999998,13722.000000000002,12976.0,12255.999999999998,11450.999999999998,10591.0,9738.0,8914.0,8113.0,7315.0,6534.0,5769.0,5022.0,4305.0,3622.0,2965.0,2409.0000000000005,1989.0,1672.0,1370.0,1129.0,932.9999999999999,742.0,557.0,405.0,314.0,256.0,190.0,117.0,52.00000000000001,27.999999999999996,42.0
1954,40388.00000000001,37728.0,35342.0,33245.0,33082.0,30671.0,28864.0,27646.0,27000.0,26673.0,26410.999999999996,27386.999999999996,30058.000000000004,33696.99999999999,37345.0,41471.0,43640.0,42629.0,39637.0,36894.0,33725.0,31978.0,32722.0,34929.0,36653.0,38474.00000000001,38885.99999999999,37007.0,33688.0,30720.0,27816.0,25276.0,23451.0,22205.0,20849.0,19281.0,18955.0,20449.0,23043.000000000004,25546.999999999996,28326.0,29906.0,29473.000000000004,27746.0,26230.0,24586.0,23299.0,22750.0,22634.0,22311.0,21967.0,21323.0,20199.0,18792.0,17497.0,16253.0,15189.0,14415.0,13882.0,13344.000000000002,12748.0,12632.0,13206.0,14187.999999999998,15123.0,16142.0,16668.0,16379.000000000002,15545.0,14772.0,13952.0,13113.0,12335.999999999998,11585.999999999998,10757.0,9877.0,9007.0,8169.000000000001,7359.0,6556.0,5773.0,5020.0,4305.0,3634.0,2998.9999999999995,2394.0,1889.0,1518.0,1247.0,988.0,797.9999999999999,655.0,508.0,358.0,249.0,196.0,158.0,115.99999999999999,69.0,24.0,36.00000000000001
1955,41403.0,39367.0,37360.0,35423.0,33602.0,31939.0,30479.0,29265.0,28342.0,27750.999999999996,27241.0,26558.000000000004,27230.999999999996,29898.000000000004,33711.0,37416.0,41538.00000000001,43703.99999999999,42693.00000000001,39703.0,36961.0,33795.0,32048.0,32790.0,34992.0,36711.99999999999,38527.0,38937.0,37062.0,33748.00000000001,30785.999999999996,27886.999999999996,25346.999999999996,23517.0,22261.0,20896.0,19319.000000000004,18980.0,20459.0,23037.0,25524.0,28285.0,29853.0,29416.0,27691.0,26176.0,24535.0,23248.0,22693.0,22569.000000000004,22239.0,21886.0,21237.0,20109.0,18700.0,17401.0,16149.999999999998,15080.0,14300.999999999998,13761.0,13214.0,12610.0,12470.999999999998,13001.0,13925.999999999998,14804.0,15764.000000000002,16237.000000000002,15905.0,15037.0,14228.0,13374.0,12503.0,11694.0,10915.0,10061.0,9162.0,8275.0,7422.999999999999,6603.0,5795.0,5010.0,4270.0,3586.9999999999995,2961.9999999999995,2375.0,1821.0,1368.0,1046.0,821.0,606.0,467.0,376.0,273.99999999999994,159.0,94.0,77.0,60.0,40.99999999999999,21.0,31.0
1956,42257.0,41479.0,39531.0,37574.0,35657.0,33830.99999999999,32139.000000000004,30625.0,29368.000000000004,28428.0,27837.0,27316.0,26615.0,27273.000000000004,29926.0,33728.0,37421.0,41532.0,43693.00000000001,42688.0,39709.0,36978.0,33825.0,32086.0,32824.0,35016.99999999999,36729.0,38534.0,38940.0,37071.0,33769.0,30816.0,27926.0,25391.0,23557.0,22291.999999999996,20918.000000000004,19332.0,18980.0,20439.0,22993.000000000004,25456.0,28191.999999999996,29741.999999999996,29301.0,27581.0,26070.0,24433.000000000004,23146.0,22585.0,22448.0,22108.0,21743.000000000004,21084.0,19951.0,18537.0,17230.999999999996,15969.000000000002,14889.000000000002,14102.0,13552.999999999998,12995.0,12382.0,12214.0,12685.0,13534.0,14339.0,15225.0,15634.0,15257.0,14357.999999999998,13519.0,12638.0,11748.0,10927.999999999998,10146.0,9295.0,8404.0,7535.0,6711.0,5928.0,5161.000000000001,4417.0,3728.0,3106.9999999999995,2550.0,2021.9999999999998,1538.0,1159.0,882.0,682.0,499.0,385.0,310.0,225.0,130.0,71.0,55.0,37.00000000000001,19.0,27.000000000000004
1957,43027.0,42117.0,41586.00000000001,39724.00000000001,37816.0,35918.0,34085.0,32361.999999999996,30795.0,29493.000000000004,28535.0,27944.000000000004,27410.999999999996,26693.0,27335.0,29976.999999999996,33771.0,37455.99999999999,41558.0,43716.0,42715.0,39744.0,37023.0,33881.0,32148.000000000004,32884.0,35068.00000000001,36773.0,38570.0,38973.0,37109.0,33816.0,30870.0,27987.0,25454.0,23614.0,22339.000000000004,20955.0,19360.0,18995.0,20434.0,22965.999999999996,25408.0,28120.0,29654.0,29209.0,27493.000000000004,25984.0,24350.0,23061.999999999996,22493.000000000004,22345.0,21994.0,21616.999999999996,20948.0,19808.0,18389.0,17075.0,15800.999999999998,14709.000000000002,13914.000000000002,13356.0,12787.0,12163.0,11966.0,12380.0,13152.999999999998,13885.0,14698.0,15043.0,14622.0,13690.999999999998,12821.0,11912.0,11002.0,10171.0,9385.0,8536.0,7654.0,6802.000000000001,6006.0,5257.999999999999,4530.0,3828.0000000000005,3190.0,2630.0,2141.0,1670.0,1256.0,950.0,719.0000000000001,542.9999999999999,392.99999999999994,304.0,244.0,177.0,102.0,51.0,35.0,18.000000000000004,24.0
1958,43717.0,43292.0,42440.0,41706.0,39930.0,38070.0,36190.0,34350.0,32597.0,30974.0,29627.0,28651.999999999996,28060.0,27514.0,26779.0,27406.999999999996,30038.0,33824.0,37501.99999999999,41597.0,43751.99999999999,42755.0,39793.0,37080.0,33948.0,32220.0,32953.0,35130.0,36829.0,38619.0,39019.0,37158.0,33874.0,30934.0,28057.0,25525.0,23680.0,22393.0,20999.000000000004,19394.000000000004,19015.0,20436.0,22947.0,25368.000000000004,28057.0,29576.0,29127.0,27413.0,25905.0,24274.0,22986.0,22409.000000000004,22249.000000000004,21886.0,21498.0,20819.000000000004,19671.0,18247.0,16924.0,15637.0,14534.0,13730.0,13163.0,12582.0,11948.0,11722.000000000002,12078.0,12776.0,13436.0,14175.0,14458.0,13991.0,13027.999999999998,12126.0,11190.0,10260.0,9417.0,8627.0,7781.000000000001,6905.0,6070.0,5301.0,4590.0,3901.0000000000005,3241.0,2651.9999999999995,2154.0,1732.0,1319.0,975.0,742.0,556.0,405.0,286.00000000000006,223.0,178.00000000000003,128.0,73.0,33.0,17.0,22.000000000000004
1959,44373.99999999999,44355.0,43840.0,42907.0,41830.0,40139.0,38328.0,36465.0,34619.0,32833.0,31156.0,29764.0,28771.0,28178.0,27620.0,26868.000000000004,27480.0,30101.0,33880.0,37551.0,41638.99999999999,43793.0,42799.0,39845.0,37140.0,34016.99999999999,32295.0,33025.99999999999,35196.0,36888.00000000001,38671.0,39067.0,37211.0,33934.0,31000.0,28129.0,25598.000000000004,23747.0,22450.0,21045.0,19429.000000000004,19037.0,20440.0,22930.0,25330.0,27997.0,29500.0,29046.0,27335.0,25830.0,24201.0,22910.999999999996,22327.0,22155.0,21781.0,21381.0,20691.0,19535.999999999996,18105.0,16774.0,15475.0,14360.999999999998,13548.0,12970.999999999998,12378.0,11734.000000000002,11479.000000000002,11777.000000000002,12400.0,12987.0,13652.999999999998,13873.0,13360.0,12365.0,11433.0,10468.0,9517.999999999998,8663.0,7870.0,7025.0,6157.0,5338.999999999999,4596.999999999999,3921.9999999999995,3272.0,2653.0,2115.0,1678.0000000000002,1323.0000000000002,968.0,693.0,532.9999999999999,392.99999999999994,266.0,180.0,142.0,111.99999999999999,80.0,44.00000000000001,16.0,20.0
