Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,77095.0,63133.0,53513.99999999999,47711.99999999999,45196.99999999999,45443.99999999999,47926.0,52116.00000000001,57488.0,63513.99999999999,70620.0,79229.0,84059.0,82678.0,77417.0,72628.0,66960.0,64015.0,65872.0,70475.0,74092.0,77945.0,78467.0,73658.0,65512.0,58085.0,50638.99999999999,44452.0,40592.0,38448.0,36015.0,33301.0,32648.000000000004,34895.0,38937.0,42961.99999999999,47496.0,50286.0,50076.0,47928.00000000001,46126.99999999999,44176.0,42583.99999999999,41818.00000000001,41513.99999999999,40928.00000000001,40316.0,39204.0,37313.0,34981.0,32820.0,30712.0,29065.0,28149.0,27788.0,27384.0,26871.0,27128.0,28475.0,30438.000000000004,32314.999999999996,34352.0,35339.0,34635.0,32813.0,31090.0,29230.999999999996,27480.0,26086.0,24895.0,23514.0,22035.999999999996,20529.0,18995.0,17448.0,15923.0,14429.0,12950.0,11485.0,10061.0,8691.0,7365.0,6205.0,5271.0,4508.999999999999,3802.0,3170.0,2609.0,2106.0,1662.0,1240.0,942.0000000000001,770.0,575.0,354.0,228.0,191.0,149.0,104.00000000000001,55.99999999999999,86.0
1951,77236.0,74338.00000000001,62478.0,54172.0,49023.0,46633.99999999999,46483.00000000001,48044.0,51563.0,56906.00000000001,63286.0,70485.0,79053.0,83859.0,82484.0,77244.0,72477.0,66833.0,63898.99999999999,65740.0,70313.0,73904.0,77727.0,78240.0,73454.0,65352.00000000001,57961.99999999999,50553.00000000001,44388.99999999999,40532.0,38376.99999999999,35933.0,33209.0,32531.999999999996,34736.0,38724.00000000001,42695.0,47171.00000000001,49917.0,49691.0,47543.0,45741.00000000001,43791.00000000001,42193.99999999999,41415.0,41092.0,40489.00000000001,39860.0,38738.0,36851.0,34531.0,32375.999999999996,30268.0,28618.000000000004,27691.999999999996,27314.0,26892.0,26361.0,26570.0,27818.0,29654.0,31406.999999999996,33315.0,34198.0,33431.99999999999,31574.0,29815.0,27925.0,26144.000000000004,24715.999999999996,23490.0,22087.0,20594.0,19084.0,17559.0,16032.0,14534.0,13071.0,11642.000000000002,10254.000000000002,8921.0,7647.0,6420.0,5357.0,4512.0,3833.9999999999995,3205.0,2659.0,2185.0,1755.0,1370.0,1014.0,773.0,631.0,469.0,288.00000000000006,166.99999999999997,130.0,91.0,48.0,73.0
1952,78625.0,69760.0,71797.0,62001.00000000001,54980.0,50468.0,48199.0,47651.0,48296.00000000001,51158.0,56483.99999999999,63238.0,70550.0,79100.0,83896.0,82522.0,77290.0,72530.0,66896.0,63965.0,65795.0,70348.99999999999,73923.99999999999,77730.0,78235.0,73458.0,65375.0,58001.00000000001,50607.0,44451.0,40586.0,38412.0,35952.0,33211.0,32508.000000000004,34675.0,38619.0,42547.0,46976.00000000001,49688.0,49443.99999999999,47292.0,45483.00000000001,43529.0,41924.0,41129.0,40786.0,40165.0,39516.99999999999,38382.0,36494.0,34178.00000000001,32022.0,29910.0,28252.0,27315.0,26920.0,26476.0,25928.0,26087.0,27241.0,28956.0,30590.0,32375.999999999996,33157.0,32325.000000000004,30427.0,28625.999999999996,26699.0,24884.0,23416.999999999996,22154.0,20724.0,19213.0,17695.0,16172.999999999998,14663.0,13187.999999999998,11753.0,10370.999999999998,9052.999999999998,7810.0,6627.000000000001,5495.0,4526.0,3767.0,3171.9999999999995,2618.0000000000005,2157.0,1769.0000000000002,1410.0,1081.0,792.0,605.0,493.0,366.0,223.0,113.0,79.0,42.0,63.0
1953,80585.0,73565.0,67572.0,69295.0,61558.0,55821.00000000001,51945.0,49795.0,48847.0,48576.0,50781.00000000001,56096.0,63226.00000000001,70655.0,79193.0,83982.00000000001,82607.99999999999,77381.0,72625.0,66997.0,64066.99999999999,65887.0,70426.99999999999,73988.0,77777.0,78275.0,73505.0,65437.0,58075.0,50693.00000000001,44538.00000000001,40664.0,38470.0,35990.0,33231.0,32503.0,34635.0,38537.0,42423.0,46810.0,49486.99999999999,49227.0,47068.00000000001,45251.00000000001,43291.00000000001,41678.00000000001,40867.0,40504.0,39864.00000000001,39196.0,38049.0,36158.0,33845.0,31688.000000000004,29570.0,27901.999999999996,26953.000000000004,26539.0,26076.0,25509.0,25619.0,26680.0,28273.000000000004,29790.0,31454.0,32133.000000000004,31235.0,29296.0,27453.000000000004,25488.000000000004,23636.0,22130.0,20831.0,19372.0,17842.0,16315.000000000002,14797.0,13302.0,11847.999999999998,10440.0,9104.0,7857.0,6701.000000000001,5609.0,4573.0,3697.0,3025.0,2510.0,2032.0,1656.0,1354.0,1067.0,794.0,570.0,437.99999999999994,355.0,262.0,159.0,69.0,37.00000000000001,54.00000000000001
1954,82681.0,77257.0,72190.0,67541.0,66785.0,61111.99999999999,56660.0,53422.0,51391.00000000001,50043.0,48856.0,50402.0,55705.0,63211.00000000001,70758.0,79283.99999999999,84065.0,82691.0,77468.0,72717.0,67097.0,64166.0,65977.0,70502.0,74047.0,77821.0,78310.0,73548.0,65496.00000000001,58146.0,50775.0,44625.0,40740.0,38527.0,36028.0,33251.0,32497.0,34593.0,38454.0,42299.0,46641.00000000001,49285.0,49008.0,46843.0,45019.0,43053.00000000001,41430.0,40603.0,40220.0,39561.0,38874.0,37713.0,35820.0,33510.99999999999,31351.999999999996,29226.999999999996,27552.0,26589.000000000004,26158.0,25674.0,25087.0,25148.000000000004,26116.0,27589.000000000004,28988.000000000004,30528.000000000004,31105.999999999996,30143.0,28162.0,26276.999999999996,24275.0,22386.999999999996,20842.0,19504.0,18018.0,16468.0,14932.0,13418.0,11939.0,10505.999999999998,9126.0,7835.0,6659.0,5591.0,4588.999999999999,3648.9999999999995,2866.0,2281.0,1848.0,1444.0,1153.0,938.0,722.0,505.0,348.0,271.0,218.0,159.0,93.00000000000001,32.0,46.0
1955,84649.0,80669.0,76518.99999999999,72320.0,68197.0,64269.99999999999,60663.00000000001,57498.00000000001,54900.0,52986.99999999999,51240.0,49133.99999999999,50020.0,55311.00000000001,63193.00000000001,70858.0,79371.00000000001,84143.99999999999,82770.0,77551.99999999999,72805.0,67192.0,64262.0,66064.0,70574.0,74105.0,77861.0,78343.0,73589.0,65551.99999999999,58216.0,50857.0,44710.0,40815.0,38583.0,36065.0,33270.0,32489.000000000004,34549.0,38370.0,42173.0,46471.0,49082.0,48787.0,46615.0,44783.0,42812.0,41180.0,40336.99999999999,39934.0,39257.0,38549.0,37376.0,35481.0,33174.0,31014.0,28883.000000000004,27199.0,26225.0,25775.0,25269.000000000004,24664.0,24676.0,25550.0,26901.999999999996,28183.000000000004,29601.0,30077.0,29048.0,27026.0,25098.000000000004,23059.0,21134.0,19550.0,18174.0,16660.0,15092.0,13547.0,12036.0,10572.000000000002,9162.0,7808.0,6564.0,5459.0,4479.0,3568.0,2723.0000000000005,2034.0000000000002,1536.0,1184.0000000000002,856.0,650.0,521.0,377.0,216.00000000000003,126.0,103.00000000000001,80.0,54.00000000000001,27.999999999999996,40.0
1956,86221.0,84872.00000000001,81002.0,76911.99999999999,72732.0,68594.0,64620.00000000001,60933.0,57701.0,55070.0,53145.0,51372.0,49232.0,50086.00000000001,55346.0,63199.0,70837.0,79321.0,84077.99999999999,82709.0,77507.0,72776.00000000001,67183.0,64262.0,66048.0,70529.0,74035.0,77763.0,78235.0,73499.0,65498.00000000001,58192.0,50864.0,44735.0,40836.99999999999,38586.99999999999,36053.00000000001,33240.0,32431.999999999996,34449.0,38216.0,41966.0,46207.0,48773.99999999999,48458.99999999999,46283.0,44443.99999999999,42467.0,40826.0,39967.0,39543.0,38847.0,38117.0,36929.0,35031.0,32726.0,30563.000000000004,28423.0,26724.0,25726.0,25243.000000000004,24702.0,24068.0,24013.0,24767.0,25969.0,27105.999999999996,28378.0,28743.000000000004,27660.0,25625.999999999996,23686.0,21644.000000000004,19724.0,18147.000000000004,16785.0,15297.0,13763.0,12269.0,10825.999999999998,9443.999999999998,8119.999999999999,6854.0,5707.000000000001,4708.0,3839.0,3025.0,2292.0,1716.9999999999998,1291.9999999999998,981.0,704.0000000000001,535.0,429.0,309.0,177.0,95.0,73.0,49.0,25.0,35.0
1957,87591.00000000001,86176.0,85165.0,81401.00000000001,77368.0,73204.0,69047.0,65021.99999999999,61254.0,57952.0,55285.0,53347.0,51546.00000000001,49371.0,50193.00000000001,55426.0,63258.99999999999,70875.0,79338.00000000001,84083.0,82716.00000000001,77524.0,72806.0,67231.00000000001,64315.0,66088.00000000001,70543.0,74027.0,77730.0,78192.0,73471.0,65500.0,58218.0,50913.00000000001,44797.0,40891.99999999999,38622.0,36069.0,33239.00000000001,32402.0,34376.0,38093.0,41793.0,45980.0,48506.0,48171.00000000001,45989.0,44141.99999999999,42158.0,40507.0,39630.0,39185.0,38469.0,37717.0,36513.00000000001,34611.0,32305.999999999996,30138.0,27987.0,26271.0,25249.000000000004,24732.0,24156.999999999996,23491.0,23370.0,24006.999999999996,25059.0,26053.0,27179.000000000004,27433.000000000004,26296.999999999996,24249.000000000004,22295.0,20247.0,18330.0,16760.0,15410.0,13947.000000000002,12448.0,11003.0,9628.0,8325.0,7085.0,5906.000000000001,4855.0,3961.0000000000005,3203.0000000000005,2484.0,1863.0000000000002,1401.0,1048.0,779.0,552.9999999999999,422.00000000000006,337.0,243.0,138.0,68.0,46.0,24.0,31.0
1958,88810.0,88469.0,87032.99999999999,85486.0,81828.0,77848.99999999999,73700.0,69523.0,65448.00000000001,61595.0,58221.0,55519.0,53567.0,51735.0,49525.0,50316.0,55525.0,63336.99999999999,70936.0,79378.99999999999,84113.99999999999,82749.0,77568.0,72861.0,67300.0,64388.00000000001,66146.99999999999,70579.0,74043.0,77723.0,78175.0,73466.00000000001,65521.99999999999,58262.0,50980.0,44873.99999999999,40961.99999999999,38670.0,36097.0,33248.00000000001,32381.999999999996,34315.0,37983.00000000001,41633.99999999999,45768.0,48255.0,47900.0,45708.99999999999,43853.0,41861.99999999999,40200.0,39306.0,38839.0,38102.0,37329.0,36110.0,34201.0,31896.0,29721.999999999996,27560.0,25827.0,24779.0,24229.0,23618.000000000004,22921.999999999996,22735.0,23253.0,24156.0,25008.000000000004,25988.000000000004,26131.999999999996,24941.999999999996,22878.0,20910.0,18857.0,16942.999999999996,15378.0,14040.0,12602.0,11136.0,9738.999999999998,8430.0,7209.0,6052.000000000001,4960.0,4003.9999999999995,3216.0,2566.9999999999995,1944.0,1435.0,1085.0,805.0,578.0,400.0,308.0,245.0,175.0,99.0,44.00000000000001,22.000000000000004,27.999999999999996
1959,90025.0,90540.0,89842.99999999999,88112.00000000001,85810.0,82257.0,78335.0,74198.00000000001,70003.99999999999,65874.0,61938.0,58494.0,55755.0,53788.00000000001,51928.00000000001,49683.0,50441.0,55626.00000000001,63419.0,70999.0,79423.99999999999,84150.0,82786.0,77615.0,72918.0,67371.00000000001,64464.0,66211.0,70620.0,74061.0,77718.0,78160.0,73465.0,65547.0,58309.0,51048.0,44952.0,41032.0,38720.0,36126.99999999999,33258.0,32364.000000000004,34256.0,37875.0,41477.0,45560.0,48005.0,47629.0,45431.99999999999,43567.0,41568.00000000001,39895.0,38984.0,38496.0,37738.0,36942.0,35707.0,33793.0,31487.0,29307.0,27134.0,25384.0,24311.999999999996,23726.999999999996,23080.0,22353.0,22101.0,22500.0,23254.0,23963.0,24798.0,24831.0,23586.0,21508.000000000004,19526.0,17467.0,15555.0,13995.999999999998,12671.0,11255.999999999998,9824.0,8476.0,7233.0,6092.000000000001,5020.0,4013.9999999999995,3153.0,2471.0,1932.0,1404.0000000000002,1004.9999999999999,769.0,562.0,376.0,249.0,193.99999999999997,153.0,108.00000000000001,59.00000000000001,21.0,25.0
