Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.14910184154500336,0.027763879626085335,0.007979969661495437,0.00334748935048318,0.0019298137619967696,0.0014161356731693304,0.0012201439021396181,0.0011385639522850958,0.0010636840982085431,9.669086755560985e-4,8.738250851825255e-4,8.039402000081946e-4,7.710403309087127e-4,7.886106173815268e-4,8.60782694818522e-4,9.815629831721696e-4,0.001143586564005585,0.0013313082863485946,0.0015153987038900585,0.0016721906299339078,0.0017968801685107859,0.0018898974349592802,0.001955484958137043,0.002000635612621357,0.002032926321522189,0.0020596858071396293,0.0020887207755488457,0.002128306877106116,0.002187142589353814,0.0022680209891002183,0.002367041646739284,0.0024794507070111087,0.0025995471541992573,0.0027206974516241537,0.002841869442654495,0.0029690917322664637,0.003109845579206828,0.0032730289243784643,0.0034690348161986215,0.0037013552761422518,0.003964105511781674,0.004248668695071292,0.004543334029605552,0.004833431720516333,0.005115454090363145,0.005401229438861182,0.005706464357026422,0.0060505361075728365,0.00645673497817098,0.006937509750387097,0.007490038943099183,0.008108238668890587,0.008782195609362086,0.00949765958064558,0.01025118506922075,0.011055716523921826,0.01192880794428423,0.012892778318615931,0.013975321724857876,0.015198950085918058,0.016577407548708005,0.018124673667915342,0.019855171231888364,0.021783775295772342,0.023933918663900055,0.026341443583714687,0.029049675603630917,0.032110702865311584,0.03558677937262326,0.03953786189678333,0.044015972080184373,0.049074934099574696,0.05476979930370942,0.061155041815282016,0.06827551716002482,0.07615974564410116,0.08481992403362018,0.09424673922613164,0.10440407428539801,0.1152375751134048,0.12667634015453233,0.13861916099296398,0.15093119674701666,0.16344960649596052,0.1761600088432446,0.1892636266716764,0.20304892081174283,0.21789396912069547,0.23425124659358307,0.2519423226232603,0.26989967793962116,0.28670086436698783,0.3006245304907538,0.3098846956887163,0.315525864916036,0.32171777512657906,0.33314605294330485,0.35532689783623383,0.39585194519909433,0.4662086071531453,0.586348935647793
1951,0.14749255524230545,0.02575471440689525,0.0071069974508185495,0.0029203967222625887,0.0016764788153436796,0.0012393447309170154,0.0010828095911153196,0.0010261386709080923,9.702627895952624e-4,8.881884990174404e-4,8.056087355892166e-4,7.427190060708068e-4,7.139772181544372e-4,7.334023653073261e-4,8.059919521536086e-4,9.269909339991918e-4,0.0010903430953256921,0.001281682060621527,0.0014721945123576427,0.0016373724991756513,0.0017707129694266252,0.0018708544067597781,0.001940419937312833,0.001985097665807613,0.002011966652999476,0.00202857280485603,0.002042975906089699,0.0020635292040632022,0.0020987160969833394,0.002151998467943593,0.0022215363549036855,0.0023052348305131515,0.0024007905920295784,0.0025056349505021653,0.002619462174260213,0.0027447515602499768,0.002884537956721924,0.0030424084333935484,0.0032225249268314337,0.0034269518791868276,0.003654888140095088,0.003904808003785323,0.004174360387889627,0.004460379743308797,0.004764029160339712,0.005092473512945379,0.005454913600007767,0.005862794092746017,0.006330075013591816,0.006865903583557352,0.00747198084513074,0.008148251497238097,0.008892526053453455,0.00970001975118559,0.010569808145499335,0.01150732617324647,0.01251911646576913,0.013612690745843708,0.014796802486505369,0.01608449218374045,0.01749459167820485,0.019050312310117706,0.02078007331500928,0.022718411972312256,0.024900310105055244,0.02735949882622197,0.030134445417450802,0.033269405429901214,0.03681503587022273,0.040822042508292584,0.04533815987840757,0.0504126517080668,0.0560955647359834,0.06243613408066687,0.06947502963911242,0.07723872275990028,0.08573965145407167,0.09497194050401635,0.10490760251877625,0.11551783322778217,0.12678129482392264,0.138663917842405,0.15111652005208442,0.16407763163361502,0.1775704750480554,0.19174201452942685,0.20679540301670116,0.22299414135979076,0.24064929232762866,0.2595674945742661,0.2788387022212169,0.29724390171711645,0.31329259407152354,0.32540535152966565,0.3344387035437647,0.34405297668642587,0.3585012850578357,0.38287092107105936,0.4240522347019473,0.4920353972142274,0.6032311229314391
1952,0.14515807702122333,0.02402722061637779,0.00641030802668779,0.002590000000000003,0.0014821365713215836,0.0011028713430159566,9.751689089897989e-4,9.363180644483039e-4,8.943064660412496e-4,8.233692693105323e-4,7.489782469871016e-4,6.916583598346618e-4,6.662596918234868e-4,6.871400071925118e-4,7.599884995531856e-4,8.811081107959577e-4,0.0010455643577078405,0.0012399687293946887,0.0014358367472421577,0.0016078303563656414,0.0017479667103642205,0.0018533514658141952,0.0019252539872891242,0.001968323081970548,0.001989401442471189,0.0019965161707258972,0.001998263871515679,0.002003400056921963,0.002020581018460063,0.002053864028011325,0.0021027189183253667,0.00216663528131038,0.0022452587445171792,0.0023383303021350557,0.002445860191673222,0.0025681222823474986,0.0027054031776239636,0.0028579488107368708,0.0030259639219620154,0.003210674635312301,0.0034146343621517753,0.00364087987174272,0.0038929749026649675,0.004175101742053542,0.004491783856593204,0.004847882821767575,0.0052490441223546295,0.0057018599576002535,0.006213955571476272,0.0067919893968315095,0.007440806657248008,0.008164842381960384,0.008967904089780324,0.009852819443728919,0.010821265683067285,0.011873413683333845,0.013007254453539126,0.014218070519389798,0.015498522189678687,0.016853019512271833,0.018303737613563974,0.01988064138181913,0.021622379295680505,0.02357756621504687,0.025789007816215664,0.028288249625797637,0.031109634220718545,0.03429120344540654,0.03787479300230657,0.04190424478624864,0.046424392696967784,0.051481866213770225,0.057124385808413475,0.06339946048897062,0.07034638921145624,0.07799085661018004,0.08634610946308248,0.09540928342784467,0.105158626515488,0.1155853142558957,0.12670693919912399,0.1385417598848471,0.15110753739909594,0.1644232030062734,0.17854456365758492,0.1935799145702114,0.20966769831921728,0.22698009237897113,0.2457113230034324,0.2656564766748103,0.28604257483334644,0.3058312751855085,0.32374269168673714,0.3383979248668991,0.35050621670727866,0.36326423978768585,0.3804905677952818,0.4068130779707775,0.4484205968773243,0.5139699528795766,0.6170002763535728
1953,0.14218617810847606,0.022531396116018825,0.0058492573259102155,0.002331811091963115,0.0013315809878866232,9.966411893231502e-4,8.902787478912013e-4,8.642671649870177e-4,8.323957749761137e-4,7.699049012445791e-4,7.01900719067705e-4,6.490195918414672e-4,6.26318982076903e-4,6.483647542229102e-4,7.214065553121211e-4,8.426531242220815e-4,0.00100812673330234,0.0012052258922330952,0.0014055986022369989,0.0015830551901193234,0.0017283226584094223,0.0018372269507386128,0.0019099640628575708,0.0019504297093489002,0.0019654788432150426,0.0019638195300717806,0.00195476792692434,0.0019476663458818846,0.0019515491892558748,0.001970901294774574,0.00200585947147643,0.002056699197329387,0.002124027279486952,0.0022087349498193564,0.002310916741569419,0.0024295899049304294,0.0025634874870744,0.0027109440433245183,0.0028698855051732942,0.0030411098204004543,0.0032292175874370946,0.00343998314242086,0.003680486645755967,0.003959337585805515,0.004283310076089651,0.00465629457747845,0.005082201585950134,0.005564938754562583,0.006108261177865511,0.006717261102682219,0.007398949554896881,0.00816097375145579,0.009011536514215322,0.009959171037509616,0.011007928235228743,0.012154711846603355,0.013391545572031045,0.014704625798086148,0.01607425452086006,0.01749755391640927,0.018998058280811404,0.02060953909160797,0.02237671573035955,0.02435658977564681,0.02659626621651596,0.029125259707827075,0.031974667490921385,0.035178029741989886,0.03877118638154275,0.042793514344166006,0.04728828933335202,0.05230127209391756,0.05788021171496726,0.06407387755263319,0.07092247871894967,0.07845179993174525,0.08667617666097344,0.09559520904449009,0.10519163331485815,0.11547150728197085,0.12648168524300418,0.13827945363175378,0.1509325464722316,0.1645205531158049,0.17912555911151196,0.19482942469660142,0.21172363257402957,0.22991120246266605,0.24949532394598684,0.2702643401844565,0.2915605917610724,0.3124996860983183,0.3319846323174714,0.348818318397004,0.36359704698586975,0.3791138032861966,0.39878038594377896,0.42677569691445033,0.46863262115883514,0.5318667295754306,0.6277495523341454
1954,0.1386690935412481,0.021226480718146302,0.0053935277462768575,0.002128252126945282,0.0012139977512842356,9.13418597907045e-4,8.230425139394441e-4,8.063404187819703e-4,7.818907614477107e-4,7.257976190227025e-4,6.627651777676355e-4,6.134170595618486e-4,5.92899905946014e-4,6.159036631606726e-4,6.891400803380502e-4,8.105950030319249e-4,9.771012560624932e-4,0.0011766627439876818,0.0013808571378538213,0.0015625972707763681,0.001711488194681979,0.0018223267259964788,0.0018945279966275266,0.001931534286766525,0.0019404407957215315,0.0019307708174648138,0.001912653910876029,0.0018960962514696705,0.001890593116952385,0.0019008599894174015,0.0019271808934346554,0.001970032821404866,0.002030305562241329,0.002109260454799145,0.0022069466129504608,0.0023218077168790565,0.0024518790378208503,0.002594631943242552,0.002746959724657242,0.002909523596653747,0.003087984781180852,0.0032895237801268363,0.003523030932740837,0.0037994392336758156,0.004126847424797421,0.0045089103149365106,0.004948921957365523,0.005449629618279696,0.006012900208984185,0.006643150921800707,0.007348844699625295,0.008139772534830907,0.009027076785415472,0.010023132999517348,0.011133926300612943,0.012354804338258286,0.013674349305937456,0.01507305634596829,0.01652309190523293,0.0180160196655976,0.019574776011850845,0.02123386115234628,0.023039823915100358,0.02505248562375134,0.027319962261594558,0.029870036345570596,0.03273152535818509,0.03593519714421049,0.039513634650990996,0.04350402587965365,0.04794930183109498,0.052895869584473815,0.05839344947268822,0.06449445922097742,0.0712417737218277,0.07866188606537837,0.08677034318386946,0.09556868674344038,0.10504267298320573,0.11520873722576733,0.1261343571809521,0.1379040496028808,0.1506203283850587,0.1644052394885144,0.17936022950759423,0.19555026793484095,0.2130350274244216,0.23186891160255735,0.2520896786865076,0.27348444426968993,0.2954888273044366,0.31734362590144277,0.3381023443129338,0.3567217786964291,0.37371299300903316,0.39153331877121417,0.4132377427651055,0.4425993108490188,0.4845754323371842,0.545745314380123,0.635641604814498
1955,0.13470048126811693,0.020078939498030687,0.005020150508616857,0.001966479056511132,0.0011215556792846743,8.479176841175669e-4,7.696625050335134e-4,7.597543440506008e-4,7.407322114595328e-4,6.894664218023711e-4,6.302854120110924e-4,5.83738774319868e-4,5.64991461428199e-4,5.888075822040457e-4,6.622880315174517e-4,7.840865176166099e-4,9.517160655795453e-4,0.0011536124070054003,0.001361075318441072,0.0015460563338224847,0.0016971926834095992,0.0018085032138362718,0.0018789245153850334,0.0019117518896453831,0.0019145216512131003,0.0018976415686963353,0.0018720715535366567,0.0018484779131098495,0.001836820248075205,0.0018418576643281829,0.0018636243136589434,0.0019023798887613285,0.0019588283541317653,0.002034065128427641,0.002128020952902558,0.002239066077437019,0.0023651608217917994,0.0025036867364894503,0.0026514316761991345,0.002809131664969729,0.002982768076267608,0.0031799475007202095,0.003410129116399731,0.003685014778380544,0.004013262346899637,0.004398690221087219,0.004844669038826682,0.005353861802487186,0.005927807793354541,0.006571029148790256,0.007292899191132498,0.008104458170089502,0.009018496461973086,0.01004949654980541,0.011204822131909736,0.012479680228133009,0.013861534874216715,0.015328515781528884,0.016848975969692533,0.018410894395186995,0.020034902193503974,0.02175332667687651,0.02361051196192194,0.02566388016801832,0.027959547047591172,0.03052392161842896,0.03338452288787839,0.03657100747887569,0.040115223961657606,0.04405420963906291,0.04843157199641442,0.05329557064914084,0.05869937918770797,0.06470082596029869,0.07134671178804447,0.07866465209761338,0.08667147087212444,0.09537025282405989,0.10474867202057889,0.11482970658976942,0.12569388476385454,0.13744263820676053,0.15019986148478012,0.164113643997165,0.17929782386375792,0.19580792363333802,0.21368462554468268,0.23295225411786669,0.25360738063870064,0.27544149234693827,0.29796206941572095,0.3205060520089963,0.34224302772530796,0.3622503957604318,0.38097552376519095,0.4006107418201168,0.42391818855469904,0.45433070926456764,0.496333197013561,0.5557733164565571,0.6408973644753472
1956,0.13037275605897855,0.019060925613958057,0.004711437779385761,0.0018369297014870108,0.0010484752454318171,7.962072857359661e-4,7.272636547108916e-4,7.223552623156482e-4,7.072965356534893e-4,6.596490317659097e-4,6.034266322622017e-4,5.59086062518909e-4,5.417738095602355e-4,5.663034535874821e-4,6.401118825059188e-4,7.624275027285971e-4,9.313264308816642e-4,0.0011355094046943761,0.0013457870397928188,0.0015330731882556967,0.0016851838693898705,0.0017956145536703193,0.001863133258775982,0.0018911954360271604,0.0018879470666750629,0.0018646866057888457,0.0018331559041799392,0.0018046182431545974,0.0017894515251593184,0.0017923024411640117,0.0018126726219370875,0.0018503143523610941,0.0019054215167826224,0.001978548545711937,0.0020694655489961796,0.002176839142019452,0.0022990121867142413,0.002433846359552191,0.0025787102559747407,0.0027345709504470656,0.002907180973231854,0.0031038485780757663,0.003333680190031169,0.0036079705586188797,0.003935309872796733,0.00431989913407533,0.004765628124271679,0.005275841218424075,0.005852948807844199,0.006502206841465636,0.007233469739742543,0.008058281722467232,0.008989968486128028,0.010043579053724034,0.011227268586846738,0.01253723216896267,0.013961833299557717,0.015479885002394729,0.017060007031670068,0.018688657383504143,0.020382862745363883,0.02217030227711891,0.024089544094412812,0.026190952853114513,0.028515960663096373,0.031089945673319345,0.03394004935546812,0.03709631991255027,0.04059206064080653,0.04446586667066698,0.04876280927530372,0.053533868351597756,0.05883667835889421,0.06473562292213213,0.07128223678826363,0.07850554482320161,0.08642372615709402,0.095041197884293,0.10434686474233835,0.11436712477043867,0.12518906058111737,0.13692215735572286,0.14970008859017217,0.1636825452984554,0.17898917780860024,0.19567189686336248,0.21376314223414142,0.23327343854002291,0.2541801532807725,0.2762843320335036,0.29914527950959124,0.322168226937209,0.34460477727554545,0.3656176648818165,0.38560688463949694,0.4065685188412239,0.4310419921859223,0.46219770617616096,0.5041612423546272,0.5622432364989872,0.6437842359118856
1957,0.12577485564196014,0.018149104390293585,0.00445352971453536,0.0017323400000000002,9.904022880599284e-4,7.553061123763763e-4,6.936312111939434e-4,6.924523891174108e-4,6.802886081913536e-4,6.353281065643352e-4,5.813496347235337e-4,5.387273254706905e-4,5.2257745655952e-4,5.477573676670968e-4,6.220024111057782e-4,7.450358180568353e-4,9.15390634780728e-4,0.0011218711793248106,0.0013345845568348885,0.0015233225023767948,0.0016752247328750169,0.0017835238789209228,0.001847134800085533,0.0018699752525118552,0.001860933160808865,0.0018321440788015015,0.0017960288536782892,0.001764341859316947,0.001747803445921787,0.0017508318346844975,0.0017722162574064875,0.0018110133919468753,0.001866686974627404,0.0019389872540418593,0.0020274979150865886,0.002131453766585291,0.0022499144031178846,0.0023816349440420577,0.0025250625718529515,0.002681511376371926,0.0028561081510910928,0.0030553306037900694,0.0032872397471111737,0.0035618203923336355,0.003887089796791968,0.004267761091981349,0.0047085420257075425,0.005214005483988963,0.005788321018101724,0.006437941216084771,0.007172847969551656,0.008004477158933057,0.0089457661611294,0.010011034504961684,0.011208678888991127,0.012536743759978364,0.013986138883653671,0.015538947579507129,0.017167623937201504,0.018859107500630544,0.020626015971455407,0.02248950932885524,0.024479479288872643,0.026635330331375655,0.028991517497410278,0.03157265268551225,0.034406284563781434,0.0375241082346239,0.04096263606834044,0.04476333154299309,0.04897326125141089,0.05364664894153097,0.058846135933589,0.06464322157854006,0.071094579839909,0.07823085534492488,0.08607171589415966,0.09462292038170739,0.10387435098882919,0.11385342818312767,0.12464836249737517,0.13636925239026956,0.1491497389579272,0.1631487694303695,0.17848594620655403,0.19521418003485183,0.21336656797641515,0.2329537050578659,0.25395283557626375,0.27617897910709477,0.29922519585089635,0.32253953336705776,0.34542380752332397,0.36709180208658343,0.3879083339354132,0.40973659599480905,0.43496283822541343,0.46657540298645345,0.508453139155291,0.5655461455680034,0.644604433929228
1958,0.12095884241374935,0.01732041699732705,0.0042347853380042344,0.0016469165905697984,9.439262527134458e-4,7.228814611409853e-4,6.670206428325299e-4,6.687060174449899e-4,6.586859556580169e-4,6.157120045878436e-4,5.634133021700468e-4,5.22112252314178e-4,5.069032102470391e-4,5.326968811387257e-4,6.075010635375766e-4,7.314619862526024e-4,9.034682496160476e-4,0.001112266942694935,0.0013270455180668177,0.0015163919733797546,0.0016669277434748484,0.0017719014101878986,0.001830701993284743,0.0018480071858618888,0.0018335346358711285,0.0018001329660290515,0.001760740434447655,0.0017274546573915787,0.0017112346299503998,0.0017161965043013992,0.0017403392919456587,0.0017819312542605797,0.0018395801725125897,0.0019120696308928123,0.0019987841539099507,0.002099707747925847,0.0022148377540766196,0.002344090928165535,0.0024873152598522135,0.002646250094830767,0.0028251394689106837,0.003029271182363874,0.003265171299494628,0.0035408601653516107,0.0038634030561852245,0.004238099654457074,0.004670665964850404,0.005167250879989941,0.005734345562345879,0.006379865465293043,0.007113635290028896,0.007946521003857416,0.008890389560642985,0.0099578814023341,0.01115721329801959,0.012488880627325352,0.013947545492583195,0.015520512325699511,0.017186841824146717,0.018935716261252927,0.02077509403516786,0.022718523421111192,0.024785248918705118,0.027000877384934476,0.02939112745234971,0.03197995180298312,0.034795818248589384,0.03787289406193206,0.04125200038728285,0.04497824084789499,0.049100923864375506,0.05367768904163745,0.05877628160215716,0.06447532613272182,0.07083669016082515,0.07789283597661499,0.08566518806186052,0.09416117907717655,0.10337198229639447,0.11332446345876868,0.1241036189658134,0.13581413404862577,0.1485816034568866,0.16255407223089716,0.17784620165902726,0.19451560295344722,0.21260328704750345,0.23213133018451737,0.2530926371519962,0.2753196067486616,0.2984233231643696,0.32187231900725294,0.3449903868860379,0.36701114770268617,0.38827299768682844,0.4105612333410401,0.4361720186983833,0.4679862231283853,0.5097380996016767,0.5661684397918372,0.6436902685541338
1959,0.11585417087679882,0.016542565951416007,0.004043518345996309,0.0015754647516812554,9.061391440215982e-4,6.969946684147563e-4,6.460120654063648e-4,6.500648100394619e-4,6.417459409378621e-4,6.002948157673677e-4,5.492683049702637e-4,5.089836252616363e-4,4.945420767060515e-4,5.209326263154417e-4,5.96414726194672e-4,7.214797975334323e-4,8.952563312028508e-4,0.0011062580140325732,0.0013225385214676913,0.0015114358808267282,0.0016592690126842687,0.0017596423738446055,0.0018127896450094696,0.001824456721439983,0.0018052089208431745,0.0017683594977397936,0.0017270987442473261,0.0016936420814783668,0.0016790237747998764,0.001687027810043584,0.0017149198547372754,0.0017602167771202332,0.0018206806429733424,0.0018941172068528056,0.001979724074476763,0.002078287499328784,0.0021908051437288523,0.0023184250652690157,0.0024624788316315225,0.002625151256901631,0.002809726845695377,0.003020176328969541,0.0032612899569885744,0.0035388362859828716,0.0038587355002531695,0.004226852279207427,0.0046499173682915925,0.005135681591803451,0.005693008930468888,0.006331238251691849,0.007059865495649288,0.007888978701690521,0.00882911827597729,0.009890935255385739,0.011082367767386579,0.01240666501642615,0.013862853979082523,0.015444474300883623,0.01713869629034434,0.018938172998607256,0.02084662169409823,0.022869978265542712,0.02501632041832629,0.02729639702847013,0.029726340609800245,0.03232921946061876,0.035134316267016644,0.03817817652330275,0.04150575262528682,0.04516561846684601,0.04920920835567149,0.053697357400596696,0.058702545728213845,0.06430998924930044,0.07058651394164192,0.07756672703635319,0.08527444431467592,0.09371978666809566,0.10289661576756244,0.1128308655505765,0.12360116848451742,0.13530225742428267,0.1480455300501672,0.16196025024618574,0.1771524319559269,0.1936874842837616,0.2116201850358696,0.23099311999225644,0.2518271931350921,0.27397442884967943,0.2970506181801564,0.3205257940265781,0.343721479065109,0.3658638209025941,0.38726961264350535,0.40968937939630806,0.43537988547198153,0.46717482133814986,0.5087449024186078,0.5647369956655102,0.6414128738086908
