Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.0482096,0.00219991,0.00219991,0.00219991,0.00219991,0.00075374,0.00075374,0.00075374,0.00075374,0.00075374,0.00055736,0.00055736,0.00055736,0.00055736,0.00055736,0.00102558,0.00102558,0.00102558,0.00102558,0.00102558,0.00144551,0.00144551,0.00144551,0.00144551,0.00144551,0.0015863,0.0015863,0.0015863,0.0015863,0.0015863,0.00188688,0.00188688,0.00188688,0.00188688,0.00188688,0.00249262,0.00249262,0.00249262,0.00249262,0.00249262,0.00346155,0.00346155,0.00346155,0.00346155,0.00346155,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.00778174,0.00778174,0.00778174,0.00778174,0.00778174,0.01194855,0.01194855,0.01194855,0.01194855,0.01194855,0.01878209,0.01878209,0.01878209,0.01878209,0.01878209,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.05437148,0.05437148,0.05437148,0.05437148,0.05437148,0.09366777,0.09366777,0.09366777,0.09366777,0.09366777,0.15005275,0.15005275,0.15005275,0.15005275,0.15005275,0.22861811,0.22861811,0.22861811,0.22861811,0.22861811,0.32526516,0.32526516,0.32526516,0.32526516,0.32526516,0.423171,0.423171,0.423171,0.423171,0.423171,0.55941358
1951,0.0482096,0.00219991,0.00219991,0.00219991,0.00219991,0.00075374,0.00075374,0.00075374,0.00075374,0.00075374,0.00055736,0.00055736,0.00055736,0.00055736,0.00055736,0.00102558,0.00102558,0.00102558,0.00102558,0.00102558,0.00144551,0.00144551,0.00144551,0.00144551,0.00144551,0.0015863,0.0015863,0.0015863,0.0015863,0.0015863,0.00188688,0.00188688,0.00188688,0.00188688,0.00188688,0.00249262,0.00249262,0.00249262,0.00249262,0.00249262,0.00346155,0.00346155,0.00346155,0.00346155,0.00346155,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.00778174,0.00778174,0.00778174,0.00778174,0.00778174,0.01194855,0.01194855,0.01194855,0.01194855,0.01194855,0.01878209,0.01878209,0.01878209,0.01878209,0.01878209,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.05437148,0.05437148,0.05437148,0.05437148,0.05437148,0.09366777,0.09366777,0.09366777,0.09366777,0.09366777,0.15005275,0.15005275,0.15005275,0.15005275,0.15005275,0.22861811,0.22861811,0.22861811,0.22861811,0.22861811,0.32526516,0.32526516,0.32526516,0.32526516,0.32526516,0.423171,0.423171,0.423171,0.423171,0.423171,0.55941358
1952,0.0482096,0.00219991,0.00219991,0.00219991,0.00219991,0.00075374,0.00075374,0.00075374,0.00075374,0.00075374,0.00055736,0.00055736,0.00055736,0.00055736,0.00055736,0.00102558,0.00102558,0.00102558,0.00102558,0.00102558,0.00144551,0.00144551,0.00144551,0.00144551,0.00144551,0.0015863,0.0015863,0.0015863,0.0015863,0.0015863,0.00188688,0.00188688,0.00188688,0.00188688,0.00188688,0.00249262,0.00249262,0.00249262,0.00249262,0.00249262,0.00346155,0.00346155,0.00346155,0.00346155,0.00346155,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.00778174,0.00778174,0.00778174,0.00778174,0.00778174,0.01194855,0.01194855,0.01194855,0.01194855,0.01194855,0.01878209,0.01878209,0.01878209,0.01878209,0.01878209,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.05437148,0.05437148,0.05437148,0.05437148,0.05437148,0.09366777,0.09366777,0.09366777,0.09366777,0.09366777,0.15005275,0.15005275,0.15005275,0.15005275,0.15005275,0.22861811,0.22861811,0.22861811,0.22861811,0.22861811,0.32526516,0.32526516,0.32526516,0.32526516,0.32526516,0.423171,0.423171,0.423171,0.423171,0.423171,0.55941358
1953,0.0482096,0.00219991,0.00219991,0.00219991,0.00219991,0.00075374,0.00075374,0.00075374,0.00075374,0.00075374,0.00055736,0.00055736,0.00055736,0.00055736,0.00055736,0.00102558,0.00102558,0.00102558,0.00102558,0.00102558,0.00144551,0.00144551,0.00144551,0.00144551,0.00144551,0.0015863,0.0015863,0.0015863,0.0015863,0.0015863,0.00188688,0.00188688,0.00188688,0.00188688,0.00188688,0.00249262,0.00249262,0.00249262,0.00249262,0.00249262,0.00346155,0.00346155,0.00346155,0.00346155,0.00346155,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.00778174,0.00778174,0.00778174,0.00778174,0.00778174,0.01194855,0.01194855,0.01194855,0.01194855,0.01194855,0.01878209,0.01878209,0.01878209,0.01878209,0.01878209,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.05437148,0.05437148,0.05437148,0.05437148,0.05437148,0.09366777,0.09366777,0.09366777,0.09366777,0.09366777,0.15005275,0.15005275,0.15005275,0.15005275,0.15005275,0.22861811,0.22861811,0.22861811,0.22861811,0.22861811,0.32526516,0.32526516,0.32526516,0.32526516,0.32526516,0.423171,0.423171,0.423171,0.423171,0.423171,0.55941358
1954,0.0482096,0.00219991,0.00219991,0.00219991,0.00219991,0.00075374,0.00075374,0.00075374,0.00075374,0.00075374,0.00055736,0.00055736,0.00055736,0.00055736,0.00055736,0.00102558,0.00102558,0.00102558,0.00102558,0.00102558,0.00144551,0.00144551,0.00144551,0.00144551,0.00144551,0.0015863,0.0015863,0.0015863,0.0015863,0.0015863,0.00188688,0.00188688,0.00188688,0.00188688,0.00188688,0.00249262,0.00249262,0.00249262,0.00249262,0.00249262,0.00346155,0.00346155,0.00346155,0.00346155,0.00346155,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.005049100000000001,0.00778174,0.00778174,0.00778174,0.00778174,0.00778174,0.01194855,0.01194855,0.01194855,0.01194855,0.01194855,0.01878209,0.01878209,0.01878209,0.01878209,0.01878209,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.031214299999999997,0.05437148,0.05437148,0.05437148,0.05437148,0.05437148,0.09366777,0.09366777,0.09366777,0.09366777,0.09366777,0.15005275,0.15005275,0.15005275,0.15005275,0.15005275,0.22861811,0.22861811,0.22861811,0.22861811,0.22861811,0.32526516,0.32526516,0.32526516,0.32526516,0.32526516,0.423171,0.423171,0.423171,0.423171,0.423171,0.55941358
1955,0.03984974,0.00156043,0.00156043,0.00156043,0.00156043,0.00057246,0.00057246,0.00057246,0.00057246,0.00057246,0.00043552,0.00043552,0.00043552,0.00043552,0.00043552,0.00089085,0.00089085,0.00089085,0.00089085,0.00089085,0.00130305,0.00130305,0.00130305,0.00130305,0.00130305,0.00135429,0.00135429,0.00135429,0.00135429,0.00135429,0.0015462,0.0015462,0.0015462,0.0015462,0.0015462,0.0020406,0.0020406,0.0020406,0.0020406,0.0020406,0.00290059,0.00290059,0.00290059,0.00290059,0.00290059,0.00445479,0.00445479,0.00445479,0.00445479,0.00445479,0.00733889,0.00733889,0.00733889,0.00733889,0.00733889,0.01207644,0.01207644,0.01207644,0.01207644,0.01207644,0.0190192,0.0190192,0.0190192,0.0190192,0.0190192,0.03079674,0.03079674,0.03079674,0.03079674,0.03079674,0.05235113,0.05235113,0.05235113,0.05235113,0.05235113,0.08923873,0.08923873,0.08923873,0.08923873,0.08923873,0.14496782,0.14496782,0.14496782,0.14496782,0.14496782,0.22806871,0.22806871,0.22806871,0.22806871,0.22806871,0.33238353,0.33238353,0.33238353,0.33238353,0.33238353,0.46531488,0.46531488,0.46531488,0.46531488,0.46531488,0.5785513000000001
1956,0.03984974,0.00156043,0.00156043,0.00156043,0.00156043,0.00057246,0.00057246,0.00057246,0.00057246,0.00057246,0.00043552,0.00043552,0.00043552,0.00043552,0.00043552,0.00089085,0.00089085,0.00089085,0.00089085,0.00089085,0.00130305,0.00130305,0.00130305,0.00130305,0.00130305,0.00135429,0.00135429,0.00135429,0.00135429,0.00135429,0.0015462,0.0015462,0.0015462,0.0015462,0.0015462,0.0020406,0.0020406,0.0020406,0.0020406,0.0020406,0.00290059,0.00290059,0.00290059,0.00290059,0.00290059,0.00445479,0.00445479,0.00445479,0.00445479,0.00445479,0.00733889,0.00733889,0.00733889,0.00733889,0.00733889,0.01207644,0.01207644,0.01207644,0.01207644,0.01207644,0.0190192,0.0190192,0.0190192,0.0190192,0.0190192,0.03079674,0.03079674,0.03079674,0.03079674,0.03079674,0.05235113,0.05235113,0.05235113,0.05235113,0.05235113,0.08923873,0.08923873,0.08923873,0.08923873,0.08923873,0.14496782,0.14496782,0.14496782,0.14496782,0.14496782,0.22806871,0.22806871,0.22806871,0.22806871,0.22806871,0.33238353,0.33238353,0.33238353,0.33238353,0.33238353,0.46531488,0.46531488,0.46531488,0.46531488,0.46531488,0.5785513000000001
1957,0.03984974,0.00156043,0.00156043,0.00156043,0.00156043,0.00057246,0.00057246,0.00057246,0.00057246,0.00057246,0.00043552,0.00043552,0.00043552,0.00043552,0.00043552,0.00089085,0.00089085,0.00089085,0.00089085,0.00089085,0.00130305,0.00130305,0.00130305,0.00130305,0.00130305,0.00135429,0.00135429,0.00135429,0.00135429,0.00135429,0.0015462,0.0015462,0.0015462,0.0015462,0.0015462,0.0020406,0.0020406,0.0020406,0.0020406,0.0020406,0.00290059,0.00290059,0.00290059,0.00290059,0.00290059,0.00445479,0.00445479,0.00445479,0.00445479,0.00445479,0.00733889,0.00733889,0.00733889,0.00733889,0.00733889,0.01207644,0.01207644,0.01207644,0.01207644,0.01207644,0.0190192,0.0190192,0.0190192,0.0190192,0.0190192,0.03079674,0.03079674,0.03079674,0.03079674,0.03079674,0.05235113,0.05235113,0.05235113,0.05235113,0.05235113,0.08923873,0.08923873,0.08923873,0.08923873,0.08923873,0.14496782,0.14496782,0.14496782,0.14496782,0.14496782,0.22806871,0.22806871,0.22806871,0.22806871,0.22806871,0.33238353,0.33238353,0.33238353,0.33238353,0.33238353,0.46531488,0.46531488,0.46531488,0.46531488,0.46531488,0.5785513000000001
1958,0.03984974,0.00156043,0.00156043,0.00156043,0.00156043,0.00057246,0.00057246,0.00057246,0.00057246,0.00057246,0.00043552,0.00043552,0.00043552,0.00043552,0.00043552,0.00089085,0.00089085,0.00089085,0.00089085,0.00089085,0.00130305,0.00130305,0.00130305,0.00130305,0.00130305,0.00135429,0.00135429,0.00135429,0.00135429,0.00135429,0.0015462,0.0015462,0.0015462,0.0015462,0.0015462,0.0020406,0.0020406,0.0020406,0.0020406,0.0020406,0.00290059,0.00290059,0.00290059,0.00290059,0.00290059,0.00445479,0.00445479,0.00445479,0.00445479,0.00445479,0.00733889,0.00733889,0.00733889,0.00733889,0.00733889,0.01207644,0.01207644,0.01207644,0.01207644,0.01207644,0.0190192,0.0190192,0.0190192,0.0190192,0.0190192,0.03079674,0.03079674,0.03079674,0.03079674,0.03079674,0.05235113,0.05235113,0.05235113,0.05235113,0.05235113,0.08923873,0.08923873,0.08923873,0.08923873,0.08923873,0.14496782,0.14496782,0.14496782,0.14496782,0.14496782,0.22806871,0.22806871,0.22806871,0.22806871,0.22806871,0.33238353,0.33238353,0.33238353,0.33238353,0.33238353,0.46531488,0.46531488,0.46531488,0.46531488,0.46531488,0.5785513000000001
1959,0.03984974,0.00156043,0.00156043,0.00156043,0.00156043,0.00057246,0.00057246,0.00057246,0.00057246,0.00057246,0.00043552,0.00043552,0.00043552,0.00043552,0.00043552,0.00089085,0.00089085,0.00089085,0.00089085,0.00089085,0.00130305,0.00130305,0.00130305,0.00130305,0.00130305,0.00135429,0.00135429,0.00135429,0.00135429,0.00135429,0.0015462,0.0015462,0.0015462,0.0015462,0.0015462,0.0020406,0.0020406,0.0020406,0.0020406,0.0020406,0.00290059,0.00290059,0.00290059,0.00290059,0.00290059,0.00445479,0.00445479,0.00445479,0.00445479,0.00445479,0.00733889,0.00733889,0.00733889,0.00733889,0.00733889,0.01207644,0.01207644,0.01207644,0.01207644,0.01207644,0.0190192,0.0190192,0.0190192,0.0190192,0.0190192,0.03079674,0.03079674,0.03079674,0.03079674,0.03079674,0.05235113,0.05235113,0.05235113,0.05235113,0.05235113,0.08923873,0.08923873,0.08923873,0.08923873,0.08923873,0.14496782,0.14496782,0.14496782,0.14496782,0.14496782,0.22806871,0.22806871,0.22806871,0.22806871,0.22806871,0.33238353,0.33238353,0.33238353,0.33238353,0.33238353,0.46531488,0.46531488,0.46531488,0.46531488,0.46531488,0.5785513000000001
