Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,491441,454362,433998,428003,434030,449732,472762,500774,531420,562353,596184,635524,653239,637066,599531,565147,528680,502213,494126,498374,498351,494766,499740,516804,539975,564111,595483,601086,565651,506640,452825,393707,368726,398901,463626,521905.99999999994,582683,627448,643092,639389,639762,640176,637068,631215,623002,611990,598203,585234,574813,565700,555108,543812,531190,516727,501069,485230,468828,453467,439994,427595,414810,402170,388114,371797,354113,336482,318236,301818,288462,276813,264625,252766,238087,218927,196975,175874,155251,135056,115746,97509,79767,62269,48368,39561,34341,29687,26184,22680,18290,13576,9321,6507,5214,3701,1967,1010.9999999999999,827,627,413,184,169
1951,520023,482810,451800,435263,431223,437702,452358,472848,499028,529655,561651,595798,635071,652727,636515,598954,564536,528029,501529,493418,497648,497609,494015,498961,515966,539061,563121,594402,599967,564578,505658,451920,392883,367913,397985,462535,520644,581239,625832,641333,637504,637733,637993,634735,628738,620384,609221,595278,582139,571531,562217,551410,539882,527023,512323.99999999994,496420,480315,463631,447941,434074,421233,407991,394871,380323,363506,345313,327191,308514,291533,277406,264893,251940,239371,224259,205072,183406,162629,142360,122824,104569,87635,71223,55146,42417,34345,29573,25441,22406,19325,15490,11351,7726,5429,4343,3076,1627,954,728,481,213,189
1952,546122,498416,474043,449110,436402,434316,441245,454851,472797,497139,527737,560787,595239,634434,652026,635780,598204,563761,527226,500699,492568,496779,496724,493122,498038,514977.99999999994,537990,561968,593150,598676,563342,504531,450885,391946,366993,396955,461311,519231,579627,624036,639390,635435,635522,635627,632218,626080,617586,606277,592181,578877,568086,558573,547555,535798,522706,507774,491630,475263,458302,442288,428032,414752,401056,387461,372425,355114,336417,317810,298707,281169,266274,252902,239188,225913,210373,191165,169791,149343,129433,110562,93366,77739,62663,48011,36455,29121,24798,21190,18623,15966,12686,9123,6130,4350,3472,2451,1287,790,524,234,212
1953,566249,516361,479083,465361,446496,437615,437481,444861,457421,472826,495336,525910,560019,594781,633904,651436,635153,597555,563082,526511,499955,491802,495995,495923,492313,497200,514078,537012,560911,591999,597486,562202,503490,449927,391075,366136,395993,460165,517907.00000000006,578114,622346,637555,633474,633418,633369,629810,623529,614895,603437,589187,575715,564739,555025,543794,531806,518480,503313,486925,470294,453054,436713,422065,408345,394193,380121,364594,346787,327583,308487,288957,270858,255194,240961,226484,212501,196530,177298,156212,136090,116536,98326,82186,67863,54119,40888,30504,23905,20031,16944,14846,12611,9887,6898,4535,3272,2601,1826,947,550,248,234
1954,578440,530431,493099,465589,456867,444063,439003,440823,448656,460174,473046,493731,524295,559476,594562,633630,651108,634782,597148,562631,526010,499412,491234,495410,495323,491702,496562,513385.99999999994,536250,560080,591087,596537,561288,502652,449150,390363,365426,395190,459204,516792.00000000006,576835,620907,635977,631769,631570,631367,627656,621229,612451,600841,586430,572784,561619,551701,540253,528030,514462,499055,482416,465514,447988,431313,416268,402102,387489,372935,356910,338600,318881,299289,279322,260656,244217,229117,213872,199174,182766,163502,142696,122892,103686,86130,71039,58014,45596,33781,24564,18699,15272,12706,11074,9262,7092,4676,2943,2196,1732,1202,607,259,256
1955,582126,540425,506705,480473,461232,448488,441745,440509,444283,452573,463051,473391,492257,522817,559081,594501,633524,650952,634579,596898,562328,525647,499001,490795,494956,494852,491220,496055,512828.99999999994,535629,559397,590330,595745,560523,501946,448491,389753,364813,394491,458364,515813,575707,619631,634567,630230,629889,629531,625667,619093,610168,598402,583826,570004,558646,548521,536852,524390,510578,494926,478033,460855,443038,426025,410578,395962,380883,365842,349316,330496,310258,290164,269756,250517,233297,217325,201307,185892,169042,149741,129208,109717,90854,73948,59903,48174,37079,26679,18628,13494,10513,8468,7303,5913,4296,2453,1350,1119,862,578,268,276
1956,577551,574379,538246,508198,484035,465558,452277,443705,441084,444791,453760,464273,474339,492706,522466,557760,592245,630314,647073,630484,592911,558421,521793,495457,487897,492893,493622,490906,496249,512870,535094,558351,588751,593717,558233,499526,445880,386890,361876,391743,455960,513730,573986,618055,632780,628005,627256,626457,622243,615495,606499,594610,579893,565882,554259,543814,531815,519000,504823,488800,471521,453936,435710,418201,402134,386823,371068,355362,338199,318789,298011,277437,256634,237030,219455,203193,186987,171437,154811,136233,116773,98373,80642,64949,52170,41718,31720,22650,15924,11520,8828,7039,6061,4899,3551,2017,1127,870,586,274,293
1957,569072,550023,567343,536731,510315,488191,470453,456620,446209,442201,445845,455505,466065,475869,493761,522756.99999999994,557127,590720,627882,643993,627168,589657,555203,518583.99999999994,492524,485601,491437,492999,491196,497053,513543,535217,557992,587898,592420,556631,497722,443819,384505,359386,389479,454118,512280.99999999994,572972,617240,631773,626555,625397,624156,619587,612656,603579,591553,576676,562459,550558,539779,527435,514253.00000000006,499693,483280,465593,447581,428924,410897,394191,378166,361715,345326,327504,307481,286138,265058,243837,223844,205893,189320,172906,157203,140780,122902,104489,87157,70536,56036,44507,35318,26403,18651,13241,9561,7155,5619,4827,3891,2810,1584,877,592,280,308
1958,560319,553784,544662,560508,535411,512621,492529,475525,461133,448879,443481,447064,457418,468029,477575,494998,523240,556696,589409,625677,641146,624078,586615,552186,515562,489769,483480,490160,492556,491666,498039,514404,535536,557838,587259,591339,555231,496099,441919,382259,357025,387356,452440,511018,572167,616650,630996,625333,623765,622082,617156,610039,600876,588709,573667,559239,547054,535938,523244,509689,494740,477931,459830,441383,422288,403737,386385,369639,352485,335407,316920,296274,274359,252765,231117,210727,192393,175503,158875,143013,126787,109603,92231,75962,60446,47135,36853,28924,21091,14656,10560,7605,5483,4200,3594,2884,2070,1151,596,284,320
1959,555844,559147,557236,551019,553467,533898,514746,496695,480432,465487,451391,444605,448125,459170,469828,479113,496060,523537.00000000006,556068,587886,623247,638067,620762,583361,548969,512352.99999999994,486836,481185,488707,491937,491962,498849,515082.99999999994,535665,557484,586410,590046,553632,494297,439859,379874,354535,385092,450599,509571,571158,615840,629994,623886,621910,619783,614502,607202,597957,585653,570451,555816,543351,531901,518863.00000000006,504939,489607,472407,453898,435022,415495,396426,378434,360972,343121,325359,306212,284952,262471,240370,218302,197522,178812,161611,144773,128758.00000000001,112735,96252,79929,64729,50325,38209,29178,22515,15766,10651,7874,5643,3807,2778,2358,1875,1328,717,285,329
