Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,520820.00000000006,479232.0,455784.0,447940.0,453161.0,468910.0,492649.0,521840.00000000006,553946.0,586429.0,621756.0,662395.0,680781.0000000001,664366.0000000001,625629.0,588914.0,548535.0,517700.00000000006,505174.00000000006,503977.0,498281.0,491149.0,482064.0,469150.0,453517.0,440390.99999999994,431416.0,414284.0,384263.00000000006,348241.99999999994,315234.00000000006,280300.0,267622.0,289144.0,332549.00000000006,373801.0,417980.0,453126.99999999994,470948.00000000006,477353.0,486082.0,493835.0,501436.99999999994,510491.99999999994,519164.0,524864.0,529125.0,525643.0,511347.0,489695.0,467685.0,444478.0,421519.0,400418.0,380879.0,360433.00000000006,338900.0,322263.0,313042.00000000006,308622.0,303970.0,300217.0,294501.0,284932.0,272943.0,261620.99999999997,250062.0,239419.0,230484.0,222329.0,213549.0,204796.0,193430.0,178113.0,160253.0,142935.0,125954.0,108907.00000000001,92039.0,75756.0,59888.99999999999,44074.0,31990.0,25328.000000000004,22408.0,19842.0,18288.0,16509.0,13544.0,10005.0,7097.0,5239.0,4255.0,3110.0,1806.0,1070.0,885.9999999999999,685.0,467.0,231.99999999999997,295.0
1951,549911.0,511051.99999999994,476236.0,457074.0,451439.0,457200.99999999994,471828.00000000006,492788.0,519973.00000000006,552062.0,585714.0,621380.0,661936.0,680233.0000000001,663730.0,624906.0,588099.0,547622.0,516713.00000000006,504151.0,502945.99999999994,497241.0,490106.0,481024.0,468116.99999999994,452494.0,439379.0,430407.0,413301.0,383340.0,347395.0,314449.0,279577.0,266905.0,288351.0,331623.00000000006,372734.00000000006,416753.00000000006,451738.00000000006,469407.0,475658.0,484217.0,491793.0,499180.0,507967.0,516338.00000000006,521736.99999999994,525691.0,521925.99999999994,507388.00000000006,485523.0,463288.0,439837.0,416675.0,395429.00000000006,375772.0,355191.99999999994,333526.0,316673.0,307108.0,302255.0,297169.00000000006,292966.0,286793.0,276770.0,264329.0,252572.99999999997,240635.0,229516.0,219947.0,211100.0,201720.99999999997,192425.0,180775.99999999997,165554.0,148079.0,131177.00000000003,114626.0,98311.0,82573.0,67660.0,53173.0,38821.0,27879.0,21819.000000000004,19146.0,16999.000000000004,15599.0,13995.0,11415.0,8352.0,5883.999999999999,4363.0,3538.0000000000005,2581.0000000000005,1492.0,939.0,729.0000000000001,498.0,247.0,311.0
1952,576229.0,525039.0,501145.0,473111.0,458241.99999999994,454816.99999999994,461119.0,474621.0,492795.0,517965.00000000006,550028.0,584841.0,620838.0000000001,661299.0,679501.0000000001,662914.0,624014.0,587125.0,546561.0,515587.0,502993.00000000006,501778.0,496066.99999999994,488931.99999999994,479856.0,466958.0,451349.0,438248.00000000006,429281.0,412205.99999999994,382314.0,346453.00000000006,313580.0,278778.0,266116.0,287481.0,330607.0,371566.0,415414.0,450227.0,467738.00000000006,473835.0,482221.0,489618.00000000006,496788.0,505304.00000000006,513371.99999999994,518469.00000000006,522115.0,518067.0,503291.0,481219.0,458764.0,435077.0,411717.0,390330.99999999994,370561.99999999994,349855.0,328061.99999999994,310996.0,301089.0,295805.0,290286.0,285634.0,279005.0,268532.0,255642.0,243454.0,231140.0,219549.0,209350.0,199812.0,189835.99999999997,179999.00000000003,168071.0,152947.99999999997,135863.0,119381.0,103264.0,87686.0,73083.0,59545.0,46442.0,33556.99999999999,23759.0,18304.000000000004,15879.000000000002,14151.0,12905.999999999998,11476.0,9283.0,6696.000000000001,4670.0,3486.0,2820.0,2050.0,1177.0,740.0,507.0,252.0,320.0
1953,596410.0,543668.0,504114.00000000006,491212.0,469963.0,459385.99999999994,458171.99999999994,465013.00000000006,477389.0,492776.0,515929.99999999994,547966.0,583939.0,620263.0,660628.0,678735.0,662064.0,623091.0,586121.0,545472.0,514433.99999999994,501808.00000000006,500585.0,494868.00000000006,487732.0,478662.0,465774.0,450181.0,437094.0,428134.0,411090.0,381268.0,345495.0,312695.0,277965.0,265313.0,286596.0,329575.0,370379.0,414054.00000000006,448691.99999999994,466046.0,471988.00000000006,480200.99999999994,487418.0,494370.0,502616.0,510379.0,515174.0,518511.99999999994,514182.0,499169.00000000006,476890.99999999994,454217.0,430295.0,406738.00000000006,385214.0,365334.0,344500.0,322580.99999999994,305304.00000000006,295055.0,289340.0,283388.0,278289.0,271203.0,260281.0,246942.0,234322.99999999997,221634.0,209572.0,198742.00000000003,188514.0,177940.99999999997,167564.00000000003,155358.0,140335.0,123640.0,107579.0,91897.0,77057.0,63589.0,51426.0,39708.0,28291.999999999996,19637.999999999996,14788.0,12610.999999999998,11302.0,10212.0,8956.0,7150.0,5039.0,3456.0000000000005,2609.0,2102.0,1519.0000000000002,862.0,499.0,250.0,322.99999999999994
1954,608569.0,558298.0,519044.0,489936.0,481300.0,466834.0,460549.00000000006,461546.0,468926.99999999994,480176.99999999994,492779.0,513918.0,545928.0,583061.0,619715.0,659986.0000000001,677997.0,661243.0,622194.0,585143.0,544406.9999999999,513304.0,500645.99999999994,499414.0,493690.0,486554.00000000006,477489.00000000006,464611.0,449032.0,435959.0,427005.0,409991.99999999994,380238.00000000006,344550.0,311824.0,277164.0,264522.0,285723.0,328556.0,369209.0,412711.0,447176.99999999994,464373.00000000006,470161.0,478200.99999999994,485239.00000000006,491974.0,499949.0,507409.0,511902.0,514932.0,510320.0,495068.00000000006,472583.0,449690.0,425532.0,401778.0,380114.00000000006,360121.99999999994,339160.0,317114.00000000006,299625.0,289034.0,282888.0,276504.0,270955.99999999994,263414.0,252041.0,238253.0,225203.0,212139.0,199604.0,188143.0,177225.0,166055.99999999997,155138.0,142653.0,127729.0,111423.99999999999,95782.99999999999,80535.0,66432.0,54099.0,43311.00000000001,32977.0,23028.000000000004,15519.0,11273.0,9343.0,8454.0,7519.0,6438.0,5018.0,3384.0,2241.0,1732.0,1384.0000000000002,989.0000000000001,547.0,243.0,320.0
1955,612185.0,568722.0,533391.9999999999,505708.0,485180.0,471319.0,463635.99999999994,461643.0,464850.0,472770.0,482892.0,492707.0,511829.0,543809.0,582096.0,619074.0000000001,659243.9999999999,677158.0,660322.0,621204.0000000001,584076.0,543260.0,512096.0,499408.0,498167.0,492438.00000000006,485301.99999999994,476245.0,463378.00000000006,447816.0,434759.0,425811.99999999994,408832.0,379151.0,343555.0,310906.0,276322.0,263691.0,284807.0,327489.00000000006,367983.0,411306.0,445595.0,462631.99999999994,468264.0,476130.0,482986.99999999994,489504.0,497207.0,504363.00000000006,508554.00000000006,511275.0,506381.0,490894.0,468205.99999999994,445097.0,420705.99999999994,396756.99999999994,374957.0,354856.0,333770.0,311601.0,293902.0,282971.0,276394.0,269579.0,263582.99999999994,255587.00000000003,243765.0,229530.0,216051.0,202613.0,189607.0,177518.0,165910.99999999997,154148.0,142690.0,129929.0,115106.00000000001,99193.0,83975.0,69164.0,55799.0,44603.0,35191.0,26241.0,17761.0,11398.0,7757.000000000001,6075.0,5606.0,4825.0,3918.0,2886.0,1728.0000000000002,1027.0000000000002,855.0,665.9999999999999,457.99999999999994,231.99999999999997,311.0
1956,607721.0,603675.0,565914.0,534350.0,508796.0,489065.0,474670.0,465124.0,461743.00000000006,464945.0,473639.0,483870.0,493486.99999999994,512120.0,543211.0,580380.0,616279.0,655341.0,672477.0,655396.0000000001,616406.9999999999,579377.0,538653.0,507796.0,495681.99999999994,495171.99999999994,490190.0,483876.99999999994,475339.0,462495.0,446629.0,433319.0,424103.0,406885.0,377061.0,341385.99999999994,308605.0,273829.0,261134.0,282387.0,325316.0,366011.99999999994,409529.0,443861.0,460703.00000000006,465971.0,473475.0,479964.0,485996.99999999994,493070.0,499505.0,502974.0,504953.00000000006,499418.0,483457.0,460418.0,436941.99999999994,412167.0,387959.0,366073.00000000006,345986.0,324917.00000000006,302813.0,285001.0,273664.0,266500.0,259147.99999999997,252629.00000000003,244171.0,232004.00000000003,217515.0,203815.0,190225.0,177090.99999999997,164880.0,153202.0,141452.0,130051.00000000001,117636.00000000001,103564.0,88681.0,74499.0,60746.0,48496.0,38448.0,30179.000000000004,22206.0,14897.0,9651.0,6580.0,5075.0,4626.0,3976.0000000000005,3223.9999999999995,2370.0,1413.0,804.0,626.0,432.00000000000006,220.0,298.0
1957,599617.0,579415.0,595989.0,563870.0,536021.9999999999,512559.99999999994,493598.0,478651.0,467231.0,462462.0,465662.0,475140.99999999994,485494.0,494925.0,513097.0,543342.0,579444.0,614315.0,652322.0,668705.0,651356.0,612445.0,575463.0000000001,534774.0,504183.00000000006,492626.99999999994,492845.0,488602.0,483103.0,475070.99999999994,462231.0,446043.0,432463.0,422965.0,405486.0,375480.0,339679.00000000006,306722.0,271707.0,258930.99999999997,280349.0,323582.99999999994,364534.0,408303.00000000006,442723.0,459394.0,464305.0,471458.0,477590.0,483147.0,489600.0,495325.0,498077.0,499319.0,493135.0,476681.0,453260.0,429385.99999999994,404194.0,379695.99999999994,357694.0,337595.0,316515.0,294445.99999999994,276497.0,264740.0,256980.00000000003,249083.0,242032.0,233104.0,220575.0,205812.0,191874.00000000003,178113.0,164835.0,152486.0,140721.0,128969.0,117607.99999999999,105522.0,92181.0,78306.0,65140.0,52424.0,41271.0,32356.0,25217.0,18208.0,12058.0,7919.0,5412.999999999999,4083.0,3654.0,3134.0,2535.0,1857.0,1101.0,587.0000000000001,405.0,207.0,282.0
1958,591427.0,583914.0,573701.0,588683.0,562186.0,538036.9999999999,516651.99999999994,498448.00000000006,482939.0,469638.00000000006,463476.0,466676.99999999994,476948.00000000006,487429.00000000006,496680.0,514401.99999999994,543820.0,578879.0,612744.0,649721.0,665360.0,647732.0,608873.0,571915.9999999999,531238.0,500892.0,489886.99999999994,490833.0,487325.99999999994,482636.99999999994,475107.0,462264.0,445741.99999999994,431883.00000000006,422098.0,404347.0,374138.00000000006,338189.0,305035.0,269759.0,256894.0,278490.0,322056.0,363290.0,407339.0,441869.0,458380.0,462936.99999999994,469741.99999999994,475520.0,480606.0,486441.99999999994,491461.0,493499.0,494004.0,487168.0,470209.0,446390.99999999994,422104.00000000006,396480.0,371675.0,349543.0,329418.0,308314.0,286265.99999999994,268168.0,255983.0,247623.0,239176.0,231588.0,222183.0,209285.0,194239.0,180053.0,166113.0,152682.00000000003,140187.0,128327.0,116565.0,105238.99999999999,93473.99999999999,80855.0,67980.0,55820.0,44135.0,34071.0,26283.0,20270.0,14220.0,9226.0,6193.0,4250.0,3094.0,2685.0,2294.0,1848.0,1345.9999999999998,789.0,377.99999999999994,193.0,264.0
1959,587629.0,590153.0,587302.0,580019.0,581476.0,560602.0,540151.0,520842.0,503394.0,487319.0,472133.00000000006,464575.99999999994,467778.0,478843.0,489454.0,498528.0,515802.0,544398.0,578418.0,611281.9999999999,647234.0,662133.0,644223.0000000001,605409.0,568470.0,527795.0,497689.0,487233.0,488908.0,486138.00000000006,482259.0,475230.0,462381.0,445522.0,431381.0,421306.0,403280.0,372863.00000000006,336759.0,303401.0,267858.0,254900.99999999997,276680.0,320587.0,362111.0,406446.99999999994,441094.0,457446.99999999994,461651.0,468111.0,473536.0,478150.0,483370.0,487683.00000000006,489006.0,488773.0,481283.0,463815.0,439597.0,414890.99999999994,388829.0,363713.0,341446.99999999994,321293.0,300160.0,278130.0,259880.0,247264.0,238301.0,229302.00000000003,221176.0,211292.0,198022.00000000003,182690.0,168253.0,154131.0,140543.99999999997,127901.00000000001,115945.0,104171.0,92876.0,81430.0,69532.0,57656.00000000001,46501.99999999999,35846.0,26870.0,20209.0,15321.0,10231.0,6393.0,4465.0,3086.9999999999995,2104.0,1715.0,1454.0,1160.0,835.0,477.00000000000006,179.0,246.00000000000003
