Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.17087367,0.03134529,0.03134529,0.03134529,0.03134529,0.00763208,0.00763208,0.00763208,0.00763208,0.00763208,0.00392893,0.00392893,0.00392893,0.00392893,0.00392893,0.00593232,0.00593232,0.00593232,0.00593232,0.00593232,0.00906185,0.00906185,0.00906185,0.00906185,0.00906185,0.00901404,0.00901404,0.00901404,0.00901404,0.00901404,0.00924904,0.00924904,0.00924904,0.00924904,0.00924904,0.01035264,0.01035264,0.01035264,0.01035264,0.01035264,0.01257691,0.01257691,0.01257691,0.01257691,0.01257691,0.01521766,0.01521766,0.01521766,0.01521766,0.01521766,0.02003717,0.02003717,0.02003717,0.02003717,0.02003717,0.02729217,0.02729217,0.02729217,0.02729217,0.02729217,0.04076932,0.04076932,0.04076932,0.04076932,0.04076932,0.06075655,0.06075655,0.06075655,0.06075655,0.06075655,0.09629719,0.09629719,0.09629719,0.09629719,0.09629719,0.15299705,0.15299705,0.15299705,0.15299705,0.15299705,0.2380263,0.2380263,0.2380263,0.2380263,0.2380263,0.35352512,0.35352512,0.35352512,0.35352512,0.35352512,0.50051486,0.50051486,0.50051486,0.50051486,0.50051486,0.60617623,0.60617623,0.60617623,0.60617623,0.60617623,0.72945494
1951,0.17087367,0.03134529,0.03134529,0.03134529,0.03134529,0.00763208,0.00763208,0.00763208,0.00763208,0.00763208,0.00392893,0.00392893,0.00392893,0.00392893,0.00392893,0.00593232,0.00593232,0.00593232,0.00593232,0.00593232,0.00906185,0.00906185,0.00906185,0.00906185,0.00906185,0.00901404,0.00901404,0.00901404,0.00901404,0.00901404,0.00924904,0.00924904,0.00924904,0.00924904,0.00924904,0.01035264,0.01035264,0.01035264,0.01035264,0.01035264,0.01257691,0.01257691,0.01257691,0.01257691,0.01257691,0.01521766,0.01521766,0.01521766,0.01521766,0.01521766,0.02003717,0.02003717,0.02003717,0.02003717,0.02003717,0.02729217,0.02729217,0.02729217,0.02729217,0.02729217,0.04076932,0.04076932,0.04076932,0.04076932,0.04076932,0.06075655,0.06075655,0.06075655,0.06075655,0.06075655,0.09629719,0.09629719,0.09629719,0.09629719,0.09629719,0.15299705,0.15299705,0.15299705,0.15299705,0.15299705,0.2380263,0.2380263,0.2380263,0.2380263,0.2380263,0.35352512,0.35352512,0.35352512,0.35352512,0.35352512,0.50051486,0.50051486,0.50051486,0.50051486,0.50051486,0.60617623,0.60617623,0.60617623,0.60617623,0.60617623,0.72945494
1952,0.17087367,0.03134529,0.03134529,0.03134529,0.03134529,0.00763208,0.00763208,0.00763208,0.00763208,0.00763208,0.00392893,0.00392893,0.00392893,0.00392893,0.00392893,0.00593232,0.00593232,0.00593232,0.00593232,0.00593232,0.00906185,0.00906185,0.00906185,0.00906185,0.00906185,0.00901404,0.00901404,0.00901404,0.00901404,0.00901404,0.00924904,0.00924904,0.00924904,0.00924904,0.00924904,0.01035264,0.01035264,0.01035264,0.01035264,0.01035264,0.01257691,0.01257691,0.01257691,0.01257691,0.01257691,0.01521766,0.01521766,0.01521766,0.01521766,0.01521766,0.02003717,0.02003717,0.02003717,0.02003717,0.02003717,0.02729217,0.02729217,0.02729217,0.02729217,0.02729217,0.04076932,0.04076932,0.04076932,0.04076932,0.04076932,0.06075655,0.06075655,0.06075655,0.06075655,0.06075655,0.09629719,0.09629719,0.09629719,0.09629719,0.09629719,0.15299705,0.15299705,0.15299705,0.15299705,0.15299705,0.2380263,0.2380263,0.2380263,0.2380263,0.2380263,0.35352512,0.35352512,0.35352512,0.35352512,0.35352512,0.50051486,0.50051486,0.50051486,0.50051486,0.50051486,0.60617623,0.60617623,0.60617623,0.60617623,0.60617623,0.72945494
1953,0.17087367,0.03134529,0.03134529,0.03134529,0.03134529,0.00763208,0.00763208,0.00763208,0.00763208,0.00763208,0.00392893,0.00392893,0.00392893,0.00392893,0.00392893,0.00593232,0.00593232,0.00593232,0.00593232,0.00593232,0.00906185,0.00906185,0.00906185,0.00906185,0.00906185,0.00901404,0.00901404,0.00901404,0.00901404,0.00901404,0.00924904,0.00924904,0.00924904,0.00924904,0.00924904,0.01035264,0.01035264,0.01035264,0.01035264,0.01035264,0.01257691,0.01257691,0.01257691,0.01257691,0.01257691,0.01521766,0.01521766,0.01521766,0.01521766,0.01521766,0.02003717,0.02003717,0.02003717,0.02003717,0.02003717,0.02729217,0.02729217,0.02729217,0.02729217,0.02729217,0.04076932,0.04076932,0.04076932,0.04076932,0.04076932,0.06075655,0.06075655,0.06075655,0.06075655,0.06075655,0.09629719,0.09629719,0.09629719,0.09629719,0.09629719,0.15299705,0.15299705,0.15299705,0.15299705,0.15299705,0.2380263,0.2380263,0.2380263,0.2380263,0.2380263,0.35352512,0.35352512,0.35352512,0.35352512,0.35352512,0.50051486,0.50051486,0.50051486,0.50051486,0.50051486,0.60617623,0.60617623,0.60617623,0.60617623,0.60617623,0.72945494
1954,0.17087367,0.03134529,0.03134529,0.03134529,0.03134529,0.00763208,0.00763208,0.00763208,0.00763208,0.00763208,0.00392893,0.00392893,0.00392893,0.00392893,0.00392893,0.00593232,0.00593232,0.00593232,0.00593232,0.00593232,0.00906185,0.00906185,0.00906185,0.00906185,0.00906185,0.00901404,0.00901404,0.00901404,0.00901404,0.00901404,0.00924904,0.00924904,0.00924904,0.00924904,0.00924904,0.01035264,0.01035264,0.01035264,0.01035264,0.01035264,0.01257691,0.01257691,0.01257691,0.01257691,0.01257691,0.01521766,0.01521766,0.01521766,0.01521766,0.01521766,0.02003717,0.02003717,0.02003717,0.02003717,0.02003717,0.02729217,0.02729217,0.02729217,0.02729217,0.02729217,0.04076932,0.04076932,0.04076932,0.04076932,0.04076932,0.06075655,0.06075655,0.06075655,0.06075655,0.06075655,0.09629719,0.09629719,0.09629719,0.09629719,0.09629719,0.15299705,0.15299705,0.15299705,0.15299705,0.15299705,0.2380263,0.2380263,0.2380263,0.2380263,0.2380263,0.35352512,0.35352512,0.35352512,0.35352512,0.35352512,0.50051486,0.50051486,0.50051486,0.50051486,0.50051486,0.60617623,0.60617623,0.60617623,0.60617623,0.60617623,0.72945494
1955,0.15286709,0.0276361,0.0276361,0.0276361,0.0276361,0.00665751,0.00665751,0.00665751,0.00665751,0.00665751,0.00351418,0.00351418,0.00351418,0.00351418,0.00351418,0.00530934,0.00530934,0.00530934,0.00530934,0.00530934,0.00812325,0.00812325,0.00812325,0.00812325,0.00812325,0.0080666,0.0080666,0.0080666,0.0080666,0.0080666,0.00836136,0.00836136,0.00836136,0.00836136,0.00836136,0.00939381,0.00939381,0.00939381,0.00939381,0.00939381,0.01148366,0.01148366,0.01148366,0.01148366,0.01148366,0.01400642,0.01400642,0.01400642,0.01400642,0.01400642,0.01858772,0.01858772,0.01858772,0.01858772,0.01858772,0.02546866,0.02546866,0.02546866,0.02546866,0.02546866,0.03810056,0.03810056,0.03810056,0.03810056,0.03810056,0.05692177,0.05692177,0.05692177,0.05692177,0.05692177,0.09060014,0.09060014,0.09060014,0.09060014,0.09060014,0.14486731,0.14486731,0.14486731,0.14486731,0.14486731,0.22693735,0.22693735,0.22693735,0.22693735,0.22693735,0.34020961,0.34020961,0.34020961,0.34020961,0.34020961,0.48351815,0.48351815,0.48351815,0.48351815,0.48351815,0.59090478,0.59090478,0.59090478,0.59090478,0.59090478,0.71645909
1956,0.15286709,0.0276361,0.0276361,0.0276361,0.0276361,0.00665751,0.00665751,0.00665751,0.00665751,0.00665751,0.00351418,0.00351418,0.00351418,0.00351418,0.00351418,0.00530934,0.00530934,0.00530934,0.00530934,0.00530934,0.00812325,0.00812325,0.00812325,0.00812325,0.00812325,0.0080666,0.0080666,0.0080666,0.0080666,0.0080666,0.00836136,0.00836136,0.00836136,0.00836136,0.00836136,0.00939381,0.00939381,0.00939381,0.00939381,0.00939381,0.01148366,0.01148366,0.01148366,0.01148366,0.01148366,0.01400642,0.01400642,0.01400642,0.01400642,0.01400642,0.01858772,0.01858772,0.01858772,0.01858772,0.01858772,0.02546866,0.02546866,0.02546866,0.02546866,0.02546866,0.03810056,0.03810056,0.03810056,0.03810056,0.03810056,0.05692177,0.05692177,0.05692177,0.05692177,0.05692177,0.09060014,0.09060014,0.09060014,0.09060014,0.09060014,0.14486731,0.14486731,0.14486731,0.14486731,0.14486731,0.22693735,0.22693735,0.22693735,0.22693735,0.22693735,0.34020961,0.34020961,0.34020961,0.34020961,0.34020961,0.48351815,0.48351815,0.48351815,0.48351815,0.48351815,0.59090478,0.59090478,0.59090478,0.59090478,0.59090478,0.71645909
1957,0.15286709,0.0276361,0.0276361,0.0276361,0.0276361,0.00665751,0.00665751,0.00665751,0.00665751,0.00665751,0.00351418,0.00351418,0.00351418,0.00351418,0.00351418,0.00530934,0.00530934,0.00530934,0.00530934,0.00530934,0.00812325,0.00812325,0.00812325,0.00812325,0.00812325,0.0080666,0.0080666,0.0080666,0.0080666,0.0080666,0.00836136,0.00836136,0.00836136,0.00836136,0.00836136,0.00939381,0.00939381,0.00939381,0.00939381,0.00939381,0.01148366,0.01148366,0.01148366,0.01148366,0.01148366,0.01400642,0.01400642,0.01400642,0.01400642,0.01400642,0.01858772,0.01858772,0.01858772,0.01858772,0.01858772,0.02546866,0.02546866,0.02546866,0.02546866,0.02546866,0.03810056,0.03810056,0.03810056,0.03810056,0.03810056,0.05692177,0.05692177,0.05692177,0.05692177,0.05692177,0.09060014,0.09060014,0.09060014,0.09060014,0.09060014,0.14486731,0.14486731,0.14486731,0.14486731,0.14486731,0.22693735,0.22693735,0.22693735,0.22693735,0.22693735,0.34020961,0.34020961,0.34020961,0.34020961,0.34020961,0.48351815,0.48351815,0.48351815,0.48351815,0.48351815,0.59090478,0.59090478,0.59090478,0.59090478,0.59090478,0.71645909
1958,0.15286709,0.0276361,0.0276361,0.0276361,0.0276361,0.00665751,0.00665751,0.00665751,0.00665751,0.00665751,0.00351418,0.00351418,0.00351418,0.00351418,0.00351418,0.00530934,0.00530934,0.00530934,0.00530934,0.00530934,0.00812325,0.00812325,0.00812325,0.00812325,0.00812325,0.0080666,0.0080666,0.0080666,0.0080666,0.0080666,0.00836136,0.00836136,0.00836136,0.00836136,0.00836136,0.00939381,0.00939381,0.00939381,0.00939381,0.00939381,0.01148366,0.01148366,0.01148366,0.01148366,0.01148366,0.01400642,0.01400642,0.01400642,0.01400642,0.01400642,0.01858772,0.01858772,0.01858772,0.01858772,0.01858772,0.02546866,0.02546866,0.02546866,0.02546866,0.02546866,0.03810056,0.03810056,0.03810056,0.03810056,0.03810056,0.05692177,0.05692177,0.05692177,0.05692177,0.05692177,0.09060014,0.09060014,0.09060014,0.09060014,0.09060014,0.14486731,0.14486731,0.14486731,0.14486731,0.14486731,0.22693735,0.22693735,0.22693735,0.22693735,0.22693735,0.34020961,0.34020961,0.34020961,0.34020961,0.34020961,0.48351815,0.48351815,0.48351815,0.48351815,0.48351815,0.59090478,0.59090478,0.59090478,0.59090478,0.59090478,0.71645909
1959,0.15286709,0.0276361,0.0276361,0.0276361,0.0276361,0.00665751,0.00665751,0.00665751,0.00665751,0.00665751,0.00351418,0.00351418,0.00351418,0.00351418,0.00351418,0.00530934,0.00530934,0.00530934,0.00530934,0.00530934,0.00812325,0.00812325,0.00812325,0.00812325,0.00812325,0.0080666,0.0080666,0.0080666,0.0080666,0.0080666,0.00836136,0.00836136,0.00836136,0.00836136,0.00836136,0.00939381,0.00939381,0.00939381,0.00939381,0.00939381,0.01148366,0.01148366,0.01148366,0.01148366,0.01148366,0.01400642,0.01400642,0.01400642,0.01400642,0.01400642,0.01858772,0.01858772,0.01858772,0.01858772,0.01858772,0.02546866,0.02546866,0.02546866,0.02546866,0.02546866,0.03810056,0.03810056,0.03810056,0.03810056,0.03810056,0.05692177,0.05692177,0.05692177,0.05692177,0.05692177,0.09060014,0.09060014,0.09060014,0.09060014,0.09060014,0.14486731,0.14486731,0.14486731,0.14486731,0.14486731,0.22693735,0.22693735,0.22693735,0.22693735,0.22693735,0.34020961,0.34020961,0.34020961,0.34020961,0.34020961,0.48351815,0.48351815,0.48351815,0.48351815,0.48351815,0.59090478,0.59090478,0.59090478,0.59090478,0.59090478,0.71645909
