Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.08504504,0.01519654,0.01519654,0.01519654,0.01519654,0.00359368,0.00359368,0.00359368,0.00359368,0.00359368,0.00079637,0.00079637,0.00079637,0.00079637,0.00079637,0.00210613,0.00210613,0.00210613,0.00210613,0.00210613,0.00338959,0.00338959,0.00338959,0.00338959,0.00338959,0.0047988,0.0047988,0.0047988,0.0047988,0.0047988,0.00674355,0.00674355,0.00674355,0.00674355,0.00674355,0.00929792,0.00929792,0.00929792,0.00929792,0.00929792,0.01238961,0.01238961,0.01238961,0.01238961,0.01238961,0.01640598,0.01640598,0.01640598,0.01640598,0.01640598,0.02100673,0.02100673,0.02100673,0.02100673,0.02100673,0.02625538,0.02625538,0.02625538,0.02625538,0.02625538,0.03370815,0.03370815,0.03370815,0.03370815,0.03370815,0.04713448,0.04713448,0.04713448,0.04713448,0.04713448,0.06978439,0.06978439,0.06978439,0.06978439,0.06978439,0.10824114,0.10824114,0.10824114,0.10824114,0.10824114,0.15647007,0.15647007,0.15647007,0.15647007,0.15647007,0.21808083,0.21808083,0.21808083,0.21808083,0.21808083,0.30480777,0.30480777,0.30480777,0.30480777,0.30480777,0.41016466,0.41016466,0.41016466,0.41016466,0.41016466,0.53139591
1951,0.08504504,0.01519654,0.01519654,0.01519654,0.01519654,0.00359368,0.00359368,0.00359368,0.00359368,0.00359368,0.00079637,0.00079637,0.00079637,0.00079637,0.00079637,0.00210613,0.00210613,0.00210613,0.00210613,0.00210613,0.00338959,0.00338959,0.00338959,0.00338959,0.00338959,0.0047988,0.0047988,0.0047988,0.0047988,0.0047988,0.00674355,0.00674355,0.00674355,0.00674355,0.00674355,0.00929792,0.00929792,0.00929792,0.00929792,0.00929792,0.01238961,0.01238961,0.01238961,0.01238961,0.01238961,0.01640598,0.01640598,0.01640598,0.01640598,0.01640598,0.02100673,0.02100673,0.02100673,0.02100673,0.02100673,0.02625538,0.02625538,0.02625538,0.02625538,0.02625538,0.03370815,0.03370815,0.03370815,0.03370815,0.03370815,0.04713448,0.04713448,0.04713448,0.04713448,0.04713448,0.06978439,0.06978439,0.06978439,0.06978439,0.06978439,0.10824114,0.10824114,0.10824114,0.10824114,0.10824114,0.15647007,0.15647007,0.15647007,0.15647007,0.15647007,0.21808083,0.21808083,0.21808083,0.21808083,0.21808083,0.30480777,0.30480777,0.30480777,0.30480777,0.30480777,0.41016466,0.41016466,0.41016466,0.41016466,0.41016466,0.53139591
1952,0.08504504,0.01519654,0.01519654,0.01519654,0.01519654,0.00359368,0.00359368,0.00359368,0.00359368,0.00359368,0.00079637,0.00079637,0.00079637,0.00079637,0.00079637,0.00210613,0.00210613,0.00210613,0.00210613,0.00210613,0.00338959,0.00338959,0.00338959,0.00338959,0.00338959,0.0047988,0.0047988,0.0047988,0.0047988,0.0047988,0.00674355,0.00674355,0.00674355,0.00674355,0.00674355,0.00929792,0.00929792,0.00929792,0.00929792,0.00929792,0.01238961,0.01238961,0.01238961,0.01238961,0.01238961,0.01640598,0.01640598,0.01640598,0.01640598,0.01640598,0.02100673,0.02100673,0.02100673,0.02100673,0.02100673,0.02625538,0.02625538,0.02625538,0.02625538,0.02625538,0.03370815,0.03370815,0.03370815,0.03370815,0.03370815,0.04713448,0.04713448,0.04713448,0.04713448,0.04713448,0.06978439,0.06978439,0.06978439,0.06978439,0.06978439,0.10824114,0.10824114,0.10824114,0.10824114,0.10824114,0.15647007,0.15647007,0.15647007,0.15647007,0.15647007,0.21808083,0.21808083,0.21808083,0.21808083,0.21808083,0.30480777,0.30480777,0.30480777,0.30480777,0.30480777,0.41016466,0.41016466,0.41016466,0.41016466,0.41016466,0.53139591
1953,0.08504504,0.01519654,0.01519654,0.01519654,0.01519654,0.00359368,0.00359368,0.00359368,0.00359368,0.00359368,0.00079637,0.00079637,0.00079637,0.00079637,0.00079637,0.00210613,0.00210613,0.00210613,0.00210613,0.00210613,0.00338959,0.00338959,0.00338959,0.00338959,0.00338959,0.0047988,0.0047988,0.0047988,0.0047988,0.0047988,0.00674355,0.00674355,0.00674355,0.00674355,0.00674355,0.00929792,0.00929792,0.00929792,0.00929792,0.00929792,0.01238961,0.01238961,0.01238961,0.01238961,0.01238961,0.01640598,0.01640598,0.01640598,0.01640598,0.01640598,0.02100673,0.02100673,0.02100673,0.02100673,0.02100673,0.02625538,0.02625538,0.02625538,0.02625538,0.02625538,0.03370815,0.03370815,0.03370815,0.03370815,0.03370815,0.04713448,0.04713448,0.04713448,0.04713448,0.04713448,0.06978439,0.06978439,0.06978439,0.06978439,0.06978439,0.10824114,0.10824114,0.10824114,0.10824114,0.10824114,0.15647007,0.15647007,0.15647007,0.15647007,0.15647007,0.21808083,0.21808083,0.21808083,0.21808083,0.21808083,0.30480777,0.30480777,0.30480777,0.30480777,0.30480777,0.41016466,0.41016466,0.41016466,0.41016466,0.41016466,0.53139591
1954,0.08504504,0.01519654,0.01519654,0.01519654,0.01519654,0.00359368,0.00359368,0.00359368,0.00359368,0.00359368,0.00079637,0.00079637,0.00079637,0.00079637,0.00079637,0.00210613,0.00210613,0.00210613,0.00210613,0.00210613,0.00338959,0.00338959,0.00338959,0.00338959,0.00338959,0.0047988,0.0047988,0.0047988,0.0047988,0.0047988,0.00674355,0.00674355,0.00674355,0.00674355,0.00674355,0.00929792,0.00929792,0.00929792,0.00929792,0.00929792,0.01238961,0.01238961,0.01238961,0.01238961,0.01238961,0.01640598,0.01640598,0.01640598,0.01640598,0.01640598,0.02100673,0.02100673,0.02100673,0.02100673,0.02100673,0.02625538,0.02625538,0.02625538,0.02625538,0.02625538,0.03370815,0.03370815,0.03370815,0.03370815,0.03370815,0.04713448,0.04713448,0.04713448,0.04713448,0.04713448,0.06978439,0.06978439,0.06978439,0.06978439,0.06978439,0.10824114,0.10824114,0.10824114,0.10824114,0.10824114,0.15647007,0.15647007,0.15647007,0.15647007,0.15647007,0.21808083,0.21808083,0.21808083,0.21808083,0.21808083,0.30480777,0.30480777,0.30480777,0.30480777,0.30480777,0.41016466,0.41016466,0.41016466,0.41016466,0.41016466,0.53139591
1955,0.06801709,0.01031512,0.01031512,0.01031512,0.01031512,0.00261706,0.00261706,0.00261706,0.00261706,0.00261706,0.00080344,0.00080344,0.00080344,0.00080344,0.00080344,0.00183838,0.00183838,0.00183838,0.00183838,0.00183838,0.00293752,0.00293752,0.00293752,0.00293752,0.00293752,0.00413409,0.00413409,0.00413409,0.00413409,0.00413409,0.00574865,0.00574865,0.00574865,0.00574865,0.00574865,0.00784704,0.00784704,0.00784704,0.00784704,0.00784704,0.01049675,0.01049675,0.01049675,0.01049675,0.01049675,0.01401699,0.01401699,0.01401699,0.01401699,0.01401699,0.01823755,0.01823755,0.01823755,0.01823755,0.01823755,0.02313228,0.02313228,0.02313228,0.02313228,0.02313228,0.03089043,0.03089043,0.03089043,0.03089043,0.03089043,0.04267495,0.04267495,0.04267495,0.04267495,0.04267495,0.06355437,0.06355437,0.06355437,0.06355437,0.06355437,0.09502861,0.09502861,0.09502861,0.09502861,0.09502861,0.14383062,0.14383062,0.14383062,0.14383062,0.14383062,0.20607079,0.20607079,0.20607079,0.20607079,0.20607079,0.28764818,0.28764818,0.28764818,0.28764818,0.28764818,0.38714063,0.38714063,0.38714063,0.38714063,0.38714063,0.50559714
1956,0.06801709,0.01031512,0.01031512,0.01031512,0.01031512,0.00261706,0.00261706,0.00261706,0.00261706,0.00261706,0.00080344,0.00080344,0.00080344,0.00080344,0.00080344,0.00183838,0.00183838,0.00183838,0.00183838,0.00183838,0.00293752,0.00293752,0.00293752,0.00293752,0.00293752,0.00413409,0.00413409,0.00413409,0.00413409,0.00413409,0.00574865,0.00574865,0.00574865,0.00574865,0.00574865,0.00784704,0.00784704,0.00784704,0.00784704,0.00784704,0.01049675,0.01049675,0.01049675,0.01049675,0.01049675,0.01401699,0.01401699,0.01401699,0.01401699,0.01401699,0.01823755,0.01823755,0.01823755,0.01823755,0.01823755,0.02313228,0.02313228,0.02313228,0.02313228,0.02313228,0.03089043,0.03089043,0.03089043,0.03089043,0.03089043,0.04267495,0.04267495,0.04267495,0.04267495,0.04267495,0.06355437,0.06355437,0.06355437,0.06355437,0.06355437,0.09502861,0.09502861,0.09502861,0.09502861,0.09502861,0.14383062,0.14383062,0.14383062,0.14383062,0.14383062,0.20607079,0.20607079,0.20607079,0.20607079,0.20607079,0.28764818,0.28764818,0.28764818,0.28764818,0.28764818,0.38714063,0.38714063,0.38714063,0.38714063,0.38714063,0.50559714
1957,0.06801709,0.01031512,0.01031512,0.01031512,0.01031512,0.00261706,0.00261706,0.00261706,0.00261706,0.00261706,0.00080344,0.00080344,0.00080344,0.00080344,0.00080344,0.00183838,0.00183838,0.00183838,0.00183838,0.00183838,0.00293752,0.00293752,0.00293752,0.00293752,0.00293752,0.00413409,0.00413409,0.00413409,0.00413409,0.00413409,0.00574865,0.00574865,0.00574865,0.00574865,0.00574865,0.00784704,0.00784704,0.00784704,0.00784704,0.00784704,0.01049675,0.01049675,0.01049675,0.01049675,0.01049675,0.01401699,0.01401699,0.01401699,0.01401699,0.01401699,0.01823755,0.01823755,0.01823755,0.01823755,0.01823755,0.02313228,0.02313228,0.02313228,0.02313228,0.02313228,0.03089043,0.03089043,0.03089043,0.03089043,0.03089043,0.04267495,0.04267495,0.04267495,0.04267495,0.04267495,0.06355437,0.06355437,0.06355437,0.06355437,0.06355437,0.09502861,0.09502861,0.09502861,0.09502861,0.09502861,0.14383062,0.14383062,0.14383062,0.14383062,0.14383062,0.20607079,0.20607079,0.20607079,0.20607079,0.20607079,0.28764818,0.28764818,0.28764818,0.28764818,0.28764818,0.38714063,0.38714063,0.38714063,0.38714063,0.38714063,0.50559714
1958,0.06801709,0.01031512,0.01031512,0.01031512,0.01031512,0.00261706,0.00261706,0.00261706,0.00261706,0.00261706,0.00080344,0.00080344,0.00080344,0.00080344,0.00080344,0.00183838,0.00183838,0.00183838,0.00183838,0.00183838,0.00293752,0.00293752,0.00293752,0.00293752,0.00293752,0.00413409,0.00413409,0.00413409,0.00413409,0.00413409,0.00574865,0.00574865,0.00574865,0.00574865,0.00574865,0.00784704,0.00784704,0.00784704,0.00784704,0.00784704,0.01049675,0.01049675,0.01049675,0.01049675,0.01049675,0.01401699,0.01401699,0.01401699,0.01401699,0.01401699,0.01823755,0.01823755,0.01823755,0.01823755,0.01823755,0.02313228,0.02313228,0.02313228,0.02313228,0.02313228,0.03089043,0.03089043,0.03089043,0.03089043,0.03089043,0.04267495,0.04267495,0.04267495,0.04267495,0.04267495,0.06355437,0.06355437,0.06355437,0.06355437,0.06355437,0.09502861,0.09502861,0.09502861,0.09502861,0.09502861,0.14383062,0.14383062,0.14383062,0.14383062,0.14383062,0.20607079,0.20607079,0.20607079,0.20607079,0.20607079,0.28764818,0.28764818,0.28764818,0.28764818,0.28764818,0.38714063,0.38714063,0.38714063,0.38714063,0.38714063,0.50559714
1959,0.06801709,0.01031512,0.01031512,0.01031512,0.01031512,0.00261706,0.00261706,0.00261706,0.00261706,0.00261706,0.00080344,0.00080344,0.00080344,0.00080344,0.00080344,0.00183838,0.00183838,0.00183838,0.00183838,0.00183838,0.00293752,0.00293752,0.00293752,0.00293752,0.00293752,0.00413409,0.00413409,0.00413409,0.00413409,0.00413409,0.00574865,0.00574865,0.00574865,0.00574865,0.00574865,0.00784704,0.00784704,0.00784704,0.00784704,0.00784704,0.01049675,0.01049675,0.01049675,0.01049675,0.01049675,0.01401699,0.01401699,0.01401699,0.01401699,0.01401699,0.01823755,0.01823755,0.01823755,0.01823755,0.01823755,0.02313228,0.02313228,0.02313228,0.02313228,0.02313228,0.03089043,0.03089043,0.03089043,0.03089043,0.03089043,0.04267495,0.04267495,0.04267495,0.04267495,0.04267495,0.06355437,0.06355437,0.06355437,0.06355437,0.06355437,0.09502861,0.09502861,0.09502861,0.09502861,0.09502861,0.14383062,0.14383062,0.14383062,0.14383062,0.14383062,0.20607079,0.20607079,0.20607079,0.20607079,0.20607079,0.28764818,0.28764818,0.28764818,0.28764818,0.28764818,0.38714063,0.38714063,0.38714063,0.38714063,0.38714063,0.50559714
