Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,61250.0,56977.0,53239.0,49994.0,47202.0,44821.99999999999,42813.0,41133.99999999999,39746.0,38606.0,37693.00000000001,36986.0,36349.00000000001,35703.0,35066.0,34518.0,34029.0,33509.0,32915.0,32256.0,31600.0,30955.0,30146.0,29099.0,27894.000000000004,26701.0,25505.0,24311.0,23143.0,22011.0,20881.0,19741.0,18772.000000000004,18055.0,17508.0,16980.0,16518.0,15987.0,15312.999999999998,14567.0,13877.0,13190.0,12662.0,12373.0,12234.000000000002,12081.0,11957.0,11727.0,11312.000000000002,10777.999999999998,10276.0,9783.999999999998,9290.0,8807.0,8335.0,7858.0,7370.0,6940.0,6596.0,6309.0,6022.0,5754.0,5452.999999999999,5088.999999999999,4691.0,4312.0,3938.9999999999995,3601.0000000000005,3316.0000000000005,3066.9999999999995,2823.0,2590.0,2356.0,2110.0,1861.0,1629.0,1410.0,1210.0,1032.0,874.0000000000001,728.0,593.0,480.0,392.99999999999994,327.0,271.0,226.99999999999997,190.0,160.0,135.0,125.0,108.00000000000001,96.99999999999999,93.00000000000001,96.0,104.00000000000001,107.0,103.00000000000001,93.00000000000001,77.0,256.0
1951,68887.0,59861.99999999999,55755.0,52191.0,49123.99999999999,46506.0,44301.0,42473.0,40922.0,39580.0,38431.0,37509.0,36781.0,36126.0,35476.0,34842.0,34287.0,33784.0,33251.0,32650.0,31987.0,31326.0,30676.0,29865.0,28820.999999999996,27621.0,26435.0,25247.0,24060.0,22901.0,21776.999999999996,20656.0,19526.0,18564.0,17852.0,17308.0,16784.000000000004,16324.000000000002,15797.0,15127.0,14386.0,13699.000000000002,13017.000000000002,12490.0,12199.000000000002,12056.0,11899.0,11769.0,11536.0,11120.0,10585.999999999998,10085.0,9592.0,9097.999999999998,8613.999999999998,8142.000000000001,7665.0,7178.0,6746.0,6399.0,6107.0,5817.0,5544.0,5242.000000000001,4882.0,4491.000000000001,4119.0,3753.9999999999995,3421.9999999999995,3139.0,2892.0,2650.0,2420.0,2191.0,1952.0,1712.0,1490.0,1281.0,1091.0,924.0,779.0,645.0,522.0,419.0,341.0,281.0,231.99999999999997,193.0,162.0,135.0,114.0,104.00000000000001,90.0,81.0,77.0,80.0,78.0,74.00000000000001,67.0,57.0,200.0
1952,74602.0,67011.00000000001,58361.99999999999,54428.00000000001,51046.00000000001,48161.0,45721.0,43696.00000000001,42052.0,40632.0,39336.99999999999,38181.99999999999,37251.0,36505.0,35833.0,35180.0,34550.0,33989.00000000001,33473.0,32929.0,32321.999999999996,31656.0,30991.999999999996,30338.0,29526.999999999996,28487.0,27296.0,26119.0,24940.0,23763.0,22614.0,21500.999999999996,20392.0,19273.0,18320.999999999996,17615.0,17076.0,16555.0,16099.0,15575.999999999998,14911.0,14177.0,13495.999999999998,12818.0,12294.0,12002.0,11855.0,11694.0,11560.0,11323.0,10907.0,10375.0,9874.0,9382.0,8888.0,8405.0,7934.0,7457.999999999999,6972.0,6541.0,6191.0,5895.0,5601.0,5324.0,5021.0,4666.0,4282.0,3918.0,3562.0,3237.0,2958.0,2711.9999999999995,2473.0000000000005,2246.0,2021.0,1790.0,1561.0,1348.0,1149.0,970.0,815.0,682.0,560.0,449.0,358.0,288.00000000000006,235.0,192.0,159.0,133.0,111.0,92.0,83.0,71.0,64.0,61.0,63.0,52.00000000000001,47.0,40.99999999999999,153.0
1953,78730.0,70533.0,63543.0,56972.0,53203.0,49995.0,47287.0,45021.0,43170.0,41708.0,40414.0,39166.0,38001.0,37061.0,36295.0,35605.0,34948.0,34321.0,33751.99999999999,33222.0,32667.0,32053.000000000004,31383.000000000004,30714.000000000004,30055.0,29241.999999999996,28205.0,27021.0,25850.0,24678.0,23510.0,22369.0,21265.0,20164.0,19055.0,18111.0,17410.999999999996,16874.000000000004,16357.0,15902.999999999998,15383.0,14722.999999999998,13994.000000000002,13317.0,12644.0,12120.999999999998,11827.0,11675.999999999998,11510.0,11372.0,11132.0,10714.0,10183.0,9682.0,9189.0,8695.0,8212.0,7741.000000000001,7263.999999999999,6780.0,6347.0,5994.0,5693.0,5395.0,5114.0,4810.0,4458.0,4082.0,3725.0,3377.0,3058.0000000000005,2782.0,2538.0000000000005,2300.0,2077.0,1855.9999999999998,1633.0,1413.0,1210.0,1020.0,851.0,708.0,587.0000000000001,477.00000000000006,377.99999999999994,297.0,236.00000000000003,190.0,152.0,126.0,105.0,86.0,71.0,63.0,53.0,47.0,45.0,47.0,32.0,28.999999999999996,115.99999999999999
1954,81499.0,73377.0,66398.0,60468.99999999999,55723.0,52111.00000000001,49068.00000000001,46531.00000000001,44433.0,42751.99999999999,41467.0,40297.0,39092.0,37915.0,36964.0,36176.0,35466.0,34803.00000000001,34177.0,33600.0,33055.0,32486.999999999996,31864.0,31189.0,30513.0,29846.999999999996,29031.0,27994.0,26813.000000000004,25646.0,24478.0,23315.0,22180.0,21081.0,19987.000000000004,18885.0,17945.999999999996,17249.000000000004,16715.0,16200.0,15747.0,15229.000000000002,14572.000000000002,13845.0,13171.0,12500.0,11979.000000000002,11682.0,11526.0,11356.0,11212.0,10968.0,10548.0,10016.0,9513.0,9019.0,8524.0,8039.999999999999,7567.0,7088.999999999999,6604.0,6170.0,5812.0,5506.0,5202.999999999999,4917.0,4611.000000000001,4262.0,3892.0,3541.0000000000005,3200.0,2887.0,2613.0,2370.0,2134.0,1912.0,1696.0,1479.0,1269.0000000000002,1074.0,893.0,734.0000000000001,603.0,493.0,395.0,308.0,238.00000000000003,184.0,145.0,113.0,93.00000000000001,77.0,62.0,50.0,42.0,35.0,31.0,28.999999999999996,30.0,20.0,86.0
1955,83073.0,75637.0,69138.0,63506.0,58669.0,54556.00000000001,51095.0,48215.0,45845.0,43912.0,42400.0,41291.00000000001,40244.0,39080.0,37889.0,36924.0,36114.00000000001,35383.0,34711.99999999999,34086.99999999999,33500.0,32939.0,32357.0,31724.0,31041.999999999996,30359.0,29686.0,28864.0,27826.0,26646.0,25480.999999999996,24316.0,23156.0,22025.0,20930.0,19840.999999999996,18744.0,17809.0,17115.0,16581.0,16067.0,15615.0,15097.999999999998,14443.0,13718.0,13046.0,12376.0,11854.000000000002,11554.0,11392.999999999998,11218.0,11069.0,10821.0,10398.0,9863.999999999998,9360.0,8863.0,8366.0,7879.0,7404.0,6923.999999999999,6438.0,6001.0,5638.999999999999,5326.000000000001,5018.0,4726.0,4418.0,4072.0,3708.0,3362.0,3028.0,2719.0,2448.0,2204.0,1970.0,1750.0,1537.0,1328.0,1125.0,940.0,767.0,618.0,498.0,400.0,313.0,238.00000000000003,178.00000000000003,133.0,100.0,74.00000000000001,60.0,49.0,38.0,28.999999999999996,22.000000000000004,18.000000000000004,15.0,13.000000000000002,13.999999999999998,63.0
1956,83029.0,80276.00000000001,73680.0,67804.0,62607.0,58049.0,54063.99999999999,50586.00000000001,47693.00000000001,45391.99999999999,43568.00000000001,42088.0,40958.0,39894.0,38734.0,37556.99999999999,36592.0,35772.0,35032.0,34358.00000000001,33731.0,33140.0,32575.000000000004,31991.0,31359.0,30680.0,30000.0,29331.0,28515.0,27486.0,26318.0,25163.0,24010.0,22862.0,21741.999999999996,20659.000000000004,19581.0,18495.0,17570.0,16880.0,16349.0,15837.0,15386.0,14870.999999999998,14220.0,13500.0,12832.0,12165.999999999998,11645.0,11342.0,11174.000000000002,10994.000000000002,10839.0,10585.0,10161.0,9626.0,9121.0,8623.0,8125.999999999999,7640.0,7166.0,6688.0,6202.999999999999,5769.0,5409.0,5099.0,4794.0,4506.0,4202.0,3861.0,3501.0000000000005,3162.0,2833.9999999999995,2533.0,2268.0000000000005,2032.0,1805.0,1593.0000000000002,1390.0,1193.0,1006.0,834.0000000000001,677.0,541.0,432.00000000000006,345.0,268.0,203.0,152.0,113.0,84.0,62.0,50.0,40.0,32.0,24.0,12.0,10.0,9.000000000000002,9.000000000000002,45.0
1957,82687.99999999999,77906.0,77808.0,72021.0,66742.0,61958.99999999999,57660.0,53786.0,50279.0,47361.99999999999,45120.0,43398.0,41943.00000000001,40789.0,39704.0,38542.0,37375.0,36405.0,35571.99999999999,34821.99999999999,34140.0,33508.0,32912.0,32341.0,31753.0,31119.0,30440.0,29761.0,29093.000000000004,28280.0,27256.0,26094.0,24945.999999999996,23800.0,22659.000000000004,21546.0,20470.0,19399.0,18320.0,17400.0,16713.0,16183.0,15671.0,15219.000000000002,14704.0,14054.0,13337.0,12669.0,12005.0,11482.999999999998,11175.0,11001.0,10814.0,10652.000000000002,10392.999999999998,9964.0,9427.0,8919.0,8419.0,7919.0,7431.0,6956.0,6478.0,5994.0,5560.0,5201.000000000001,4893.0,4590.0,4305.0,4003.0,3666.0000000000005,3310.0,2975.0,2653.0,2356.0,2098.0000000000005,1868.0,1648.0000000000002,1443.0,1249.0,1064.0,890.9999999999999,733.0,589.0,466.0,369.0,292.0,223.0,168.0,127.0,94.0,68.0,50.0,40.0,32.0,25.0,19.0,8.0,6.999999999999999,6.999999999999999,33.0
1958,82315.0,78975.0,75512.0,75468.0,70483.0,65792.0,61415.0,57368.0,53600.0,50055.0,47110.0,44923.0,43300.0,41869.0,40688.0,39580.99999999999,38415.0,37256.0,36280.0,35433.0,34669.00000000001,33979.0,33343.0,32740.000000000004,32162.0,31568.0,30930.999999999996,30250.999999999996,29572.0,28904.0,28093.000000000004,27072.0,25914.0,24771.0,23630.0,22494.0,21386.999999999996,20316.0,19250.0,18176.0,17260.0,16574.0,16043.0,15530.0,15077.0,14561.0,13912.0,13195.0,12527.999999999998,11864.0,11339.0,11027.000000000002,10845.999999999998,10652.000000000002,10482.999999999998,10218.0,9783.999999999998,9243.0,8731.0,8228.0,7725.0,7236.000000000001,6758.999999999999,6279.0,5794.0,5360.0,5002.0,4695.0,4393.0,4110.0,3811.0000000000005,3476.0000000000005,3123.9999999999995,2793.0,2475.0,2184.0,1931.0,1706.9999999999998,1493.0,1295.0,1110.0,937.0,777.0,633.0,502.0,392.0,306.0,239.0,179.0,134.0,102.0,75.0,53.0,38.0,30.0,24.0,19.0,13.999999999999998,6.0,6.0,24.0
1959,82261.00000000001,80082.0,77503.0,74594.0,73124.0,68942.0,64842.0,60872.0,57078.0,53415.0,49833.99999999999,46858.99999999999,44728.0,43203.99999999999,41797.0,40589.0,39459.0,38290.0,37138.00000000001,36156.0,35294.00000000001,34518.0,33820.0,33178.00000000001,32568.000000000004,31983.0,31384.0,30744.0,30064.0,29384.0,28715.999999999996,27906.0,26888.0,25735.0,24596.999999999996,23460.0,22330.0,21228.0,20162.0,19101.0,18033.0,17120.0,16435.0,15904.000000000002,15390.0,14936.0,14419.0,13770.0,13054.0,12387.0,11722.999999999998,11196.0,10879.000000000002,10690.999999999998,10490.0,10314.0,10042.0,9604.0,9059.0,8544.0,8037.000000000001,7531.000000000001,7039.0,6561.0,6080.0,5593.999999999999,5160.0,4802.0,4496.0,4196.000000000001,3915.0,3619.0,3287.0,2938.0,2611.0,2296.9999999999995,2011.0000000000002,1763.0000000000002,1545.0,1338.0,1146.0,970.0,809.0,662.9999999999999,532.0,415.0,317.0,243.0,186.00000000000003,135.0,100.0,77.0,55.99999999999999,37.00000000000001,26.000000000000004,20.0,16.0,13.000000000000002,9.000000000000002,5.0,17.0
