Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,62912.0,58474.0,54589.0,51215.0,48310.0,45833.0,43741.00000000001,41993.0,40547.0,39361.0,38413.00000000001,37681.0,37024.0,36359.0,35705.99999999999,35150.0,34655.0,34141.99999999999,33573.0,32949.0,32328.000000000004,31720.0,30941.999999999996,29913.0,28717.0,27533.0,26345.0,25151.999999999996,23979.0,22836.0,21691.999999999996,20531.999999999996,19540.0,18798.0,18223.0,17664.0,17168.0,16593.0,15857.999999999998,15040.0,14277.999999999998,13519.0,12924.000000000002,12580.0,12392.999999999998,12193.0,12023.0,11754.000000000002,11310.0,10754.000000000002,10232.999999999998,9724.0,9218.0,8726.0,8250.0,7770.0,7282.0,6851.0,6507.000000000001,6217.000000000001,5931.0,5662.999999999999,5362.0,5000.0,4603.0,4226.0,3856.0000000000005,3518.0000000000005,3230.0,2977.0,2728.9999999999995,2494.0,2256.0,2008.0,1758.0,1525.0,1305.0,1105.9999999999998,932.9999999999999,782.9999999999999,644.0,517.0,411.00000000000006,331.0,271.0,221.0,182.0,151.0,125.0,103.00000000000001,95.0,81.0,72.00000000000001,68.0,69.0,72.00000000000001,73.0,69.0,62.0,51.0,166.99999999999997
1951,70697.0,61604.0,57335.0,53621.0,50415.0,47670.0,45350.0,43416.00000000001,41779.0,40375.0,39185.0,38230.0,37480.0,36808.0,36143.0,35497.0,34938.0,34435.0,33915.0,33341.0,32716.0,32092.0,31482.0,30703.000000000004,29675.0,28482.0,27302.0,26116.999999999996,24929.000000000004,23761.0,22623.0,21484.0,20330.0,19343.0,18602.999999999996,18028.0,17469.0,16973.0,16399.0,15665.999999999998,14852.0,14093.0,13337.0,12743.0,12395.999999999998,12204.0,11999.0,11823.0,11550.0,11104.000000000002,10549.000000000002,10027.999999999998,9517.999999999998,9012.0,8520.0,8044.000000000001,7564.0,7077.000000000001,6646.0,6297.999999999999,6005.0,5713.999999999999,5442.0,5141.0,4783.0,4394.0,4025.0000000000005,3663.0000000000005,3332.0,3048.0,2798.0,2553.0,2320.9999999999995,2090.0,1851.0,1611.0,1389.0,1180.0,993.0,832.0000000000001,694.0000000000001,567.0000000000001,452.0,357.00000000000006,285.0,231.0,187.0,154.0,128.0,105.0,86.0,78.0,67.0,59.00000000000001,55.99999999999999,57.0,53.0,50.0,44.00000000000001,37.00000000000001,128.0
1952,76528.0,68868.0,60168.0,56077.0,52541.00000000001,49508.99999999999,46930.0,44771.0,42998.99999999999,41476.00000000001,40118.0,38926.0,37965.0,37200.0,36515.0,35850.0,35213.0,34652.0,34141.99999999999,33615.0,33039.0,32414.0,31789.0,31178.0,30399.0,29375.0,28186.999999999996,27013.0,25834.0,24651.999999999996,23491.999999999996,22362.0,21230.999999999996,20086.0,19105.0,18368.0,17795.0,17238.0,16743.0,16170.000000000002,15442.0,14633.0,13878.0,13127.0,12535.0,12186.0,11989.0,11779.000000000002,11597.999999999998,11322.000000000002,10876.0,10321.0,9801.0,9293.0,8787.0,8297.0,7821.000000000001,7342.000000000001,6858.0,6427.000000000001,6077.000000000001,5780.0,5486.000000000001,5211.0,4910.0,4556.999999999999,4177.0,3816.0000000000005,3463.0,3140.0,2861.0,2613.0,2372.0,2145.0,1920.0,1690.0,1462.0,1251.0,1054.0,878.0,730.0,604.0,490.0,387.0,302.0,239.0,191.0,153.0,126.0,104.00000000000001,85.0,69.0,62.0,53.0,47.0,44.00000000000001,44.00000000000001,34.0,30.0,26.000000000000004,95.0
1953,80738.0,72518.0,65468.99999999999,58831.0,54912.0,51548.0,48684.0,46266.00000000001,44263.99999999999,42650.0,41239.0,39924.0,38728.0,37760.99999999999,36979.0,36279.0,35615.0,34984.0,34421.0,33903.0,33369.0,32790.0,32163.000000000004,31537.0,30923.0,30144.000000000004,29121.0,27938.000000000004,26767.0,25593.000000000004,24416.0,23261.0,22136.999999999996,21011.999999999996,19873.0,18897.000000000004,18163.0,17590.0,17034.000000000004,16539.0,15968.0,15242.0,14437.000000000002,13686.0,12939.0,12347.999999999998,11995.0,11793.0,11579.0,11392.999999999998,11113.0,10665.0,10111.0,9591.000000000002,9083.0,8577.0,8087.0,7611.000000000001,7132.999999999999,6650.0,6218.999999999999,5866.000000000001,5565.0,5268.0,4989.0,4687.0,4338.999999999999,3966.0,3613.0,3270.0,2953.9999999999995,2678.0,2433.0000000000005,2195.9999999999995,1972.0,1753.0,1531.9999999999998,1315.0,1115.9999999999998,929.0,765.0,629.0,515.0,413.0,322.0,248.0,193.0,152.0,120.0,98.0,81.0,65.0,52.00000000000001,46.0,39.0,34.0,32.0,32.0,20.0,18.000000000000004,70.0
1954,83557.0,75460.0,68459.0,62467.0,57630.0,53873.00000000001,50673.0,47971.0,45708.0,43858.99999999999,42400.0,41097.0,39821.99999999999,38620.0,37645.0,36843.0,36126.99999999999,35461.0,34836.99999999999,34270.0,33742.0,33200.0,32616.999999999996,31987.0,31357.0,30740.0,29958.000000000004,28935.0,27753.0,26583.000000000004,25410.0,24236.0,23084.0,21963.0,20842.0,19707.0,18733.0,18000.0,17427.0,16869.0,16373.000000000002,15802.0,15078.0,14275.0,13526.0,12780.0,12189.0,11833.0,11625.0,11405.0,11213.0,10929.0,10479.000000000002,9925.0,9402.999999999998,8894.0,8387.0,7896.0,7419.0,6941.0,6457.000000000001,6025.0,5667.999999999999,5362.0,5061.0,4778.000000000001,4475.0,4131.0,3765.0,3418.9999999999995,3083.0,2773.9999999999995,2502.0,2259.0,2025.0,1804.0,1590.0,1378.0,1172.0,983.0,807.0,654.0,529.0,428.0,337.0,258.0,195.0,147.0,113.0,86.0,70.0,57.0,46.0,35.0,30.0,25.0,21.0,20.0,20.0,12.0,50.0
1955,85154.0,77792.0,71310.0,65645.0,60732.0,56507.0,52907.0,49867.0,47324.0,45214.0,43516.00000000001,42210.0,41013.99999999999,39778.0,38567.0,37580.99999999999,36760.0,36027.0,35358.00000000001,34739.00000000001,34168.0,33629.0,33079.0,32489.000000000004,31855.999999999996,31221.999999999996,30600.0,29815.0,28790.0,27607.0,26436.999999999996,25264.0,24089.000000000004,22939.0,21820.0,20701.0,19567.999999999996,18596.0,17862.000000000004,17287.0,16729.0,16230.999999999998,15658.0,14934.000000000002,14133.0,13384.0,12639.000000000002,12047.0,11687.000000000002,11472.999999999998,11247.0,11049.000000000002,10760.0,10308.0,9751.0,9228.0,8717.0,8208.0,7715.0,7237.0,6757.000000000001,6273.0,5838.999999999999,5478.0,5167.000000000001,4861.000000000001,4573.0,4268.0,3928.0,3568.0,3228.9999999999995,2901.0000000000005,2597.0,2329.0,2086.9999999999995,1855.0,1638.0000000000002,1429.0,1225.0,1029.0000000000002,850.0,685.0,542.9999999999999,430.0,340.0,262.0,195.0,141.0,102.0,74.00000000000001,53.0,43.0,34.0,26.000000000000004,19.0,13.000000000000002,11.000000000000002,9.000000000000002,8.0,8.0,35.0
1956,85167.0,82516.0,75959.0,70069.0,64812.0,60154.0,56037.0,52402.0,49338.0,46858.00000000001,44857.0,43193.00000000001,41871.0,40662.0,39430.0,38233.00000000001,37248.00000000001,36419.00000000001,35680.0,35010.0,34394.0,33823.0,33285.0,32735.0,32145.000000000004,31513.0,30880.0,30258.000000000004,29476.0,28458.000000000004,27283.0,26121.0,24956.0,23791.0,22649.0,21539.0,20429.000000000004,19305.0,18339.000000000004,17609.0,17035.0,16477.0,15979.000000000002,15408.0,14687.999999999998,13890.999999999998,13147.0,12405.999999999998,11815.0,11452.0,11232.000000000002,11000.0,10796.0,10503.0,10048.0,9492.0,8969.0,8457.0,7949.0,7457.999999999999,6981.0,6504.0,6023.0,5593.0,5235.0,4927.0,4625.0,4342.0,4043.0,3707.0,3355.0,3022.0,2702.0,2406.0,2146.0,1913.0,1690.9999999999998,1482.0,1285.0,1094.0,914.0,750.0,599.0,471.00000000000006,370.0,291.00000000000006,221.0,163.99999999999997,120.0,86.0,61.0,44.00000000000001,35.0,27.999999999999996,21.0,15.0,6.999999999999999,5.0,5.0,5.0,24.0
1957,84867.0,80248.0,80196.0,74417.0,69094.0,64224.99999999999,59803.00000000001,55778.0,52093.99999999999,48994.0,46568.99999999999,44669.0,43033.0,41690.0,40463.0,39230.0,38043.0,37055.0,36215.0,35468.0,34795.0,34178.00000000001,33606.0,33066.0,32514.000000000004,31923.0,31288.0,30653.000000000004,30031.0,29249.000000000004,28233.0,27061.999999999996,25904.0,24743.000000000004,23581.999999999996,22445.0,21339.000000000004,20233.0,19114.0,18152.0,17422.0,16847.0,16288.0,15789.000000000002,15216.0,14497.0,13703.0,12960.0,12220.0,11628.0,11260.0,11033.0,10795.0,10584.000000000002,10285.0,9827.0,9269.0,8743.0,8230.0,7721.0,7229.0,6752.999999999999,6276.0,5797.000000000001,5367.999999999999,5013.0,4707.0,4408.0,4128.0,3833.0,3502.0,3154.0,2828.0000000000005,2514.0000000000005,2225.0,1972.0,1747.0,1533.0000000000002,1333.0000000000002,1146.0,968.0,802.9999999999999,653.0,516.0,401.0,312.0,243.0,182.0,134.0,98.0,71.0,49.0,34.0,27.999999999999996,22.000000000000004,17.0,12.0,4.0,3.0,4.0,16.0
1958,84526.00000000001,81388.0,78048.0,77993.0,72983.0,68221.0,63732.0,59541.00000000001,55601.00000000001,51864.0,48723.0,46348.0,44547.0,42936.00000000001,41570.0,40324.0,39089.0,37909.0,36917.0,36065.0,35308.0,34631.0,34013.00000000001,33439.0,32897.0,32342.0,31748.0,31110.0,30473.000000000004,29848.000000000004,29065.0,28050.0,26881.0,25726.0,24566.999999999996,23408.0,22274.0,21171.0,20067.999999999996,18952.0,17991.0,17261.0,16684.0,16123.000000000002,15620.999999999998,15047.0,14328.0,13534.0,12790.999999999998,12052.0,11458.0,11085.0,10851.0,10606.0,10388.0,10083.0,9620.0,9059.0,8531.0,8013.999999999999,7504.0,7010.0,6534.0,6058.0,5579.0,5151.0,4797.0,4493.0,4197.0,3920.0,3628.0,3302.0,2958.9999999999995,2637.0,2329.0,2046.9999999999998,1801.0,1584.0,1376.9999999999998,1186.0,1008.0,843.0,692.0000000000001,556.0,434.0,332.0,254.0,195.0,143.00000000000003,105.0,77.0,55.0,37.00000000000001,25.0,20.0,16.0,12.0,9.000000000000002,3.0,3.0,11.000000000000002
1959,84505.0,82556.0,80124.0,77289.0,75774.0,71536.99999999999,67338.00000000001,63231.0,59272.0,55418.0,51626.99999999999,48445.0,46122.0,44420.0,42833.99999999999,41445.0,40180.0,38943.00000000001,37771.0,36775.0,35910.0,35143.0,34461.99999999999,33844.0,33268.0,32723.0,32165.999999999996,31568.0,30928.0,30288.0,29660.999999999996,28877.0,27863.000000000004,26697.0,25543.000000000004,24386.999999999996,23230.999999999996,22100.0,21000.0,19900.0,18787.0,17828.0,17097.0,16519.000000000004,15956.0,15450.999999999998,14876.0,14155.999999999998,13363.0,12620.999999999998,11882.0,11286.0,10908.0,10667.0,10415.0,10190.0,9878.0,9412.0,8847.999999999998,8317.0,7797.999999999999,7285.0,6791.0,6314.0,5837.999999999999,5360.0,4933.0,4581.0,4279.0,3985.0,3711.0000000000005,3421.9999999999995,3100.0,2762.0,2445.9999999999995,2143.0000000000005,1868.0,1629.0,1419.0,1220.9999999999998,1037.0,870.0,718.0,581.0,460.0,351.00000000000006,262.0,196.0,147.0,104.00000000000001,75.0,55.99999999999999,40.0,25.0,16.0,13.000000000000002,10.0,8.0,6.0,2.0,8.0
