Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,17808,17085,16369,15664,14975,14306,13665,13055,12482,11951,11453,10976,10601,10364,10223,10105,10021,9937,9825,9702,9602,9511,9441,9400,9373,9341,9313,9241,9102,8916,8728,8526,8332,8161,7999,7819,7628,7411,7159,6881,6603,6337,6025,5653,5247,4851,4441,4132,3980,3929,3870,3835,3743,3550,3297,3068,2842,2657,2541,2469,2390,2315,2233,2137,2031.0000000000002,1930,1835,1730,1614,1490,1368,1247,1128,1014.9999999999999,908,803,703,606,511,421,337,257,192,151,125,103,87,73,56,40,26,18,14,10,5,3,2,2,1,0,0
1951,20182,17288,16542,15838,15176,14550,13970,13439,12911,12364,11824,11325,10852,10478,10243,10105,9985,9898,9810,9698,9573,9471,9378,9306,9263,9235,9202,9173,9101,8961,8776,8589,8387,8193,8023.999999999999,7862,7683,7492,7277,7028,6754,6480,6217,5910,5542,5144,4753,4349,4043,3892,3839,3781,3743,3652,3460,3209,2983,2759,2576,2459,2384,2304,2226,2143,2045,1937,1835,1739,1634,1519,1396,1276,1157,1042,932,829,729,633,542,454,372,296,224,166,129,106,87,74,61,47,33,21,14,11,8,5,2,2,1,0,0
1952,21839,19695,16703,15936,15249,14631,14072,13580,13163,12718,12199,11651,11155,10685,10314,10082,9949,9829,9737,9646,9532,9407,9303,9208,9135,9091,9062,9028,8997,8925,8787,8603,8417,8217,8025,7855,7695,7518,7329,7116,6871,6601,6332,6073,5771,5410,5019,4636,4239,3939,3790,3736,3676,3638,3547,3357,3110,2886,2666,2484,2367,2291,2208,2130,2045.9999999999998,1946,1837,1734,1637,1532,1417,1297,1179,1063,951,846,748,652,562,476,396,323,254,190,140,107,87,70,60,49,37,25,16,11,9,6,3,2,1,0,0
1953,22881,20420,18364,16146.999999999998,15358,14687,14112,13619,13214,12908,12546,12054,11496,11002,10536,10167,9938,9808,9688,9593,9498,9382,9257,9152,9055,8979,8934,8904,8870,8838,8765,8626,8443,8258,8060.000000000001,7869,7701,7541,7364,7177,6967,6725,6459,6195,5940,5643,5288,4904,4527,4137,3841,3693,3639,3578,3538,3446,3260,3015,2795,2577,2397,2278,2201,2117,2037,1951,1850,1740,1636,1537,1432,1319,1200,1085,971,863,762,667,577,491,411,339,273,212,157,112,84,67,55,45,38,28,18,12,8,6,5,2,1,0,0
1954,23390,20884,18790,17071,15644,14832,14172,13641,13210,12892,12697,12415,11948,11381,10887,10422,10054,9828,9700,9578,9479,9382,9264,9137,9031,8931,8854,8806,8775,8740,8707,8634,8495,8312,8127.000000000001,7929,7739,7571,7412,7236,7050,6841,6601,6339,6078,5827,5534,5184,4804,4433,4049.0000000000005,3756,3609,3554,3492,3451,3358,3173,2931,2713,2497,2318,2199,2118,2033,1951,1863,1761,1648,1544,1443,1338,1225,1108,995,883,776,679,589,504,422,348,282,224,172,124,86,62,48,38,32,26,20,12,7,5,5,3,1,0,0
1955,23426,21125,19183,17568,16245.000000000002,15181,14342,13693,13202,12834,12602,12517,12316,11874,11294,10799,10336,9966,9742,9617,9493,9391,9289,9168,9041,8932,8830,8750,8702,8668,8632,8599,8524,8385,8202,8016.999999999999,7820,7630,7461,7302,7126,6939,6732,6495,6235,5976,5728,5439,5092,4717,4350,3970,3681,3534,3477,3415,3372,3279,3094,2855,2637,2423,2245,2124,2041,1953,1870,1780,1675,1562,1455,1352,1247,1134,1018,905,796,693,598,513,431,354,286,227,176,132,91,60,41,29,22,19,15,10,5,3,2,2,1,0,0
1956,22836,22286,20304,18598,17148,15929,14911,14062,13407,12946,12624,12408,12321,12119,11683,11113,10623,10162,9794,9570,9446,9323,9218,9116,8996,8869,8761,8659,8579,8530,8496,8458,8423,8348,8209,8026.999999999999,7844,7648,7460,7293,7135,6962,6779,6574,6341,6084,5830,5584,5300,4959,4592,4231,3858,3574,3427,3369,3304,3259,3165,2982,2746,2532,2321,2144,2021.9999999999998,1938,1849,1764,1674,1569,1456,1350,1250,1146,1036,926,818,714,617,529,451,376,306,245,193,150,110,76,50,34,24,18,15,12,8,5,2,2,1,0,0
1957,22107,20769,21264,19591,18112,16817,15695,14717,13855,13191,12755,12480,12280,12189,11985,11553,10991,10503,10040,9672,9447,9324,9198,9094,8990,8869,8743,8635,8532,8453,8402,8366,8327,8291,8215,8076.000000000001,7895,7711,7516,7329,7163,7007,6835,6654,6450,6219,5965,5714,5470,5189,4852,4490,4134,3766,3485,3338,3277,3211,3163,3068,2886,2652,2439,2230,2054,1932,1845,1755,1668,1577,1472,1359,1253,1153,1050,945,838,736,636,544,464,391,324,261,206,161,123,89,61,41,28,19,14,12,10,6,3,2,1,0,0
1958,21355,20563,19751,20287,18919,17664,16522,15495,14557,13678,13004,12593,12361,12177,12083,11876,11447,10891,10405,9941,9570,9346,9220,9095,8988,8883,8763,8636,8528,8425,8344,8292,8255,8214,8177,8099,7960,7778,7595,7399,7213,7048,6893,6723,6541,6341,6111,5859,5609,5368,5089,4757,4398,4046.0000000000005,3682,3403,3255,3192,3124,3074,2977,2795,2564,2352,2144,1968,1845,1757,1665,1576,1483,1377,1264,1158,1059,958,855,753,654,559,473,399,332,272,216,167,128,97,69,47,32,21,14,10,8,7,5,2,1,0,0
1959,20733,20381,19903,19316,19298,18238,17207,16219.999999999998,15290,14390,13496,12811,12426,12239,12070,11972,11763,11338,10788,10304,9838,9465,9240,9115,8988,8880,8773,8651,8525,8416,8314,8233,8179,8140.000000000001,8098.000000000001,8058.999999999999,7981,7841,7659,7476,7281,7094,6931,6776,6607,6428,6228,6001,5751,5503,5263,4986,4658,4303,3956,3597,3320,3172,3107,3036,2982,2885,2704,2474,2264,2057,1882,1758,1667,1572,1483,1389,1282,1168,1063,964,865,765,666,572,482,401,332,274,220,170,128,96,71,48,31,22,15,10,6,5,5,3,2,0,0
1960,20402,20278,19979,19530,18957,18281,17530,16727,15896,15063,14204,13294,12599,12241,12099,11947,11845,11634,11212,10670,10188,9721,9347,9121,8996,8869,8758,8650,8529,8403,8294,8192,8109.999999999999,8055,8013.999999999999,7970,7930,7851,7711,7529,7346,7152,6966,6803,6651,6482,6305,6108,5882,5634,5388,5151,4877,4553,4204,3860,3506,3232,3084,3016,2943,2888,2788,2609,2381,2172,1967,1793,1667,1574,1478,1387,1292,1185,1071,966,867,769,672,579,489,404,329,266,214,167,124,90,63,44,26,16,13,8,5,3,2,2,1,0,0
1961,20482,19856,19654,19337,18917,18409,17836,17227,16527,15727,14876,14018,13114,12423,12071,11933,11781,11677,11464,11045,10509,10030,9566,9195,8971,8847,8722,8612,8506,8384,8257,8148.999999999999,8047.000000000001,7963,7908,7866,7820,7779,7699,7559,7380,7198,7006,6821,6660,6508,6341,6164,5968,5744,5499,5256,5019,4750,4430,4085,3747,3397,3127,2979,2908,2832,2774,2673,2494,2269,2064,1862,1690,1565,1472,1377,1286,1192,1087,977,875,780,688,598,511,428,351,283,227,182,140,104,75,53,36,21,13,10,7,3,2,2,1,0,0
1962,20942,20480,19278,18999,18665,18275,17832,17363,16895,16300.999999999998,15532,14666,13809,12913,12228,11880,11747,11596,11490,11276,10861,10331,9856,9396,9028,8807,8685,8560,8452,8346,8226,8100,7990,7888,7805,7749,7705,7658,7615,7535,7397,7218,7039,6848,6666,6506,6354,6189,6015,5821,5598,5356,5115,4881,4614,4299,3960,3627,3285,3017,2868,2795,2717,2655,2553,2376,2155,1952,1755,1584,1460,1367,1272,1183,1090,988,882,784,693,605,521,442,368,297,237,188,150,114,84,61,43,28,16,10,8,5,3,2,1,0,0
1963,21663,20765,19949,18700,18345,17993,17633,17256,16890,16564,16075,15337,14454,13600,12713,12032,11689,11562,11411,11302,11087,10676,10151,9682,9225,8861,8642,8522,8399,8292,8188.000000000001,8068,7941,7832,7730,7647,7588,7543,7495,7451,7370,7233,7057,6879,6690,6511,6351,6202,6037,5865,5672,5453,5212,4973,4742,4478,4168,3836,3508,3170,2907,2758,2682,2601,2536,2434,2258,2041,1842,1647,1480,1356,1264,1169,1080,988,890,787,692,605,523,445,374,307,245,191,150,117,86,63,46,32,21,11,8,6,3,2,1,0,0
1964,22461,21143,20032,19103,18165,17733,17362,17031,16718,16454,16268,15883,15175,14275,13421,12539,11863,11524,11401,11251,11140,10924,10515,9996,9529,9076,8713,8496,8378,8256,8151,8047.000000000001,7926,7801,7691,7589,7505,7446,7399,7349,7303,7222,7085,6910,6735,6548,6369,6211,6061,5899,5727,5536,5319,5081,4844,4614,4353,4046.9999999999995,3719,3396,3064,2804,2654,2575,2491,2423,2319,2146,1931,1734,1543,1378,1256,1162,1068,979,890,793,694,603,519,442,371,306,247,192,146,111,85,60,42,32,22,13,7,5,3,2,1,0,0
1965,23195,21589,20267,19198,18347,17683,17171,16781,16478,16230,16067,16021.999999999998,15740,15059,14139,13282,12404,11729,11395,11275,11126,11010,10793,10386,9869,9405,8953,8592,8376,8259,8137,8032.999999999999,7930,7809,7683,7573,7470,7385,7325,7277,7225,7177,7096,6959,6786,6611,6425,6247,6089,5940,5778,5607,5417,5201,4964,4729,4500,4240,3938,3614,3295,2968,2709,2557,2475,2389,2318,2211,2039.0000000000002,1827,1633,1444,1280,1158,1064,970,881,793,698,603,515,434,361,296,240,187,140,101,73,53,34,23,18,12,5,2,2,1,1,0,0
1966,23571,22327,20898,19717,18755,17985,17375,16895,16527,16245.999999999998,16020,15866,15818,15535,14862,13954,13104,12230,11558,11225,11106,10956,10840,10623,10221,9710,9253,8806,8450,8235,8118,7998,7893,7789,7670,7543,7433,7329,7243,7182,7134,7081,7033,6950,6814,6641,6467,6282,6105,5947,5798,5635,5465,5275,5060,4823,4589,4360,4103,3805,3485,3172,2849,2593,2440,2354,2265,2191,2084,1914,1708,1519,1336,1178,1059,967,876,791,707,619,529,449,376,310,252,202,156,116,84,61,44,27,18,15,10,5,2,1,1,0,0
1967,23906,22206,21534,20275,19231,18374,17681,17124,16672,16325,16068.000000000002,15862,15715,15664,15380,14712,13813,12967,12095,11425,11092,10973,10822,10705,10488,10088,9583,9129,8688,8334,8121,8003,7883,7779,7674,7554,7426,7315,7211,7124,7063,7013,6960,6910,6827,6690,6518,6345,6160,5983,5825,5675,5511,5341,5150,4935,4698,4465,4236,3979,3684,3368,3059,2741,2486,2332,2243,2150,2072,1963,1797,1595,1412,1234,1079,964,874,786,704,624,541,459,386,319,259,209,166,127,93,68,49,34,22,15,11,8,3,1,1,0,0
1968,24243,22633,21267,20791,19701,18789,18036,17419,16912,16489,16161.000000000002,15926,15740,15602,15547,15261,14596,13703,12860,11988,11318,10984,10864,10713,10594,10378,9980,9479,9028,8590,8238,8026,7908,7787,7682,7577,7456,7328,7216,7111,7023,6960,6909,6855,6805,6720,6583,6412,6237,6053,5876,5716,5565,5400,5229,5038,4821,4585,4350,4121,3865,3571,3259,2952,2638,2386,2229,2135,2040,1958,1848,1683,1487,1306,1133,984,870,783,698,618,542,465,389,323,262,210,167,130,97,70,51,37,25,15,10,8,5,2,1,0,0
1969,24648,23131,21811,20674,20070,19149,18370,17717,17177,16721,16324.000000000002,16017,15803,15638,15506,15448,15159,14497,13610,12769,11896,11224,10889,10769,10616,10496,10279,9884,9385,8937,8501,8151.999999999999,7939,7821,7699,7594,7489,7367,7238,7125,7018,6929,6865,6813,6758,6706,6621,6484,6311,6137,5952,5774,5614,5461,5295,5122,4930,4713,4477,4241,4010,3755,3464,3154,2849,2539,2287,2129,2031.0000000000002,1931,1846,1734,1571,1379,1203,1034,888,778,693,609,533,461,389,320,260,206,161,124,94,67,47,36,25,15,9,6,5,3,2,0,0
1970,25175,23697,22388,21237,20229,19355,18601,17955,17406,16940,16535,16166,15879,15686,15542,15417,15356,15064,14405,13523,12682,11807,11134,10799,10678,10524,10402,10185,9791,9295,8849,8415,8068,7857,7737,7615,7509,7403,7280,7150,7036,6927,6838,6772,6719,6663,6611,6525,6387,6213,6038,5853,5674,5513,5359,5192,5018,4825,4607,4369,4133,3902,3646,3356,3049,2747,2440,2189,2029,1927,1824,1734,1621,1459,1271,1100,936,794,685,602,522,448,379,313,251,197,149,111,81,59,38,24,19,13,6,3,2,2,1,0,0
1971,25795,24476,23100,21884,20817,19885,19078,18385,17785,17259,16801,16400,16029,15739,15547,15404,15276,15210,14917,14259,13382,12546,11674,11005,10672,10552,10399,10278,10063,9671,9179,8737,8306,7961,7750,7630,7508,7402,7294,7172,7041,6927,6819,6728,6661,6607,6548,6493,6406,6267,6092,5916,5731,5550,5388,5231,5062,4886,4692,4471,4233,3995,3763,3508,3221,2919,2621,2319,2072,1911,1807,1702,1611,1500,1343,1163,1000,844,709,608,530,456,389,327,268,213,165,125,92,67,49,31,20,15,10,5,2,2,1,0,0
1972,26545,24975,23804,22529,21405,20422,19564,18823,18191,17634,17132,16683,16283.999999999998,15910,15617,15426,15285,15155,15084,14786,14130,13258,12424,11556,10888,10557,10438,10288,10167,9953,9564,9074,8634,8206,7863,7652,7531,7410,7302,7195,7071,6941,6826,6718,6626,6558,6502,6441,6384,6295,6154,5978,5802,5615,5433,5268,5109,4938,4760,4563,4341,4101,3862,3628,3373,3088,2789,2497,2200,1956,1795,1689,1582,1490,1380,1228,1056,901,753,626,532,460,392,330,275,224,175,134,100,74,55,38,24,15,12,8,4,2,1,0,0
1973,27344,25681,24202,23113,21941,20911,20012,19229,18556,17986,17473,16994,16552,16157,15782,15486,15295,15155,15023,14947,14647,13991,13124,12294,11430,10765,10435,10318,10167,10049,9837,9450,8964,8526,8100,7759,7549,7429,7305,7198,7089,6966,6836,6721,6612,6519,6450,6392,6330,6271,6180,6037,5860,5683,5494,5311,5144,4983,4810,4630,4432,4208,3966,3725,3490,3235,2953,2660,2372,2080,1839,1678,1569,1461,1368,1257,1112,948,801,661,543,455,388,326,271,223,178,138,102,75,56,41,28,17,11,8,5,3,1,0,0
1974,28075,26333,24783,23414,22359,21292,20359,19547,18841,18237,17730,17263,16809,16376.999999999998,15987,15610,15311,15121,14984,14850,14769,14467,13815,12954,12130,11271,10612,10284,10168,10020,9903,9693,9310,8828,8394,7973,7634,7425,7305,7182,7074,6965,6842,6713,6598,6489,6395,6324,6264,6200,6140,6047,5903,5726,5548,5359,5176,5006,4843,4669,4487,4289,4062.9999999999995,3820,3579,3342,3088,2810,2522,2239,1953,1717,1556,1445,1336,1242,1133,993,838,698,567,457,375,315,260,212,170,132,99,70,51,38,28,17,10,7,5,3,2,0,0
1975,28665,26875,25281,23867,22617,21521,20563,19730,19007,18381,17848,17405,16987,16559,16137,15753,15376,15078,14889,14754,14619,14533,14230,13585,12734,11920,11070,10418,10095,9980,9834,9719,9512,9134,8659,8230,7814,7480,7272,7153,7031,6922,6814,6692,6562,6448,6339,6247,6175,6113,6048,5986,5891,5748,5571,5392,5204,5020,4850,4686,4511,4328,4129,3903,3661,3420,3183,2930,2657,2375,2098,1820,1589,1428,1316,1206,1111,1004,871,725,593,472,370,296,243,194,152,116,86,61,39,26,20,14,7,3,2,2,1,0,0
1976,29363,27806,26114,24598,23247,22049,20989,20056,19249,18561,17972,17471,17053,16658,16253,15853,15488,15126,14841,14662,14534,14404,14321,14016,13362,12500,11672,10808,10143,9808,9683,9526,9399,9187,8810,8340,7918,7509,7179,6974,6854,6731,6623,6515,6392,6262,6147,6039,5940,5852,5770,5687,5605,5500,5363,5202,5040,4868,4699,4541,4386,4222,4051.9999999999995,3864,3647,3412,3177,2948,2706,2448,2185,1927,1667,1451,1300,1192,1088,997,897,774,640,521,410,317,252,205,163,127,97,71,50,32,21,16,11,5,2,2,1,0,0
1977,29921,28133,26855,25265,23833,22551,21406,20388,19483,18704,18053,17506,17036,16644,16274,15893,15516,15171,14826,14554,14386,14265,14140,14061,13756,13097,12224,11386,10512,9835,9488,9354,9187,9049,8831,8457,7994,7579,7178,6854,6652,6533,6411,6303,6194,6071,5941,5825,5718,5613,5511,5409,5307,5205,5091,4961,4818,4671,4517,4365,4219,4073.0000000000005,3920,3763,3586,3379,3151,2926,2704,2472,2231,1988,1749,1508,1308,1166,1064,966,880,787,675,553,446,346,264,207,167,130,101,78,57,39,24,16,12,9,4,2,1,0,0
1978,30473,28711,27079,25886,24401,23053,21839,20750,19774,18897,18148,17533,17026,16589,16224,15879,15523,15169,14842,14515,14258,14100,13987,13867,13791,13486,12822,11940,11092,10208,9520,9163,9019,8842,8693,8469,8098.000000000001,7643,7236,6844,6527,6327,6207,6086,5978,5870,5747,5617,5501,5394,5285,5168,5045,4925,4804,4681,4557,4431,4300,4164,4027.9999999999995,3894,3757,3615,3473,3307,3109,2890,2673,2458,2239,2013.9999999999998,1790,1570,1351,1166,1032,935,844,763,677,575,467,371,283,211,161,129,99,76,59,42,28,17,12,9,6,3,1,0,0
1979,31216,29448,27792,26247,24992,23605,22339,21189,20152,19214,18364,17642,17062,16595,16189,15850,15529,15195,14862,14556,14244,14000,13852,13746,13632,13561,13254,12582,11689,10830,9933,9233,8865,8710,8522,8362,8132,7762,7315,6915,6528,6217,6020,5901,5780,5671,5563,5440,5309,5192,5086,4971,4839,4697,4557,4417,4284,4167,4057.0000000000005,3942,3824,3703,3580,3454,3323,3192,3038,2849,2637,2428,2220,2011.0000000000002,1803,1598,1396,1196,1026,903,811,724,648,570,479,383,298,221,159,117,91,67,51,39,28,17,10,7,5,3,2,0,0
1980,32292,30460,28739,27127,25621,24223,22928,21736,20646,19656,18752,17924,17225,16678,16245.999999999998,15870,15555,15256,14944,14632,14342,14046,13813,13675,13575,13465,13397,13087,12405,11496,10621,9708,8991,8610,8444,8244,8071.999999999999,7835,7465,7022,6626,6245,5938,5743,5623,5502,5393,5283,5159,5026,4908,4803,4682,4534,4370,4211,4050,3908,3796,3702,3603,3501,3396,3284,3165,3046,2927,2783,2601,2397,2195,1994,1793,1600,1414,1229,1047,891,776,689,608,537,464,383,299,226,159,107,74,55,36,26,20,13,7,3,2,2,1,0,0
