Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.19066849,0.03469712,0.03469712,0.03469712,0.03469712,0.00676983,0.00676983,0.00676983,0.00676983,0.00676983,0.00345414,0.00345414,0.00345414,0.00345414,0.00345414,0.00447217,0.00447217,0.00447217,0.00447217,0.00447217,0.00636322,0.00636322,0.00636322,0.00636322,0.00636322,0.0081057,0.0081057,0.0081057,0.0081057,0.0081057,0.00996531,0.00996531,0.00996531,0.00996531,0.00996531,0.01081711,0.01081711,0.01081711,0.01081711,0.01081711,0.01275908,0.01275908,0.01275908,0.01275908,0.01275908,0.0153824,0.0153824,0.0153824,0.0153824,0.0153824,0.01919982,0.01919982,0.01919982,0.01919982,0.01919982,0.02761068,0.02761068,0.02761068,0.02761068,0.02761068,0.03970844,0.03970844,0.03970844,0.03970844,0.03970844,0.05503579,0.05503579,0.05503579,0.05503579,0.05503579,0.07435861,0.07435861,0.07435861,0.07435861,0.07435861,0.0969694,0.0969694,0.0969694,0.0969694,0.0969694,0.21327033,0.21327033,0.21327033,0.21327033,0.21327033,0.31571415,0.31571415,0.31571415,0.31571415,0.31571415,0.40616561,0.40616561,0.40616561,0.40616561,0.40616561,0.48418302,0.48418302,0.48418302,0.48418302,0.48418302,0.55302809
1951,0.19066849,0.03469712,0.03469712,0.03469712,0.03469712,0.00676983,0.00676983,0.00676983,0.00676983,0.00676983,0.00345414,0.00345414,0.00345414,0.00345414,0.00345414,0.00447217,0.00447217,0.00447217,0.00447217,0.00447217,0.00636322,0.00636322,0.00636322,0.00636322,0.00636322,0.0081057,0.0081057,0.0081057,0.0081057,0.0081057,0.00996531,0.00996531,0.00996531,0.00996531,0.00996531,0.01081711,0.01081711,0.01081711,0.01081711,0.01081711,0.01275908,0.01275908,0.01275908,0.01275908,0.01275908,0.0153824,0.0153824,0.0153824,0.0153824,0.0153824,0.01919982,0.01919982,0.01919982,0.01919982,0.01919982,0.02761068,0.02761068,0.02761068,0.02761068,0.02761068,0.03970844,0.03970844,0.03970844,0.03970844,0.03970844,0.05503579,0.05503579,0.05503579,0.05503579,0.05503579,0.07435861,0.07435861,0.07435861,0.07435861,0.07435861,0.0969694,0.0969694,0.0969694,0.0969694,0.0969694,0.21327033,0.21327033,0.21327033,0.21327033,0.21327033,0.31571415,0.31571415,0.31571415,0.31571415,0.31571415,0.40616561,0.40616561,0.40616561,0.40616561,0.40616561,0.48418302,0.48418302,0.48418302,0.48418302,0.48418302,0.55302809
1952,0.19066849,0.03469712,0.03469712,0.03469712,0.03469712,0.00676983,0.00676983,0.00676983,0.00676983,0.00676983,0.00345414,0.00345414,0.00345414,0.00345414,0.00345414,0.00447217,0.00447217,0.00447217,0.00447217,0.00447217,0.00636322,0.00636322,0.00636322,0.00636322,0.00636322,0.0081057,0.0081057,0.0081057,0.0081057,0.0081057,0.00996531,0.00996531,0.00996531,0.00996531,0.00996531,0.01081711,0.01081711,0.01081711,0.01081711,0.01081711,0.01275908,0.01275908,0.01275908,0.01275908,0.01275908,0.0153824,0.0153824,0.0153824,0.0153824,0.0153824,0.01919982,0.01919982,0.01919982,0.01919982,0.01919982,0.02761068,0.02761068,0.02761068,0.02761068,0.02761068,0.03970844,0.03970844,0.03970844,0.03970844,0.03970844,0.05503579,0.05503579,0.05503579,0.05503579,0.05503579,0.07435861,0.07435861,0.07435861,0.07435861,0.07435861,0.0969694,0.0969694,0.0969694,0.0969694,0.0969694,0.21327033,0.21327033,0.21327033,0.21327033,0.21327033,0.31571415,0.31571415,0.31571415,0.31571415,0.31571415,0.40616561,0.40616561,0.40616561,0.40616561,0.40616561,0.48418302,0.48418302,0.48418302,0.48418302,0.48418302,0.55302809
1953,0.19066849,0.03469712,0.03469712,0.03469712,0.03469712,0.00676983,0.00676983,0.00676983,0.00676983,0.00676983,0.00345414,0.00345414,0.00345414,0.00345414,0.00345414,0.00447217,0.00447217,0.00447217,0.00447217,0.00447217,0.00636322,0.00636322,0.00636322,0.00636322,0.00636322,0.0081057,0.0081057,0.0081057,0.0081057,0.0081057,0.00996531,0.00996531,0.00996531,0.00996531,0.00996531,0.01081711,0.01081711,0.01081711,0.01081711,0.01081711,0.01275908,0.01275908,0.01275908,0.01275908,0.01275908,0.0153824,0.0153824,0.0153824,0.0153824,0.0153824,0.01919982,0.01919982,0.01919982,0.01919982,0.01919982,0.02761068,0.02761068,0.02761068,0.02761068,0.02761068,0.03970844,0.03970844,0.03970844,0.03970844,0.03970844,0.05503579,0.05503579,0.05503579,0.05503579,0.05503579,0.07435861,0.07435861,0.07435861,0.07435861,0.07435861,0.0969694,0.0969694,0.0969694,0.0969694,0.0969694,0.21327033,0.21327033,0.21327033,0.21327033,0.21327033,0.31571415,0.31571415,0.31571415,0.31571415,0.31571415,0.40616561,0.40616561,0.40616561,0.40616561,0.40616561,0.48418302,0.48418302,0.48418302,0.48418302,0.48418302,0.55302809
1954,0.19066849,0.03469712,0.03469712,0.03469712,0.03469712,0.00676983,0.00676983,0.00676983,0.00676983,0.00676983,0.00345414,0.00345414,0.00345414,0.00345414,0.00345414,0.00447217,0.00447217,0.00447217,0.00447217,0.00447217,0.00636322,0.00636322,0.00636322,0.00636322,0.00636322,0.0081057,0.0081057,0.0081057,0.0081057,0.0081057,0.00996531,0.00996531,0.00996531,0.00996531,0.00996531,0.01081711,0.01081711,0.01081711,0.01081711,0.01081711,0.01275908,0.01275908,0.01275908,0.01275908,0.01275908,0.0153824,0.0153824,0.0153824,0.0153824,0.0153824,0.01919982,0.01919982,0.01919982,0.01919982,0.01919982,0.02761068,0.02761068,0.02761068,0.02761068,0.02761068,0.03970844,0.03970844,0.03970844,0.03970844,0.03970844,0.05503579,0.05503579,0.05503579,0.05503579,0.05503579,0.07435861,0.07435861,0.07435861,0.07435861,0.07435861,0.0969694,0.0969694,0.0969694,0.0969694,0.0969694,0.21327033,0.21327033,0.21327033,0.21327033,0.21327033,0.31571415,0.31571415,0.31571415,0.31571415,0.31571415,0.40616561,0.40616561,0.40616561,0.40616561,0.40616561,0.48418302,0.48418302,0.48418302,0.48418302,0.48418302,0.55302809
1955,0.17168393,0.03000984,0.03000984,0.03000984,0.03000984,0.00599993,0.00599993,0.00599993,0.00599993,0.00599993,0.0030715,0.0030715,0.0030715,0.0030715,0.0030715,0.00398349,0.00398349,0.00398349,0.00398349,0.00398349,0.00567683,0.00567683,0.00567683,0.00567683,0.00567683,0.00725165,0.00725165,0.00725165,0.00725165,0.00725165,0.00891888,0.00891888,0.00891888,0.00891888,0.00891888,0.00971113,0.00971113,0.00971113,0.00971113,0.00971113,0.01148062,0.01148062,0.01148062,0.01148062,0.01148062,0.01392217,0.01392217,0.01392217,0.01392217,0.01392217,0.01746048,0.01746048,0.01746048,0.01746048,0.01746048,0.02526598,0.02526598,0.02526598,0.02526598,0.02526598,0.03662749,0.03662749,0.03662749,0.03662749,0.03662749,0.05131984,0.05131984,0.05131984,0.05131984,0.05131984,0.07037002,0.07037002,0.07037002,0.07037002,0.07037002,0.09283762,0.09283762,0.09283762,0.09283762,0.09283762,0.17862247,0.17862247,0.17862247,0.17862247,0.17862247,0.26467572,0.26467572,0.26467572,0.26467572,0.26467572,0.36451834,0.36451834,0.36451834,0.36451834,0.36451834,0.46874997,0.46874997,0.46874997,0.46874997,0.46874997,0.56538359
1956,0.17168393,0.03000984,0.03000984,0.03000984,0.03000984,0.00599993,0.00599993,0.00599993,0.00599993,0.00599993,0.0030715,0.0030715,0.0030715,0.0030715,0.0030715,0.00398349,0.00398349,0.00398349,0.00398349,0.00398349,0.00567683,0.00567683,0.00567683,0.00567683,0.00567683,0.00725165,0.00725165,0.00725165,0.00725165,0.00725165,0.00891888,0.00891888,0.00891888,0.00891888,0.00891888,0.00971113,0.00971113,0.00971113,0.00971113,0.00971113,0.01148062,0.01148062,0.01148062,0.01148062,0.01148062,0.01392217,0.01392217,0.01392217,0.01392217,0.01392217,0.01746048,0.01746048,0.01746048,0.01746048,0.01746048,0.02526598,0.02526598,0.02526598,0.02526598,0.02526598,0.03662749,0.03662749,0.03662749,0.03662749,0.03662749,0.05131984,0.05131984,0.05131984,0.05131984,0.05131984,0.07037002,0.07037002,0.07037002,0.07037002,0.07037002,0.09283762,0.09283762,0.09283762,0.09283762,0.09283762,0.17862247,0.17862247,0.17862247,0.17862247,0.17862247,0.26467572,0.26467572,0.26467572,0.26467572,0.26467572,0.36451834,0.36451834,0.36451834,0.36451834,0.36451834,0.46874997,0.46874997,0.46874997,0.46874997,0.46874997,0.56538359
1957,0.17168393,0.03000984,0.03000984,0.03000984,0.03000984,0.00599993,0.00599993,0.00599993,0.00599993,0.00599993,0.0030715,0.0030715,0.0030715,0.0030715,0.0030715,0.00398349,0.00398349,0.00398349,0.00398349,0.00398349,0.00567683,0.00567683,0.00567683,0.00567683,0.00567683,0.00725165,0.00725165,0.00725165,0.00725165,0.00725165,0.00891888,0.00891888,0.00891888,0.00891888,0.00891888,0.00971113,0.00971113,0.00971113,0.00971113,0.00971113,0.01148062,0.01148062,0.01148062,0.01148062,0.01148062,0.01392217,0.01392217,0.01392217,0.01392217,0.01392217,0.01746048,0.01746048,0.01746048,0.01746048,0.01746048,0.02526598,0.02526598,0.02526598,0.02526598,0.02526598,0.03662749,0.03662749,0.03662749,0.03662749,0.03662749,0.05131984,0.05131984,0.05131984,0.05131984,0.05131984,0.07037002,0.07037002,0.07037002,0.07037002,0.07037002,0.09283762,0.09283762,0.09283762,0.09283762,0.09283762,0.17862247,0.17862247,0.17862247,0.17862247,0.17862247,0.26467572,0.26467572,0.26467572,0.26467572,0.26467572,0.36451834,0.36451834,0.36451834,0.36451834,0.36451834,0.46874997,0.46874997,0.46874997,0.46874997,0.46874997,0.56538359
1958,0.17168393,0.03000984,0.03000984,0.03000984,0.03000984,0.00599993,0.00599993,0.00599993,0.00599993,0.00599993,0.0030715,0.0030715,0.0030715,0.0030715,0.0030715,0.00398349,0.00398349,0.00398349,0.00398349,0.00398349,0.00567683,0.00567683,0.00567683,0.00567683,0.00567683,0.00725165,0.00725165,0.00725165,0.00725165,0.00725165,0.00891888,0.00891888,0.00891888,0.00891888,0.00891888,0.00971113,0.00971113,0.00971113,0.00971113,0.00971113,0.01148062,0.01148062,0.01148062,0.01148062,0.01148062,0.01392217,0.01392217,0.01392217,0.01392217,0.01392217,0.01746048,0.01746048,0.01746048,0.01746048,0.01746048,0.02526598,0.02526598,0.02526598,0.02526598,0.02526598,0.03662749,0.03662749,0.03662749,0.03662749,0.03662749,0.05131984,0.05131984,0.05131984,0.05131984,0.05131984,0.07037002,0.07037002,0.07037002,0.07037002,0.07037002,0.09283762,0.09283762,0.09283762,0.09283762,0.09283762,0.17862247,0.17862247,0.17862247,0.17862247,0.17862247,0.26467572,0.26467572,0.26467572,0.26467572,0.26467572,0.36451834,0.36451834,0.36451834,0.36451834,0.36451834,0.46874997,0.46874997,0.46874997,0.46874997,0.46874997,0.56538359
1959,0.17168393,0.03000984,0.03000984,0.03000984,0.03000984,0.00599993,0.00599993,0.00599993,0.00599993,0.00599993,0.0030715,0.0030715,0.0030715,0.0030715,0.0030715,0.00398349,0.00398349,0.00398349,0.00398349,0.00398349,0.00567683,0.00567683,0.00567683,0.00567683,0.00567683,0.00725165,0.00725165,0.00725165,0.00725165,0.00725165,0.00891888,0.00891888,0.00891888,0.00891888,0.00891888,0.00971113,0.00971113,0.00971113,0.00971113,0.00971113,0.01148062,0.01148062,0.01148062,0.01148062,0.01148062,0.01392217,0.01392217,0.01392217,0.01392217,0.01392217,0.01746048,0.01746048,0.01746048,0.01746048,0.01746048,0.02526598,0.02526598,0.02526598,0.02526598,0.02526598,0.03662749,0.03662749,0.03662749,0.03662749,0.03662749,0.05131984,0.05131984,0.05131984,0.05131984,0.05131984,0.07037002,0.07037002,0.07037002,0.07037002,0.07037002,0.09283762,0.09283762,0.09283762,0.09283762,0.09283762,0.17862247,0.17862247,0.17862247,0.17862247,0.17862247,0.26467572,0.26467572,0.26467572,0.26467572,0.26467572,0.36451834,0.36451834,0.36451834,0.36451834,0.36451834,0.46874997,0.46874997,0.46874997,0.46874997,0.46874997,0.56538359
