Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,32966.0,30140.0,27717.0,25664.0,23944.000000000004,22524.0,21366.999999999996,20440.0,19706.0,19131.0,18706.0,18423.0,18114.0,17692.999999999996,17204.0,16790.0,16439.0,16004.999999999998,15435.0,14787.0,14155.999999999998,13503.0,12966.0,12614.0,12375.0,12130.0,11931.0,11590.0,11010.0,10297.0,9629.0,8941.0,8466.000000000002,8330.0,8407.0,8458.0,8540.0,8509.0,8272.0,7904.0,7579.0,7262.0,6972.0,6735.0,6536.000000000001,6322.999999999999,6101.0,5907.0,5755.0,5627.000000000001,5500.0,5390.0,5228.0,4982.0,4688.0,4402.0,4101.0,3869.0,3751.0000000000005,3699.0,3636.0,3591.0,3465.0,3208.9999999999995,2875.0,2563.0,2248.0,1993.0,1841.0,1756.0,1663.0,1575.9999999999998,1494.0,1408.0000000000002,1321.0,1246.0,1179.0,1109.0,1031.0,947.0000000000001,867.0,792.0,715.0,638.0,562.0,488.0,418.0,352.00000000000006,292.0,238.00000000000003,180.0,135.0,111.0,84.0,52.00000000000001,34.0,27.999999999999996,22.000000000000004,16.0,9.000000000000002,16.0
1951,35398.0,31879.0,29279.0,27048.0,25155.0,23566.0,22249.000000000004,21174.0,20302.0,19599.0,19034.000000000004,18605.999999999996,18305.0,17983.0,17562.0,17079.0,16665.0,16309.000000000002,15870.999999999998,15300.0,14652.999999999998,14022.0,13370.0,12832.0,12479.000000000002,12238.0,11990.0,11789.000000000002,11448.0,10872.0,10165.0,9503.0,8821.0,8350.0,8214.0,8288.0,8336.0,8416.0,8384.0,8147.0,7782.0,7457.999999999999,7142.0,6853.0,6617.000000000001,6417.999999999999,6206.0,5984.0,5790.0,5635.0,5502.999999999999,5372.999999999999,5258.999999999999,5093.999999999999,4846.999999999999,4553.0,4266.999999999999,3967.0,3734.0,3611.0,3553.0,3484.0,3431.0,3304.0,3053.0,2728.0,2425.0,2119.0,1872.0,1723.0,1640.0,1550.0,1466.0,1385.0,1298.0,1210.0,1133.0,1065.0,994.0000000000001,917.0,836.0,759.0,686.0,615.0,545.0,478.0,412.00000000000006,352.00000000000006,296.00000000000006,245.0,196.99999999999997,148.00000000000003,111.99999999999999,92.0,69.0,43.0,27.000000000000004,21.0,15.0,9.000000000000002,15.0
1952,37284.0,33804.0,30805.0,28430.0,26390.0,24655.0,23195.0,21982.0,20988.000000000004,20171.0,19497.0,18942.999999999996,18512.0,18192.999999999996,17857.0,17436.0,16960.0,16545.0,16183.0,15741.0,15170.0,14523.0,13892.000000000002,13241.0,12703.0,12347.999999999998,12104.000000000002,11854.000000000002,11650.0,11309.000000000002,10737.0,10037.0,9380.0,8704.0,8237.0,8100.0,8172.000000000001,8217.0,8295.0,8261.000000000002,8023.999999999999,7661.000000000001,7338.999999999999,7024.0,6736.000000000001,6501.0,6303.0,6091.0,5870.0,5675.0,5518.0,5382.000000000001,5247.999999999999,5130.0,4962.0,4713.999999999999,4420.0,4133.999999999999,3835.0,3601.0000000000005,3472.0,3407.0,3332.0,3273.0,3143.9999999999995,2898.0,2583.0,2288.0000000000005,1990.9999999999998,1751.9999999999998,1607.0,1525.0,1436.9999999999998,1355.9999999999998,1276.0,1189.0,1099.0,1020.0,951.0,880.0,804.0,725.0,652.0,582.0000000000001,515.0,452.99999999999994,393.99999999999994,337.0,286.00000000000006,240.0,196.99999999999997,157.0,117.0,88.00000000000001,73.0,54.00000000000001,34.0,20.0,13.999999999999998,8.0,13.999999999999998
1953,38763.00000000001,35215.0,32124.000000000004,29787.0,27633.000000000004,25780.0,24200.0,22866.0,21754.0,20839.000000000004,20076.0,19430.999999999996,18886.0,18450.0,18114.0,17762.999999999996,17340.0,16871.0,16455.0,16087.0,15640.0,15065.999999999998,14420.0,13788.0,13135.0,12595.999999999998,12238.0,11992.0,11739.0,11533.0,11192.0,10622.0,9926.0,9274.0,8603.0,8138.999999999999,8002.000000000001,8070.0,8113.999999999999,8187.999999999999,8152.999999999999,7917.000000000001,7555.0,7234.0,6919.0,6632.000000000001,6397.0,6199.0,5987.0,5766.0,5570.0,5410.0,5271.0,5132.999999999999,5010.0,4838.999999999999,4590.0,4295.0,4008.9999999999995,3710.0,3473.9999999999995,3341.0,3268.9999999999995,3187.0,3122.0,2990.0,2748.9999999999995,2441.9999999999995,2156.0,1868.0,1635.0,1494.0,1414.0000000000002,1328.0,1249.0,1170.0,1082.0,990.0,910.0,838.0,767.0,692.0000000000001,616.0,546.0,479.0,417.00000000000006,361.0,311.0,263.0,221.0,185.0,151.0,115.99999999999999,86.0,65.0,53.0,40.0,25.0,13.000000000000002,8.0,13.000000000000002
1954,39924.0,36463.0,33418.0,30761.0,28822.0,26884.0,25214.000000000004,23787.0,22578.000000000004,21565.0,20726.999999999996,20016.0,19399.0,18862.000000000004,18422.0,18067.0,17701.0,17276.0,16812.0,16394.000000000004,16019.000000000002,15565.999999999998,14990.0,14341.0,13708.0,13052.999999999998,12511.0,12151.0,11901.0,11645.999999999998,11436.0,11093.0,10526.0,9833.0,9185.0,8517.999999999998,8055.0,7917.000000000001,7983.0,8023.999999999999,8096.0,8058.999999999999,7822.999999999999,7462.000000000001,7141.0,6827.000000000001,6539.0,6305.0,6106.0,5894.0,5672.999999999999,5475.0,5312.0,5169.0,5027.0,4899.0,4724.0,4473.0,4178.0,3890.0,3592.0,3353.0,3214.0,3135.0,3048.0,2975.0,2842.0,2603.9999999999995,2306.0,2026.9999999999998,1747.0,1521.0,1383.0,1304.0,1220.0,1144.0000000000002,1065.9999999999998,977.0,883.0,800.9999999999999,728.0,655.0,582.0000000000001,508.0,440.0,376.0,319.0,270.0,228.99999999999997,188.99999999999997,156.0,131.0,104.00000000000001,76.0,54.00000000000001,42.0,34.0,25.0,15.0,6.999999999999999,12.0
1955,40830.99999999999,37586.0,34691.0,32125.0,29863.000000000004,27883.000000000004,26160.999999999996,24674.0,23399.0,22313.000000000004,21398.000000000004,20636.999999999996,19977.999999999996,19387.0,18858.0,18413.0,18039.0,17658.0,17230.0,16771.0,16350.000000000002,15968.0,15509.0,14929.0,14277.999999999998,13642.000000000002,12985.0,12440.0,12075.999999999998,11823.0,11564.0,11351.0,11007.0,10440.0,9750.0,9105.0,8440.0,7980.0,7840.0,7904.0,7943.0,8013.0,7974.0,7737.0,7377.000000000001,7055.0,6741.000000000001,6452.999999999999,6218.0,6019.0,5806.0,5585.0,5386.0,5220.0,5071.000000000001,4925.0,4793.0,4614.0,4361.000000000001,4064.0,3776.0000000000005,3476.0000000000005,3236.0,3091.0,3005.0,2911.0,2832.0,2695.0,2461.9999999999995,2171.0,1900.0,1628.0,1408.0000000000002,1274.0,1196.0,1114.0,1039.0000000000002,963.0,873.0,775.9999999999999,692.0000000000001,617.0,544.0,471.00000000000006,400.0,335.0,273.0,221.0,179.0,147.0,114.0,92.0,76.0,57.0,36.00000000000001,23.0,19.0,15.0,11.000000000000002,6.0,11.000000000000002
1956,41298.0,39507.0,36574.0,33930.0,31559.0,29444.000000000004,27565.0,25903.000000000004,24458.000000000004,23218.000000000004,22158.0,21246.0,20468.0,19797.0,19206.0,18685.0,18240.0,17860.0,17474.0,17044.0,16585.0,16160.999999999998,15777.000000000002,15318.0,14738.0,14089.0,13454.0,12800.0,12257.0,11894.0,11642.000000000002,11385.0,11173.0,10833.0,10273.0,9592.0,8955.0,8300.0,7846.0,7707.000000000001,7768.0,7805.0,7872.000000000001,7832.000000000001,7597.0,7241.000000000001,6922.999999999999,6612.0,6326.000000000001,6091.0,5890.0,5677.000000000001,5454.0,5252.999999999999,5082.0,4928.999999999999,4778.000000000001,4640.0,4458.0,4205.0,3911.0,3625.0,3328.9999999999995,3090.0,2943.0,2853.0,2755.0,2671.9999999999995,2537.0,2312.0,2034.0000000000002,1775.0,1516.0,1306.0,1173.0,1094.0,1010.9999999999999,936.0,860.0,773.0,680.9999999999999,601.0,530.0,462.99999999999994,397.99999999999994,337.0,280.0,228.0,184.0,149.0,121.0,94.0,75.0,62.0,47.0,28.999999999999996,17.0,13.999999999999998,10.0,6.0,10.0
1957,41766.00000000001,39215.0,38292.0,35664.0,33263.00000000001,31080.0,29105.0,27322.0,25715.999999999996,24308.000000000004,23100.0,22063.000000000004,21151.999999999996,20355.999999999996,19669.0,19077.0,18563.0,18116.0,17730.0,17338.0,16905.0,16442.999999999996,16017.0,15630.0,15168.0,14587.0,13937.999999999998,13304.0,12650.0,12107.000000000002,11745.0,11494.000000000002,11237.0,11026.0,10687.999999999998,10134.0,9460.0,8830.0,8183.0,7733.0,7595.0,7653.0,7688.0,7752.000000000001,7711.0,7478.0,7125.0,6810.0,6500.0,6216.0,5980.0,5778.0,5562.0,5337.999999999999,5133.999999999999,4959.0,4801.0,4644.0,4500.0,4315.0,4062.0000000000005,3768.9999999999995,3485.0,3191.9999999999995,2953.0000000000005,2804.0,2708.9999999999995,2608.0,2521.0,2386.0,2168.0,1903.0,1655.0,1409.0,1207.0,1077.0,995.0,910.9999999999999,835.0,760.0,675.0,588.0,512.0,445.0,382.99999999999994,326.0,273.99999999999994,225.0,183.0,147.0,119.00000000000001,95.0,73.0,59.00000000000001,48.0,36.00000000000001,23.0,12.0,8.0,5.0,8.0
1958,42284.0,40080.99999999999,37960.0,37126.0,34798.0,32637.0,30640.0,28802.0,27114.0,25561.999999999996,24189.0,23011.0,21996.0,21085.0,20269.000000000004,19566.0,18973.0,18464.000000000004,18015.0,17621.0,17224.0,16785.999999999996,16322.0,15892.999999999998,15502.0,15038.0,14455.0,13805.0,13170.0,12515.0,11972.999999999998,11610.999999999998,11360.0,11104.000000000002,10892.999999999998,10557.0,10007.0,9341.000000000002,8717.0,8076.000000000001,7630.0,7492.000000000001,7547.999999999999,7581.0,7642.0,7600.0,7369.0,7019.0,6705.0,6398.0,6114.0,5877.000000000001,5672.999999999999,5455.0,5229.0,5022.0,4842.0,4678.0,4516.0,4366.000000000001,4177.0,3923.0,3631.0,3348.9999999999995,3058.0000000000005,2820.0,2668.0,2569.0,2464.0,2372.0,2238.0,2028.0,1774.0,1538.0,1303.0000000000002,1110.0,982.0,897.0,813.0,736.0,660.0,579.0,496.0,424.0,361.0,304.0,254.0,211.00000000000003,171.0,138.0,111.0,89.00000000000001,69.0,53.0,42.0,35.0,26.000000000000004,16.0,6.999999999999999,4.0,6.999999999999999
1959,42911.0,40980.0,39067.0,37181.99999999999,35967.0,33940.0,32019.0,30206.999999999996,28506.999999999996,26913.0,25414.0,24077.0,22928.0,21935.0,21023.000000000004,20187.0,19468.0,18873.0,18370.0,17918.0,17518.0,17114.0,16672.0,16204.999999999998,15773.0,15378.0,14911.0,14325.999999999998,13675.0,13039.000000000002,12384.0,11842.0,11480.0,11228.0,10972.999999999998,10762.0,10427.999999999998,9884.0,9222.999999999998,8605.0,7971.0,7529.0,7391.0,7445.0,7475.0,7535.0,7491.000000000001,7261.0,6912.999999999999,6602.0,6296.0,6013.0,5776.0,5569.0,5349.0,5121.0,4911.000000000001,4726.0,4556.0,4388.999999999999,4233.000000000001,4040.0,3785.0,3494.0,3213.0,2925.0,2688.0,2532.0,2428.0,2320.0,2224.0,2090.0,1886.9999999999998,1645.0,1420.0,1198.0,1012.9999999999999,885.9999999999999,800.0,714.0000000000001,636.0,561.0,482.00000000000006,402.99999999999994,336.0,276.0,225.0,183.0,149.0,117.0,93.00000000000001,75.0,59.00000000000001,44.00000000000001,32.0,26.000000000000004,21.0,16.0,10.0,4.0,6.0
