Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,82511.00000000001,81716.00000000001,80806.0,79814.0,78771.99999999999,77711.0,76664.0,75663.0,74738.99999999999,73925.0,73180.0,72463.00000000001,72170.0,72479.0,73203.0,73965.0,74824.0,75676.99999999999,76428.0,77118.0,77628.99999999999,77678.0,78432.0,80359.0,82722.00000000001,85007.0,88149.0,87393.99999999999,80591.00000000001,70328.0,60692.0,50080.0,44978.0,48777.0,58123.99999999999,66472.0,75363.99999999999,81246.00000000001,81766.0,78815.0,76688.0,74583.0,72578.0,71161.0,70086.0,68554.0,66645.0,65122.0,64259.0,63763.00000000001,63143.0,62589.0,61433.0,59324.0,56623.99999999999,54019.0,51335.0,49040.0,47425.0,46247.0,44943.00000000001,43593.0,42260.0,40909.0,39518.0,38137.0,36803.00000000001,35160.0,33053.00000000001,30648.000000000004,28280.0,25896.0,23600.0,21480.0,19497.0,17522.000000000004,15584.000000000002,13762.0,12085.0,10537.0,9076.0,7705.0,6468.0,5382.000000000001,4430.0,3570.0,2801.0,2151.9999999999995,1632.0,1220.0,820.0,560.0,442.0,309.0,163.0,84.0,69.0,52.00000000000001,34.0,15.0,12.0
1951,98561.0,82447.0,81450.0,80476.0,79529.0,78610.0,77764.0,77033.99999999999,76217.0,75235.0,74212.0,73309.0,72437.0,72051.0,72377.0,73187.0,74021.99999999999,74968.0,75865.0,76583.0,77199.0,77636.00000000001,77572.0,78338.00000000001,80481.00000000001,83167.99999999999,85759.0,89272.0,88592.00000000001,81393.99999999999,70462.0,60203.99999999999,48898.99999999999,43466.0,47525.0,57495.0,66396.99999999999,75889.0,82116.0,82540.0,79219.0,76785.0,74357.0,72145.0,70732.0,69792.0,68351.0,66528.0,65047.0,64144.99999999999,63558.0,62861.99999999999,62236.99999999999,61007.0,58825.0,56053.99999999999,53372.0,50602.0,48251.99999999999,46626.99999999999,45466.0,44175.0,42845.0,41497.0,40071.0,38568.00000000001,37086.0,35650.99999999999,33923.0,31758.000000000004,29315.0,26910.999999999996,24499.000000000004,22183.000000000004,20055.999999999996,18076.0,16113.0,14194.0,12419.0,10824.000000000002,9384.0,8032.999999999999,6778.0,5654.0,4671.0,3813.9999999999995,3040.0,2370.0,1824.0,1376.9999999999998,1014.0,675.9999999999999,463.99999999999994,365.0,255.0,134.0,67.0,51.0,33.0,15.0,13.000000000000002
1952,107012.0,97422.99999999999,82084.0,80889.0,79855.0,78955.0,78163.0,77535.0,77125.0,76497.0,75459.0,74231.00000000001,73172.0,72148.0,71672.0,72014.0,72906.0,73812.0,74842.0,75778.0,76461.0,77001.0,77362.0,77185.0,77961.0,80313.0,83312.99999999999,86202.00000000001,90073.0,89470.0,81904.0,70341.00000000001,59498.00000000001,47541.00000000001,41795.0,46099.0,56658.0,66081.0,76140.0,82689.0,83016.0,79336.0,76604.0,73862.0,71451.00000000001,70047.0,69244.0,67900.0,66171.0,64736.00000000001,63799.0,63123.00000000001,62353.0,61659.0,60360.0,58111.99999999999,55279.0,52531.00000000001,49686.00000000001,47288.00000000001,45659.0,44520.0,43246.0,41942.0,40582.0,39086.0,37477.0,35899.0,34369.0,32561.999999999996,30346.999999999996,27874.000000000004,25444.000000000004,23011.0,20686.0,18557.000000000004,16588.0,14645.0,12752.0,11029.000000000002,9522.0,8196.0,6960.0,5825.0,4819.0,3941.9999999999995,3183.9999999999995,2498.0,1930.0,1488.0000000000002,1117.0,804.0,528.0,366.0,287.0,200.0,104.00000000000001,50.0,33.0,15.0,13.000000000000002
1953,109650.0,99337.0,91045.0,81749.0,80356.00000000001,79261.00000000001,78408.99999999999,77743.0,77332.0,77242.0,76801.0,75707.0,74275.0,73061.0,71885.0,71317.0,71675.0,72650.0,73627.0,74740.0,75718.0,76365.0,76828.0,77115.0,76824.0,77611.0,80171.0,83486.0,86672.99999999999,90902.0,90376.0,82439.0,70244.0,58813.0,46201.0,40141.99999999999,44693.00000000001,55841.0,65788.0,76415.0,83289.0,83518.99999999999,79479.0,76449.0,73393.0,70782.0,69386.00000000001,68721.0,67473.0,65836.0,64448.00000000001,63474.0,62708.99999999999,61867.0,61104.0,59733.99999999999,57420.0,54525.0,51710.0,48788.00000000001,46342.0,44708.99999999999,43591.0,42335.0,41053.99999999999,39683.0,38117.0,36402.0,34727.0,33101.0,31215.0,28949.0,26445.999999999996,23988.000000000004,21535.0,19198.0,17067.999999999996,15109.000000000002,13185.0,11317.0,9646.0,8227.0,7013.0,5892.0,4877.0,3987.0,3217.0,2557.0,1959.0,1492.0,1154.0000000000002,858.0,595.0,382.0,268.0,210.0,145.0,75.0,33.0,15.0,13.999999999999998
1954,107878.99999999999,98781.0,91452.00000000001,85717.00000000001,81494.0,79902.0,78745.0,77940.0,77400.0,77205.0,77434.0,77180.0,76029.0,74390.0,73020.0,71691.0,71031.0,71406.0,72466.00000000001,73514.0,74712.0,75731.00000000001,76343.0,76731.00000000001,76943.0,76539.0,77337.0,80108.0,83741.0,87227.0,91818.0,91369.0,83055.0,70215.0,58186.00000000001,44908.0,38530.0,43331.0,55080.0,65560.0,76765.0,83967.99999999999,84102.0,79700.0,76369.0,72996.00000000001,70182.0,68794.0,68266.0,67112.0,65566.0,64223.0,63211.99999999999,62358.00000000001,61441.0,60608.00000000001,59168.0,56785.0,53825.0,50940.0,47938.99999999999,45442.0,43803.00000000001,42705.0,41465.0,40208.0,38824.0,37186.0,35363.0,33590.0,31866.999999999996,29900.0,27580.0,25046.0,22557.0,20081.0,17730.999999999996,15597.999999999998,13645.999999999998,11740.0,9895.0,8274.0,6942.0,5837.999999999999,4831.0,3933.9999999999995,3160.0,2495.0,1933.0,1421.0,1055.0,822.0000000000001,600.0,387.0,235.0,170.0,132.0,91.0,45.0,15.0,13.999999999999998
1955,102823.0,96444.0,91212.0,87012.0,83729.0,81248.0,79456.0,78238.0,77479.0,77064.0,77086.0,77633.0,77566.0,76359.0,74514.0,72988.0,71505.0,70753.99999999999,71145.0,72288.0,73408.0,74691.0,75751.0,76330.0,76641.0,76779.0,76261.00000000001,77071.0,80053.0,84003.99999999999,87791.0,92745.0,92371.00000000001,83679.0,70194.0,57565.0,43619.0,36922.0,41974.0,54324.0,65338.00000000001,77122.0,84657.00000000001,84695.0,79929.0,76297.0,72606.00000000001,69590.0,68209.0,67817.0,66758.0,65303.0,64004.99999999999,62957.0,62012.0,61021.0,60119.0,58607.0,56156.00000000001,53131.0,50175.0,47095.0,44547.0,42902.0,41824.0,40599.00000000001,39365.0,37969.0,36259.0,34328.0,32455.999999999996,30636.999999999996,28588.0,26215.0,23648.000000000004,21129.0,18629.0,16265.999999999998,14129.000000000002,12184.000000000002,10295.0,8472.999999999998,6903.0,5657.0,4664.0,3770.0,2992.0,2333.0,1774.0,1309.0000000000002,884.0,619.0,489.0,342.0,179.0,89.00000000000001,73.0,55.0,36.00000000000001,16.0,15.0
1956,95399.0,100647.0,95573.0,91162.0,87377.99999999999,84189.0,81478.00000000001,79128.99999999999,77517.0,76770.0,76610.0,76723.0,77283.99999999999,77206.0,75954.0,74041.0,72450.0,70899.0,70101.0,70486.0,71646.99999999999,72782.0,74085.0,75156.0,75726.0,76020.0,76146.0,75617.0,76431.0,79440.0,83433.0,87259.0,92249.0,91908.99999999999,83244.0,69780.0,57172.0,43250.0,36552.0,41565.0,53853.0,64806.0,76521.99999999999,84014.0,84048.99999999999,79306.0,75691.0,72016.0,69007.0,67612.0,67192.0,66109.0,64628.0,63302.0,62220.0,61236.99999999999,60205.0,59258.0,57707.0,55229.0,52184.0,49203.99999999999,46102.0,43513.99999999999,41802.0,40639.0,39336.99999999999,38030.0,36559.0,34773.0,32768.0,30831.0,28950.0,26874.000000000004,24520.0,22006.999999999996,19548.0,17117.0,14837.0,12798.0,10963.0,9187.999999999998,7486.000000000001,6032.999999999999,4899.0,4011.9999999999995,3213.0,2542.0,1984.0,1501.9999999999998,1091.0,729.0000000000001,513.0,405.0,283.00000000000006,147.0,76.0,57.99999999999999,38.0,17.0,16.0
1957,87033.99999999999,88537.0,98700.0,94917.99999999999,91316.0,87940.0,84838.0,81890.0,78980.0,76970.0,76235.0,76329.0,76532.0,77108.0,77020.0,75719.0,73735.0,72076.00000000001,70452.0,69608.0,69986.0,71167.0,72320.0,73645.0,74729.0,75293.0,75571.0,75685.0,75143.99999999999,75963.00000000001,79007.0,83051.0,86922.99999999999,91961.0,91654.0,82997.00000000001,69523.0,56908.0,42979.0,36264.0,41248.99999999999,53503.0,64420.0,76095.0,83560.0,83592.99999999999,78863.0,75255.0,71589.0,68578.0,67166.0,66719.0,65608.0,64099.99999999999,62741.00000000001,61623.00000000001,60601.00000000001,59526.0,58530.0,56937.0,54427.0,51355.0,48345.0,45213.0,42578.99999999999,40797.0,39548.0,38165.0,36783.0,35233.00000000001,33366.0,31285.0,29278.000000000004,27331.999999999996,25223.000000000004,22883.000000000004,20419.0,18014.0,15645.0,13444.0,11499.0,9767.000000000002,8103.999999999999,6517.0,5178.999999999999,4153.000000000001,3369.0,2663.0000000000005,2099.0,1640.0,1232.9999999999998,875.0,576.0000000000001,409.0,322.0,223.99999999999997,115.0,61.0,40.0,18.000000000000004,16.0
1958,78441.0,83945.0,87775.0,96802.0,94310.0,91517.00000000001,88548.99999999999,85531.0,82345.0,78871.00000000001,76463.00000000001,75738.0,76086.0,76381.0,76972.0,76874.0,75523.0,73466.00000000001,71738.0,70042.0,69149.0,69521.0,70723.99999999999,71895.0,73244.0,74341.00000000001,74899.0,75160.0,75263.0,74708.0,75533.0,78613.0,82710.0,86632.0,91721.0,91446.0,82792.0,69301.99999999999,56673.0,42729.0,35994.0,40955.0,53180.0,64066.0,75706.0,83148.0,83179.0,78459.0,74858.0,71199.0,68185.0,66755.0,66280.0,65141.00000000001,63604.0,62213.0,61056.99999999999,59995.0,58876.00000000001,57832.0,56196.00000000001,53653.0,50552.0,47510.0,44347.0,41666.00000000001,39811.0,38475.0,37010.99999999999,35552.0,33924.0,31976.0,29815.0,27737.0,25725.0,23583.000000000004,21256.0,18838.0,16487.000000000004,14180.0,12056.0,10203.0,8575.0,7022.0,5550.0,4326.000000000001,3409.0,2728.0,2115.0,1656.0,1297.0,965.0,660.0,423.0,304.0,239.0,165.0,84.0,43.0,19.0,17.0
1959,70330.0,79078.0,85445.0,89694.0,94857.99999999999,93660.0,91678.0,89118.0,86187.99999999999,82764.0,78728.00000000001,75921.0,75208.0,75809.0,76196.0,76801.99999999999,76693.0,75293.0,73165.0,71369.0,69598.99999999999,68658.99999999999,69025.0,70249.0,71438.0,72809.0,73919.0,74471.0,74715.0,74806.0,74238.99999999999,75070.0,78184.0,82333.0,86302.0,91439.0,91197.0,82550.0,69050.0,56412.0,42460.0,35708.0,40641.99999999999,52833.99999999999,63684.0,75283.99999999999,82699.0,82728.0,78021.0,74428.0,70776.00000000001,67761.00000000001,66314.0,65811.0,64644.99999999999,63080.0,61656.00000000001,60464.0,59361.00000000001,58200.0,57107.0,55428.99999999999,52854.0,49726.00000000001,46653.0,43460.0,40733.00000000001,38806.99999999999,37385.0,35839.0,34305.0,32598.0,30569.000000000004,28331.0,26183.000000000004,24105.0,21930.0,19617.0,17248.0,14950.999999999998,12707.0,10661.0,8901.0,7377.999999999999,5935.0,4580.0,3470.0,2661.0,2084.0,1565.0,1212.0,952.0000000000001,697.0000000000001,444.0,270.0,200.0,155.0,106.0,53.0,20.0,18.000000000000004
