Time,Births
1950,4124.0
1951,4145.0
1952,4177.0
1953,4208.0
1954,4235.0
1955,4607.0
1956,4646.0
1957,4678.0
1958,4708.0
1959,4748.0
1960,4545.0
1961,4605.0
1962,4682.0
1963,4774.0
1964,4876.0
1965,4142.0
1966,4227.0
1967,4317.0
1968,4411.0
1969,4511.0
1970,4118.0
1971,4241.0
1972,4365.0
1973,4490.0
1974,4616.0
1975,4049.0
1976,4143.0
1977,4234.0
1978,4323.0
1979,4407.0
1980,4055.0
1981,4143.0
1982,4225.0
1983,4300.0
1984,4366.0
1985,4182.0
1986,4237.0
1987,4282.0
1988,4320.0
1989,4348.0
1990,4499.0
1991,4515.0
1992,4519.0
1993,4515.0
1994,4508.0
1995,4227.0
1996,4226.0
1997,4231.0
1998,4237.0
1999,4240.0
2000,4109.0
2001,4116.0
2002,4118.0
2003,4118.0
2004,4126.0
2005,4425.0
2006,4483.0
2007,4559.0
2008,4647.0
2009,4736.0
2010,4477.0
2011,4493.0
2012,4501.0
2013,4505.0
2014,4508.0
2015,4021.0
2016,4044.0
2017,4068.0
2018,4092.0
2019,4110.0
2020,4001.0
2021,4010.0
2022,4008.0
2023,4000.0
2024,3991.0
2025,3920.0
2026,3908.0
2027,3898.0
2028,3889.0
2029,3881.0
2030,3851.0
2031,3846.0
2032,3842.0
2033,3838.0
2034,3835.0
2035,3821.0
2036,3823.0
2037,3826.0
2038,3829.0
2039,3829.0
2040,3820.0
2041,3812.0
2042,3799.0
2043,3782.0
2044,3762.0
2045,3743.0
2046,3720.0
2047,3694.0
2048,3667.0
2049,3638.0
2050,3621.0
2051,3593.0
2052,3566.0
2053,3540.0
2054,3515.0
2055,3502.0
2056,3483.0
2057,3466.0
2058,3451.0
2059,3437.0
2060,3437.0
2061,3426.0
2062,3416.0
2063,3406.0
2064,3396.0
2065,3395.0
2066,3388.0
2067,3382.0
2068,3375.0
2069,3367.0
2070,3367.0
2071,3360.0
2072,3352.0
2073,3342.0
2074,3330.0
2075,3334.0
2076,3323.0
2077,3310.0
2078,3297.0
2079,3282.0
2080,3271.0
2081,3257.0
2082,3243.0
2083,3228.0
2084,3211.0
2085,3203.0
2086,3189.0
2087,3176.0
2088,3163.0
2089,3149.0
2090,3143.0
2091,3133.0
2092,3125.0
2093,3116.0
2094,3105.0
2095,3098.0
2096,3092.0
2097,3085.0
2098,3078.0
2099,3071.0
