Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08881775918076325,0.11949805214919437,0.1528381670313394,0.18658756595943557,0.21831489463250198,0.2458123658483827,0.2674380924387667,0.2824501817466719,0.29105815170336746,0.2941486342747748,0.29304405189161653,0.28924104656480903,0.28354883733466024,0.2760671955573203,0.26690140799385625,0.2561923737300392,0.2441060109486057,0.23068456535425425,0.21588894623746718,0.19977706409461007,0.18251381535191047,0.1643711625751587,0.14580974376125577,0.12739024650057737,0.10960882365810139,0.09287216284400639,0.07748624911133635,0.06364580801221409,0.0514478023722065,0.040912763595071774,0.03199549806251244,0.024598017749357482,0.018583847338444617,0.013792358506251682,0.010051987530216308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08885601032240882,0.11927289202439875,0.15237089190025271,0.1859765367196153,0.2177212181237503,0.24542589031814968,0.2674332655319836,0.2829207314173173,0.29196293243228805,0.29530541786055164,0.2941460487267979,0.28988814437468513,0.28339971474416736,0.2749750770695309,0.26490883798365306,0.2535087633220697,0.2410714694820802,0.227628870697914,0.2130195329310971,0.19718896479073947,0.1802093911789048,0.1622872153271177,0.14389361050663116,0.12564495455510297,0.10807142380400689,0.09159144320003597,0.07650487210799346,0.06298452248369153,0.05109965647864513,0.040847583245535536,0.032166503350610866,0.024949123714569754,0.01905660578170223,0.014331758073841131,0.010610647985848654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888676577540304,0.11909183238970046,0.15201196002651007,0.18550928402575592,0.21726022279589377,0.24510718618859703,0.26738333219364085,0.2832102652761535,0.29256787077202856,0.29610142618822505,0.29491974006635396,0.2903599498006567,0.2833320266258427,0.27426713725527613,0.26359119455156776,0.25172532590951496,0.2390530286161219,0.22559755257735437,0.21111438046019174,0.19547337941745538,0.1786844943614735,0.16091000941532285,0.14262828711681036,0.12449333940394268,0.10705828286107436,0.09074944965439219,0.07586269607704904,0.06255638968793578,0.050881558057201855,0.04082025873216608,0.032299740705475984,0.02520644242624284,0.01939968214901705,0.014724125804504773,0.011020405498799537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888594149616016,0.11895774898435284,0.151760826685838,0.1851843158707432,0.21693329092612845,0.24486437611134776,0.2673057058478187,0.2833451438736378,0.2929043509540401,0.29656634624680056,0.2953842908662096,0.29065403657334316,0.28331091515478135,0.27386932175285733,0.2628343992309991,0.2506948245497486,0.2378851815430431,0.22442310126478693,0.210014823565029,0.1944856379264684,0.17780881702891893,0.16012064756448982,0.14190381126537194,0.12383463214407443,0.10647982161739276,0.09027041751694756,0.0754999910930249,0.062318527308288435,0.05076646925975531,0.04081703664441067,0.03239111906707844,0.025371470540968256,0.019616240150134502,0.014971026478140931,0.011278940421461643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888380098092561,0.11887355691897841,0.15161717480635034,0.18500047129002295,0.2167420369024456,0.24470561505471292,0.26721779306068927,0.28335206420455655,0.29300471325034344,0.2967312557688744,0.29556002173509766,0.2907682964406534,0.2833015715718715,0.27370922218780785,0.26252964596308004,0.2502797493444347,0.23741537694462292,0.22395191090542402,0.20957535112525758,0.19409270691045194,0.17746221548617033,0.1598095012442101,0.14161906821581544,0.12357647714817535,0.10625407516718038,0.09008486956461569,0.07536152863665939,0.062230634419683815,0.050728325219108895,0.04082423134824393,0.03243666040047994,0.025446866204565682,0.019712511657591483,0.015079555284019525,0.011392091059434839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888101720325101,0.1188422228727735,0.1515809146135133,0.18495691433287773,0.21668831914931821,0.24463911731501642,0.2671369811810109,0.2832579260744848,0.2929019716582968,0.2966282846120282,0.29546819606789826,0.2907009504678004,0.2832692003404184,0.2737153578974449,0.262571346828049,0.25034868023100193,0.23749923988616625,0.22403915418443374,0.20965873027988774,0.19416883793099848,0.17753087411259788,0.1598726928544885,0.14167842734875266,0.12363172932694327,0.10630378128995188,0.0901271850508812,0.07539479984622421,0.06225391785323571,0.05074157740888527,0.04082816710671247,0.03243255107653467,0.02543632169851318,0.019697274718607084,0.015061328249972398,0.0113724063099376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08878262582096486,0.11886677814854418,0.15165218407551598,0.18505312929961945,0.2167742529783787,0.2446731864124673,0.2670806373019165,0.2830897233971609,0.29262956567081944,0.2962903051152296,0.2951308176154199,0.29045055943034626,0.2831790260578736,0.2738166496422026,0.2628555362132449,0.2507734289069875,0.23799681242155488,0.22454475595327478,0.21013218319047877,0.19459216309028973,0.17790431182644986,0.1602093561609707,0.14198912645870607,0.12391596713239929,0.106554124392173,0.09033372267920174,0.07554864931505391,0.06235028349843526,0.05078087120804362,0.04081516608775471,0.03237519652588486,0.025344422642367817,0.019581287937533585,0.01493133661976397,0.01123736325287106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887620874935319,0.11895033264138531,0.15183135015502275,0.18528891721083657,0.21700222445026265,0.2448162479727606,0.26706611852381357,0.2828744609073466,0.29222114821066497,0.29575065471705975,0.2945704405735944,0.2900160332341417,0.2829963430700282,0.27394208008994775,0.26327870329410624,0.2514268836908693,0.23876969458984873,0.22533032950230647,0.21086448658865728,0.19524212521819462,0.17847313466613018,0.16071958636170644,0.14245931607538603,0.12434563427334086,0.10693105417099634,0.09064143146317254,0.07577228037078891,0.062481771262542424,0.05082085221163392,0.04077158218385769,0.03226127836542631,0.025176499179223242,0.01937671917597147,0.014706782189135499,0.011007506785771202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08875552570383657,0.11909653719985491,0.15211966559659512,0.1856652344341318,0.2173758661527589,0.24507785695795006,0.2671116316709573,0.2826395931684629,0.291710255253029,0.29504168398198377,0.293807261953885,0.2893918760366274,0.2826795205834535,0.2740112816812916,0.263726168610857,0.25216992325705884,0.23966781968272124,0.22624718817414963,0.2117160982907632,0.19599207029177648,0.17912398719206782,0.1613013023673843,0.14299628282258459,0.12483715393210647,0.10736092472399392,0.09098775279997712,0.0760152403364784,0.06261048224438508,0.050835903490510856,0.04068322157453105,0.03208673941602966,0.0249370726427643,0.019094977694203475,0.014404255369341654,0.010702977465692334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08877094195073396,0.11931094826630703,0.15252124973133535,0.1861867331899716,0.21790297432805006,0.24547166302103626,0.2672387837614552,0.2824144793778459,0.2911297045266358,0.2941909501442714,0.29285083606768386,0.28855401188559593,0.2821589752671659,0.2739068137634648,0.26403901549777264,0.2528155390450349,0.2404943144870986,0.2271052815042938,0.2125142149256543,0.19669120365369247,0.17972809247908617,0.16184422747071645,0.14350438884753122,0.12530740113308084,0.10777225189359164,0.09131266391304983,0.07622902396914998,0.06269925728421319,0.05079961892639717,0.040533509532346364,0.03184368594136909,0.024625638563999994,0.018741588132054957,0.014033941843357723,0.010337297722960057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
