Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,1094399.0,1050338.0,1013628.0,983419.0,958858.0000000001,939092.0,923270.0,910539.0,900046.0,890941.0,883470.0,877880.0,867822.0,850242.0,827588.0000000001,805422.0,782706.0,759513.9999999999,736463.0000000001,713247.0,689530.0,666089.0,640526.0,611845.0,581695.0,552519.0,523584.00000000006,498930.0,480741.0,467222.0,453948.00000000006,441273.0,430986.99999999994,423365.0,417484.00000000006,412189.0,407765.0,401564.0,392167.0,380596.0,369439.0,358358.0,346385.99999999994,333358.0,319633.0,305990.0,292584.0,278912.00000000006,264907.0,251044.0,237486.0,223741.0,213159.00000000003,207279.00000000003,204438.0,201525.0,199270.0,195567.0,189088.0,180867.00000000003,173208.0,165571.0,158347.99999999997,151939.0,145971.0,139764.0,133566.0,126678.0,118717.99999999999,110097.00000000001,101602.0,93069.0,84927.0,77467.0,70488.0,63610.0,57048.0,50302.0,43129.0,35882.0,29072.0,22498.0,17137.0,13495.0,11097.999999999998,8929.0,7146.0,5640.0,4239.0,2997.0,1996.0,1436.0,1132.0000000000002,797.0,430.0,228.99999999999997,187.0,142.0,95.0,44.00000000000001,49.0
1951,1154744.0,1069677.0,1027476.9999999999,993211.0,965848.0000000001,944357.0,927968.0000000001,915909.0,905852.0,896245.0,886839.0,879197.0,873327.0,863008.0,845391.9999999999,822823.0,800558.0,777625.0,754257.0,731121.0000000001,707883.9999999999,684123.9999999999,660626.0000000001,635075.0,606505.0,576530.0,547531.0,518784.0,494294.00000000006,476218.0,462777.0,449594.0,437013.00000000006,426805.0,419241.0,413403.0,408148.0,403753.00000000006,397597.0,388274.0,376789.0,365711.0,354705.0,342792.0,329796.99999999994,316086.0,302449.0,289029.0,275355.0,261370.99999999997,247533.0,233981.0,220236.0,209585.0,203535.99999999997,200458.0,197304.0,194795.0,190845.0,184144.0,175719.00000000003,167850.0,160014.0,152573.99999999997,145920.0,139698.99999999997,133265.0,126861.0,119822.0,111790.0,103162.0,94691.0,86221.0,78190.0,70888.0,64114.99999999999,57477.0,51168.0,44782.0,38113.0,31460.0,25241.999999999996,19275.0,14457.0,11247.0,9201.0,7416.0,5946.000000000001,4691.0,3516.0,2461.0,1626.0,1173.0,924.0,649.0,350.0,174.0,132.0,88.00000000000001,40.99999999999999,46.0
1952,1208370.0,1115720.0,1046281.9999999999,1005888.0,974016.0000000001,949458.0000000001,931002.0,917958.0000000001,909635.0,902230.0,893495.0,883776.9999999999,875957.0,869801.0,859211.0,841539.0,819026.9999999999,796638.0,773463.0000000001,749891.9999999999,726645.0,703358.9999999999,679529.0,655948.0,630379.0,601886.0,572052.0,543193.0,514602.0,490246.99999999994,472261.99999999994,458885.0,445775.0,433274.0,423133.00000000006,415616.0,409815.0,404593.0,400222.0,394105.0,384843.0,373433.00000000006,362420.0,351476.0,339607.0,326630.0,312918.0,299270.0,285822.0,272129.0,258149.0,244321.0,230759.0,216999.00000000003,206267.0,200042.0,196724.00000000003,193327.0,190560.99999999997,186360.0,179432.00000000003,170793.0,162707.0,154662.0,146998.0,140092.0,133611.0,126944.0,120327.00000000001,113130.0,105017.00000000001,96371.00000000001,87914.0,79498.0,71568.0,64415.00000000001,57840.0,51431.99999999999,45369.0,39333.0,33159.0,27090.0,21455.0,16085.0,11804.0,9021.0,7321.000000000001,5917.000000000001,4757.0,3752.0,2799.0,1930.0,1258.0,912.0,717.0000000000001,503.0,270.0,123.00000000000001,81.99999999999999,38.0,43.0
1953,1261552.0,1157854.0,1074386.0,1024660.0000000001,986003.0,956470.0,934672.0,919218.0000000001,909495.0,904891.0000000001,900123.0,892245.0,882201.0,874188.0,867737.0,856857.0,839098.9999999999,816608.0000000001,794056.0,770601.0000000001,746788.0,723390.0,700016.9999999999,676078.0,652372.0,626743.0,598280.0,568536.0,539770.0,511286.0,487025.0,469102.0,455764.0,442707.0,430265.0,420171.99999999994,412691.99999999994,406918.0,401719.0,397366.0,391276.0,382060.0,370705.0,359740.0,348839.0,336994.0,324014.0,310277.0,296596.0,283097.0,269363.0,255363.0,241521.0,227927.00000000003,214128.0,203297.0,196886.0,193322.99999999997,189678.0,186650.0,182192.0,175024.0,166157.0,157840.0,149573.99999999997,141673.0,134503.0,127752.99999999999,120841.00000000001,113999.0,106633.0,98425.0,89747.00000000001,81290.0,72914.0,65071.0,58055.0,51667.0,45478.0,39650.0,33955.0,28264.0,22769.000000000004,17707.0,12925.0,9172.0,6811.0,5455.0,4428.999999999999,3577.0,2819.0,2086.9999999999995,1402.0,894.0,652.0,511.0,358.0,190.0,76.0,36.00000000000001,40.0
1954,1317335.0,1207360.0,1117578.0,1046011.0,1004036.9999999999,967081.0,939862.0,920808.0,908345.0,901939.0,901056.0,898927.0,891898.9999999999,881516.0000000001,873303.0,866549.0,855368.9999999999,837506.0000000001,815012.0,792276.0000000001,768515.0,744436.0,720863.0,697378.9999999999,673306.0,649453.0,623737.0,595274.0,565590.0,536889.0,508483.0,484291.0,466411.0,453101.0,440082.0,427686.0,417633.00000000006,410181.0,404426.99999999994,399246.99999999994,394908.0,388840.0,379660.0,368349.0,357419.00000000006,346551.0,334718.0,321721.0,307945.99999999994,294217.0,280653.0,266864.00000000006,252831.0,238960.99999999997,225321.0,211469.00000000003,200528.0,193925.0,190112.0,186214.00000000003,182921.0,178200.0,170785.0,161681.0,153124.0,144627.0,136481.0,129039.99999999999,122012.0,114848.0,107776.00000000001,100232.00000000001,91920.0,83202.00000000001,74737.0,66391.0,58626.99999999999,51741.00000000001,45535.0,39559.0,33960.0,28601.999999999996,23389.0,18464.000000000004,13969.000000000002,9772.0,6544.0,4604.0,3591.0,2943.0,2398.0,1886.9999999999998,1376.0,875.0,529.0,392.99999999999994,306.0,212.0,111.0,33.0,38.0
1955,1376754.0,1263358.0,1169104.0,1092234.0,1030990.0,983617.0,948357.0,923452.0,907145.0,897680.0,894600.0,897450.0,897967.0,891789.0,881065.0,872648.9999999999,865589.0,854105.0,836133.0,813630.0,790702.0,766628.9999999999,742276.0000000001,718521.0000000001,694920.0,670705.0,646697.0,620888.0,592418.0,562786.0,534141.9999999999,505806.99999999994,481678.00000000006,463837.0,450550.0,437566.99999999994,425214.0,415196.99999999994,407770.99999999994,402037.0,396875.0,392546.99999999994,386499.0,377354.00000000006,366083.0,355186.99999999994,344348.0,332525.0,319507.0,305690.0,291910.0,278277.0,264429.00000000006,250358.0,236456.0,222767.0,208858.0,197804.0,191005.0,186940.99999999997,182787.99999999997,179229.0,174243.0,166579.0,157234.0,148435.0,139704.0,131309.0,123594.0,116286.0,108868.0,101561.0,93837.0,85419.0,76658.0,68182.0,59865.0,52178.99999999999,45421.00000000001,39395.0,33632.0,28261.999999999996,23238.000000000004,18505.0,14149.0,10224.0,6611.000000000001,3910.0,2391.0,1722.0,1453.0,1217.0,953.0,662.9999999999999,346.00000000000006,163.99999999999997,133.0,100.0,66.0,31.0,36.00000000000001
1956,1434767.9999999998,1344545.0,1240922.0,1153931.0,1082156.0,1024184.0,978330.0,942911.9999999999,917858.9999999999,902290.0,893988.0,891177.0,893692.0,893871.0000000001,887529.0,876733.9999999999,868083.0000000001,860674.0,848920.0,830828.0,808306.0,785339.0,761227.0,736868.9999999999,713145.0,689603.9999999999,665465.0,641544.0,615845.0,587510.0,558029.0,529536.9999999999,501360.0,477365.0,459618.00000000006,446395.99999999994,433476.0,421179.00000000006,411200.99999999994,403793.0,398059.0,392888.00000000006,388543.0,382466.0,373279.0,361957.0,351003.00000000006,340099.0,328215.0,315149.0,301290.0,287455.99999999994,273756.0,259850.00000000003,245742.00000000003,231809.00000000003,218078.0,204135.0,192972.99999999997,185955.0,181602.0,177171.0,173328.0,168102.0,160272.00000000003,150814.0,141910.0,133102.0,124622.99999999999,116801.0,109387.99999999999,101901.00000000001,94546.0,86882.0,78676.99999999999,70236.0,62100.0,54163.99999999999,46854.0,40437.0,34738.0,29324.0,24291.0,19697.0,15533.0,11819.0,8478.0,5488.0,3281.0,2017.0,1431.0,1188.0,994.0000000000001,779.0,541.0,282.0,126.0,95.0,63.0,30.0,34.0
1957,1495657.0000000002,1381068.0,1313936.0000000002,1219948.9999999998,1140107.0,1073336.0,1018561.0,974171.0,938557.0,913326.0,898476.0000000001,891325.0,888779.0,890964.0,890805.0,884291.9999999999,873414.0,864518.0,856753.0,844716.0,826483.0000000001,803916.0,780883.9999999999,756706.0,732315.0,708595.0,685088.0000000001,660996.0000000001,637134.0,611515.0,583283.0,553918.0,525547.0,497494.0,473605.0,455931.99999999994,442760.99999999994,429889.0,417634.0,407683.00000000006,400284.0,394544.00000000006,389359.00000000006,384991.99999999994,378878.00000000006,369639.0,358253.00000000006,347229.00000000006,336246.0,324289.0,311160.0,297243.0,283340.0,269556.0,255577.0,241417.0,227435.0,213648.0,199655.99999999997,188373.0,181128.0,176482.0,171768.0,167638.0,162166.0,154161.0,144579.0,135560.0,126665.0,118094.0,110155.0,102627.99999999999,95065.0,87654.0,80041.0,72036.99999999999,63906.00000000001,56101.00000000001,48536.0,41592.0,35508.0,30130.0,25057.0,20355.0,16186.0,12585.0,9507.0,6745.0,4373.0,2658.0,1646.9999999999998,1142.0000000000002,925.9999999999999,774.0,605.0,420.0,218.0,92.0,61.0,27.999999999999996,32.0
1958,1555621.0,1442921.0,1343172.0,1284188.9999999998,1199775.0,1127028.0,1065216.0000000002,1013602.0,970648.0,934814.0,909388.9999999999,895248.0,889243.0,886960.0,888815.0,888320.0,881631.0000000001,870663.0,861516.9999999999,853390.0,841064.0,822678.0,800051.0,776938.0,752678.0,728238.0,704507.0,681018.0,656959.0,633141.0,607585.0,579438.0,550170.0,521900.0,493954.0,470155.0,452545.0,439415.0,426583.0,414361.99999999994,404431.0,397036.0,391287.0,386084.0,381691.0,375537.0,366241.0,354784.0,343681.99999999994,332614.00000000006,320574.0,307374.0,293390.0,279409.0,265532.0,251472.0,237249.00000000003,223210.0,209359.0,195307.00000000003,183897.00000000003,176419.0,171477.0,166477.99999999997,162058.0,156336.0,148151.0,138440.0,129300.00000000001,120312.00000000001,111642.00000000001,103581.0,95936.0,88292.0,80819.0,73252.0,65446.0,57619.0,50140.0,42941.0,36359.0,30603.0,25541.999999999996,20808.000000000004,16434.0,12686.0,9645.0,7202.000000000001,5016.999999999999,3261.0,2036.0,1277.0000000000002,853.0,664.0,553.9999999999999,432.00000000000006,298.0,154.0,59.00000000000001,27.000000000000004,30.0
1959,1610230.0,1502182.0,1404329.0,1316247.9999999998,1254999.0,1180127.0,1114451.0,1057573.9999999998,1009101.0000000001,967564.0,931493.0,905862.0,892425.0,887564.0,885544.0,887070.0,886237.0,879368.9999999999,868306.0,858906.0000000001,850413.0,837790.0,819243.9999999999,796547.0,773343.0000000001,748990.0,724490.0,700736.0000000001,677255.0,653216.0,629431.0,603928.0,575852.0,546668.0,518486.99999999994,490635.0,466916.0,449360.0,436265.99999999994,423467.0,411275.0,401360.0,393966.0,388204.0,382981.0,378561.99999999994,372365.0,363006.0,351472.0,340288.0,329129.0,317003.0,303724.0,289667.00000000006,275601.0,261625.99999999997,247477.0,233185.99999999997,219083.0,205160.0,191044.0,179500.0,171787.0,166545.0,161257.99999999997,156546.0,150572.0,142203.0,132358.0,123092.99999999999,114008.0,105235.0,97048.99999999999,89282.00000000001,81553.0,74015.0,66491.0,58878.0,51353.0,44196.00000000001,37360.0,31138.0,25706.999999999996,20962.0,16564.0,12517.000000000002,9187.999999999998,6707.000000000001,4898.0,3288.9999999999995,2150.0,1414.0000000000002,907.9999999999999,565.0,402.0,332.99999999999994,259.0,177.0,90.0,27.000000000000004,27.999999999999996
1960,1655639.0,1555871.0,1463099.0,1377267.9999999998,1298323.0,1226208.0,1160870.0,1102251.0,1050298.0,1004954.0,964821.0,928500.0,902654.0,889916.9999999999,886201.0,884443.0,885640.0,884468.0000000001,877419.0,866256.0000000001,856598.0000000001,847736.0000000001,834812.0,816097.0,793323.0,770018.9999999999,745564.0,720995.0,697210.0,673728.0000000001,649702.0,625941.0,600481.0,572467.0,543357.0,515254.0,487486.0,463839.0,446330.99999999994,433268.0,420499.0,408330.99999999994,398428.00000000006,391032.0,385256.0,380010.99999999994,375563.00000000006,369320.0,359895.0,348281.0,337010.0,325757.0,313538.0,300177.0,286042.00000000006,271885.99999999994,257805.99999999997,243564.00000000003,229199.0,215028.0,201028.0,186840.99999999997,175160.0,167208.0,161665.0,156088.0,151081.00000000003,144852.0,136296.0,126312.00000000001,116919.0,107734.0,98855.0,90540.0,82648.0,74831.0,67226.0,59741.00000000001,52320.0,45093.99999999999,38257.0,31783.0,25919.0,20813.000000000004,16381.0,12318.0,8597.000000000002,5688.0,3766.0,2591.0,1560.0,1038.0,792.0,537.9999999999999,276.0,140.0,113.0,85.0,55.99999999999999,26.000000000000004,27.000000000000004
1961,1684972.0000000002,1626559.0,1534274.0,1447287.0,1365755.0,1289835.0,1219537.0,1154867.0,1096733.0,1045591.0000000001,1001150.0,961288.0,924781.0000000001,898693.0,885796.0,881953.0,879914.0,880718.9999999999,879220.0,871981.0000000001,860722.0,850941.0,841949.0,828948.0,810226.0000000001,787495.0,764248.9999999999,739875.0,715390.0,691677.0,668266.0000000001,644325.0,620651.9999999999,595307.0,567448.0,538516.0,510580.99999999994,482975.0,459463.0,442050.0,429046.0,416328.00000000006,404204.0,394295.0,386828.00000000006,380934.0,375561.99999999994,370973.0,364594.0,355048.0,343323.00000000006,331933.00000000006,320556.0,308219.0,294747.0,280507.0,266243.0,252047.0,237717.0,223308.0,209116.0,195094.00000000003,180904.00000000003,169144.0,160993.0,155183.0,149364.0,144128.0,137722.0,129078.0,119075.0,109679.0,100514.0,91716.00000000001,83555.0,75875.0,68306.0,60983.99999999999,53821.00000000001,46753.0,39911.0,33476.0,27397.0,22009.0,17492.0,13708.0,10245.0,7164.0,4773.0,3163.0000000000005,2142.0,1273.0,850.0,649.0,440.0,225.0,110.0,83.0,54.00000000000001,25.0,26.000000000000004
1962,1706865.0,1634267.0,1599888.0,1514938.9999999998,1433599.0,1356239.0,1283230.0,1214642.0,1150547.0,1092812.0,1042406.0,998802.0,959153.0,922406.9999999999,896040.0,882964.0,878988.9999999999,876666.9999999999,877081.0,875253.0,867815.0,856444.0,846526.9999999999,837391.9999999999,824295.0,805538.0,782817.0,759596.0,735268.0,710830.0,687156.0000000001,663781.9999999999,639890.0,616270.0,591004.0,563260.0,534463.0000000001,506655.0,479171.0,455760.0,438416.0,425453.00000000006,412767.0,400669.00000000006,390740.0,383191.0,377171.0,371665.0,366929.00000000006,360403.0,350723.0,338871.0,327346.0,315830.0,303356.0,289753.0,275388.0,260995.99999999997,246662.0,232224.00000000003,217750.0,203517.0,189454.0,175240.0,163384.0,155024.0,148937.0,142869.0,137396.00000000003,130806.00000000001,122061.0,112024.0,102611.0,93452.99999999999,84723.99999999999,76703.0,69225.0,61891.99999999999,54843.0,47989.0,41263.99999999999,34797.0,28750.999999999996,23059.0,18139.0,14203.0,11061.0,8191.000000000001,5745.0,3866.0,2565.0,1696.0,988.0,665.0,506.0,343.0,175.0,80.0,52.00000000000001,24.0,25.0
1963,1726027.0,1668247.9999999998,1606841.0000000002,1574473.0,1496795.0,1421041.0000000002,1347795.0,1277639.0,1210708.0,1147136.0,1089754.0,1040045.0000000001,997243.9999999999,957776.0000000001,920762.0,894093.9999999999,880830.0,876718.9999999999,874113.9999999999,874137.0,871978.0000000001,864334.0,852842.0,842781.0000000001,833496.0000000001,820293.0,801486.0000000001,778757.0,755543.0,731241.0000000001,706832.0,683177.0,659821.0,635959.0000000001,612374.0,587166.9999999999,559516.0,530831.0,503128.00000000006,475745.0,452417.0,435128.00000000006,422195.0,409532.0,397450.99999999994,387494.0,379856.0,373705.0,368061.0,363174.00000000006,356496.99999999994,346675.0,334686.0,323015.99999999994,311352.00000000006,298732.0,284987.0,270486.0,255954.0,241470.99999999997,226912.99999999997,212363.0,198078.0,183960.99999999997,169712.00000000003,157752.0,149175.0,142807.00000000003,136486.0,130770.00000000001,123990.0,115137.0,105059.0,95621.00000000001,86464.0,77796.0,69910.0,62628.0,55523.99999999999,48743.0,42193.00000000001,35805.0,29708.000000000004,24048.0,18738.0,14280.999999999998,10924.000000000002,8421.0,6143.0,4330.0,2963.0,1969.0,1252.0,705.0,479.0,365.0,246.00000000000003,124.0,51.0,23.0,24.0
