Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10102894079134846,0.1343886382678212,0.17260090108233692,0.21441827344508324,0.2581031115057495,0.30158648390335435,0.3426826961616071,0.379322516015365,0.4097624321943066,0.4326650941429,0.44717254415938223,0.453007866504834,0.4504509316029668,0.4402728844580428,0.4239938946074811,0.4036453298435132,0.381153715040186,0.35819334174017664,0.33607267729424706,0.31454312353857666,0.2922423503481494,0.26818268802286394,0.24185307897768027,0.2132893481820511,0.1835714071420872,0.15432602708737733,0.12685460515739524,0.10205654841039903,0.08043902597950761,0.06213782866817074,0.047035859433474166,0.03488151106912986,0.025337522562926724,0.018023748293537326,0.012553003264423249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09045074196639179,0.12068415112821936,0.15540311014945235,0.19347899351052034,0.2333274671866629,0.27305437222786433,0.3106539723278288,0.3442250587415686,0.3721652461547399,0.39325158894307405,0.40670890887483296,0.4122961527706191,0.4102807537450779,0.4013744721949836,0.38694345517349826,0.36879818321114693,0.3486619149704932,0.32803915206745515,0.30811170690635115,0.28865694668262,0.26844238693482986,0.2465723436398175,0.2225823664910754,0.19650522084025004,0.16933269221141664,0.14256074744824052,0.11738577986225622,0.09463490176636885,0.07477569659463448,0.05793530909136027,0.044009642303172246,0.03277260324729899,0.023920462615499766,0.017110420503104063,0.01199281699774718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08293460899821212,0.11087566916529934,0.14301527191859445,0.17831170984320494,0.21529511466853746,0.2522033927576215,0.2871677655653314,0.3184153857770047,0.34445175352104945,0.3641399293080431,0.37676490637561383,0.38210994529937825,0.3804306653686037,0.37239284671235146,0.35925220360147364,0.34266347017010135,0.32420539154898553,0.30526043045750983,0.2869181596622678,0.2689742977084225,0.2502910458165109,0.230040224617711,0.20779177196683168,0.1835761172430615,0.15831787934572392,0.1334129180890899,0.10997732338247575,0.08878282455923643,0.07026637063326815,0.054547888093999596,0.04153232222207249,0.031011826125363084,0.022706819835263774,0.016301521180637962,0.011473549464804085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07768504951198534,0.10397163203457671,0.13423581391234307,0.16749831862244646,0.20237338810399702,0.23719724464739209,0.27020386107415,0.2997171001346967,0.3243238287856777,0.34295090994251737,0.3549264132312018,0.36004961671101693,0.3585654742953352,0.351104581765771,0.33884476774260575,0.3233331278276759,0.3060476453681962,0.28828469589181815,0.2710678850574976,0.25420574647497024,0.2366284799382113,0.2175567165782567,0.19658541216806344,0.1737432579254219,0.14990435287077036,0.12638892508699853,0.10425244937667445,0.08422479501363792,0.06671954330123461,0.05185075702477033,0.03952957716847893,0.029561015193705832,0.021682617391076037,0.015597835349424384,0.011003790112461883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07415453461824337,0.09928424271558202,0.12822563869780867,0.16004278632900262,0.1934099381309634,0.22673453655901282,0.2583256545483797,0.28657818557533604,0.3101388377208487,0.32798055891586575,0.3394612688497891,0.34439017192284577,0.3430029594241853,0.335903909272521,0.3242178411561868,0.3094205270993662,0.29292245142752527,0.2759614961490909,0.25951570438785004,0.24340226796446365,0.22659868909319233,0.20835983167140046,0.18829833136014146,0.16644163374448587,0.1436267748148266,0.12111821434315202,0.099926785256835,0.08075149493045257,0.0639885388824624,0.04974735568168212,0.03794317407566087,0.02838976565694427,0.020836419405190834,0.01499982348875325,0.010590577024979885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07195438171212575,0.09632231669084916,0.12438243079650749,0.15522702799827753,0.18757094323801698,0.21987073833450346,0.2504878672803926,0.27786706796534166,0.3006971101575257,0.31798261582852017,0.3291009143005364,0.33386659077916897,0.3325075975107192,0.32560931778946656,0.314262957164042,0.29990087107205854,0.28389177191225334,0.26743657747572835,0.2514838603284993,0.23585626393259917,0.2195622380232051,0.2018792981473837,0.18243190461260658,0.1612466651952371,0.13913462193030493,0.1173208729565053,0.09678479904093926,0.078203646369824,0.06196122653410348,0.04816347672259307,0.036728115036445,0.02747448646989321,0.020159409454146873,0.014508097041940468,0.010239875283755237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707972986229529,0.09472157324374077,0.12225823431762368,0.15251574839700188,0.1842336552467297,0.21589933686742985,0.24590766313198079,0.27273544631252433,0.2950985809705226,0.31202143896797224,0.32289239132428127,0.3275279935726316,0.3261500512773005,0.31933138570703323,0.3081449169926402,0.2940012550946051,0.27824745382338417,0.26206445304028547,0.24638419300834263,0.23103225070332079,0.2150349141895295,0.19768301547507877,0.17860809700983157,0.15783627015661522,0.13616183971181392,0.11478432501381179,0.09466273297857619,0.07646020877214194,0.060552433350936546,0.047042866557723065,0.03585048795913071,0.02679770038549089,0.019645504744563738,0.014123882965259456,0.009957087634090858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07045903337457267,0.09419775303524391,0.1215036490707288,0.15149164065526688,0.18291286073226307,0.214270160712069,0.24397576238862312,0.270523415758289,0.2926433906301162,0.3093698042303255,0.32009531149893694,0.32463591760197874,0.32320894036018644,0.3163801386826963,0.3052163051559775,0.2911230935509991,0.2754416177002704,0.25934627028980267,0.2437626522240439,0.22851729016508285,0.2126437314205272,0.19543853907403236,0.17653646179660804,0.155963404897575,0.13450479240394325,0.1133463243552729,0.0934360854846233,0.0754296721971072,0.0596983151139105,0.046343948863270965,0.0352858764334514,0.026347565468061468,0.0192915261799714,0.01384949673509902,0.00974759573639678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07075271679442093,0.09451587630735396,0.12183200656041022,0.1518146737736741,0.18321564706474872,0.2145401410227506,0.24420383977220939,0.27070425057187936,0.2927748918939639,0.3094511011542146,0.32012437238108915,0.324608419696969,0.32311787334130065,0.3162163406913866,0.30497402735256596,0.2908043135046389,0.2750544248896144,0.2589027062693552,0.24327664661093312,0.22800218057471436,0.21211157080246332,0.19490091816102809,0.17600498178507223,0.15544970788317233,0.13401846255532515,0.11289341111048368,0.09301997363633467,0.07505193441550329,0.05935933846937279,0.04604350802715819,0.03502337065002395,0.026121894022440157,0.019100976848061686,0.013691709937712793,0.009619621913950875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715126541640491,0.09547268200646165,0.12300117421902315,0.1532040352495851,0.18482421379469388,0.2163575976309541,0.24621071949217777,0.27287276492274654,0.2950702891114947,0.31183233110196523,0.3225448880426741,0.3270184591162306,0.32546716050383584,0.3184571307183683,0.30706926959890574,0.2927336012810083,0.2768122313034713,0.26049542294858413,0.2447190849766659,0.22930738800169706,0.21328435505424198,0.19594046840671134,0.1769077736359337,0.15621245170106746,0.13464210315706365,0.11338494899201301,0.09339139694810378,0.07531872007168564,0.05953882622266673,0.046153338242929866,0.03508029783404823,0.026140960566424308,0.01909495956216637,0.013670855378736363,0.009591647153312129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
