Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,34271,32828,31574,30493,29567,28780,28115,27556,27084,26684,26340,26034,25747,25462,25163,24895,24699,24267,23465,22454,21495,20502,19810,19603,19711,19802,19963,20002,19797,19461,19180,18862,18805,19160,19748,20280,20860,21076,20711,19973,19288,18563,17975,17652,17500,17277,17014,16797,16640,16508,16382.000000000002,16300.999999999998,16030.999999999998,15465,14725,14018,13279,12742,12536,12541,12512,12499,12420,12210,11916,11635,11326,11069,10908,10783,10618,10451,10097,9461,8641,7833,7005,6211,5499,4848,4190,3543,2944,2407,1927,1481,1063,736,525,401,294,238,190,138,82,50,42,32,22,11,15
1951,31908,33798,32570,31451,30435,29518,28685,27923,27269,26732,26284,25868,25480,25118,24771,24423,24108,23867,23418,22640,21680,20774,19840,19209,19059,19222,19370,19592,19682,19512,19200,18943,18646,18605,18971,19566,20101,20682,20898,20533,19797,19111,18383,17791,17465,17307,17079,16811,16587,16419,16274.999999999998,16136,16042.000000000002,15764,15199,14464,13760,13024,12487,12280,12281,12246,12226,12134,11901,11578,11267,10932,10639,10426,10243,10023,9801,9414,8780,7984,7202,6405,5644,4966,4349,3730,3124,2571,2086,1662,1263,900,627,447,336,245,198,158,114,68,40,31,21,11,15
1952,30424,31279,33328,32317,31333,30383,29474,28594,27736,26985,26383,25886,25399,24928,24491,24082,23685,23323,23036,22571,21816,20906,20054,19179,18609,18516,18734,18940,19222,19363,19230,18942,18709,18432,18407,18784,19386,19925,20507,20723,20359,19624,18936,18205,17610,17279,17117,16884,16610,16378,16200,16043,15893,15785,15499,14934,14204,13504,12770,12234,12025,12022,11981,11955,11849,11593,11240,10900,10539,10209,9944,9702,9427,9150,8730,8096,7326,6569,5803,5076,4431,3849,3269,2704,2196,1764,1396,1044,736,518,369,271,195,158,126,91,54,30,20,10,14
1953,29505,30813,31642,32792,32000,31154,30272,29372,28448,27494,26649,25982,25436,24880,24327,23814,23344,22898,22491,22159,21677,20947,20090,19293,18479,17971,17936,18208,18472,18815,19007,18909,18647,18437,18182,18174,18561,19168,19711,20291,20508,20145,19412,18724,17992,17394,17060,16893,16655,16376.000000000002,16138.000000000002,15949,15780,15618,15497,15204,14640,13916,13221,12490,11956,11746,11739,11692,11659,11540,11261,10879,10511,10124,9758,9442,9141,8811,8479,8026.999999999999,7396,6651,5922,5188,4497,3887,3341,2801,2277,1817,1438,1127,823,571,408,290,205,145,118,93,67,39,20,10,14
1954,28950,30391,31348,31872,32191.000000000004,31619,30912,30100,29211,28245,27196,26259,25529,24936,24311,23677,23091,22560,22067,21614,21237,20741,20037,19235,18494,17742,17297,17320,17646,17968,18370,18612,18551,18314,18128,17896,17903,18300,18912,19456,20035,20251,19891,19161,18475,17742,17143,16806,16635,16392,16110,15865,15666,15486,15311,15178,14878,14316,13600,12911,12185,11655,11444,11433,11380,11340,11208,10907,10497,10102,9690,9288,8921,8562,8178.000000000001,7792,7309,6681,5964,5264,4564,3909,3335,2826,2327,1847,1434,1110,855,600,404,297,211,139,95,77,60,43,24,10,14
1955,28627,29974,30898,31442,31646,31551,31199,30631,29889,29013,28005,26865,25837,25044,24406,23713,22999,22340,21751,21210,20713,20293,19782,19105,18358,17675,16986,16604,16685,17064,17442,17904,18196,18170,17959,17798,17588,17611,18017,18633,19177,19754,19969,19611,18886,18202,17471,16871,16531,16356.000000000002,16110,15824,15572,15364,15172,14987,14841,14534,13975,13269,12586,11867,11339,11128,11113,11055,11008,10863,10541,10103,9681,9245,8808,8391,7975,7537,7098,6584,5961,5273,4602,3936,3319,2782,2310,1853,1416,1052,781,584,377,238,186,131,74,44,36,28,19,10,13
1956,28541,28729,29850,30636,31112,31303,31250,30994,30487,29723,28774,27718,26545,25463,24585,23843,23050,22239,21493,20833,20237,19688,19220,18694,18050,17369,16754,16140,15834,15985,16431,16880,17415,17768,17785,17602,17469,17283,17325,17741,18362,18909,19483,19695,19337,18611,17924,17188,16582,16238,16058,15806,15515,15255,15032,14823,14620,14455,14138,13583,12889,12216,11506,10983,10767,10741,10673,10617,10454,10103,9628,9172,8702,8239,7806,7383,6941,6501,5995,5393,4736,4098,3468,2894,2407,1990,1581,1201,896,663,487,311,198,155,109,61,36,28,19,9,13
1957,28542,29318,28801,29697,30343,30750,30929,30918,30759,30312,29527,28505,27403,26199,25064,24102,23256,22365,21458,20626,19895,19245,18646,18130,17590,16979,16364,15818,15279,15049,15271,15783,16302,16909,17323,17382,17229,17123,16962,17021,17448,18073,18621,19193,19402,19043,18318,17629,16888,16277.999999999998,15928,15743,15486,15191,14922,14686,14459,14240,14056,13730,13179,12497,11835,11135,10617,10396,10359,10281,10216,10036,9656,9145,8654,8151.999999999999,7663,7215,6786,6340,5897,5400,4820,4195,3592,2998,2467,2029.9999999999998,1668,1308,986,739,544,389,245,158,123,86,48,27,18,9,12
1958,28662,29063,29412,28885,29556,30063,30403,30568,30599,30536,30149,29344,28249,27101,25865,24676,23629,22681,21691,20688,19769,18969,18264,17614,17050,16496,15918,15368,14890,14426,14272,14565,15143,15732,16412,16886,16988,16863,16785,16648,16725,17163,17793,18342,18912,19118,18758,18033,17341,16595,15980,15626,15436,15173,14873,14597,14346,14102,13866,13664,13327,12781,12111,11459,10769,10255,10030,9982,9893,9820,9623,9213,8666,8141.999999999999,7607,7091,6628,6192,5742,5298,4810,4251,3658,3088,2531,2041.9999999999998,1656,1348,1036,771,583,426,292,179,118,92,64,35,18,9,12
1959,28962,28976,29067,29213,29015,29463,29832,30104,30257,30330,30363,30035,29208,28039,26842,25573,24328,23196,22142,21052,19952,18945,18073,17312,16612,15999,15430,14883,14397,13987,13597,13519,13882,14528,15187,15941,16477,16621,16525,16474,16361.999999999998,16457,16905,17541,18093,18661,18865,18504,17777,17081,16329.999999999998,15709,15349,15154,14886,14580,14295,14030,13768,13515,13294,12947,12403,11745,11102,10421,9911,9681,9621,9523,9440,9225,8786,8202,7643,7074,6532,6052,5609,5154,4708,4227,3689,3126,2590,2067,1620,1284,1030,766,558,428,309,196,114,79,61,42,22,9,11
