Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,23039,20128,17706,15733,14164,12960,12076,11472,11106,10936,10951,11142,11306,11335,11285,11331,11453,11497,11407,11242,11077,10849,10810,11077,11508,11908,12396,12455,11833,10809,9858,8816,8265,8522,9280,9926,10592,11018,11017,10728,10493,10264,9940,9511,9012,8479,7897,7394,7035,6764,6473,6196,5861,5425,4935,4473,4014.0000000000005,3641,3401,3251,3102,2974,2831,2648,2446,2263,2087,1945,1853,1791,1728,1675,1587,1441,1258,1088,923,767,629,507,388,269,182,138,123,113,112,108,90,66,48,37,30,22,13,8,7,5,4,2,2
1951,23811,23198,20622,18412,16546,15002,13739,12713,12005,11634,11516,11542,11722,11868,11871,11788,11801,11890,11901,11780,11586,11392,11136,11073,11322,11739,12126,12603,12656,12034,11014,10068,9031,8489,8759,9531,10191,10872,11308,11308,11014,10775,10541,10211,9776,9271,8731,8141,7628,7255,6968,6661,6367,6017,5569,5069,4595,4124,3740,3489,3328,3168,3029,2874,2674,2452,2252,2058,1901,1798,1730,1661,1602,1513,1371,1197,1035,880,733,601,481,366,252,167,124,110,100,98,92,77,55,40,31,25,19,11,8,6,4,2,2
1952,24722,23610,23385,21143,19143,17384,15863,14539,13369,12555,12178,12114,12150,12319,12448,12424,12308,12288,12344,12321,12170,11946,11723,11439,11352,11582,11985,12360,12827,12874,12250,11233,10291,9259,8725,9007,9795,10470,11166,11612,11614,11316,11072,10832,10495,10055,9543,8995,8397,7872,7485,7181,6857,6546,6181,5720,5209,4724,4240,3844,3582,3409,3238,3089,2921,2703,2461,2242,2029.9999999999998,1859,1745,1670,1595,1530,1440,1302,1136,984,838,700,572,456,344,234,153,111,96,87,83,77,63,45,32,25,20,15,9,6,4,2,2
1953,25411,24835,23990,23512,21612,19828,18180,16687,15305,13993,13075,12694,12683,12729,12887,12998,12947,12799,12746,12768,12712,12529,12277,12025,11713,11602,11813,12201,12563,13019,13059,12436,11424,10488,9464,8940,9234,10034,10722,11433,11888,11892,11590,11342,11096,10754,10308,9791,9237,8631,8096.999999999999,7696,7377,7038,6710,6329,5857,5336,4840,4346,3939,3666,3482,3300,3142,2960,2726,2464,2227,1998,1811,1688,1606,1524,1454,1362,1230,1072,929,794,664,542,430,322,216,138,97,82,73,68,62,50,35,24,19,15,11,6,4,2,2
1954,25696,25584,25110,24332,23567,22014,20452,18920,17459,16024,14573,13555,13170,13213,13269,13415,13507,13430,13250,13164,13152,13063,12850,12570,12290,11951,11816,12008,12379,12727,13170,13205,12583,11580,10653,9639,9127,9432,10243,10942,11665,12128,12133,11828,11576,11326,10979,10530,10009,9450,8839,8296,7883,7550,7196,6853,6458,5975,5446,4942,4438,4022.0000000000005,3738,3544,3352,3184,2990,2740,2460,2205,1959,1758,1625,1537,1449,1374,1281,1153,1004.9999999999999,872,748,627,511,402,298,198,122,83,68,59,53,46,36,24,16,13,10,7,4,2,2
1955,25521,25866,25783,25331,24569,23556,22352,21014,19602,18176,16692,15109,13993,13605,13702,13768,13902,13975,13872,13660,13542,13496,13375,13133,12825,12519,12155,11996,12167,12522,12855,13284,13312,12695,11702,10787,9787,9287,9602,10421,11130,11862,12331,12338,12031,11777,11523,11172,10720,10198,9635,9021,8471,8048,7701,7333,6975,6568,6077,5541,5029,4517,4091.9999999999995,3800,3596,3394,3217,3012,2746,2448,2177,1915,1701,1558,1464,1371,1290,1197,1075,936,812,699,588,478,373,274,178,107,68,53,46,38,30,22,13,8,7,5,4,2,2
1956,25203,26181,26430,26285,25798,25023,24020,22847,21525,20095,18628,17115,15507,14368,13961,14039,14088,14205,14260,14137,13905,13769,13705,13571,13323,13016,12711,12348,12193,12366,12722,13057,13490,13520,12904,11911,10996,9993,9493,9808,10629,11338,12069,12535,12532,12212,11945,11677,11312,10844,10305,9726,9094,8528,8089,7728,7346,6975,6556,6054,5511,4991,4474,4043,3744,3533,3326,3143,2936,2671,2377,2110,1853,1642,1498,1399,1303,1219,1124,1002.9999999999999,867,746,635,528,426,330,238,153,93,60,46,38,32,26,18,11,7,5,4,2,2
1957,24648,25907,26786,26939,26732,26212,25425,24433,23295,21992,20546,19041,17503,15874,14714,14288,14348,14379,14478,14515,14373,14121,13967,13885,13739,13486,13180,12876,12517,12363,12538,12895,13232,13668,13700,13086,12095,11181,10179,9679,9995,10815,11522,12252,12712,12701,12369,12089,11807,11428,10945,10391,9796,9148,8567,8114.000000000001,7739,7344,6959,6529,6019,5468,4943,4420,3984,3679,3463,3250,3063,2853,2590,2301,2039.0000000000002,1788,1579,1434,1331,1231,1145,1049,929,796,677,569,467,373,287,202,127,79,52,38,31,26,20,15,9,5,3,2,2
1958,24114,25713,26774,27354,27410,27141,26588,25792,24812,23710,22428,20968,19428,17866,16218,15040,14595,14637,14650,14731,14750,14588,14318,14145,14045,13887,13630,13326,13023,12667,12517,12693,13050,13389,13826,13861,13250,12262,11350,10351,9851,10167,10986,11691,12417,12872,12851,12507,12215,11921,11527,11031,10462,9852,9190,8594,8127.000000000001,7739,7331,6934,6494,5976,5419,4888,4361,3920,3610,3387,3170,2978,2766,2506,2222,1964,1719,1515,1368,1261,1159,1070,973,854,724,608,502,405,319,243,165,101,65,43,30,23,20,15,11,6,3,2,2
1959,23918,25648,26878,27650,27906,27865,27535,26949,26143,25177,24112,22851,21377,19803,18218,16553,15356,14893,14917,14912,14976,14977,14795,14506,14315,14197,14027,13766,13463,13163,12810,12663,12840,13198,13538,13977,14014,13406,12422,11513,10516,10018,10334,11150,11852,12575,13024,12994,12639,12335,12028,11621,11110,10527,9903,9226,8616,8135,7735,7314,6905,6455,5929,5366,4830,4299,3854,3538,3310,3088,2891,2678,2420,2141,1889,1650,1449,1301,1190,1085,994,896,778,651,538,435,343,265,200,128,75,51,34,22,16,13,10,7,4,2,2
