Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,492142,451026,419773,397318,382595,374538,372082,374161,379709,387660,398468,412585,421352,420664,414013,408916,403775,400179,399643,401027,400642,397984,398292,403402,410365,417178,427581,422407,392987,349737,309028,264322,242096,256137,292722,325192,359903,381772,380933,365386,353278,341315,329646,320272,312326,302720,291807,282941,277404,273975,270255,266844,262415,256103.99999999997,248657,241512,234180,227791,222987,219060,214765,210478,204925,197387,188521,179706,170670,161759,153285,145045,136600,128130,119383,110221,100861,91697,82696,74049,65905,58228,50833,43762,37258,31427,26204,21383,16962,13181,10125,7675,5183,3496,2764,1933,1004.9999999999999,505,411,311,203,87,69
1951,421912,481104,447686,421288,401313,387162,377777,372096,371833,377313,386553,397706,411694,420313,419458,412636,407370,402054,398361,397846,399330,399045,396500,396923,402138,409199,416120,426634,421567,392245,349084,308460,263840,241660,255690,292226,324645,359294,381124,380290,364775,352684,340731,329063,319673,311697,302056,291102,282176,276554,273019,269182,265639,261079,254644,247071,239787,232306,225736,220706,216521,211962,207402,201573,193759,184616,175530,166238,157047,148252,139679,130934,122189,113237,103968,94584,85428,76468,67950,60044,52686,45638,38936,32851,27492,22772,18389,14501,11289,8629,6426,4297,2920,2304,1608,831,453,343,224,96,76
1952,375888,398598,471086,445319,423734,406202,392594,381855,372927,370314,375738,386292,397814,411704,420193,419169,412159,406713,401211,397413,396916,398505,398320,395881,396421,401753,408928,415972,426621,421649,392362,349195,308567,263935,241753,255803,292370,324810,359471,381310,380480,364962,352862,340894,329199,319774,311751,302053,291034,282029,276307,272659,268696,265014,260310.99999999997,253738,246023,238582,230936,224170,218902,214448,209615,204773,198652,190544,181105,171726,162157,152665,143529,134603,125538,116498,107321,97925,88495,79327,70389,61982,54296,47243,40526,34180,28503,23606,19380,15425,12065,9416,7147,5187,3417,2348,1849,1286,659,373,244,105,84
1953,348915,386039,412289,460239,442192,425474,410425,397385,385304,373133,368165,373524,385378,397253,411021,419366,418173,410987,405369,399689,395791,395315,397005,396920,394594,395250,400689,407967,415124,425889,421022,391818,348718,308154,263586,241439,255485,292023,324428,359044,380855,380029,364535,352447,340482,328782,319336,311279,301541,290476,281405,275595,271838,267757,263940,259103,252402,244557,236972,229173,222221,216723,212007,206906,201788,195387,186998,177276,167619,157788,148009,138547,129282.00000000001,119910,110589,101203,91694,82235,73070,64169,55888,48435,41699,35327,29349,24090,19665,15943,12425,9599,7520,5648,3934,2528,1770,1388,960,484,264,114,94
1954,337426,379186,408998,428304,448332,438045,426230,413697,401255,387862,372475,365166,370448,383574,395773,409388,417569,416210,408865,403087,397243,393255,392800,394588,394604,392394,393166,398700,406064,413315,424173,419421,390369,347435,307030,262628,240567,254576,291000,323296,357786,379519,378700,363265,351217,339284,327605,318160,310087,300332,289247,280131,274245,270389,266198,262256,257295.00000000003,250482,242526,234814,226880,219759,214044,209076,203720,198338,191671,183020,173039,163126,153056,143013,133246,123664,114007,104427,94852,85254,75787,66646,57803,49667,42465,36062,30048,24452,19624,15681,12470,9397,7112,5608,4136,2673,1633,1188,925,632,309,124,106
1955,338322,376772,404471,422695,432721,435825,433281,426367,416357,404528,389848,371282,361651,366848,381222,393728,407169,415175,413654,406160,400233,394232,390160,389728,391610,391726,389637,390521,396142,403581,410916,421850,417220,388361,345655,305466,261293.99999999997,239351,253304,289560,321701,356017,377640,376829,361476,349484,337600,325959,316529,308453,298694,287604,278458,272505,268555,264261,260200,255124,248208,240152,232325,224269,216990,211066,205856,200253,194616,187693,178793,168568,158415,148122,137830,127774,117890,107964,98140,88391,78716,69256,60152,51379,43399,36458,30395,24747,19539,15147,11690,8994,6368,4625,3695,2625,1414,740,607,462,304,134,118
1956,350402,348739,380217,403480,419382,428778,432938,433133,428141,417985,404768,389540,370861,361064,366011,380085,392312,405495,413250,411495,403792,397673,391485,387333,386975,389037,389338,387456,388538,394323,401902,409393,420488,416001,387254,344638,304529,260428,238537,252520,288788,320930,355239,376830,375959,360524,348442,336450,324729,315266,307183,297401,286279,277068,271000,266898,262442,258204.99999999997,252939,245828,237564,229516,221233,213685,207436,201864,195907,189924,182659,173427,162886,152445,141894,131387,121165,111168,101173,91314,81649,72217,63116,54396,46033,38517,32095,26583,21404,16786,13039,10012,7566,5304,3871,3087,2187,1171,650,495,327,145,132
1957,368030,384830,358338,382759,401522,415059,423801,429010,431948,428893,418615,404038,388298,369550,359610,364295,378035,389955,402846,410333,408347,400453,394156,387795,383574,383291,385527,386014,384343,385622,391557,399258,406887,418117,413782,385218,342793,302862,258938,237151,251130,287323,319389,353609,375117,374186,358707,346563,334493,322719,313246,305176,295393,284266,275012,268843,264598,259991,255587,250145,242855,234403,226153,217661,209862,203302,197382,191086,184770,177179,167636,156805,146099,135317,124619,114254,104169,94129,84257,74701,65534.00000000001,56815,48500,40567,33534,27648,22701,18004,13988,10896,8307,6117,4225,3107,2471,1744,926,529,350,157,146
1958,388686,391589,394604,367640,384993,399249,410414,418497,424749,430423,429305,418913,402990,386751,367949,357875,362294,375689,387293,399882,407095,404880,396802,390332,383804,379516,379309,381718,382389,380931,382405,388485,396303,404062,415419,411240,382880,340680,300958,257244.00000000003,235579,249544,285632,317597,351701,373110,372121,356609,344413,332274,320456,310981,302930,293154,282031,272742,266477,262091.99999999997,257339,252771,247158,239694,231062,222615,213923,205880,199014,192751,186120,179477,171567,161721,150608,139646,128640.99999999999,117762,107263,97098,87020,77145,67703,58809,50478,42574,35077,28533,23185,18806,14595,11183,8747,6598,4666,3145,2342,1855,1300,680,373,168,159
1959,410025,400219,394153,391271,377082,387389,397151,405954,413381,420677,429085,429900,419390,402116,385373,366509,356296,360452,373508,384802,397096,404037,401594,393328,386683,379984,375629,375497,378080,378935,377689,379357,385585,393522,401416,412903,408879,380710,338717,299186,255664,234110,248068,284068,315945,349948,371267,370219,354668,342415,330201,318335,308854,300818,291045,279921,270592,264229,259704,254801,250069,244282,236642,227825,219180,210284,201993,194819,188210,181243,174271,166039,155886,144487,133266,122034,110968,100330,90081,79962,70078,60748,52122,44175,36678,29612,23552,18741,14927,11198,8388,6606,4895,3219,2067,1579,1239,858,434,179,173
